Gene	SRR1822445	SRR1822446	SRR1822447	SRR1822448	SRR1822449	SRR1822450	SRR1822451	SRR1822452	SRR1822453	SRR1822454	SRR1822455	SRR1822456	SRR1822457	SRR1822458	SRR1822459	SRR1822460	SRR1822461	SRR1822462	SRR1822463	SRR1822464	SRR1822465	SRR1822466	SRR1822467	SRR1822468	SRR1822469	SRR1822470	SRR1822471	SRR1822472	SRR1822473	SRR1822474	SRR1822475	SRR1822476
ETS1-1	9.644976805209001	9.425309129682937	10.522352049194033	10.380967930368602	6.609745464117811	7.0222452048708615	7.526913510169944	7.754775952878543	6.980209459751965	7.880422303718248	9.074166953787508	8.76194299762172	7.880422303718248	7.548142523983204	8.565315738785966	8.46664072431871	9.603361528118322	6.92429676063609	6.987479518228259	8.46664072431871	7.594049194375483	7.637268905552336	7.889413666890618	7.873671516141576	8.46664072431871	9.959292194791908	10.142519078392704	9.819641498961985	7.831837126769764	7.822970241615458	8.160510367419567	7.867481683391784
ETS2-1	0.7875733845849976	0.7813446558824603	1.2700362682989954	0.8507753593602431	0.6847331257292735	0.6843268114687806	0.6493002134860963	0.6938952080055778	0.6476309026139548	0.7191628301935666	0.708436578497933	0.6992547547300882	0.6534673012745752	0.6602654185201088	0.5658624365010498	0.5706480231546344	0.416936432281173	0.7058784821240871	0.6770069028570742	0.7302479465131955	0.6888152884433402	0.6245602546499817	0.5223921257189765	0.5458873724281819	0.5288813184652335	0.2910593819793166	0.6542801666514044	0.7258629446095859	0.519012995359969	0.5288813184652335	0.534658418147706	0.41481650097483846
HRA1	0.28018817801421986	0.26580658298499094	0.6655667542557178	0.22584400631272386	0.10452607310270096	0.42162083869342565	0.36381034393528616	0.11853364587382181	0.18882836782400303	0.21248314192294807	0.3424169409188892	0.38374562263703127	0.4448137974184464	0.2667924360954355	0.37314976148161616	0.26580658298499094	0.416936432281173	0.2859437068125136	0.2549474735910296	0.301858937033238	0.43257021506244064	0.47318685007670763	0.46477009632643895	0.12752380112971362	0.23330297553128873	0.2910593819793166	0.5680334510460235	0.5648021994459289	0.4673378023966709	0.2884592020334769	0.10666002717647864	0.4560169715159633
ICR1	0.7532707380137978	0.775660930172639	0.9833193558867247	0.8899678130658213	1.016598117003265	0.9874141180459743	1.0822405960504522	1.1024437860179093	0.7649186064997073	0.7423687155108252	0.776303957520152	0.7766687956308969	1.0959685486426314	1.0739410400398066	1.1927554597312895	1.1277848395602084	0.416936432281173	0.9049074688711436	0.9802492827846206	1.1750484144007816	1.1624735444027914	1.1953274087914725	1.340722142523461	1.221389273347254	0.7603796001810538	0.7115099871053032	0.8747525941770091	1.0633814365732435	1.2560349814961005	1.1914553965456458	1.2286686726499745	1.1939008328992853
IRT1	0.7336313664069796	0.7281818702098921	0.9224321032600584	0.7903932658762556	0.8031571360936979	0.8011863337901299	0.8686853116738152	0.8953965829102831	0.8094661471014455	0.7897394191461826	0.7892862996768931	0.8439905237239026	0.8818699905567292	0.8557291366492763	0.8998270469517922	0.9988623701643833	0.762194488857729	0.7744499811378334	0.826789556387002	0.7793018810467888	0.8446552580624819	0.8414650412364264	0.8334706518014015	0.8130101515409734	0.7532707380137978	0.8689935658125737	0.7816791308210321	0.8071320792096344	0.8231760103661119	0.8347213802753457	0.9108418762142458	0.7634694021266656
ITS1-1	1.5107078626632695	1.2052828384228216	2.770042601521292	2.4711498545450308	4.416445844649774	4.735339122894316	5.0896485219664775	5.89275941867192	0.849881212489586	0.8167127524983759	0.784823585003687	0.8374646796133275	4.598872442713249	4.552733779345404	5.5345897631471	5.371514009486871	0.9658362741711506	1.1349691817698786	1.2931292287384748	1.378111884133542	5.738547062903917	5.79706714161067	5.103148485932367	4.918502659545447	0.8839212189147913	0.8744615318332807	1.2367772804127481	1.4842788989693254	5.337772627779393	5.219834472101928	4.216165684498227	3.798028662976357
ITS2-1	5.70507603795002	4.145607202114707	7.1931550356475356	6.741414169621715	6.227864180886803	5.876905206211132	5.921336477433437	6.6024098147851795	1.9958055702926467	2.320239405552545	3.711523869901664	2.996007390635075	5.804540957951579	5.337772627779393	6.13617220976214	6.227864180886803	3.882236909035906	2.9740413879399963	4.8791673437465395	4.796336142331963	6.563745911731264	6.68970274401712	6.624391117118731	6.231904269880305	2.608465398508481	3.4216873839397746	4.900242658971436	5.303056742831767	6.447279231992917	5.992552359091455	6.093306801816242	5.688230461446563
LSR1	2.1635733194087736	1.6983779070201954	2.3774445357041634	2.4577084770524626	3.704554343669588	4.252675067465697	4.427127418479231	5.543752420883603	1.5218792536830668	1.8959579257455381	2.134851757416287	3.107048859507644	3.882236909035906	4.011192371455821	4.662216311577415	4.973675280173218	3.123353560859032	1.5624934028355937	2.2413845519293103	2.2531659301002813	4.65640673168101	4.9624374880211874	4.1227741795041375	3.9660349882280763	1.43189434175721	1.8126102420962065	4.404128834007619	4.2138155348937305	4.840408476610124	5.20100137066398	4.265590031351395	4.799761425749858
NME1	8.39218632106191	7.759289161437836	8.488234787372901	8.914949918731832	0.8544234081647695	0.897260499424777	0.8541618893202259	1.100233641088124	6.621104219430337	6.724966066683784	6.955602574207282	6.244440612975547	0.8697249442257973	0.8860333952511935	0.9046620305559447	0.9226560606644831	8.46664072431871	7.6777054292823514	9.471995685274207	9.094002106928592	0.871479188618478	0.9416335392573751	0.9021750899575208	0.8833355724010503	6.572830171357219	8.689519764487105	9.101443759654353	8.970719208561526	0.8647073298399709	0.9488282058133599	0.9067861782143664	0.9290768754781793
PWR1	0.28018817801421986	0.26580658298499094	0.7058784821240871	0.22584400631272386	0.10452607310270096	0.08732820189071992	0.49177256808899317	0.11853364587382181	0.18882836782400303	0.21248314192294807	0.1296456372453514	0.15153979915869764	0.32812055365981685	0.05739812177397464	0.45318654776436373	0.4635904556217429	0.416936432281173	0.2859437068125136	0.2549474735910296	0.301858937033238	0.094500771256062	0.08061421875457914	0.08903479605704027	0.12752380112971362	0.23330297553128873	0.2910593819793166	0.28803943992831266	0.23048617174591496	0.3118345931757945	0.2489416648925268	0.10666002717647864	0.26580658298499094
Q0010	0.28018817801421986	0.26580658298499094	0.9102550743406389	0.8004788721094613	0.10452607310270096	0.08732820189071992	0.09534603529946473	0.11853364587382181	0.18882836782400303	0.5458873724281819	0.5178258176887418	0.574088308375805	0.011089190829528705	0.05739812177397464	0.17611199917790823	0.05991785287024575	0.416936432281173	0.2859437068125136	0.2549474735910296	0.7186198868202848	0.252291788408143	0.08061421875457914	0.08903479605704027	0.12752380112971362	0.23330297553128873	0.2910593819793166	0.5790284656813238	0.6766466205913911	0.05739812177397464	0.02852556199986332	0.10666002717647864	0.0685121217353406
Q0017	0.6362246869927217	0.5613313410549708	0.7186198868202848	0.22584400631272386	0.10452607310270096	0.08732820189071992	0.09534603529946473	0.11853364587382181	0.48414188128651137	0.513083064851244	0.1296456372453514	0.3966468050986687	0.011089190829528705	0.05739812177397464	0.05905261665440087	0.05991785287024575	0.416936432281173	0.2859437068125136	0.2549474735910296	0.301858937033238	0.094500771256062	0.08061421875457914	0.08903479605704027	0.12752380112971362	0.5223921257189765	0.5927246552392569	0.28803943992831266	0.23048617174591496	0.05739812177397464	0.02852556199986332	0.10666002717647864	0.0685121217353406
Q0020	10.552899691671737	10.435731055875108	9.819641498961985	10.81015640473891	3.928368727331276	2.51634445148803	3.2945497154551835	3.698042987336524	9.852400593668355	9.603361528118322	8.911328416205382	8.93929830392826	1.3664201089825074	2.270375079664376	1.686867265862	1.8567523784198223	10.81015640473891	10.844656263224461	10.844656263224461	10.844656263224461	3.5479629430748867	3.638650125779378	3.3501961976849	3.534591271551803	10.199541120598747	10.380967930368602	9.319358897355142	10.380967930368602	1.1584854545954877	1.3935444154373597	3.3424078000505606	2.7560386385009132
