	14251X1	14251X2	14251X3	14251X4	14251X5	14251X6	14251X7	14251X8	14251X9	14251X10	14251X11	14251X12	14251X13	14251X14	14251X15	14251X16	14251X17	14251X18	14251X19	14251X20	14251X21	14251X22	14251X23	14251X24
ICR1	42.13093933009064	34.79867275007503	33.97532063394252	31.811885906357837	28.70857296434151	22.326186383955854	45.55238720987841	36.39159720084281	38.68705774160683	29.700077398090155	28.21212435499007	14.876964353123457	47.92715206045863	37.68464903927097	27.437246819761288	24.65369087372928	21.257020145211293	16.999958570407816	44.16125245472257	31.212204789116697	38.71207885923778	22.847779008670535	20.15855994955248	11.476665271114706
LSR1	215.29706800311396	141.89152787353498	177.40264829301634	151.45335184058163	90.2569029032833	140.08865506297244	144.83623813312806	190.13551342060768	66.47340132609678	127.64983922837102	85.12590828687195	187.445628583132	181.42669056604868	101.13276920470906	175.3148336307057	346.9813619479739	81.45140686815368	136.07287689548912	168.3239023350813	133.86144147459436	82.52681688051574	96.13390838131757	83.60643487305464	180.96544170635232
NME1	136.85326934845372	114.21438521972297	174.5046423700196	104.99440933118868	104.508352929628	116.51940227944642	75.00401520520641	145.11327774018426	95.44881000272699	84.77477809336551	99.75242718031437	126.95382692613101	120.45607208329731	92.86310329432116	168.58920062697015	324.35396117484777	64.81596570148645	100.76825442365528	91.2749635716302	107.36327217245622	68.72360725344153	71.6569069105265	86.85746098549478	136.4771466670315
RUF20	169.02040997863048	217.3940623414682	194.37821088220485	149.13797706960398	235.6927396857108	175.07732018334144	172.69547519031727	206.47918637543654	222.25253765795478	161.4555175124878	243.95206585934477	176.134932651465	222.82665183667203	226.77425183714792	191.39123886075342	209.71295170837004	247.30812840373676	162.04375859162454	227.93370506146127	202.36643851918953	221.52891909235782	186.23737451709792	246.24352278285113	150.7873914754442
RUF21	34.0414414318448	30.75872552451946	34.904860185414044	33.912779724443986	35.56763442105064	37.882675163865684	39.75041766497099	34.50081265980892	36.5658663688437	40.76863444376843	33.33610229169761	28.178196815287485	32.67730820669002	38.9745620615487	34.62596441448557	34.97812208289045	32.95149923316628	33.07585998684	36.032886883604995	38.72366959544037	40.485689421581895	37.59292531759652	44.327567191742865	33.89814265102761
SCR1	310.4466421869402	243.01553738960217	291.69900887810553	241.90683090030262	112.05463836073878	162.4770036641787	219.3408529732364	269.74864750187936	116.9633771512084	219.8466112751887	103.51605859740395	248.07069629243992	236.37980546850022	190.25453625120068	299.68722046317254	458.38110013006474	44.629712562928276	144.81261643440823	216.50857716882376	227.27282710836042	114.14438216232531	141.0799952322365	45.028146558279026	285.2395924614308
SRG1	219.36719479181392	234.92372035514708	216.3125499593356	206.9342910566213	260.9280167239239	244.05306159806344	207.79659755359236	231.40476598793632	223.61134977414522	193.7448716256253	271.2514861342948	244.05335708122632	222.98583216871734	236.50137971475687	216.7284037098074	262.00907340571763	239.97199642655596	231.9414492682873	216.0415612560351	249.41014225180396	224.75488252395942	229.1223982719029	224.22923184891985	220.25349929790366
YAL001C	132.4437248548701	139.44440005369626	116.59853100847455	126.16785650012338	127.1688847509879	108.24630486795571	140.017251558902	136.3572311459595	121.68844244513446	120.01600921479589	131.0095848817688	107.81693216164987	134.257847478141	142.79772768943317	106.53965951238841	101.42515092980737	111.12337802708589	99.75734443592228	132.33896637251289	141.2910210496332	118.51861673363112	91.72113052926558	99.83321740026015	96.37074415401011
YAL002W	100.01299845028376	86.07957499393122	92.93530422856443	96.5713503736493	82.81885014469444	85.92895638523683	90.685977159846	85.09507826135075	97.7703191951662	88.20501679955078	84.35842973155569	77.75108092642665	101.20626517921654	92.42411407874802	80.75598323782525	68.67457959783823	63.43631157441195	99.24873312679064	90.90032752711979	76.22792324244394	84.55580827445313	62.707936377041435	61.323140057003926	83.49851802952723
YAL003W	310.06949750834343	284.8274757244953	372.58732299645135	321.9726003572483	310.2206417778953	343.46022723230936	301.19303631087854	301.55660115397774	311.0166936451549	309.4539445739416	302.11663675490865	337.2387851752817	300.65067543206715	309.3365095422284	421.2575245727591	369.71969770404354	350.87345733232365	317.5114245757204	326.78793843519287	330.9818666666213	348.8179820103107	409.33958116623967	412.26572504821684	395.2098950428926
YAL005C	96.10206234778269	90.78986084364091	106.1966704196853	100.59515663921803	99.65139421975748	96.87156879648813	93.51584803965468	92.8754416872551	91.6739983077039	95.21627034116914	96.80540985189407	89.8295530177552	96.62653218220343	104.14854987522826	97.18208857755852	98.34027137261407	84.99057804160685	96.77506797465794	107.95620108382725	110.20578936104992	91.52707849704227	102.13880058959795	71.67340796315808	93.61713614951765
YAL007C	258.82773233834416	230.38473544626692	282.39943038405585	243.7960695924459	289.62900631944194	250.83515208367717	260.8148422390369	244.12418232345192	267.45258221880584	258.9260233050423	278.19309306156714	241.15552868231194	245.67258173657675	252.13997729329654	300.5975736523028	258.30189652080946	326.37344721508646	215.1615742663238	228.40612888833934	246.8616521855215	296.09471611373834	249.55160293433465	313.09179322659395	189.46368682377494
YAL008W	230.1969615358811	225.5243496469169	205.0162879408747	232.7599557530545	242.3334052071628	255.98062385480245	227.35542795476783	244.32080295998819	220.44288768321576	213.91955506854882	229.64148665047034	261.718519095999	234.7906321766359	256.700771477601	210.82702333559575	287.6728821541371	218.26466211553574	225.6608675810379	231.59319115189754	248.34674426489553	224.32589841877245	244.03306980892754	205.81362388999267	225.38751620467335
YAL009W	153.7632997564523	165.9223523464703	158.1141218577913	156.20945703073053	175.80058949106305	138.86099061663865	144.89412028278514	154.3403477497108	173.138846803868	141.93352998964986	180.9453696425656	145.8933255817776	164.67945519080158	169.60946965326428	162.16333384170923	142.78722588358312	167.4272152990345	155.11476970625438	165.7996709382903	161.04490825868436	173.91758335615262	134.6528033783551	158.20466108072267	161.08666212497275
YAL010C	162.40010794099237	146.0135912963583	129.23510820054102	164.0928325714366	139.28481117341983	150.1060004801983	160.60456147962745	147.41935200860894	124.83991606281012	145.2427541030198	131.89072843123228	142.02610864751983	153.265706102846	144.84701960969508	145.48681532151184	131.4411284729467	140.569160353396	131.83725446481117	136.63568605993214	136.1129919316854	145.94735145845283	135.26062008888107	126.72399744958791	116.36270410437027
YAL011W	89.79082994691868	102.0920494941708	82.38361129402564	92.79543983386299	65.47328901754777	54.5723348232601	87.10226340968383	91.33110835159216	95.79741036547718	103.29175465040856	77.56792880165571	69.46298866251135	114.2400683635177	89.17189207550923	62.76905711104833	70.2622977896827	60.92235867638222	88.45748840038944	98.83893513595628	82.26317663841444	70.57468767893957	68.05566353831148	66.82484189901017	83.74120751627824
YAL012W	208.6760036905862	228.20870418661414	294.3968031798684	185.17368758112542	225.53636769406384	71.36018917586387	182.75426849870692	208.2875519944192	310.3933208597547	156.96764333868444	225.53508751383413	59.977074748338914	245.08088476707636	219.4214103851367	237.28158505873245	104.31141578507982	221.1021918355413	119.45369732577544	205.48875631107674	171.82778024710302	222.01101736281586	93.21893335279674	185.9438213087492	95.79320781748702
YAL013W	234.74389260477474	204.60970206883707	173.03954780054136	246.31294649834928	148.00196726523254	217.55338020395016	232.35152800356985	186.042663769467	185.42206897531057	239.5108877756528	140.45974101009062	222.02312927252368	198.78023729722307	183.99449370669694	201.28037574854613	175.40820277987106	153.37404338153937	257.97001234220255	206.09348835538393	189.0597590668818	196.4790309938136	197.5158331508102	148.17128352313605	286.4904882134079
YAL014C	197.60270149540236	181.56381178439148	198.05846421391723	222.19956723140547	179.59927635864256	206.77364950188442	187.6793625913193	169.8663679224738	205.04958471037307	197.2104187209642	176.14151027152406	180.58584128504287	200.38429282066562	182.88727020474516	186.2593629714452	161.91603612951977	194.32498440085348	240.632156932454	176.76913926416958	163.30143720921163	199.67096731323474	165.37872220400072	161.3380867321318	241.41975083859796
YAL015C	158.5554610801432	153.11690541648997	146.75299694442742	159.92082027087892	155.61239208627615	141.96399816547287	175.7814888892111	152.90017232973574	141.16173190743783	168.08153451866607	151.76572966836488	146.10108741253183	169.21340282633986	169.76341516690462	150.15234698170877	148.85431631998466	146.26611729096498	148.79088370323404	158.15287242378844	163.4993783452228	155.945825603864	152.31176143726486	138.67075223257612	140.2641231507742
YAL016W	271.5603945816684	257.8825059560567	249.55528579310018	253.75471108606592	265.64876651805116	262.22908390491204	271.8168768095659	280.4057195946335	244.64165827462838	250.07403407207073	257.3431753626951	258.1943327131399	267.62030326198686	284.2500980682762	244.15756728397207	276.86662119311796	272.41726891314113	255.05143269282507	253.80997983798076	273.8699748003789	250.18855857672466	242.24920233956405	244.11055124304934	239.88715606447408
