Gene	SRR1583841	SRR1583842	SRR1583843	SRR1583844	SRR1583845	SRR1583846	SRR1583847	SRR1583848	SRR1583849	SRR1583850	SRR1583851	SRR1583852	SRR1583853	SRR1583854	SRR1583855	SRR1583856	SRR1583857	SRR1583858	SRR1583859
ETS1-1	10.199541120598747	10.280278690157264	10.142519078392704	9.812777547282774	9.603361528118322	9.13693039172888	9.718308625307394	9.718308625307394	9.677795271612801	9.812777547282774	9.76669227681463	9.425309129682937	9.471995685274207	9.603361528118322	9.603361528118322	9.718308625307394	9.603361528118322	9.644976805209001	9.677795271612801
ETS2-1	1.1225664248261178	0.9835706714561551	1.6149316160392062	1.693562169131408	0.8500335435809241	1.183478578760997	1.190783858123029	0.8581792411452318	0.9923348453691572	1.3540970896075257	1.2071496498945014	1.1418896722107872	1.3626496233443024	1.1372680952108318	1.3859175179625285	1.8695680274547852	1.5149233698512463	0.8962460347578071	1.1615563671453117
HRA1	0.18926521484097947	0.25662980673829683	0.17698262878082258	0.2050614297996415	0.30757530693119306	0.16767766916029994	0.23276862914159824	0.21206771556255422	0.16979250352048755	0.19106204657243314	0.21858354089147194	0.17356206079677466	0.6042245827787812	0.17935699089130527	0.6534673012745752	0.2347589265485031	0.2397770126575933	0.18796837595705185	0.22129708048661884
ICR1	0.733989397563895	0.8315326807906175	0.6034863354908593	0.9135042816320245	0.894328237976615	0.805518710378022	0.8697249442257973	0.9160118920602489	0.7126958523477619	0.7623602780028289	1.0497366039155587	0.7902096213260082	1.0746776719020992	0.7017579105368408	1.1451846328294015	0.9255306287178859	0.9550981304500247	0.8479015616242142	0.9497883643634266
IRT1	1.1851881006634215	1.159339842103896	1.107701308789565	1.0237523164420264	0.9895912244444786	1.0653490511795412	0.9302827804398033	1.0906895790154527	0.8460665654452435	0.9829765554581794	0.9995669385657704	0.9262153984677721	1.4753965910790492	1.1837462825716816	1.1451846328294015	1.1657152726735376	1.4078940252337928	1.5890476039817054	1.2336007598066814
ITS1-1	3.984428336972952	3.9077579934248936	4.225785628650702	3.589016615602098	4.028292218176172	3.4119857314041155	3.781567825713533	3.4239551556087937	2.547630210127018	3.351737516858998	3.814975259068276	3.300276755384388	4.155362045478525	4.216165684498227	4.207637798104974	4.6887496394674875	5.103148485932367	3.9077579934248936	6.00107885420385
ITS2-1	1.5612360387035995	1.7443624258859114	2.2706191677167316	2.380907115403676	1.897220472840619	1.6112183172765333	1.4922179046413626	1.7961376191237937	1.1023321932019967	1.3334799849687697	1.8626193540786606	1.444529389629412	1.7235497342856094	1.7322762965793785	1.5284536267154847	1.5698866762562516	2.3686047915647688	1.3911395946063014	2.194556624628719
LSR1	7.754775952878543	7.695114771057331	8.656766651976838	8.71101546898817	8.911328416205382	8.753257547097324	9.125946274349847	9.425309129682937	8.850313243209811	8.99530320116057	9.396358655913309	9.13693039172888	9.117671523485999	9.125946274349847	9.117671523485999	9.677795271612801	9.718308625307394	9.319358897355142	9.471995685274207
NME1	0.7509124077806703	0.6717441505733284	1.5893080463976754	1.1384453039281144	1.0206022002370172	0.7135155010992343	0.9920055887767258	0.6032366703699997	0.6667344168663013	0.8920731303892309	0.810317334249165	0.6847331257292735	0.9641646613228146	0.6725333783007511	1.3859175179625285	1.2814593142104447	1.1054040463890171	0.517308718452646	0.8031571360936979
PWR1	0.18926521484097947	0.25662980673829683	0.17698262878082258	0.2050614297996415	0.30757530693119306	0.16767766916029994	0.23276862914159824	0.21206771556255422	0.16979250352048755	0.19106204657243314	0.21858354089147194	0.17356206079677466	0.6042245827787812	0.17935699089130527	0.6534673012745752	0.2347589265485031	0.2397770126575933	0.18796837595705185	0.22129708048661884
Q0010	0.7522334079491032	0.7939611966703408	0.9263967115040264	0.871479188618478	0.8621328557902594	0.5469182934385876	0.7552022275937245	0.6046520906261859	0.7494885937549158	0.7768127240720402	0.7671484682832755	0.4866641614634829	0.6042245827787812	0.7149695195032305	0.6534673012745752	1.0714517132720627	0.7539823913425328	0.6906777922172267	0.8319350059758738
Q0017	0.18926521484097947	0.8015314364428036	0.17698262878082258	0.6262243422583955	0.594413626154197	0.48314195760900575	0.6992547547300882	0.21206771556255422	0.5547901194855038	0.19106204657243314	0.21858354089147194	0.663473268464104	0.6042245827787812	0.5178258176887418	0.6534673012745752	0.5982787279438966	0.5100252448678096	0.6288721268441373	0.6611245480453573
Q0020	0.8916444787426311	1.0554221517263487	1.1642160047536565	1.315046434477445	1.6024555224821861	1.3274845088004337	1.4561477021519287	1.2769736815577146	0.8300396034372737	1.3379209429642422	1.664264674670462	1.244564951671356	1.4753965910790492	1.7439303279110576	1.3859175179625285	2.1223250172573596	2.324486147471204	1.548731520113193	2.619872287351999
Q0032	0.18926521484097947	0.25662980673829683	0.17698262878082258	0.2050614297996415	0.30757530693119306	0.16767766916029994	0.5841357172339412	0.21206771556255422	0.43478578545936736	0.5430430487644909	0.21858354089147194	0.549324393494833	0.6042245827787812	0.17935699089130527	0.6534673012745752	0.5372332819196667	0.2397770126575933	0.18796837595705185	0.22129708048661884
Q0045	2.8180219265622943	2.9009289654431822	2.6349816439683265	2.417312664283963	2.734203401659468	2.6505604269282848	3.1137288486803	3.2688150162152056	2.8928216569365635	3.1558740557920615	3.6406285928384454	3.9617201190620275	3.953179398659093	4.275661937741961	4.366283360458291	3.6011520711587917	3.761389737018569	5.299463230936978	4.529318982743569
Q0050	1.8411248857219307	1.9856693763127198	1.915322289954259	2.135198900504241	3.0921484356185216	1.9991368991033522	2.97308028633989	2.6807161361810596	1.5835072582584249	2.0851840996804833	2.927892428439871	2.6661784070842094	2.935255353220712	3.306845669101401	3.7230152890670514	3.508009486742802	3.960281218895288	2.8591924437535656	4.392588958212622
Q0055	0.9076705540646681	0.9835706714561551	1.0036546443374113	0.8599710047169438	1.2163938062409994	0.9564848944337252	1.2346278546245033	1.1774597789701353	0.4503062800601435	1.0017980569459812	1.2175473482240338	1.2589623189732584	1.2640496601868476	1.5678256608869892	1.816538240328771	1.1922751134735048	1.2201474694150252	1.2221955327338558	1.8745867479141753
Q0060	0.7539823913425328	0.7254713569612254	0.6771896005535019	0.7509124077806703	0.8199479288392396	0.6002351120894922	0.9015093501610044	0.8747525941770091	0.7126958523477619	0.7447037781382359	0.9845733112028527	0.8031571360936979	1.2640496601868476	0.9611980820595923	0.6534673012745752	0.855606221445281	0.8035255052839377	0.7561655349262256	0.9021750899575208
Q0065	0.9371291489686768	0.8865882059721394	0.9359297818290266	0.5937343038019891	0.8199479288392396	0.8737762219989929	0.9302827804398033	0.9693427296691977	0.7400574615778436	1.0412287005935252	0.8951537752034987	1.0369500858553249	0.6042245827787812	1.0944028803141372	1.1451846328294015	1.3427710058896039	1.3921822852039643	1.0090302689969575	1.4585604137045687
Q0070	1.2092121480210518	1.21888598085886	1.682168858179187	1.7443624258859114	1.7808879707002485	1.6049824934633983	2.395326007040669	1.5739627187673613	1.3461140305826023	2.2278135131258057	1.8693053629216727	1.3186134035489845	1.1792514703361292	1.9823963902062802	1.7225470298536243	4.468786538519117	3.441576199446796	2.190921452500358	2.5835177982643693
Q0075	1.041774813965397	1.020743573489691	0.7937827848979546	1.0026816487025139	0.894328237976615	0.8826221546712765	1.324398405726623	1.0906895790154527	0.8460665654452435	0.8989932614822621	1.4070198652899182	1.2015961933973913	1.2640496601868476	1.4326650351474521	1.6227345851776904	1.3929997223102353	1.6065382646941395	1.3615962221606353	1.4691407026795005
Q0080	0.18926521484097947	0.25662980673829683	0.17698262878082258	0.2050614297996415	0.30757530693119306	0.16767766916029994	0.23276862914159824	0.21206771556255422	0.16979250352048755	0.19106204657243314	0.21858354089147194	0.17356206079677466	0.6042245827787812	0.17935699089130527	0.6534673012745752	0.2347589265485031	0.2397770126575933	0.18796837595705185	0.5313067887028959
Q0085	0.18926521484097947	0.25662980673829683	0.17698262878082258	0.2050614297996415	0.9388583130607424	0.16767766916029994	0.5341550385466125	0.5883866073761919	0.4503062800601435	0.19106204657243314	0.21858354089147194	0.7410682484339367	0.6042245827787812	0.5356875528972419	0.6534673012745752	0.998222149648854	0.6421947082582729	0.5564424377709531	0.22129708048661884
Q0092	0.18926521484097947	0.25662980673829683	0.17698262878082258	0.2050614297996415	0.30757530693119306	0.16767766916029994	0.23276862914159824	0.21206771556255422	0.16979250352048755	0.19106204657243314	0.21858354089147194	0.17356206079677466	0.6042245827787812	0.17935699089130527	0.6534673012745752	0.2347589265485031	0.2397770126575933	0.18796837595705185	0.22129708048661884
Q0105	0.18926521484097947	0.6000249538589908	0.17698262878082258	0.2050614297996415	0.30757530693119306	0.5283350816256487	0.718210048496937	0.49271005942725327	0.5274208951558077	0.7460564656973228	0.5293844683206794	0.6564524112985067	0.6042245827787812	0.6751682822735188	0.6534673012745752	0.2347589265485031	0.6927767822574752	0.6423878280250495	0.7522334079491032
Q0110	0.770577585256323	0.7034982027664993	0.4271331661156813	0.7146356463387671	0.6637089958921949	0.7048416679147493	0.9302827804398033	0.8402746124530636	0.6048612863194534	0.7813446558824603	0.8791950372560007	0.7410682484339367	1.0746776719020992	0.7139410849931298	1.1451846328294015	0.6816973740221604	0.9907485452407792	0.8625748537142035	0.6522046386630407
