Gene	ERR1607958	ERR1607959	ERR1607960	ERR1607961	ERR1607962	ERR1607963	ERR1607964	ERR1607965	ERR1607966	ERR1607967	ERR1607968	ERR1607969	ERR1607970	ERR1607971	ERR1607972	ERR1607973
ETS1-1	4.067226140994536	3.8278867480540346	4.256953464564005	4.027398722258828	2.608465398508481	2.6230060617267315	2.636859596299345	2.7665556795752297	3.2701065747428215	3.1318081806803155	2.931827635859211	3.0101646087218783	1.1465424662557593	1.1636938475584753	1.1115395336575615	1.1662193307549023
ETS2-1	0.5532040952951327	0.6046520906261859	0.5341550385466125	0.6046520906261859	0.4596251200645816	0.41481650097483846	0.4454682707819951	0.5196139159186952	0.6755341155140033	0.6183655625168172	0.6639447233202856	0.6408197130769728	0.5138819898629525	0.43795031234458903	0.4318143100194289	0.4701069672988748
HRA1	0.2401792205849245	0.0748102753847645	0.270198486933949	0.3128007333445408	0.3996255273107284	0.419202242320631	0.5271488259666935	0.36121594260780715	0.563321978413024	0.6006944787757413	0.3776865652665918	0.5853074188332538	0.4131394444472054	0.4386636308947014	0.07143798363665636	0.4053884074136771
ICR1	0.904377624425699	0.9105388252073572	0.87212406144714	0.9086249945996636	0.9839977611555729	0.9878761455248936	0.9867699966187559	1.0183487970811413	0.9028068243237937	0.9136207321829626	0.8899678130658213	0.9001965288365456	0.9031577171989357	0.9081025717262254	0.8865882059721394	0.9241271285312774
IRT1	0.7780567991991438	0.757094056010594	0.776303957520152	0.791327576179793	0.8053645952095057	0.7711101213283064	0.8074672866759629	0.8056836027057732	0.716988059776866	0.6919903791183233	0.7225417736223748	0.7460564656973228	0.722895382901105	0.7352621973660436	0.6855671958831425	0.7159478669780688
ITS1-1	0.9615348663392158	0.9404365167065556	0.9991083593317969	0.982826323329024	0.9127122965571399	0.8896081902722895	1.001690533988641	1.0010220271321393	0.8793194081891753	0.8704142608547896	0.8765036458839977	0.8887849000597298	0.8063237854509726	0.8035255052839377	0.8004788721094613	0.7845026749382638
ITS2-1	0.8136879706838587	0.811066664342138	0.8283603683038511	0.8160109522277822	0.8407234419671257	0.8113380510938963	0.8123594271161971	0.8156727610999357	0.9078173045836031	0.9070979497234906	0.8737762219989929	0.8918577550080478	0.8404191427597943	0.8475495401311928	0.8621328557902594	0.8086606557779243
LSR1	0.8419900420316895	0.7753720462014426	0.838263260781645	0.8401416707405627	0.8501871885351712	0.8565160279958075	0.8388193113498263	0.8747525941770091	0.755846557108774	0.7198301667489863	0.7759456427273681	0.7152907950499329	0.7526077496393166	0.7494885937549158	0.7225417736223748	0.7412483470140416
NME1	0.746461699138165	0.7518197063446945	0.732285481544336	0.710668261738584	0.7498178338046669	0.7432099448077477	0.720512898564522	0.7096324408067757	0.7146356463387671	0.7473548703201256	0.710317831058772	0.6988512991120661	0.7382097427919292	0.7122835846192512	0.6942986406283591	0.689533230340711
PWR1	0.4274953066242785	0.36876775128219974	0.4207232445974798	0.3010589943341316	0.5458873724281819	0.6174466731769636	0.49777900713456935	0.46539492567081775	0.27359411131952976	0.3538663323309392	0.07440137341916227	0.08061421875457914	0.36876775128219974	0.3936960310382049	0.07143798363665636	0.2116531725529231
Q0010	0.06933507313945372	0.0748102753847645	0.24501143898526317	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.0685121217353406	0.07184775402032201	0.0869174456169025	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0017	0.06933507313945372	0.0748102753847645	0.06933507313945372	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.0685121217353406	0.07184775402032201	0.0869174456169025	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0020	0.7370718137938708	0.710317831058772	0.7318749138518573	0.8011863337901299	0.6911496195327205	0.7398670240422394	0.7118721898738949	0.7518197063446945	0.6923885148221514	0.7110681275338336	0.7916112239034648	0.7382097427919292	0.6507430280222217	0.670010202344146	0.775660930172639	0.6891570261348727
Q0032	0.2081978925092704	0.0748102753847645	0.06933507313945372	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.0685121217353406	0.07184775402032201	0.3002250076061868	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0045	0.6798872843417263	0.6777665098433647	0.6808264437513107	0.6731399533981315	0.6493002134860963	0.7004180034537568	0.7004180034537568	0.6791019967572083	0.461268615840418	0.6282870540334032	0.631883458665481	0.5917738348274523	0.3242061494563272	0.37164851790994813	0.5464008427630727	0.5061797386773601
Q0050	0.718210048496937	0.7165983399507594	0.7048416679147493	0.7498178338046669	0.65791213700214	0.6959187167058312	0.7122835846192512	0.6942986406283591	0.581490737778039	0.5562005816423163	0.6694817273596404	0.5966058325216826	0.5862402987461439	0.55668429389959	0.5407250289877419	0.5610862367616671
Q0055	0.7152907950499329	0.7048416679147493	0.7110681275338336	0.707369690742344	0.6830685864230827	0.7510860505574563	0.6947610091722789	0.7149695195032305	0.5998147956284894	0.6262243422583955	0.6727359236224265	0.663473268464104	0.6006944787757413	0.5736145220283697	0.5853074188332538	0.5927246552392569
Q0060	0.3874825560150803	0.4560169715159633	0.2868786355773035	0.3250119806994465	0.08020175629819058	0.4425014606982791	0.4386636308947014	0.07184775402032201	0.0869174456169025	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.2859437068125136	0.39597379959843887	0.06933507313945372
Q0065	0.45318654776436373	0.4585503481113194	0.5183650748209939	0.5790284656813238	0.45251140107990856	0.5766481620575882	0.5138819898629525	0.5261006204665526	0.3359352747643932	0.5372332819196667	0.3250119806994465	0.33504114115973677	0.0676646443126364	0.2918540556418754	0.32656551084756413	0.31370283054179265
Q0070	0.4560169715159633	0.382218521756245	0.4512557923835181	0.07604167921554317	0.34390534238909165	0.0676646443126364	0.42243304982170854	0.3110533168224849	0.557694492414548	0.41991153096898326	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0075	0.2825998920652203	0.0748102753847645	0.06933507313945372	0.07604167921554317	0.08020175629819058	0.1995307812223141	0.0685121217353406	0.07184775402032201	0.25400500543870513	0.07728901071736932	0.07440137341916227	0.3289218734151451	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0080	0.06933507313945372	0.0748102753847645	0.06933507313945372	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.0685121217353406	0.07184775402032201	0.0869174456169025	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0085	0.4267726361660512	0.4884890393080643	0.4635904556217429	0.5361896318494417	0.43336761031276416	0.5155696121736053	0.22129708048661884	0.5501354106719671	0.26366046966201967	0.5094303634869016	0.07440137341916227	0.36381034393528616	0.20547836303736483	0.4139128686575617	0.3844484752166766	0.06933507313945372
Q0092	0.06933507313945372	0.0748102753847645	0.06933507313945372	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.0685121217353406	0.07184775402032201	0.0869174456169025	0.2935499457549783	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0105	0.5183650748209939	0.574088308375805	0.6060420982838138	0.5917738348274523	0.5201636946856775	0.5386222562223394	0.5155696121736053	0.47855923799327377	0.5761709952019751	0.3594340560827053	0.5266227988947083	0.47667280714279003	0.49388078166180305	0.5218430702378196	0.386768183432551	0.3776865652665918
Q0110	0.3174967843329979	0.45790906003266685	0.06933507313945372	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.0685121217353406	0.30757530693119306	0.3342275463297448	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0115	0.06933507313945372	0.4566893599701294	0.06933507313945372	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.0685121217353406	0.07184775402032201	0.0869174456169025	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.3167491923167039	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0120	0.3159814403986993	0.0748102753847645	0.06933507313945372	0.3342275463297448	0.08020175629819058	0.3010589943341316	0.0685121217353406	0.07184775402032201	0.0869174456169025	0.3578651581409735	0.07440137341916227	0.3359352747643932	0.0676646443126364	0.2884592020334769	0.07143798363665636	0.06933507313945372
Q0130	0.46191811066646876	0.5201636946856775	0.6226817314806106	0.6055903552183867	0.5047014186457337	0.5514640123641901	0.23429354208999648	0.5605994589393468	0.4454682707819951	0.2610165574957016	0.45393492735857865	0.4891778896442357	0.430393118357813	0.06380000882471296	0.42162083869342565	0.43106630907011145
Q0140	0.46539492567081775	0.0748102753847645	0.45318654776436373	0.39824484643036984	0.3002250076061868	0.5424414399809163	0.39049370778711595	0.32242536387829723	0.5003363417104669	0.4686967466751732	0.2969938070507238	0.4075865518146345	0.39893599805116403	0.2868786355773035	0.30946238935626597	0.3814879418882996
Q0142	0.06933507313945372	0.0748102753847645	0.25662980673829683	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.0685121217353406	0.07184775402032201	0.0869174456169025	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
Q0143	0.06933507313945372	0.2514702973792402	0.20998063060182806	0.07604167921554317	0.38294661843166744	0.0676646443126364	0.0685121217353406	0.2116531725529231	0.29865439759317475	0.07728901071736932	0.07440137341916227	0.23223428275190774	0.29013736778844246	0.06380000882471296	0.22958738306753143	0.2935499457549783
Q0144	0.06933507313945372	0.0748102753847645	0.06933507313945372	0.07604167921554317	0.08020175629819058	0.0676646443126364	0.2884592020334769	0.07184775402032201	0.24801857093942342	0.07728901071736932	0.07440137341916227	0.08061421875457914	0.0676646443126364	0.06380000882471296	0.07143798363665636	0.06933507313945372
