Gene	ERR2653627	ERR2653628	ERR2653629	ERR2653630	ERR2653631	ERR2653632	ERR2653633	ERR2653634
YER006W	4.254708168161136	3.8278867480540346	1.9964780838996983	2.4849192085540297	3.8683851451790807	3.9971490894082358	1.9275716885108798	2.597568272970333
YER007C-A	2.0630666974781064	2.1133040755762065	2.0729245141686885	2.3169218676152017	2.0772376879191614	2.4298361501877337	2.0842103592964696	2.323175124576384
YER007W	0.9532722836168845	0.9539984879750607	0.8624372435022132	0.8656713306479007	0.9452014833889766	0.9355611998651803	0.9310395638132021	0.9021750899575208
YER008C	2.6684417972888683	2.4975925429269137	2.3375586975119385	2.3396416521446395	2.6713800948005644	2.437978540181021	2.369475318493415	2.29357865453337
YER009W	4.622827840259459	4.268580058995462	4.017059422787958	3.9831910157703607	4.603291316450904	4.015255946251896	4.155362045478525	3.957461746675649
YER010C	1.6880666646595373	1.5789424786047124	1.5030890614784405	1.6416775829896846	1.6348662933716018	1.6785926594530638	1.5203257361574327	1.4556007521145642
YER011W	0.5582548225107149	0.3784333000638255	0.6596452808897406	0.6770069028570742	0.6266626674521516	0.5867755385109489	0.6302573071871842	0.6385684753242986
YER012W	2.619872287351999	2.9009289654431822	3.475665753130394	3.2560085602928286	2.818824672061893	3.1468027583825147	3.4669601219102315	3.566878766244354
YER013W	1.9136837376474125	1.664264674670462	1.9038756055256754	1.6247537810894277	1.8782611829046985	1.65558478503648	1.8389746927900372	1.6000408785773044
YER014C-A	0.1549442179228085	0.44051266438538467	0.16058354857499502	0.17356206079677466	0.1558277056455074	0.1641123221332098	0.15793632431344284	0.18057771223274396
YER014W	1.3024132409882963	1.3760710305810273	1.5629764920132145	1.5850835939936037	1.367055198302526	1.4883610245068999	1.5975116473931004	1.5868195176293027
YER015W	1.163148117772915	1.4197259931693198	0.9244033039065715	1.0247625142408519	1.0116284524620207	1.234461571288738	0.9673427926724056	1.066870149221347
