Gene	SRR3655584	SRR3655585	SRR3655586	SRR3655587	SRR3655588	SRR3655589	SRR3655590	SRR3655591	SRR3655592	SRR3655593	SRR3655594	SRR3655595	SRR3655596	SRR3655597	SRR3655598	SRR3655599	SRR3655600	SRR3655601	SRR3655602	SRR3655603
ETS1-1	8.286857413476742	7.67316597340002	8.402473079183633	7.6777054292823514	8.442747344000118	7.880422303718248	7.520099548812197	8.290547952733746	8.71953309481113	5.876905206211132	7.873671516141576	8.412410843390983	7.995929521708511	8.290547952733746	8.286857413476742	7.216708079113241	7.779144866243497	7.873671516141576	8.196583799265213	7.256055791308917
ETS2-1	3.4542408798465267	2.2889087842388234	2.4584249128714344	3.761389737018569	3.508009486742802	3.5574641952228894	3.2421095029454725	3.3471558156193506	2.6249599608305347	2.1469537592122068	4.665426098614287	3.837638059745028	3.563030937970518	5.7350097112637926	4.568864649693825	5.058873045778254	3.867035496302715	4.5205703005216975	4.40909309593333	4.5383522446920495
HRA1	0.32242536387829723	0.5971051858668761	0.44446616714740195	0.46191811066646876	0.36241043974018516	0.332001932152033	0.28966253016949245	0.38294661843166744	0.4943255732318295	0.444045522890658	0.3493524440840029	0.43602159242321964	0.314860972930152	0.6257027539932151	0.34653277293700024	0.37534598537785985	0.36536256325255323	0.8507753593602431	0.33308388384289533	0.3844484752166766
ICR1	0.8407234419671257	0.5971051858668761	0.8202338887991591	0.9250325975937261	1.0438751793849514	0.7916112239034648	1.0747837928505608	0.38294661843166744	1.0087266154190069	1.1241188187581006	0.8454338294722632	0.7880878893530922	0.9355611998651803	0.9935484855958642	1.0552828069732747	0.37534598537785985	0.7889168543702989	0.9460013252448686	0.8656713306479007	0.3844484752166766
IRT1	1.3964530044171546	1.4454021888987838	1.118583382680228	1.5265263479016458	1.438460091849619	1.1281596071155742	1.3189390371196414	1.5502167555492732	1.5196867446268243	1.1173683569137853	1.426428814665335	1.0081913504362205	1.4119146907122726	1.1624735444027914	1.2039584960010583	1.228247696840867	1.3042978284466646	1.2577251349533207	1.0431403711123535	1.2224016442784857
ITS1-1	7.548142523983204	7.668998893646417	8.588382721241128	8.914949918731832	8.504373212476374	8.442747344000118	7.759289161437836	7.779144866243497	8.6642995021941	7.759289161437836	8.265560931278268	8.551859251389569	8.265560931278268	8.753257547097324	7.85550014756928	8.210394472430057	8.020791325790096	8.551859251389569	8.046887285326775	8.39218632106191
ITS2-1	2.3396416521446395	1.7425565578663098	2.120896021020933	2.8241308282109	2.352475292325197	2.3290883439127854	1.8664939767765072	1.9874319037383796	1.8377445241960548	1.9740960416690396	2.135198900504241	2.6573692397069117	3.563030937970518	4.963673930256058	4.009422639544145	3.957461746675649	2.4447369877058645	2.631596009634377	2.3111140052927435	2.2693726163459518
LSR1	7.914892581102297	7.556046341241599	8.298366898623406	8.251432549138935	7.481240557951079	7.707046698450163	7.914892581102297	7.556046341241599	7.838751608806547	6.97354987588769	7.600756038901974	8.160510367419567	7.67316597340002	7.707046698450163	7.699781142752989	8.290547952733746	7.873671516141576	8.39218632106191	7.873671516141576	8.196583799265213
NME1	1.3710100815391915	1.6475177024890688	2.1816882926732486	1.8146625477499978	2.1628272136075752	2.18505663789754	1.5484473938102592	1.8472358254154846	2.314148629464103	1.9823963902062802	1.6824089611535418	1.5987927212142319	2.2885821928719285	1.819419620075291	1.9774503377124475	1.5356795378097785	1.405284293356987	1.079348256686469	1.284910469906751	1.6067945421504737
PWR1	0.32242536387829723	1.013873904293828	0.44446616714740195	0.46191811066646876	0.36241043974018516	0.332001932152033	0.28966253016949245	0.38294661843166744	0.4943255732318295	0.444045522890658	0.3493524440840029	0.43602159242321964	0.314860972930152	0.6257027539932151	0.34653277293700024	0.37534598537785985	0.36536256325255323	0.3860537584320394	0.33308388384289533	0.3844484752166766
