Gene	SRR1693836	SRR1693837	SRR1693838	SRR1693839
ETS1-1	2.073523435376795	1.9742856784815819	1.8578549830639373	1.7501596261208425
ETS2-1	0.49543834302570966	0.40252220887303714	0.295247978592439	0.4375822311695254
HRA1	0.479205044214121	0.4596251200645816	0.4355832268470949	0.48314195760900575
ICR1	0.7048416679147493	0.7370718137938708	0.6911496195327205	0.7142992389998066
IRT1	0.8090459433061302	0.8644160334495751	0.8169977272231296	0.8074672866759629
ITS1-1	0.6213352922730313	0.6110788483184973	0.6050820790119467	0.6381422854777505
ITS2-1	0.6875685117155174	0.604008458226631	0.6447420160585566	0.6959187167058312
LSR1	0.5957231184850167	0.5848103061812882	0.5731576639557814	0.6430752331078344
NME1	0.48234657897494654	0.49543834302570966	0.49777900713456935	0.5407250289877419
PWR1	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0010	-0.003113251089386236	0.00430605044973339	0.05032186991494962	0.0008738636561302895
Q0017	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0020	0.4425014606982791	0.40923602538379145	0.43795031234458903	0.512805102191215
Q0032	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0045	0.22958738306753143	0.1986720436706721	0.19016301880663417	0.10411560865412371
Q0050	0.10996205541601414	0.0957797212562923	0.09407668303879667	0.06638952523995305
Q0055	0.07562801070410835	0.00430605044973339	0.11079553520773336	0.06723706770036474
Q0060	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0065	0.0974590059288438	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0070	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0075	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0080	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0085	-0.003113251089386236	0.1814311583358369	0.05348544604860486	0.10494644478496984
Q0092	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0105	0.15452807350185654	0.13430828620648913	0.2116531725529231	0.15109064813540124
Q0110	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0115	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0120	-0.003113251089386236	0.00430605044973339	0.05611727977289953	0.10080769648309176
Q0130	0.11853364587382181	0.08272321185972366	0.12362716112535121	0.1636352982436034
Q0140	0.30757530693119306	0.39445885160376093	0.06555120279327951	0.3461487862982448
Q0142	0.5077174259140294	0.48882580624648014	0.14094133098993844	0.5234740095588416
Q0143	0.2217781747256786	0.22788627666264868	0.12148386137061415	0.23897113019286192
Q0144	0.07309453835259318	0.00430605044973339	0.04900382207564416	0.0008738636561302895
Q0158	0.47318685007670763	0.43795031234458903	0.6022355860112623	0.5372332819196667
Q0160	-0.003113251089386236	0.12106887432450303	-0.01085568236343424	0.0008738636561302895
Q0182	0.07399247145356003	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
Q0250	0.20636348357965117	0.1995307812223141	0.17356206079677466	0.15198644603121902
Q0255	-0.003113251089386236	0.09071026222670861	-0.01085568236343424	0.0008738636561302895
Q0275	-0.003113251089386236	0.16767766916029994	0.11853364587382181	0.10666002717647864
Q0285	0.2842772001947699	0.14845318368188898	0.16937883593771885	0.3594340560827053
Q0297	0.10080769648309176	0.07225061366584558	-0.01085568236343424	0.0008738636561302895
RDN18-1	4.4543684861964135	5.464189704562201	6.18335616835546	5.394131818941976
RDN25-1	5.962048339243134	6.822758654857034	7.637268905552336	6.174424764100635
RDN37-1	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
RDN5-1	1.083803735493245	1.073337707568333	1.2856645706783272	1.1079435084385834
RDN5-2	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
RDN58-1	1.158100070554216	1.2511491066549485	2.986456787005598	2.3071692128037617
RME2	1.247173105495122	1.212414223824298	1.1671076515964705	1.3300999158145737
RME3	0.9201967026473358	0.9176777379477414	0.8991250833575694	0.9663716556048378
RNA170	0.3174967843329979	0.2994380582692576	0.3674912453329242	0.3435001985311381
RPR1	0.32656551084756413	0.18323802797231542	0.36381034393528616	0.37314976148161616
RUF20	0.791327576179793	0.7714851308149253	0.7245278415918915	0.7961641269669655
RUF21	1.078686699452516	1.1173683569137853	0.6902832998462789	1.1449132173585894
RUF22	-0.003113251089386236	0.00430605044973339	-0.01085568236343424	0.0008738636561302895
RUF23	0.14525324012501278	0.24198232101774375	0.1840877718907294	0.17698262878082258
RUF5-1	3.917849106492046	3.9077579934248936	2.720867145915995	3.325504976946931
SCR1	0.4686967466751732	0.487248138603386	0.6881088017278689	0.6236009287569538
SRG1	1.1209427665228457	1.1180472554890541	0.9755775256592157	1.1123526696007098
YAL001C	1.6023022850847597	1.601995706614554	1.5356795378097785	1.6184471035842758
YAL002W	1.3730928328952365	1.4889170515385628	1.241374721956786	1.3405163199715728
YAL003W	7.862924413071527	7.72279632842891	7.862924413071527	7.85550014756928
YAL004W	-0.003113251089386236	1.1232417412160656	-0.01085568236343424	0.0008738636561302895
YAL005C	5.511250250564805	5.588652968381956	5.732118441591849	5.211973955853135
YAL007C	3.0542635706171155	2.984623930565696	2.7627136372922845	3.0530026620124864
YAL008W	1.1960528943257536	1.1906532162212238	1.111007564986213	1.1686382800510902
YAL009W	1.2703692492545162	1.3334799849687697	1.2952204478835547	1.365390131388766
YAL010C	1.15294018235242	1.1841375375342815	1.1056865725101892	1.1027414440811247
YAL011W	1.146324935693401	1.1006948534850198	1.1975476405536083	1.111007564986213
YAL012W	4.924543313757944	5.542242756506751	5.719306698027738	4.87605932729867
YAL013W	1.4949791725122104	1.5887847389256267	1.7537875725605443	1.3970139194596853
YAL014C	1.3148486997734488	1.4741673230553414	1.5286315187215744	1.3042978284466646
YAL015C	1.2382378230394284	1.2886660291230347	1.355656294821308	1.260884657025905
