Gene	SRR2467141	SRR2467142	SRR2467143	SRR2467144	SRR2467145	SRR2467146	SRR2467147	SRR2467148	SRR2467149	SRR2467150	SRR2467151
ETS1-1	0.9639218895266845	1.1006948534850198	1.1241188187581006	1.0561980101348227	1.0268598957628912	1.0390550047341551	0.9874141180459743	0.9636167520889617	0.9874141180459743	1.0572068332097684	1.1351582270425664
ETS2-1	0.2810066299516078	0.5424414399809163	0.312289926242998	0.4626138975914746	0.0936400747039121	0.30064418566909007	0.47631938501024995	0.3010589943341316	0.2910593819793166	0.4064724281734835	0.34076539758214686
HRA1	0.7736688957490465	0.7933255641841063	0.757094056010594	0.6602654185201088	0.7819904133911513	0.7610115548992736	0.6798872843417263	0.7175071804263355	0.7382097427919292	0.7118721898738949	0.7405835483578995
ICR1	1.1199336474161388	1.0659727792217333	1.0373185389997397	1.0801891653884743	1.2105999253516488	1.1199336474161388	1.0356085589149702	1.1225664248261178	1.132730180124974	1.1443040696608044	1.2221955327338558
IRT1	0.9581545846567737	0.9878761455248936	0.9858699957457125	0.9539984879750607	0.9305462478281223	0.9256615853977057	0.8814026611787837	1.0110887800510513	0.9535069825310538	1.09668074432881	0.8436404599047569
ITS1-1	0.7969217545671694	0.822218783684916	0.8615809978748104	0.8647073298399709	0.8204998337036701	0.8081941304396619	0.8136879706838587	0.8169977272231296	0.8145187563081563	0.8234718657291354	0.848790046358479
ITS2-1	0.804032479127476	0.8330679527165431	0.874127632036666	0.894328237976615	0.8215637443899415	0.8392490947821156	0.829194490249531	0.8254036925217366	0.7976711490847345	0.8301896578717162	0.8850775946086079
LSR1	0.7807478987442038	0.8120187433496416	0.8656713306479007	0.786566789112934	0.7856138437764383	0.7839097186786672	0.838263260781645	0.8218199327527389	0.7759456427273681	0.7947300139669613	0.8035255052839377
NME1	0.6425897956297286	0.4934678840608797	0.6851294513494717	0.580007707518512	0.6238376565379441	0.6229094159955093	0.6816973740221604	0.5703973514723355	0.5784979869452672	0.6798872843417263	0.6259754326805571
PWR1	0.0974590059288438	0.10331333412668639	0.10833521771768795	0.30853219322205705	0.43336761031276416	0.1012371001140656	0.11771471889837985	0.094500771256062	0.0932034663690275	0.35466387542729527	0.3232919052029098
Q0010	0.0974590059288438	0.10331333412668639	0.10833521771768795	0.10791060996537619	0.0936400747039121	0.1012371001140656	0.11771471889837985	0.094500771256062	0.0932034663690275	0.0932034663690275	0.10246030070760928
Q0017	0.0974590059288438	0.10331333412668639	0.10833521771768795	0.10791060996537619	0.0936400747039121	0.1012371001140656	0.11771471889837985	0.094500771256062	0.0932034663690275	0.0932034663690275	0.10246030070760928
Q0020	0.6968115015283723	0.7249728265286343	0.8215637443899415	0.718210048496937	0.7352621973660436	0.7394882846151295	0.7897394191461826	0.7374435022249619	0.6973818052401605	0.6996539401835988	0.6694817273596404
Q0032	0.0974590059288438	0.10331333412668639	0.10833521771768795	0.10791060996537619	0.0936400747039121	0.1012371001140656	0.11771471889837985	0.094500771256062	0.0932034663690275	0.0932034663690275	0.10246030070760928
Q0045	0.5100252448678096	0.4075865518146345	0.6727359236224265	0.5322542047504792	0.5937343038019891	0.5594353649956719	0.11771471889837985	0.5848103061812882	0.37081052947897053	0.3776865652665918	0.519012995359969
Q0050	0.5917738348274523	0.650158489181276	0.7501573286755157	0.6418064258177824	0.5413697457994179	0.6348483614022801	0.7058784821240871	0.6385684753242986	0.6557617739994056	0.6146198416968459	0.5987823369696342
