	log2fc	p-val 
Pyruvate	-0.062541466	0.692554609
CoenzymeA	-1.245306813	0.036937349
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Aspartate	0.394440595	0.142021774
Adenosine	0.461904104	0.19337773
Glucose	0.653243768	0.326518995
Arginine	-0.090765464	0.326164235
Adenine	0.382145618	0.422732474
Sucrose	0.126830022	0.727564205
alpha-ketoglutarate	0.442943496	0.309423425
Alanine	0.452822162	0.033563829
Uracil	0.592739851	0.302592278
Fructose-6-Phosphate	-0.153746532	0.554052301
Lactic acid	0.126830022	0.727564205
Inosine	1.321928095	0.052712799
Asparagine 	-0.1740294	0.146911661
ATP	-1.181997834	0.104145111
Citric acid	1.394278939	0.012665628
Hypoxanthine	-0.121990524	0.276087319
Leucine	0.339486466	0.56515044
Glutathione disulfide	-0.429392792	0.210173577
Fructose	0.11321061	0.702549414
