	log2fc	p-val 
Leucine	0.339486466	0.56515044
Aspartate	0.394440595	0.142021774
Adenine	0.382145618	0.422732474
Glutamine	-0.070676746	0.531679758
Succinate	1.555566089	0.039402047
Adenosine	0.461904104	0.19337773
Malate	1.301169535	0.063217353
Fumarate	1.101582776	0.002665504
ATP	-1.181997834	0.104145111
CoenzymeA	-1.245306813	0.036937349
Sucrose	0.126830022	0.727564205
Fructose-6-Phosphate	-0.153746532	0.554052301
Hypoxanthine	-0.121990524	0.276087319
Citric acid	1.394278939	0.012665628
Fructose	0.11321061	0.702549414
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Glutamate	-0.669851398	0.023994311
Lysine	0.178803153	0.18973474
Valine	0.529693954	0.387801239
