	log2fc	p-val 
Arginine	-0.090765464	0.326164235
Acetoacetate	0.690044547	0.184730578
Mannose	0.11321061	0.702549414
Leucine	0.339486466	0.56515044
CoenzymeA	-1.245306813	0.036937349
Adenosine	0.461904104	0.19337773
Fumarate	1.101582776	0.002665504
Adenine	0.382145618	0.422732474
Fructose	0.11321061	0.702549414
Aspartate	0.394440595	0.142021774
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Glutamine	-0.070676746	0.531679758
Inosine	1.321928095	0.052712799
ATP	-1.181997834	0.104145111
Succinate	1.555566089	0.039402047
Glutamate	-0.669851398	0.023994311
