	log2fc	p-val 
alpha-ketoglutarate	0.442943496	0.309423425
Valine	0.529693954	0.387801239
Acetoacetate	0.690044547	0.184730578
Uracil	0.592739851	0.302592278
Glucose	0.653243768	0.326518995
Alanine	0.452822162	0.033563829
Asparagine 	-0.1740294	0.146911661
Glutamate	-0.669851398	0.023994311
Succinate	1.555566089	0.039402047
Malate	1.301169535	0.063217353
CoenzymeA	-1.245306813	0.036937349
Inosine	1.321928095	0.052712799
Citric acid	1.394278939	0.012665628
Arginine	-0.090765464	0.326164235
Glutamine	-0.070676746	0.531679758
Leucine	0.339486466	0.56515044
Hypoxanthine	-0.121990524	0.276087319
Lysine	0.178803153	0.18973474
Lactic acid	0.126830022	0.727564205
