	log2fc	p-val 
Adenine	0.382145618	0.422732474
Asparagine 	-0.1740294	0.146911661
ATP	-1.181997834	0.104145111
Glucose	0.653243768	0.326518995
Fumarate	1.101582776	0.002665504
Hypoxanthine	-0.121990524	0.276087319
Mannose	0.11321061	0.702549414
Leucine	0.339486466	0.56515044
CoenzymeA	-1.245306813	0.036937349
Alanine	0.452822162	0.033563829
Lysine	0.178803153	0.18973474
Valine	0.529693954	0.387801239
alpha-ketoglutarate	0.442943496	0.309423425
Inosine	1.321928095	0.052712799
Succinate	1.555566089	0.039402047
Lactic acid	0.126830022	0.727564205
Fructose-6-Phosphate	-0.153746532	0.554052301
Glutamine	-0.070676746	0.531679758
Fructose	0.11321061	0.702549414
