	log2fc	p-val 
Lactic acid	0.126830022	0.727564205
Malate	1.301169535	0.063217353
Uracil	0.592739851	0.302592278
Succinate	1.555566089	0.039402047
Fumarate	1.101582776	0.002665504
Pyruvate	-0.062541466	0.692554609
Alanine	0.452822162	0.033563829
Adenine	0.382145618	0.422732474
Mannose	0.11321061	0.702549414
Sucrose	0.126830022	0.727564205
Citric acid	1.394278939	0.012665628
Glutamine	-0.070676746	0.531679758
Asparagine 	-0.1740294	0.146911661
Fructose	0.11321061	0.702549414
Leucine	0.339486466	0.56515044
Inosine	1.321928095	0.052712799
