Gene	SRR539261	SRR539262	SRR539263	SRR539264	SRR539266	SRR539267	SRR539268	SRR539269	SRR539270	SRR539271	SRR539273	SRR539274	SRR539275	SRR539276	SRR539277	SRR539278	SRR539279	SRR539280	SRR539281	SRR539282	SRR539283	SRR539284	SRR539285	SRR539286	SRR539287	SRR539288	SRR539289	SRR539290
ETS1-1	6.0204788618059215	7.873671516141576	7.520099548812197	6.410795975452556	5.403304302839852	7.27769815307498	6.868935614953566	7.452319673384478	5.728325745546568	6.724966066683784	9.603361528118322	9.172262829644419	9.852400593668355	9.319358897355142	9.425309129682937	9.644976805209001	1.5379571527716687	1.8179672858923068	1.4041196434249055	1.4234490116027017	1.409320312489768	1.3620853535174264	2.010184835262003	1.5717885220996421	2.0947772640240947	1.3705138363826972	1.501621544474332	1.4262308442595109
ETS2-1	1.1511535698658892	0.9785077992692	1.3860406599681088	1.2728624809512972	1.4295702270361488	0.7011906235199086	0.716988059776866	0.7063037374207151	1.0364280603895621	0.9715669162517888	3.561811285658851	4.022210565855373	4.391961552362714	4.522096443335365	3.177450523360167	4.251504084424325	0.7950695989513628	0.17795800863226827	0.1906244124335485	0.7382097427919292	0.710317831058772	0.7693347707752959	1.3772427962180804	1.3272981779973383	1.2866045501072783	1.15294018235242	1.43044466668241	1.146324935693401
HRA1	0.26841398788083826	0.24501143898526317	0.7110681275338336	0.24370094837661438	0.24937839023521208	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	0.45251140107990856	0.5221136021476476	0.4701069672988748	0.4499277743875222	0.5136227744509562	0.45532081884020703	0.48511880657482453	0.574088308375805	0.5977649761232726	0.5361896318494417	0.5711449061221573	0.4891778896442357	0.27446821231692947	0.3890190770169831	0.07854303402719548	0.16543679127458694	0.4131394444472054	0.11935523608892995
ICR1	1.0113887150545837	1.0177403570649581	0.9127122965571399	1.1460568471639518	1.3316026088253663	0.8755715131463493	1.1268318869429659	0.3996255273107284	0.47763700724391217	0.8521196635896048	0.45251140107990856	1.6877681844391075	1.251898668625003	1.1316530901558473	1.1920444448721947	1.136987539758486	1.0266135223538781	1.076070565836825	1.0677653408088337	1.097751571271283	1.1011851792284086	1.1423274349147043	0.8504834830773427	0.8225821636181094	0.8818699905567292	0.9630201701417429	0.9765922535213916	0.894601065855437
IRT1	0.8993934380016684	0.9730493947980918	1.0723271046182334	1.058325596762703	0.9951774376192115	0.8850775946086079	1.4208189530593223	1.1338262821511904	1.143020331715743	0.8202338887991591	1.5112165737240446	2.235898509923305	2.0198894134539884	1.771070712338181	1.5321340083592647	1.7379309142590058	0.8606975734295788	0.7646071721649352	0.8370227942808791	0.7983323225574993	0.7813446558824603	0.7831893122957334	0.8912353540904218	0.9524166416972448	0.9381566620838622	0.7947300139669613	0.8755715131463493	0.8305192682372128
ITS1-1	1.2846465110949226	1.3719837884726414	1.1963040116402586	0.896880253932235	0.7983323225574993	2.3453319502526253	2.2178756665490518	2.0144356144853104	1.4553860196441322	1.3370281997818876	6.92429676063609	5.746537922139947	5.845854340991659	6.357938288444218	5.688230461446563	5.337772627779393	0.9948776616926288	0.9897063769477794	0.9070979497234906	0.8641608440698615	0.848790046358479	0.8644160334495751	2.558152269715337	0.9945909051204871	2.7654271959884937	0.8327683486128787	0.9636167520889617	1.4620306211173244
ITS2-1	0.9753167863466176	0.9256615853977057	0.7807478987442038	0.9224321032600584	0.9376233609444846	0.39597379959843887	1.1132139977770008	1.096419128802456	0.47763700724391217	0.9711030051679485	1.3583839012292367	1.6761256213357534	1.1775742970003276	0.8854780728393037	0.8377558530770033	0.7652244824365043	1.3293664042265547	1.7314046399779088	1.2899433258097752	1.0881100035118543	1.1376673830575217	1.1756686200496684	1.3452738746907114	0.8783278655729567	1.3472533609465314	0.8723916506667486	0.946601630140386	1.5224920722512671
LSR1	3.7695372992401306	4.366283360458291	3.532489237537762	4.492107475901829	4.492107475901829	1.3066865282000109	1.3424956282701195	1.3211844341219372	1.3650744561054353	1.109564579676147	9.172262829644419	9.101443759654353	8.442747344000118	10.117553934834259	10.171459498227641	9.812777547282774	1.4529921252409184	1.5521130444213624	1.2052828384228216	1.6799275588702725	1.8540752626075272	1.7257446134378525	0.9833193558867247	0.7088185628369598	0.9590495739409155	0.9579061420340189	0.8744615318332807	0.8850775946086079
NME1	0.8169977272231296	0.6743671737061011	0.8482129930445861	0.7432099448077477	0.7494885937549158	1.0752563764873915	0.7753720462014426	1.0387790240030372	0.8893648902514795	0.39445885160376093	1.322648403271539	1.136169575212346	0.4701069672988748	0.8218199327527389	0.836671663642754	0.45532081884020703	0.8136879706838587	0.824132558352556	0.594413626154197	0.7315704407550351	0.7468890188304745	0.7447037781382359	0.7096324408067757	0.6888152884433402	0.7501573286755157	0.5552584384304364	0.55668429389959	0.5616107137806461
PWR1	0.26841398788083826	0.24501143898526317	0.34310138635996845	0.24370094837661438	0.24937839023521208	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	0.8517275640081621	0.5221136021476476	0.4701069672988748	0.4499277743875222	0.5136227744509562	0.45532081884020703	0.2177823064502422	0.5819810943978373	0.1906244124335485	0.1849719561948744	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
