Gene	SRR1791592	SRR1791596	SRR1791600	SRR1791603	SRR1791604	SRR1791610	SRR1791611	SRR1791612	SRR1791613	SRR1791614
ETS1-1	0.7092327069975901	0.827187089791005	0.6723049272677865	0.7186198868202848	0.594413626154197	0.8854780728393037	0.7897394191461826	0.6984213324220316	0.5761709952019751	0.5047014186457337
ETS2-1	-0.01564868246297115	-0.014571903365773206	0.05780806739085853	-0.004147940400402637	-0.007809108752338016	-0.010331425529250102	-0.00674250233743399	0.05214960716996009	-0.0015942269664591922	-0.0046784974581438495
HRA1	1.0406208039883702	0.8599710047169438	0.6899184023271838	1.046439793247894	0.6851294513494717	0.8031571360936979	0.6381422854777505	0.5867755385109489	0.5310319399981	0.4773364695648305
ICR1	1.0922987534420003	0.9897063769477794	1.240630476460768	1.033636224741183	1.2638063051166601	1.2246831866599823	1.0031285007005186	1.2236905849099649	0.8298861439003666	0.804032479127476
IRT1	0.8350451430724461	0.755846557108774	0.7357455839932083	0.7947300139669613	0.7315704407550351	1.0745744833237936	1.0484698036266493	0.9213006999206416	1.0119208417836951	0.8454338294722632
ITS1-1	0.5268810952744152	0.6942986406283591	0.4773364695648305	0.47318685007670763	0.35425441336321173	0.7096324408067757	0.46477009632643895	0.430393118357813	0.24370094837661438	0.16937883593771885
ITS2-1	0.4957238163026034	0.6000249538589908	0.45190030509058	0.44920533555021547	0.2222569322296936	0.8179079740307716	0.6046520906261859	0.4911845100322486	0.34076539758214686	0.25967895804724017
LSR1	7.568787426485868	8.47821081311369	7.556046341241599	6.323736214613266	6.073954455418308	7.697852681028998	3.688422728620983	4.2051015407296415	2.2430111390716405	3.4791294225058746
NME1	0.8259976420128414	0.8781450782462161	0.8350451430724461	0.755529745016853	0.7445331932876266	1.116624336719814	0.934086191028427	1.0001448051201791	0.713276287684655	0.5682610309218369
PWR1	-0.01564868246297115	-0.014571903365773206	-0.010331425529250102	-0.004147940400402637	-0.007809108752338016	-0.010331425529250102	-0.00674250233743399	-0.01085568236343424	-0.0015942269664591922	-0.0046784974581438495
Q0010	-0.01564868246297115	0.0552186964840946	0.0586339544850059	-0.004147940400402637	-0.007809108752338016	-0.010331425529250102	-0.00674250233743399	-0.01085568236343424	-0.0015942269664591922	0.12064654210344587
Q0017	-0.01564868246297115	-0.014571903365773206	-0.010331425529250102	-0.004147940400402637	0.06511979388867306	0.05259569813829758	0.06165995966243542	-0.01085568236343424	-0.0015942269664591922	-0.0046784974581438495
Q0020	0.35312142108541794	0.35312142108541794	0.36381034393528616	0.3594340560827053	0.34310138635996845	0.27776229686666665	0.36536256325255323	0.4246520530728335	0.39297515425039836	0.16767766916029994
