Gene	ERR391753	ERR391754	ERR391755	ERR391756	ERR391757	ERR391758	ERR391759	ERR391760	ERR391761	ERR391762	ERR391763	ERR391764	ERR391765	ERR391766	ERR391767	ERR391768	ERR391769	ERR391770	ERR391771	ERR391772
ETS1-1	11.00159888932874	8.98404843909703	10.522352049194033	10.912307204971501	10.552899691671737	10.380967930368602	10.522352049194033	10.574262456909707	10.522352049194033	9.375927700976172	8.956104025611879	9.718308625307394	10.912307204971501	10.844656263224461	10.435731055875108	7.914892581102297	10.912307204971501	9.76669227681463	10.552899691671737	10.199541120598747
ETS2-1	1.6166161101325447	1.8567523784198223	1.911093183144395	1.308040071546957	2.6950540751557917	1.3291584298592605	1.5149233698512463	1.5211888973739782	1.887442807241368	1.9850591408250922	1.4116830359998407	1.2144833821382985	1.5785978646517456	1.9131079185615192	2.2486781702158036	1.2803857833294803	1.991391507958033	2.159626994788114	1.8589321893521698	1.9678872792607127
HRA1	0.5641168980150094	0.6523946361960001	0.28762989241247483	0.3110533168224849	0.39333242006532065	0.252291788408143	0.23223428275190774	0.49543834302570966	0.25745313646075263	0.33044580365872017	0.30853219322205705	0.2518792436918613	0.3874825560150803	0.42788142721462175	0.3760889185779608	0.3359352747643932	0.44920533555021547	0.3616092711581004	0.2797860024308806	0.46507559048819913
ICR1	0.9353088191999785	3.1468027583825147	1.015853243646786	0.9535069825310538	1.2542728659255407	1.2494613910411334	1.2477748883913908	1.2817887660317409	0.9213006999206416	1.1088046280267125	1.5564224069784476	1.443233947025976	1.3399981673988017	1.1302460159864285	1.6328774071812966	1.529013740967798	2.249294905800922	1.2363534381696917	1.2313965931659834	1.8776693480829374
IRT1	0.5641168980150094	0.6523946361960001	1.1963040116402586	0.9948776616926288	1.221975305499595	1.2320230930159135	1.2717795696074181	1.2306236378182989	1.5084672218913728	1.1511535698658892	0.8747525941770091	1.1861996809601945	1.1853532370632491	1.2841295244836919	1.4540686487275665	1.0250980772409333	1.5748687418722729	1.172512432878456	0.93311585920472	1.1470064381198426
ITS1-1	3.977265146748268	5.590674566259598	1.908471646060729	1.5429828369967022	2.287513612628996	1.5571162387605022	1.424049005486249	2.1107076493990338	1.8440852163586052	1.5443866338645682	2.1469537592122068	1.6858271449771545	4.366283360458291	5.12846245029528	2.327824055729507	1.8472358254154846	6.18335616835546	1.6946515469862908	1.322389847411335	4.464138720368462
ITS2-1	2.22556986100495	4.669328783620941	1.3148486997734488	1.1391405974619113	2.0173867734600286	1.052622909168432	1.0349841082911815	0.9930453015555674	1.3532797231311315	1.2703692492545162	1.5114584434002118	1.047532670011791	2.737748396383861	3.235662259558635	2.232726304237484	1.2007186097942824	5.192449285483917	1.2615619561310076	1.0739410400398066	4.134666531207064
LSR1	6.390453889385295	8.210394472430057	6.92429676063609	4.600894287024632	7.256055791308917	5.688230461446563	5.469853302128613	5.852973332697623	6.197412307563516	6.082735841766783	5.719306698027738	7.707046698450163	7.234728763217431	7.797260870173277	8.020791325790096	6.955602574207282	8.656766651976838	6.390453889385295	5.608168300747229	7.822970241615458
NME1	1.4133840947856045	2.000055674840429	0.631319351283296	0.7033342161334646	1.1662193307549023	0.73873358547638	0.8621328557902594	1.1115395336575615	0.8044481977040198	0.33044580365872017	1.0928929582693245	0.6619536542580173	1.58185099008963	1.3730928328952365	1.0898288520682453	0.7842169212265224	3.0050902915888464	0.7856138437764383	0.8708525845185034	1.5742548569417054
PWR1	0.5641168980150094	0.6523946361960001	0.28762989241247483	0.3110533168224849	0.39333242006532065	0.252291788408143	0.23223428275190774	0.49543834302570966	0.25745313646075263	0.33044580365872017	0.30853219322205705	0.2518792436918613	1.0951679460904327	0.42788142721462175	0.3760889185779608	0.3359352747643932	0.44920533555021547	0.3616092711581004	0.2797860024308806	0.46507559048819913
Q0010	1.0673871708498839	1.0397278913691903	0.6570747776836745	0.3110533168224849	0.9753167863466176	0.252291788408143	0.7011906235199086	0.49543834302570966	0.25745313646075263	0.8283603683038511	0.822218783684916	0.2518792436918613	0.9782114738024509	1.0701663811204902	1.0087266154190069	0.6443474910865785	1.073715443372318	0.7498178338046669	0.2797860024308806	1.3842354329280906
Q0017	0.5641168980150094	1.0896167580882012	0.28762989241247483	0.3110533168224849	0.9381566620838622	0.252291788408143	0.23223428275190774	0.49543834302570966	0.25745313646075263	0.726216408077552	0.30853219322205705	0.2518792436918613	0.3874825560150803	0.8773585071787429	0.929686486637006	0.3359352747643932	1.0136330532834452	0.8578670297621598	0.2797860024308806	1.2799158377067092
Q0020	1.3591225244124157	1.6738484350946745	2.2011876759701527	1.0878250298584473	2.624095214492865	1.0520333392448187	1.6358646956249305	1.2039584960010583	1.9742856784815819	1.7012643811288246	1.361105360138553	0.774786013645646	1.2938622069087886	2.5264190171816363	3.07021666893571	1.0666160659285238	1.6430366156415344	1.8516309167396898	1.5931306881880185	4.024619149291772
Q0032	0.5641168980150094	0.6523946361960001	0.28762989241247483	0.3110533168224849	0.39333242006532065	0.252291788408143	0.23223428275190774	0.49543834302570966	0.25745313646075263	0.33044580365872017	0.30853219322205705	0.2518792436918613	0.3874825560150803	0.42788142721462175	0.3760889185779608	0.3359352747643932	0.44920533555021547	0.3616092711581004	0.2797860024308806	0.46507559048819913
Q0045	1.3334799849687697	1.6407435993404742	1.6440870987795093	1.0757680802323955	1.958952140974369	0.8410643315307594	1.182424179937643	1.260884657025905	1.3066865282000109	1.1746496573155416	0.9961766819683354	0.7480207626498231	1.3615962221606353	2.4120944315231325	2.294674582234574	0.8679559729611784	1.4011889371807715	1.3281722208927422	1.3320156428788021	3.23423979048511
Q0050	4.472001333836484	2.926866157875595	6.112204236437471	2.451412766524927	6.8393800992888965	2.3343016553852336	5.539818966041282	3.19798167391716	5.47704237147056	4.991099547910796	3.280344810496498	1.6224288663871793	3.888548058979756	7.873671516141576	6.822758654857034	1.8549431738928732	2.9740413879399963	5.438551825559822	5.728325745546568	6.6946860322910435
Q0055	2.461065760948224	3.0767255307004113	1.956957804160993	1.7094249531906982	2.727047003349352	1.4953076693674554	1.14376341605448	1.9811740004538003	1.355656294821308	1.6720220792536784	1.9655160356751997	1.5583747790357037	2.7482855073762873	3.5717854819093073	3.2560085602928286	1.705591203277634	3.1431716248506283	2.271833913024753	1.5763462508257011	4.095236536566812
Q0060	1.61747844358296	2.097019709045305	1.6864694267260973	1.2803857833294803	2.093462969424129	1.2678288426291413	1.4124994222844922	1.4988977276947475	1.2682098134642925	1.1467842335909328	1.4538780860818183	1.1673978544482004	1.7821200339088752	2.5002915115044266	1.9735730661320006	1.5176859033986132	2.252233620061945	1.24032210556528	1.3452738746907114	2.2413845519293103
Q0065	1.1681920774295482	1.1423274349147043	1.4114164461051828	0.6843268114687806	0.9935484855958642	0.707369690742344	0.7802549391495825	1.135380659113355	0.7753720462014426	0.9864548036090998	0.6755341155140033	0.710668261738584	1.072912347507133	2.134851757416287	1.1115395336575615	0.3359352747643932	1.0512428900155326	1.2033234508590933	0.927122541981237	1.554490940355091
Q0070	1.3171250760795405	2.032098235796086	2.0562005977376865	0.9897063769477794	2.353934357128349	1.0397278913691903	1.3700577324848782	1.016598117003265	1.4895822606858697	1.6463941691622477	1.5972571628883525	1.2969113416585698	1.8282767466252423	3.3984498065211977	2.613375743194579	1.591821957709821	2.270375079664376	1.7804075992702204	1.4620306211173244	4.165329899376081
Q0075	1.4434879152047444	1.1569876338982334	1.1451846328294015	0.9430187364845034	1.4188601251557884	0.7402377005814837	0.9984140097537448	1.0797602750252724	0.9373763553659082	1.1158701719530817	0.9509979868876717	0.8264516754861073	1.157456937195074	1.6041790652210726	1.5564224069784476	1.0309869218166934	1.2437018388732293	1.1306064640645777	1.1041032970240994	2.03534585680023
