Gene	SRR7160762	SRR7160763	SRR7160764	SRR7160765	SRR7160766	SRR7160767	SRR7160768	SRR7160769	SRR7160770
ETS1-1	1.2108339613926051	3.553242747647515	4.188931708430072	1.1082018966530407	1.1235448971309427	1.3847956588318653	0.9730493947980918	1.2185615997187318	4.357783861344105
ETS2-1	0.06468838498406662	0.1706297211112302	0.20547836303736483	0.06638952523995305	0.05947706712930671	0.14794429619722718	0.12922502875497646	0.031245726215288844	0.13832812147773177
HRA1	0.6727359236224265	0.6798872843417263	0.7033342161334646	0.594413626154197	0.6723049272677865	0.6542801666514044	0.6664267082746863	0.6160635677483824	0.6884716899080732
ICR1	0.9254123790045692	0.9477217462889823	0.9395466073822123	0.831389974392703	0.848790046358479	0.7845026749382638	0.9353088191999785	1.0113887150545837	0.8793194081891753
IRT1	0.784823585003687	0.8049924842910394	0.7315704407550351	0.759721417146741	0.8153761038549789	0.7993577334739231	0.7819904133911513	0.7842169212265224	0.7828637309128312
ITS1-1	0.5054916756836888	0.6302573071871842	0.6150586521513195	0.2969938070507238	0.2710396601910656	0.34275916363942877	0.3232919052029098	0.5469182934385876	0.5469182934385876
ITS2-1	0.6451396986603857	0.786566789112934	0.7875733845849976	0.4314369070795695	0.6348483614022801	0.5100252448678096	0.4782500747264662	0.7986315564105952	0.6735613781581412
LSR1	0.5484836546225147	0.7480207626498231	0.6274808535682953	0.45318654776436373	0.5080717561627147	0.563321978413024	0.4884890393080643	0.5122477069833963	0.49060321102081594
NME1	0.4996117587890018	0.5552584384304364	0.5834878577075165	0.41625469991381825	0.5532040952951327	0.3296764814923524	0.461268615840418	0.5652730428570533	0.5143957454941378
PWR1	0.46797310730781577	0.35172570487440197	0.2710396601910656	0.2868786355773035	0.401841753269969	0.332001932152033	0.2752891334505877	0.5386222562223394	0.416936432281173
Q0010	-0.02785413807499431	-0.023350208978036337	-0.017273028388786082	-0.01564868246297115	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	-0.02169505235819769	-0.017273028388786082
Q0017	-0.02785413807499431	-0.023350208978036337	-0.017273028388786082	-0.01564868246297115	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	-0.02169505235819769	-0.017273028388786082
Q0020	0.3975151297832928	0.48784743456352364	0.49898499032254484	0.2116531725529231	0.28018817801421986	0.19472365500364136	0.34692584321605996	0.3415689701232655	0.216950473702504
Q0032	-0.02785413807499431	-0.023350208978036337	-0.017273028388786082	-0.01564868246297115	-0.023899568408237988	-0.01295800869862021	-0.02058346399863459	-0.02169505235819769	-0.017273028388786082
Q0045	0.10246030070760928	0.3296764814923524	0.23689834990677	0.11688568107795104	0.09238676257027824	0.12106887432450303	0.13790294707669554	0.12453347412658075	0.14304056212331384
