refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR1755143	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	ethanol
SRR1755144	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	ethanol
SRR1755145	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	ethanol
SRR1755146	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	ethanol
SRR1755147	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	ethanol
SRR1755148	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	ethanol
SRR1755149	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	ethanol
SRR1755150	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	ethanol
SRR1755151	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	glucose
SRR1755152	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	glucose
SRR1755153	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	glucose
SRR1755154	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	glucose
SRR1755155	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	glucose
SRR1755156	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	glucose
SRR1755157	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	glucose
SRR1755158	SRP052072		s288c dby12000					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True		not applicable		SRA	not applicable			Saccharomyces cerevisiae	glucose
