annotation	fc_log2	p-adj				
inositol myo	0.023029596	0.803432611				
C02336	0.045623934	0.824893923				
C00121	-0.034321029	0.830872396				
C00294	0.024216747	0.842693738				
conduritol beta epoxide	0.036994545	0.851132506				
C00209	-0.017655617	0.876422832				
C02273	0.020673211	0.907346528				
C00026	-0.016819815	0.912947397				
C00112	0.01012597	0.943991378				
C00049	-0.004127796	0.958151282				
C03547	-0.002013729	0.974237568				
C01835	0.007200986	0.981451698				
C01685	-0.001960394	0.994850173				
