	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR380W	321.3175786	-0.379083125	0.117442549	-3.227817578	0.001247385	0.018254494
YOR136W	741.6615265	0.372095432	0.115293923	3.227363787	0.001249365	0.018254494
YPR167C	394.9595029	0.364563445	0.11296399	3.227253624	0.001249846	0.018254494
YPR115W	772.7909165	-0.316684933	0.098152126	-3.226470437	0.001253272	0.018259771
YGR210C	428.1627926	-0.340231187	0.105565023	-3.222953756	0.00126876	0.018440349
YDR293C	1229.591358	-0.255528911	0.079366897	-3.219590555	0.001283738	0.018477766
YDR493W	242.0534652	0.328839659	0.102091387	3.221032349	0.001277297	0.018477766
YGR280C	444.8896923	-0.293419762	0.091122342	-3.220063878	0.00128162	0.018477766
YIL015W	234.5385116	0.417378792	0.129587031	3.220837688	0.001278165	0.018477766
YGL137W	1085.47796	-0.195128385	0.06065576	-3.216980328	0.001295475	0.018551477
YJL062W	575.5819373	-0.314163718	0.097676253	-3.216377668	0.001298199	0.018551477
YOR193W	366.9009046	0.282368589	0.087758337	3.217569956	0.001292815	0.018551477
YBR040W	107.1706647	0.748160159	0.23272445	3.214789679	0.001305401	0.018565361
YGL125W	410.4410066	-0.46094794	0.143369593	-3.215102526	0.001303979	0.018565361
YFL022C	730.0823925	-0.312662222	0.097282727	-3.21395413	0.001309206	0.018575137
YNR016C	2577.739498	-0.285184172	0.088852311	-3.209642704	0.001329001	0.018811198
YDR316W	530.1512343	0.221775464	0.069137073	3.207764706	0.001337709	0.018889591
YGR213C	190.3121388	0.393041003	0.122642517	3.204769539	0.001351707	0.019042127
YCL045C	782.7082938	-0.189049363	0.059021685	-3.203049223	0.001359807	0.019111066
YLR142W	270.6237885	-0.465308481	0.145468323	-3.198692828	0.001380522	0.01927876
YMR308C	1132.103523	-0.2064495	0.064530341	-3.199262484	0.001377797	0.01927876
YOR171C	469.4470037	-0.25042646	0.078294968	-3.198500083	0.001381445	0.01927876
YNL119W	419.2528164	0.269614136	0.084342561	3.196655783	0.001390307	0.019318347
YPL217C	1025.719964	-0.263355065	0.082387005	-3.196560742	0.001390765	0.019318347
YDL244W	49.52992396	0.667497122	0.208989963	3.193919519	0.001403552	0.019408907
YOL064C	613.3624917	0.287193823	0.089920357	3.193868783	0.001403799	0.019408907
YPR057W	465.0665167	0.309197342	0.096940477	3.189558705	0.001424902	0.019655071
YBR020W	118.1176504	-0.487498746	0.153199755	-3.182111779	0.001462054	0.020120967
YBR085W	160.9900051	0.450215501	0.141565634	3.180259847	0.00147143	0.02020335
YLL004W	468.2671032	0.274195975	0.086337536	3.175860561	0.001493927	0.020465088
YJL029C	572.5685092	-0.259891725	0.081957252	-3.171064404	0.001518815	0.020758295
YBL051C	623.178726	-0.254629221	0.080332989	-3.169671955	0.001526111	0.020810291
YNL012W	325.2126066	0.269408447	0.085018743	3.16881239	0.001530632	0.020824278
