Gene	SRR6205709
ETS1-1	1.1833286864477606
ETS2-1	0.04988706249273001
HRA1	0.5283350816256487
ICR1	0.9105388252073572
IRT1	0.9225440819622708
ITS1-1	0.7126958523477619
ITS2-1	0.6849292233756777
LSR1	1.4623320650927012
NME1	0.929686486637006
PWR1	1.1801065948288652
Q0010	0.04988706249273001
Q0017	0.04988706249273001
Q0020	0.25400500543870513
Q0032	0.04988706249273001
Q0045	1.1258806257292258
Q0050	0.04988706249273001
Q0055	0.04988706249273001
Q0060	0.04988706249273001
Q0065	0.47667280714279003
Q0070	0.04988706249273001
Q0075	0.7750709428168733
Q0080	0.04988706249273001
Q0085	0.04988706249273001
Q0092	0.04988706249273001
Q0105	0.24801857093942342
Q0110	0.04988706249273001
Q0115	0.3159814403986993
Q0120	0.04988706249273001
Q0130	0.8113380510938963
Q0140	0.04988706249273001
Q0142	0.04988706249273001
Q0143	0.04988706249273001
Q0144	0.04988706249273001
Q0158	1.6398463823827032
Q0160	0.6519537614263886
Q0182	0.04988706249273001
Q0250	0.04988706249273001
Q0255	0.04988706249273001
Q0275	0.35242417982591795
Q0285	0.04988706249273001
Q0297	0.5641168980150094
RDN18-1	8.47821081311369
RDN25-1	12.573847217818859
RDN37-1	1.3604544697820158
RDN5-1	0.6747871555625976
RDN5-2	0.04988706249273001
RDN58-1	0.04988706249273001
RME2	5.103148485932367
RME3	0.7029925588240689
RNA170	0.7418397044176992
RPR1	0.7628425901221484
RUF20	0.7126958523477619
RUF21	0.849881212489586
RUF22	0.22367079284916147
RUF23	0.6174466731769636
RUF5-1	0.938424117639909
SCR1	0.802726241685427
SRG1	1.5643153613651632
YAL001C	2.227979444529102
YAL002W	1.6720220792536784
YAL003W	3.210560844050283
YAL004W	0.6963316838455941
YAL005C	10.142519078392704
YAL007C	1.3435200615341056
YAL008W	2.509091674408026
YAL009W	1.779622368055025
YAL010C	1.1584854545954877
YAL011W	1.0789248223624046
YAL012W	7.8272803844083185
YAL013W	1.6895283550083815
YAL014C	2.330476842829648
YAL015C	1.053741875424431
YAL016C-A	0.6940688352621824
YAL016C-B	0.20378159900397835
YAL016W	3.575855586305434
YAL017W	6.031629198620254
YAL018C	0.7770219990565302
YAL019W	1.8311630020346459
YAL019W-A	0.720512898564522
YAL020C	1.4045529313502614
