	14251X1	14251X2	14251X3	14251X4	14251X5	14251X6	14251X7	14251X8	14251X9	14251X10	14251X11	14251X12	14251X13	14251X14	14251X15	14251X16	14251X17	14251X18	14251X19	14251X20	14251X21	14251X22	14251X23	14251X24
ICR1	42.6382398623238	35.238405583063454	34.35665689746347	32.203618077338895	29.049052590864026	22.637482917258577	46.08003892177164	36.84936727386511	39.13227086097713	30.05648364303918	28.53578709383812	15.089106785575002	48.523602734361056	38.12585261826927	27.760370322032447	25.02493237389864	21.488598081779337	17.2202624406877	44.68979532485162	31.59142411582038	39.144814633602685	23.138760434012436	20.367904527965486	11.635330015568014
LSR1	217.8894696661885	143.68453773850896	179.3938013351806	153.31835130944404	91.32733704258236	142.04192697095414	146.513934817673	192.52722894170248	67.23838145348746	129.18166014782278	86.10251268136462	190.11856444935833	183.68453538260485	102.31680941377742	177.37948477500487	352.20629487992835	82.33875366484665	137.83625657056533	170.3384828441536	135.48781955491762	83.449327555763	97.35823664858013	84.47467912784838	183.46728652668398
RUF20	171.055592324522	220.14115869180446	196.5598962722069	150.9744649692894	238.48802233810645	177.51844299293023	174.6958766775224	209.07648903580125	224.81023398729454	163.39301262240383	246.75079851733796	178.64658033478594	225.59971681002466	229.42927487931408	193.64521892700998	212.87086227015615	250.0023492155444	164.14369707233212	230.66172403682546	204.82513264481017	224.00523891739806	188.6092294211721	248.80073652197308	152.87202515343841
SRG1	222.00860503430764	237.89232992913512	218.74042460525652	209.48248387123954	264.02258620300495	247.4559209449687	210.2035895279002	234.31560763193963	226.18468339968177	196.06984476453908	274.3634105613293	247.53350743920623	225.76087813222355	239.27028582980248	219.28077499211525	265.9544721684145	242.58629605025442	234.94719770823207	218.6272493990627	252.44040387083507	227.2672631812976	232.04042203261997	226.55782943360626	223.2985009909481
YAL001C	134.03848569282349	141.20648682983202	117.90722353343584	127.72148989615357	128.67708978922096	109.75559529797916	141.63912797427494	138.0724694003926	123.08884077509185	121.45622280766564	132.51258836086268	109.35437929839948	135.92867873270856	144.46957206467857	107.79435784777772	102.95243645386691	112.3339768039695	101.05010811984872	133.922862055457	143.0076663886514	119.84345505025505	92.88925918129989	100.86997512802311	97.7030684078555
YAL002W	101.21725945539804	87.16731807098405	93.97840260121961	97.76053182764419	83.80107002728192	87.12707350981069	91.73642948570624	86.16548965260003	98.89546624257001	89.26349278942193	85.32622925165835	78.85979524757148	102.46577137714674	93.50619526981326	81.70703187271829	69.70869875200385	64.12739856767517	100.53490567466191	91.988265874342	77.1540706236792	85.50099965267239	63.50656300505268	61.959974579624685	84.65288392871652
YAL003W	313.80305825055325	288.4266932496236	376.76921311362065	325.93737711099476	313.8998148382667	348.24913189457703	304.68187698321304	305.3498830637758	314.59589352328567	313.1674472996064	305.582660683956	342.0477404504261	304.39225594042836	312.9581533309936	426.218598385748	375.2870302353389	354.69593812645417	321.6260814087007	330.6990918854076	335.0032013168479	352.71717895363406	414.55278874897266	416.5470623372064	400.67366657591987
YAL005C	97.25923159567826	91.93712536726598	107.38861329882775	101.8338873204627	100.83324570114368	98.22225999933565	94.59907990366048	94.04372230677595	92.72898850686359	96.3588826285206	97.91600697296589	91.11050385092841	97.82904386418753	105.36789818080881	98.32658448946576	99.82110400162759	85.91648122823175	98.0291840910659	109.24827223664558	111.54475806008006	92.55019692301963	103.439605090858	72.41772895687092	94.91139180939115
YAL007C	261.94428868528905	233.29598821509148	285.5690588553621	246.7981790523887	293.06396548736075	254.33257488268345	263.8359659698421	247.1950215655979	270.5304435337855	262.03318193122374	281.3846548630091	244.59435660711387	248.72996300453283	255.09197666774799	304.1376570072693	262.1914716782216	329.9290203358889	217.94987091716953	231.13980205672334	249.86095038195634	299.40455583401626	252.7298059925239	316.34321940096453	192.0830197696208
YAL008W	232.9687734860173	228.374184233723	207.3173742513363	235.62616629627715	245.2074452160949	259.54979054669803	229.98897776667613	247.39411549404954	222.97975844562814	216.48662801994962	232.2760416236155	265.4505710079863	237.71258820296254	259.7061676268265	213.30989512667273	292.0047330269306	220.6424779962731	228.58522544302454	234.36500859704972	251.36408590370294	226.8334837570676	247.14099073448506	207.95097727400062	228.5034956130461
YAL009W	155.6147705530852	168.01902731385852	159.8887820321212	158.13302326979436	177.88555968887476	140.79714506086586	146.5724874396637	156.2817957128147	175.131339657281	143.63675775494937	183.02125989398607	147.97373420767212	166.7288816182791	171.5952200038922	164.0731021473674	144.9373519727574	169.25119856571163	157.1249148464517	167.78404024561513	163.0015576556603	175.86168871879548	136.36769499379164	159.847600266845	163.31368308246493
YAL010C	164.3555749327845	147.85868954526848	130.6856326505645	166.11347484756124	140.93670939028658	152.1989453644622	162.46490902655486	149.2737407336061	126.27658175146173	146.985693150015	133.40384080290545	144.0513715603658	155.17308907389872	146.5428566438263	147.2001872793391	133.420402163372	142.10054696720016	133.54574435820595	138.2710069273874	137.766725703609	147.57879678536298	136.98325264809637	128.0400131713103	117.9714169381482
