	14251X1	14251X3	14251X4	14251X7	14251X9	14251X10	14251X13	14251X15	14251X16	14251X19	14251X21	14251X22
YDR275W	120.0704114	98.93820861	99.73572298	113.6026395	116.3028337	108.8778705	121.4702449	103.97033	137.9959111	116.6607493	108.2567768	139.8055098
YDR276C	139.0862432	174.2650113	122.4844713	127.8657472	140.6721698	118.8705514	137.3014615	176.7239525	158.4487741	171.6984003	159.4664163	182.1841292
YDR277C	193.4090444	238.1077956	205.068914	158.2488607	227.0530423	180.3015683	163.3196147	192.3174772	197.0124589	146.2268637	174.905576	175.4495884
YDR279W	214.5666284	204.4119772	193.8714132	223.3593113	212.2731259	212.3297539	215.1029355	206.625441	214.8520906	214.5036173	216.0217884	211.8102804
YDR280W	272.3665535	275.6555634	266.8970654	273.7107977	282.6614948	272.3200776	275.1729168	279.7462006	276.0102956	273.6230666	281.257726	259.9372393
YDR281C	167.527278	47.87295499	67.38447166	149.2426833	64.71105763	83.2048748	144.3928556	79.02618779	87.47728044	177.1006756	73.01883271	92.01398274
YDR282C	186.772269	148.9032284	180.6550261	203.2953218	145.2459911	183.0654424	193.2074858	141.3416296	204.6870073	191.7881114	139.1921498	207.2095856
YDR283C	80.18423819	85.60731782	90.1658785	92.46127261	88.34102311	88.52771784	90.82363756	81.12591742	75.7798485	79.85972109	83.09039584	66.10098175
YDR284C	225.4166546	241.072402	206.6336586	230.1928567	244.6109089	203.5842546	232.2402573	241.6096233	240.9972614	231.2220482	247.1406645	217.4031303
YDR285W	85.20657642	95.02954784	69.69040415	95.77605915	95.57798607	77.93405878	93.43360724	97.62254884	84.11751306	86.82543212	102.8371697	76.63548911
YDR286C	241.4158088	223.6359068	231.8699089	245.7614557	227.9117458	247.114408	250.378184	204.5574984	307.8814396	269.1198656	220.4086987	302.4910675
YDR287W	185.8069259	157.5174648	199.3434771	189.779688	157.4263833	198.3220942	171.5513865	155.4484476	218.947397	172.0976989	172.2237296	204.7781435
YDR288W	204.0273092	213.9126065	190.9226697	213.957032	220.5268959	194.7261535	204.1919171	200.1346336	237.6411514	218.7269028	208.2388933	240.4547638
YDR289C	155.4909773	144.169777	168.3731409	163.3672069	155.2792724	167.9267348	160.7642622	140.8856382	145.5009683	167.1894666	146.0376654	149.3157202
YDR291W	112.611879	102.6360898	109.2502516	115.7698464	113.7416951	105.8865171	117.1040983	102.6892239	92.8501127	103.0347898	117.5755682	74.67409949
YDR292C	224.8262096	239.1931873	200.7894743	229.6183013	234.2779957	217.4606791	229.9589923	220.5903835	203.2945787	215.0814544	233.3898245	188.928743
YDR293C	158.3491258	165.5452144	150.9254162	161.1846281	170.809115	139.7278807	169.7782262	141.252961	117.7925567	149.1000793	159.9172782	101.2470102
YDR294C	213.7593923	215.7696317	221.5267028	214.4285764	236.3654699	220.7802846	217.4625138	217.5010219	176.7726979	197.0530049	227.2045224	167.8366638
YDR295C	172.0182364	128.5574746	158.042052	165.3337785	132.9856246	155.0477553	141.6915014	146.7172362	115.8422407	119.3025039	149.690209	112.4918254
YDR296W	307.395514	276.0416356	329.0869546	316.3434655	268.9553333	334.2585772	307.5747994	292.6895844	354.6597606	356.4718727	284.2007508	409.1772241
YDR297W	283.3319602	262.1384397	302.0827955	277.2560961	266.4275576	309.7755615	246.5148591	294.9892883	326.72343	246.4123983	306.4183158	320.9389943
YDR298C	317.0154988	259.3533527	302.9268165	314.2552201	248.961443	307.2389378	308.581506	248.5855128	367.8706583	374.4712486	264.9876993	389.6081641
YDR299W	174.8717077	199.0238029	193.3277033	172.5751399	232.6864332	205.7227447	177.4524994	237.7289847	185.2703638	164.8493201	233.2546045	173.35558
YDR300C	235.8446747	230.442217	257.1535958	245.4000418	244.0820205	253.9100542	236.2792183	250.8593646	235.320437	218.7269028	242.5847887	240.3265896
YDR301W	108.1228554	93.77842656	102.3348925	101.2097941	103.001026	103.4173798	104.2556807	91.5724394	62.98061764	89.51967581	100.9625783	66.55197866
YDR302W	193.2797397	194.2975329	178.7015087	194.519405	206.2664962	166.471924	210.5458381	200.260532	185.2895116	208.6631722	206.7661995	174.7483638
YDR303C	92.30458022	83.9318931	84.63496363	71.68203948	89.21625036	64.39549721	84.98872687	87.64209031	31.35764187	58.98486102	86.7220989	32.47308342
YDR304C	408.9449462	474.7866847	393.2289028	397.2477097	423.5046145	407.423308	408.4614146	473.2230111	486.1649718	451.4835349	454.4257142	517.6327941
YDR305C	225.7492959	251.3734802	218.8585844	246.9491048	283.5920854	230.5934448	237.2460518	233.4220164	251.8205189	257.8360457	247.3952519	244.7001251
YDR306C	205.0407068	190.8072383	200.4894014	217.6307858	189.963646	203.6018916	219.2281407	181.5882391	239.8709511	199.6595939	182.5470818	215.8479638
YDR307W	176.205236	154.4432392	139.3915402	173.1562236	159.2367127	135.1780117	188.1157345	170.0809382	141.313388	160.135069	171.55354	134.3112943
YDR308C	224.3114499	237.4852128	212.0713865	229.402721	237.0255351	220.3545188	231.443094	236.6741896	268.2257239	267.3987174	247.8797216	263.1955619
