Gene	SRR935051	SRR935052	SRR935053	SRR935054	SRR935055	SRR935056	SRR935057	SRR935058	SRR935059	SRR935060
YHR082C	4.6887496394674875	3.549547154078933	3.3548596938083035	3.8703160763739266	3.089646291723896	4.574083508001213	2.796620594262447	3.7070775890072465	2.561553758251386	3.1539527010869586
YHR083W	1.65310937517199	2.067895795600365	1.6708731331891502	1.4944369620906175	1.496172499489595	2.072190379180247	0.8127067333295377	1.2737525377801004	1.255463134307304	1.7864918361447626
YHR084W	1.6337633008808266	1.7941839563343005	2.6358875707094205	2.180115608339032	2.836399671565577	1.6923676053474082	1.8534097092462505	2.3681039251099754	4.244224039651012	3.166095650319499
YHR085W	0.7266250035208726	0.852915601607067	0.9081025717262254	1.048005586328106	0.7405835483578995	0.9933166956435404	1.087484261347431	1.016598117003265	1.2108339613926051	1.213226283294488
YHR086W	1.4227511788012202	1.6416775829896846	1.8292073487321752	1.9748087067996867	3.4056426378175786	3.1643631841672897	1.1241188187581006	0.9615348663392158	1.9669141648565456	1.5316283981599268
YHR086W-A	0.6632336743697735	0.2978374008712847	0.4480760358065964	0.41143772158823794	0.8244145855901484	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.8058484950335246
YHR087W	3.400935700519169	4.447843680683482	1.6337633008808266	1.3120094869788466	1.3254663034299372	1.8460589938076557	1.8796654367735246	2.492935841305869	1.5441173908596342	1.241564820053175
YHR088W	0.3586259894623447	0.8507753593602431	1.3427710058896039	1.9181006387094106	1.6255153288309232	2.1747976931760897	4.196067044029609	4.424589716397296	2.6395420796856266	1.2972508107415972
YHR089C	1.1801065948288652	1.2602271453150766	1.87081210205011	1.8163402575123375	1.278015043196153	0.5995759265040432	1.1407338294394513	0.9917992088826406	1.0193604770748497	1.4408289593152739
YHR090C	1.4883610245068999	0.7733622669504312	0.4480760358065964	1.3012237171883148	1.566917054372126	1.842072787613654	2.984623930565696	2.081209522490438	2.1747976931760897	2.0947772640240947
YHR091C	1.7659891128920948	2.396913668031665	1.297743925524316	1.5151191164041753	2.1913147887683646	1.6430366156415344	1.0791447002806396	1.2833314067653803	1.4416452080085147	1.5635680653582427
YHR092C	6.045619567726437	5.7837605181983704	3.170207767886935	3.334607934936575	3.2688150162152056	3.8545781800597165	1.028629585526096	1.284910469906751	1.5473352893229666	1.4635584383856446
YHR093W	0.3586259894623447	0.2978374008712847	0.4480760358065964	0.41143772158823794	0.39333242006532065	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR094C	7.228759868190391	6.197412307563516	6.822758654857034	7.198128032138685	8.83219217241757	7.548142523983204	3.419790577535222	3.1137288486803	7.838751608806547	6.930892276498298
YHR095W	7.508504588196985	7.0222452048708615	7.8475530104494045	8.858621163143056	12.573847217818859	11.237759902083965	12.573847217818859	12.573847217818859	12.573847217818859	12.573847217818859
YHR096C	5.732118441591849	4.244224039651012	0.9899569520671597	1.1359476891001865	1.1615563671453117	1.4015011597253733	1.6720220792536784	2.381740919975682	2.112971256024786	1.9991368991033522
YHR097C	2.3349823179176172	1.8578549830639373	1.8800579135862698	3.534591271551803	2.8557919315300495	1.1190941703408843	4.417556895078075	3.391999362612405	1.3750867006979528	2.1054142476313746
YHR098C	3.166095650319499	4.464138720368462	2.018065057255032	2.5467319873877137	1.8357820252126755	1.3894243471941294	1.708706861322224	1.7137997630704314	1.4045529313502614	1.3116570587308418
YHR099W	6.868935614953566	5.898421083574158	4.412980926090814	3.730083047869277	1.9161326093540125	2.4525972203970183	2.6090886518392895	2.8901765989780808	2.196439666780048	1.747438018768571
YHR100C	1.1753813011617842	0.8410643315307594	1.367055198302526	1.352777357018076	1.7624545232046658	1.4018056218815345	1.97258917876922	1.5360086610197257	1.986910646198095	1.8522239115971626
YHR101C	1.1235448971309427	0.8535660412014979	1.1396220270305355	1.2880472585145395	1.3568361688148305	2.2751573507132083	1.582506676160898	2.7567159959489205	2.576887165696586	2.06746050456616
YHR102W	1.8558200907599065	2.1923731709994696	2.3666510791631925	2.1917555664264334	1.2275746438777642	1.2515657840516226	1.4709175308882536	1.4400051599690813	1.5073720140127906	1.672760623950449
YHR103W	3.441576199446796	2.2430111390716405	2.5258911909684456	2.7173612131299247	3.1610931044790367	2.4824170912183003	2.0327088475307744	1.5759925070748801	1.9412167677259387	2.8908517674092424
YHR104W	4.3653137888934594	3.5780595642157134	2.1456998364989293	2.704507840502777	5.340770923421143	5.303056742831767	3.9903989475338824	4.107115240901203	4.799761425749858	4.784804380362973
YHR105W	0.3586259894623447	1.109564579676147	1.1595336145641264	0.41143772158823794	1.4972814865525366	1.6247537810894277	0.9246737224747658	1.3765686081236927	1.3490404829858025	1.3525937997549913
YHR106W	2.1913147887683646	1.398519469370449	1.252326379107249	1.0433899551101846	0.9207033761235819	0.5995759265040432	1.6023022850847597	1.6854374279542974	1.2841295244836919	1.6101195368011698
YHR107C	1.313506629322353	0.9651451713619661	2.9687318315403095	3.1792263944932007	2.6076775820299236	2.029679433003224	4.418534781828873	5.114207994503531	3.0178276457165127	2.0499535227253722
YHR108W	2.172601727044219	1.7043230581825686	2.278874212359299	2.7972860643962707	1.8146625477499978	1.2758959235571279	1.2913352662345878	1.6858271449771545	1.1344909342188643	1.0342677242883744
YHR109W	1.2542728659255407	1.131410891463045	0.9790636447141382	1.0303182833244637	1.4466681844951248	1.0208829098232768	1.209783146613728	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR110W	1.8377445241960548	1.7119017313428786	1.6895283550083815	1.3066865282000109	1.7831131398007458	1.4350123561332704	2.1063922163975026	3.210560844050283	2.510724974729691	2.2707860252902994
YHR111W	1.4865764436362352	1.209783146613728	1.6738484350946745	1.5308812202192281	1.2952204478835547	0.5995759265040432	2.3481389080244863	1.3958457345441722	1.5931306881880185	1.6752598400550192
YHR112C	2.720867145915995	1.5861351947685094	1.214853598526475	1.2234023879045575	1.8628178994998508	2.6893174363045516	2.244164206259806	2.6000404009872016	4.603291316450904	4.070857311081234
YHR113W	1.8827935651396448	1.6831361449530136	1.799318363207108	1.8954945042775855	1.8575356499429674	1.5615385236699444	2.3019917359831448	1.825551722049143	2.696774672147043	1.9923520697546293
