Gene	SRR4453398	SRR4453399	SRR4453400	SRR4453401	SRR4453402	SRR4453403
YDR410C	1.1621998240219817	1.0520333392448187	1.1341751650139495	1.1286771167143326	1.1567894152982907	1.1784964279476398
YDR411C	1.3551357583147587	1.559732581353068	1.6499342764787843	1.9143349803915792	1.8549431738928732	1.8668780336240773
YDR412W	1.2527186245465443	1.473199045825904	1.265395035465794	1.1158701719530817	1.0868748387934117	1.0522498384391397
YDR413C	0.1387442421760785	0.16722359859766345	0.14136857258893532	0.15064317975039856	0.17568688459086684	0.1982366169566866
YDR414C	1.0141042112522962	1.0999972903767248	1.0561980101348227	0.9711030051679485	1.024215257993692	1.0572068332097684
YDR415C	1.1063172635993388	1.2338098967694795	1.2950098825384349	1.2709647288815211	1.2954559584274978	1.2668144641120485
YDR416W	1.5698866762562516	1.5176859033986132	1.501621544474332	1.507138455558773	1.3638944344008517	1.710981628995936
YDR417C	0.1387442421760785	0.45190030509058	0.5271488259666935	0.15064317975039856	0.42243304982170854	0.5178258176887418
YDR418W	5.870813338503894	6.975077408278061	6.8146302161237005	5.690900092936525	4.645772235024899	5.081297996929054
YDR419W	1.371723326688851	1.399419080461672	1.4147959445803224	1.5491130132935504	1.5139275970840371	1.3604544697820158
YDR420W	4.278916416200948	3.781567825713533	5.176222985074224	4.324548298506275	3.8401711022166234	4.0453489005827254
YDR421W	1.5412233389357999	1.7372149256233413	1.6788564079670278	1.7379309142590058	1.6487756858184761	1.6791619529560347
YDR422C	2.267552868047066	2.270375079664376	2.7288681341174073	2.451412766524927	1.9768073447144228	2.0854344002492464
YDR423C	1.6613117107127326	1.8163402575123375	1.8469134045987854	1.559732581353068	1.2934792202037544	1.577736698775483
YDR424C	0.9681424581139809	0.9737398981179158	0.904377624425699	0.9266650172928423	0.9224321032600584	0.927923912190785
YDR425W	1.0719002534146855	1.1766285236560434	1.2437018388732293	1.2400539344887758	1.326882406631268	1.3089013616198404
YDR426C	0.49777900713456935	0.16722359859766345	0.14136857258893532	0.15064317975039856	0.17568688459086684	0.1982366169566866
YDR427W	2.042157003639992	1.941811511220414	1.7453262792418363	1.8721138125102303	2.1107076493990338	1.8168572078861807
YDR428C	1.120456103563166	0.9722034559835395	0.9658362741711506	0.8231760103661119	0.8587677141755604	0.9830928534222654
YDR429C	3.1404649890042178	3.36298006335337	2.7972860643962707	2.359232834359287	2.187841788597569	1.8424103385145454
YDR430C	2.41447402580617	2.067895795600365	2.1790017281314187	1.8803184366441186	2.019274073030743	1.8628178994998508
YDR431W	0.1387442421760785	0.16722359859766345	0.14136857258893532	0.15064317975039856	0.17568688459086684	0.1982366169566866
YDR432W	5.728325745546568	6.410795975452556	5.306429409024515	5.406356506049445	4.669328783620941	4.616070553772031
YDR433W	3.4791294225058746	3.3829717723194284	2.381740919975682	2.987540660196329	2.2286038509502686	1.8978564879187836
YDR434W	2.2158941329378496	1.9381653350148391	1.9316396129047	1.788309376270104	1.9513083304528833	1.7814041887597742
YDR435C	1.1853532370632491	0.9887917887217891	1.090563015008374	0.87212406144714	1.0107564534935967	0.8882622023203187
YDR436W	1.4259777946174221	1.3469154857932417	1.6741048336912163	1.6630038024561424	1.4902436621946649	1.4988977276947475
YDR437W	0.7950695989513628	0.836671663642754	0.8490395877300787	0.7961641269669655	0.7298782814925215	0.7765093670945286
YDR438W	1.0695714567178851	0.879034523548089	1.0232705655149277	1.0578319801547438	1.0493895499087127	1.045930600172146
YDR439W	0.9376233609444846	0.8457057700773368	0.9226560606644831	0.9740586938739562	0.9874141180459743	1.0332930070554653
YDR440W	1.3300999158145737	1.2728624809512972	1.4005840534373648	1.0496273878921056	1.2338098967694795	1.1676618167899142
YDR441C	1.2769736815577146	1.5143540165091292	1.6983779070201954	1.3272981779973383	1.160746274142303	1.4177386897941615
YDR442W	0.1387442421760785	0.16722359859766345	0.36423064916253267	0.15064317975039856	0.17568688459086684	0.1982366169566866
YDR443C	2.323175124576384	2.089005490967759	2.4305939179975584	2.9528456395100893	3.2584190042146477	3.5290247730211393
YDR444W	1.4846351584363795	1.5222263822240674	1.6324642731018124	1.5370522846516337	1.5658074584893515	1.6366851327981384
YDR445C	0.9507457761261745	0.7976711490847345	0.6403437086359733	0.7015817725170177	0.7736688957490465	0.8156727610999357
YDR446W	0.43336761031276416	0.16722359859766345	0.14136857258893532	0.5982787279438966	0.17568688459086684	0.500999257209331
YDR447C	5.176222985074224	5.9061188668878	4.79449133639527	4.011192371455821	4.556701568062817	3.7250558508452523
YDR448W	1.5813354651094937	1.8790499524375575	1.7090541945267095	1.8701981601212319	1.8215726877103573	1.8552647741944295
YDR449C	1.6440870987795093	1.4300975397636204	1.160486770655572	1.2072575485331183	1.2494613910411334	1.0781367625559426
YDR450W	5.989244031558689	6.210038370703174	5.105440806954331	5.081297996929054	5.434941324580414	4.557809981052351
YDR451C	1.4152291176767235	1.5537340163051656	1.4413914923617923	1.672760623950449	1.527905180576128	1.3447421697264874
YDR452W	2.955379501918412	2.9520215130947154	2.8180219265622943	2.856804300131727	2.673573459219286	2.8557919315300495
YDR453C	0.9490643106610751	0.9785077992692	1.027125254309261	1.28158193307754	1.2139641174996012	1.2841295244836919
YDR454C	2.9776496280113123	3.1874653756843365	2.563952923036763	2.445921075816677	2.683849243699992	2.2868599378007954
YDR455C	0.1387442421760785	0.16722359859766345	0.5050946542980158	0.15064317975039856	0.4318143100194289	0.1982366169566866
YDR456W	2.0947772640240947	2.194556624628719	2.2413845519293103	1.9756411735728747	1.9655160356751997	1.9834816823815609
YDR457W	5.933651173972283	5.683399443969515	6.68970274401712	6.6024098147851795	6.227864180886803	6.944767478794507
YDR458C	1.5084672218913728	1.546767540625021	1.5089370723758873	1.443759791207323	1.5313347836832316	1.6831361449530136
YDR459C	1.3825312501664153	1.235823328863909	1.3444698879882682	1.3309889362146703	1.332853252158366	1.3495715360828158
YDR460W	1.2000564116657195	1.1071664762359916	1.0743710516928378	1.081813795382907	0.9967558638356686	1.1858938940895598
YDR461C-A	1.0488956462385468	1.2270190340271596	0.9878761455248936	0.952156300092845	0.9256615853977057	0.8189982538909084
YDR461W	1.5629764920132145	1.4616349400716315	1.2884003363433914	1.7070084410825748	1.4540686487275665	1.4199458195030301
YDR462W	1.157456937195074	1.1689614482388622	1.0276566606172621	0.9646265527255719	1.0071224522230178	0.982826323329024
