Gene	SRR5130645	SRR5130646	SRR5130647	SRR5130648	SRR5130649	SRR5130650	SRR5130651	SRR5130652	SRR5130653	SRR5130654	SRR5130655	SRR5130656	SRR5130657	SRR5130658	SRR5130659	SRR5130660
YGR197C	1.8469134045987854	1.837403779843751	1.9854411309292885	1.9348946063927088	1.8534097092462505	1.9010986274531247	1.9422377546308383	2.029351227570105	2.29357865453337	2.171638773334146	2.269737870879191	2.2006846691496027	2.7893385728069493	2.7560386385009132	2.693014607001072	2.9460629072546602
YGR198W	3.6913941412687885	3.714685543522001	3.5376754592141277	3.7070775890072465	3.9855015355641283	3.8703160763739266	3.7415128290935993	3.8449667483592247	3.8691882660683206	3.900991516930662	3.738069651083431	3.8691882660683206	4.044020079094437	4.036302961834079	4.015255946251896	3.9267861535639867
YGR199W	2.2924337963660157	2.1951488652381794	2.133251089851536	2.3709427079228185	2.2178756665490518	2.284812505529804	2.112971256024786	2.099874882678849	2.08231437513507	2.06746050456616	1.9042613485932103	1.741684075375925	2.1442808276618885	2.000055674840429	2.3718891893662852	2.1528004417926376
YGR200C	2.4607339846874177	2.377981094135796	2.331008152073939	2.381740919975682	2.3616574388782685	2.315597668272062	2.3448853637769105	2.2436261931767105	2.018065057255032	1.8460589938076557	1.9791999533801663	1.8368294709885897	1.6227345851776904	1.5025573203314866	1.5763462508257011	1.7467758468078838
YGR201C	1.3093164836182904	1.3580534440040999	1.3332888640237497	1.3027691159001593	1.484904305673417	1.5295043430663409	1.6835046411755354	1.6623309280583525	1.8773431654858266	1.9565840585072023	1.6952565112766385	1.6978624422895172	1.9854411309292885	2.04815525762746	1.9216411488803926	1.8258831100761495
YGR202C	1.6862443192545191	1.6600520850001765	1.8041667837271471	1.7225470298536243	1.8157169044501869	1.741684075375925	1.8963455204740067	1.77746079140501	1.7953091737292515	1.8183220320019653	1.9976876306745353	1.9577821213390747	1.9367428672329408	1.8701981601212319	1.8246770516244308	1.8608893618476436
YGR203W	1.3692797028574684	1.2988953801633387	1.4144713069980748	1.4196224122826677	1.4785734393103804	1.4634322556674473	1.4665796963302635	1.372294235541082	1.1385544184505947	1.1503162732273398	1.425872184513341	1.2250099284879261	1.0446255083540232	0.965028195714337	1.0813844627376465	1.063946597432139
YGR204C-A	0.43336761031276416	0.4341484091419673	0.13518834136242275	0.1315714109498392	0.43795031234458903	0.4499277743875222	0.5094303634869016	0.1849719561948744	0.38712113872958487	0.4057607036051328	0.3840971094757366	0.35900978075955936	0.11204621558970992	0.4635904556217429	0.35748870203207767	0.11037020802816774
YGR204W	7.260831774972612	7.260831774972612	7.169528221370911	7.228759868190391	7.366089494619184	7.265310682047243	7.504124333254944	7.366089494619184	6.930892276498298	6.937100375403031	6.993166635916397	7.0222452048708615	7.265310682047243	7.234728763217431	7.27769815307498	7.260831774972612
YGR205W	1.8924826789847597	1.7864918361447626	1.9038756055256754	1.9854411309292885	1.9510512804773668	1.9184237744573978	2.033303335865872	2.0434797865212757	1.4810343596054225	1.477284535016142	1.2990993598397345	1.4254114859201703	1.2048874779216883	1.1098101859061158	1.226352706965762	1.0996957199841142
YGR206W	0.9412441816451389	0.9663716556048378	1.0385017599233142	1.0397278913691903	0.9539984879750607	0.9603276572926333	0.962785136912176	1.058821767264877	0.9176777379477414	0.8868706740841312	1.1308322825318577	1.0441769478999707	1.042602442106082	0.9608702249909069	1.106619754619814	1.0420401458849309
YGR207C	1.3607287465616351	1.3405163199715728	1.3194381981157943	1.295901864629967	1.3032615397932403	1.3042978284466646	1.3251833451447748	1.341263856247239	1.2494613910411334	1.322920318477379	1.6177907847028077	1.5962223413367853	1.5403969845903125	1.377642708602242	1.4114164461051828	1.4783550709342514
YGR208W	1.1043144206834954	1.1460568471639518	1.2310082587749187	1.2954559584274978	1.3366125143691017	1.0890995863675421	1.1332703850200438	1.135380659113355	1.366136991828407	1.3399981673988017	1.4953076693674554	1.3320156428788021	1.278015043196153	1.36226880138261	1.4186520388248665	1.4193243341051838
YGR209C	3.334607934936575	3.400935700519169	3.64429800782332	3.6642445631757017	2.953782116015567	2.9669995980247013	2.6090886518392895	2.955379501918412	3.6507234554185617	3.798028662976357	3.6913941412687885	3.671598316634884	3.3310775484059496	3.3119586178462335	3.2929327541440774	3.3715707598044173
YGR210C	2.3734541460347787	2.1917555664264334	2.3472892153333653	2.3889166486635425	2.2413845519293103	2.0374127927044636	2.2751573507132083	2.22556986100495	3.456986556838361	3.4771198844243774	3.6235567109959472	3.5717854819093073	4.750955268123949	5.084380745890893	5.219834472101928	5.151553351268149
YGR211W	1.8954945042775855	1.7628229140973475	1.9167715490965702	1.8503438674172439	1.8444971059318376	1.9461198473943289	1.9991368991033522	2.1501810249480657	4.885386457456268	4.8791673437465395	5.608168300747229	5.751803460265659	7.234728763217431	7.265310682047243	7.183092421429269	7.141063876425247
YGR212W	1.1972916748395894	1.2201474694150252	1.2072575485331183	1.1636938475584753	1.1248053992249758	0.9935484855958642	1.0622461213374534	1.0617853234244363	1.077806543037003	1.0946528483688078	0.9605843630498654	1.0309869218166934	0.9260330357185932	1.0534741343682374	1.0096868765814175	0.8871891531149626
YGR213C	1.7579964491070088	1.6101195368011698	1.7467758468078838	1.782476184775479	1.4821373410885417	1.7351734574415627	1.6639585492869733	1.5240821983093682	3.871726878721533	3.957461746675649	3.630112853845728	3.6011520711587917	5.219834472101928	5.464189704562201	5.47704237147056	5.511250250564805
YGR214W	8.290547952733746	8.412410843390983	8.39218632106191	8.402473079183633	8.488234787372901	8.551859251389569	8.551859251389569	8.488234787372901	8.196583799265213	8.196583799265213	7.867481683391784	7.867481683391784	7.224156693639491	6.97354987588769	7.044155852900953	6.97354987588769
YGR215W	1.1232417412160656	1.151026992029025	1.0914885907482628	1.178934121698747	1.1332703850200438	1.214853598526475	1.28158193307754	1.323826524086685	1.006822396662502	1.1133892220047257	0.9461352061225637	1.1985507140292047	1.0121893301562266	1.027276961428797	0.9129047448127392	0.9402692952163871
YGR216C	1.8714322513308377	1.8841681802870607	1.7225470298536243	1.8084038444615746	1.7344300952959864	1.672760623950449	1.5857392543765376	1.6292680072077812	1.747802617367464	1.6440870987795093	1.5270746562547681	1.5240821983093682	1.9069017903743752	1.7894107119860787	1.7864918361447626	1.929803620629418
