Gene	SRR333731	SRR333732	SRR527798
ETS1-1	2.8994004060215004	1.4688788362233987	1.3815260532633789
ETS2-1	0.575416991940722	0.09407668303879667	0.4011487470292875
HRA1	1.0090302689969575	0.987646160474418	0.9422506509328914
ICR1	1.2765281362375371	1.7510898630719753	1.2197297337737099
IRT1	0.5594353649956719	0.7700679604454129	0.7617928841902897
ITS1-1	1.6577136714854723	0.8624372435022132	0.7096324408067757
ITS2-1	1.87239365864311	1.4684594052010782	1.36226880138261
LSR1	1.2511491066549485	1.2370742613626269	1.8389746927900372
NME1	0.19472365500364136	0.617894412906065	0.6022355860112623
PWR1	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0010	0.18235940476747695	0.3182395332865162	0.07225061366584558
Q0017	0.259204865953015	0.09407668303879667	0.07225061366584558
Q0020	0.6146198416968459	0.6121137823197269	0.5424414399809163
Q0032	0.23330297553128873	0.09407668303879667	0.07225061366584558
Q0045	0.060793829540498126	0.5809675954241957	0.28762989241247483
Q0050	0.49543834302570966	0.09407668303879667	0.2073578414190967
Q0055	0.41178327705361684	0.252291788408143	0.07225061366584558
Q0060	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0065	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0070	0.6430752331078344	0.09407668303879667	0.3242061494563272
Q0075	0.5736145220283697	0.09407668303879667	0.07225061366584558
Q0080	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0085	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0092	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0105	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0110	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0115	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0120	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0130	0.060793829540498126	0.4395721411198912	0.6004609080798773
Q0140	0.2884592020334769	0.09407668303879667	0.07225061366584558
Q0142	0.27279799624981266	0.09407668303879667	0.444045522890658
Q0143	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0144	0.19472365500364136	0.09407668303879667	0.07225061366584558
Q0158	2.022945143078334	2.5535227822138262	1.5966652004100594
Q0160	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0182	0.22958738306753143	0.09407668303879667	0.07225061366584558
Q0250	0.18754090720369615	0.09407668303879667	0.07225061366584558
Q0255	0.18839661367524038	0.09407668303879667	0.07225061366584558
Q0275	0.060793829540498126	0.09407668303879667	0.07225061366584558
Q0285	0.18586035592533104	0.09407668303879667	0.07225061366584558
Q0297	0.060793829540498126	0.09407668303879667	0.07225061366584558
RDN18-1	8.784921741103126	8.210394472430057	8.914949918731832
