Gene	SRR039244	SRR039245	SRR039246	SRR039247	SRR039248	SRR039249	SRR039250	SRR039251	SRR039252	SRR039253	SRR039254	SRR039255	SRR039256	SRR039257	SRR039258	SRR039259	SRR039260	SRR039261	SRR039262	SRR039263	SRR039264	SRR039265	SRR039266	SRR039267
ETS1-1	2.5125186848727035	2.6545309038349445	2.704507840502777	2.614398623541221	2.6095724627231514	2.520527037770732	2.6649890618193126	2.6893174363045516	2.8377840764664053	2.749757338329535	2.6245382980874066	2.6358875707094205	2.7598915088004676	2.7729437031965336	2.8901765989780808	2.833783733184437	2.7729437031965336	2.811016816859993	2.7806199396813334	2.836399671565577	2.7761587750330166	2.7729437031965336	2.7567159959489205	2.6799113566012935
ETS2-1	0.8439905237239026	0.8675747170423714	0.8504834830773427	0.8875897665443478	0.9040819372540617	0.8897398744419629	0.8112037931029015	0.8098199733079007	0.6514556741414561	0.7863507084025906	0.7576640845449887	0.8443401581218037	0.7599306800655301	0.7918997888802307	0.6437827000321295	0.6816973740221604	0.7368762523406338	0.6534673012745752	0.627680313132786	0.5867755385109489	0.7175071804263355	0.6889863888505631	0.7292167860637189	0.7727346830334092
HRA1	0.3860537584320394	0.3776865652665918	0.31523383908977554	0.3051693865548923	0.06892841560767092	0.2760779512525135	0.2818358008849934	0.3026573453092153	0.07060684038447437	0.416936432281173	0.2785721402735	0.07562801070410835	0.30946238935626597	0.05348544604860486	0.32656551084756413	0.24979341550257567	0.06424508864613347	0.3167491923167039	0.25313730188355216	0.2401792205849245	0.05566760460794651	0.26841398788083826	0.35016325576436713	0.2582686250420561
ICR1	0.824132558352556	0.7744499811378334	0.8644160334495751	0.723731725741241	0.777716172713928	0.7930245540584189	0.8338722473156563	0.8254036925217366	0.8485107309490493	0.7628425901221484	0.7790251573989402	0.786566789112934	0.9967558638356686	0.9576529535756314	1.0216393944993665	0.9371291489686768	0.9758400181882549	0.9156492135934993	0.8697249442257973	0.9768091408041174	0.9469385026199401	0.9881182489726661	0.8818699905567292	0.9141275818607243
IRT1	0.7254713569612254	0.6497093528782879	0.6418064258177824	0.5648021994459289	0.7053752326280365	0.6762761042437798	0.7122835846192512	0.629800363206072	0.683887782260165	0.7241875879902331	0.4779409114596589	0.5903219836185399	0.7795967607280236	0.6979715300139742	0.7613723752648174	0.7394882846151295	0.6988512991120661	0.811066664342138	0.7510860505574563	0.6455695385178963	0.683887782260165	0.804032479127476	0.7126958523477619	0.7208578819238861
ITS1-1	0.9673427926724056	0.9497883643634266	0.9452014833889766	0.9381566620838622	0.9409293951576254	0.9256615853977057	0.9199716169288197	0.9620965842295862	1.0613439110139637	0.9821685895712582	0.9703219186245624	1.0026816487025139	1.2308168283464727	1.2033234508590933	1.0834313330097662	1.171629642308065	1.1248053992249758	1.160486770655572	1.1703553691207162	1.1796733720037607	1.2224016442784857	1.1817095527971675	1.1517772918662472	1.0961785302027736
ITS2-1	0.8697249442257973	0.9093512103413373	0.892426503219296	0.9034148287159447	0.9365926866449468	0.8763226550372408	0.8712093038080659	0.894744310512216	0.9993160728492916	0.813167233368371	0.871479188618478	0.917059127187902	1.060253286938782	1.0743710516928378	1.0643038285062005	1.1056865725101892	1.0862525145432957	1.063041994547287	1.0585615009397906	1.043490774447516	1.0853008889483722	1.0137730724621905	1.0646433703795044	1.155103948209887
LSR1	1.0001448051201791	1.0078788664458986	1.018835033714013	1.0232705655149277	1.0295505137608776	0.9792969387754891	0.9792969387754891	1.038205671479935	1.0709884450646425	1.0862525145432957	1.0029088769594923	0.9138709659055333	1.071669440489476	1.1768865383578424	1.129073223532977	1.0925708299915189	1.189526923217274	1.0878250298584473	1.0297661020960756	1.0799530459760436	1.1316530901558473	1.0327998057660936	1.1427169071468442	1.1858938940895598
NME1	0.6947610091722789	0.6510597881285237	0.6574487098445283	0.6396641564183984	0.690911595541069	0.6961194560819757	0.6723049272677865	0.6186169521486359	0.6534673012745752	0.6743671737061011	0.5832695238600613	0.6888152884433402	0.6884716899080732	0.6337717225581322	0.6604671366198699	0.6845370753766944	0.5908384469996739	0.7714851308149253	0.5841357172339412	0.6183655625168172	0.5802273608388513	0.5399553012110659	0.6879289165579359	0.7266250035208726
PWR1	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.41991153096898326	0.0586339544850059	0.05348544604860486	0.048118411468643166	0.06468838498406662	0.06424508864613347	0.05947706712930671	0.05780806739085853	0.05032186991494962	0.05566760460794651	0.06035863861118477	0.0586339544850059	0.05821801300774244
Q0010	0.22788627666264868	0.07265347331136918	0.08314778123560783	0.27938171056573374	0.2618484804207891	0.2445742294635027	0.07060684038447437	0.301858937033238	0.07060684038447437	0.2549474735910296	0.06424508864613347	0.07562801070410835	0.24105053985819402	0.05348544604860486	0.22129708048661884	0.06468838498406662	0.24801857093942342	0.30674425383277254	0.05780806739085853	0.05032186991494962	0.23330297553128873	0.24801857093942342	0.24979341550257567	0.2445742294635027
Q0017	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.2073578414190967	0.23689834990677	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.0586339544850059	0.05348544604860486	0.048118411468643166	0.21653541637934948	0.06424508864613347	0.05947706712930671	0.05780806739085853	0.05032186991494962	0.05566760460794651	0.06035863861118477	0.0586339544850059	0.05821801300774244
Q0020	0.5648021994459289	0.5122477069833963	0.5328253433366934	0.6236009287569538	0.6830685864230827	0.5746301193985393	0.5790284656813238	0.5697006822269474	0.6032366703699997	0.49777900713456935	0.6121137823197269	0.4341484091419673	0.3890190770169831	0.5961711833075773	0.46797310730781577	0.6899184023271838	0.5638553956092044	0.62218124939354	0.5927246552392569	0.3051693865548923	0.3257970709724204	0.4707279028120907	0.6131824478733482	0.6324601676054038
Q0032	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.0586339544850059	0.05348544604860486	0.048118411468643166	0.06468838498406662	0.06424508864613347	0.05947706712930671	0.05780806739085853	0.05032186991494962	0.05566760460794651	0.31523383908977554	0.0586339544850059	0.05821801300774244
Q0045	0.2267606028019981	0.07265347331136918	0.2994380582692576	0.28762989241247483	0.37459771056712254	0.3646222852438685	0.07060684038447437	0.07265347331136918	0.3594340560827053	0.4124612053080188	0.2884592020334769	0.4231107351231239	0.7875733845849976	0.7993577334739231	0.681317910558581	0.643592919918347	0.7921808899388634	0.8814026611787837	0.7480207626498231	0.6472316178025689	0.7423687155108252	0.6217723579214387	0.7432099448077477	0.6534673012745752
Q0050	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.18323802797231542	0.2834626217739799	0.3167491923167039	0.1969933105746352	0.06424508864613347	0.27776229686666665	0.3296764814923524	0.22958738306753143	0.4707279028120907	0.3814879418882996	0.3375824675553977	0.05821801300774244
Q0055	0.22319517240113806	0.2969938070507238	0.3110533168224849	0.48105953064397666	0.416936432281173	0.2752891334505877	0.2884592020334769	0.21248314192294807	0.07060684038447437	0.3586259894623447	0.2810066299516078	0.29865439759317475	0.430393118357813	0.401841753269969	0.43336761031276416	0.4392560274974995	0.2810066299516078	0.43257021506244064	0.42162083869342565	0.05032186991494962	0.38294661843166744	0.37689343602727327	0.5207135315645959	0.4364767819601296
Q0060	0.07896732466064874	0.30853219322205705	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.2918540556418754	0.07562801070410835	0.0586339544850059	0.17611199917790823	0.419202242320631	0.3342275463297448	0.06424508864613347	0.27192296771113056	0.2489416648925268	0.3671075596798518	0.32812055365981685	0.2549474735910296	0.26580658298499094	0.39445885160376093
Q0065	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.6022355860112623	0.6245602546499817	0.6398770596186578	0.6282870540334032	0.5572013747057557	0.6860824062348252	0.5987823369696342	0.5952723510172941	0.6860824062348252	0.5322542047504792	0.5213342590997749	0.39893599805116403
Q0070	0.07896732466064874	0.07265347331136918	0.30757530693119306	0.2960782518472586	0.06892841560767092	0.0659724896685954	0.43478578545936736	0.07265347331136918	0.2825998920652203	0.2978374008712847	0.06424508864613347	0.07562801070410835	0.8330679527165431	0.9095472695856941	0.8891103393145205	0.8541618893202259	0.8377558530770033	0.822218783684916	0.8395098279321043	0.8071320792096344	0.7526077496393166	0.9024798770661814	0.8669039840428991	0.7828637309128312
Q0075	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.2818358008849934	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.7423687155108252	0.6403437086359733	0.5310319399981	0.6398770596186578	0.636866429345941	0.6094373457896068	0.6684648275706963	0.704404631296383	0.5917738348274523	0.707369690742344	0.5675406656767246	0.631883458665481
Q0080	0.269799872878217	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.0586339544850059	0.05348544604860486	0.048118411468643166	0.06468838498406662	0.06424508864613347	0.05947706712930671	0.05780806739085853	0.05032186991494962	0.05566760460794651	0.06035863861118477	0.2177823064502422	0.05821801300774244
Q0085	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.18669373457013394	0.17698262878082258	0.22038898039653138	0.20036216819289032	0.06424508864613347	0.36121594260780715	0.38294661843166744	0.05032186991494962	0.05566760460794651	0.06035863861118477	0.2610165574957016	0.05821801300774244
Q0092	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.0586339544850059	0.05348544604860486	0.048118411468643166	0.06468838498406662	0.22501258882398179	0.05947706712930671	0.05780806739085853	0.05032186991494962	0.05566760460794651	0.06035863861118477	0.0586339544850059	0.05821801300774244
Q0105	0.22501258882398179	0.07265347331136918	0.44311273052088745	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.20547836303736483	0.42901846709448554	0.36381034393528616	0.06555120279327951	0.2910593819793166	0.27938171056573374	0.0586339544850059	0.17975988609599095	0.16767766916029994	0.386768183432551	0.34692584321605996	0.05947706712930671	0.26471067451022995	0.22788627666264868	0.32066278107208246	0.06035863861118477	0.33504114115973677	0.39132788449254075
Q0110	0.07896732466064874	0.07265347331136918	0.08314778123560783	0.07440137341916227	0.06892841560767092	0.0659724896685954	0.07060684038447437	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.06424508864613347	0.07562801070410835	0.0586339544850059	0.05348544604860486	0.048118411468643166	0.3232919052029098	0.06424508864613347	0.05947706712930671	0.2601411639905095	0.05032186991494962	0.05566760460794651	0.06035863861118477	0.0586339544850059	0.252291788408143
Q0115	0.32242536387829723	0.07265347331136918	0.08314778123560783	0.30853219322205705	0.36032544767482366	0.34858953239622353	0.20464491362446646	0.07265347331136918	0.07060684038447437	0.06555120279327951	0.2859437068125136	0.07562801070410835	0.0586339544850059	0.05348544604860486	0.048118411468643166	0.31975824705013556	0.19190710079273518	0.05947706712930671	0.05780806739085853	0.17105751870922406	0.05566760460794651	0.19190710079273518	0.0586339544850059	0.05821801300774244
Q0120	0.07896732466064874	0.3174967843329979	0.08314778123560783	0.4386636308947014	0.06892841560767092	0.0659724896685954	0.3059828599676143	0.4386636308947014	0.07060684038447437	0.49898499032254484	0.2834626217739799	0.34858953239622353	0.18235940476747695	0.16937883593771885	0.048118411468643166	0.2428725182314416	0.06424508864613347	0.2710396601910656	0.25400500543870513	0.05032186991494962	0.05566760460794651	0.19586777958285878	0.0586339544850059	0.31975824705013556
Q0130	0.575416991940722	0.5201636946856775	0.6615137566674822	0.597426123320947	0.48511880657482453	0.59322577026074	0.4616138784241619	0.5537454882743363	0.410186117658609	0.48444264554332894	0.4267726361660512	0.39049370778711595	0.5229452787957587	0.5213342590997749	0.2960782518472586	0.5913513843343858	0.46008394248865037	0.47763700724391217	0.35675924855384544	0.34114423456568505	0.3646222852438685	0.49026358024532934	0.5388868348653221	0.5325747353332144
Q0140	0.49718979218236137	0.38070512255464795	0.5341550385466125	0.2969938070507238	0.5054916756836888	0.5039818197129757	0.36997774198886724	0.3182395332865162	0.37387252367383783	0.361989692784645	0.06424508864613347	0.40680210274829065	0.47855923799327377	0.47379653305708536	0.5293844683206794	0.6032366703699997	0.5047014186457337	0.48105953064397666	0.4585503481113194	0.5706480231546344	0.47130795351814453	0.5266227988947083	0.5474168800285554	0.5883866073761919
Q0142	0.42788142721462175	0.48955086562947625	0.47130795351814453	0.3948496600394565	0.48511880657482453	0.44885776171146285	0.07060684038447437	0.35712000437583225	0.33504114115973677	0.43795031234458903	0.06424508864613347	0.07562801070410835	0.4499277743875222	0.6044407073309315	0.4752234640684301	0.35207494235016	0.5874975103779583	0.5114259300809602	0.4028614686735701	0.47763700724391217	0.4884890393080643	0.4159363577663039	0.4267726361660512	0.4968908270254039
Q0143	0.42788142721462175	0.48955086562947625	0.4211859209049911	0.4021830963697706	0.33044580365872017	0.2262666374246558	0.33504114115973677	0.34778725541832833	0.33504114115973677	0.3296764814923524	0.06424508864613347	0.25745313646075263	0.28549243916585226	0.49207914052618745	0.2960782518472586	0.4084756005172566	0.06424508864613347	0.28966253016949245	0.3128007333445408	0.05032186991494962	0.21429884884847547	0.4159363577663039	0.3128007333445408	0.2138283117650458
