Gene	ERR1720587	ERR1720588	ERR1720589	ERR1720590	ERR1720591	ERR1720592	ERR1720594	ERR1720595	ERR1720596	ERR1720597	ERR1720598	ERR1720599	ERR1720600	ERR1720601	ERR1720602	ERR1720603	ERR1720604	ERR1720605	ERR1720606	ERR1720607	ERR1720608	ERR1720609	ERR1720610	ERR1720611	ERR1720612	ERR1720613	ERR1720615	ERR1720616	ERR1720617
ETS1-1	3.871726878721533	3.5657198561235677	3.3732356862959616	3.4960976330688256	2.7288681341174073	2.4679363840885795	2.7482855073762873	2.8708909729043635	2.856804300131727	2.605405603268127	3.814975259068276	3.2596578754308156	3.4973057440817628	3.4724254644837593	4.870682414508507	3.9472911763865235	4.939903495757593	4.434500900084604	3.4960976330688256	3.5526253504435306	3.6235567109959472	3.781567825713533	2.99841665368951	2.9806295482895804	3.1028407062939283	3.0418755318758293	3.0542635706171155	3.4278401444799966	3.30921959674908
ETS2-1	0.4960102775453341	0.1731456805108605	0.5021547946305174	0.16500796326321718	0.48784743456352364	0.4461788035765666	0.18235940476747695	0.16722359859766345	0.42828812503704794	0.15064317975039856	0.15928145106462283	0.16103822998785777	0.16058354857499502	0.16234463637236013	0.15625530736696971	0.3936960310382049	0.5315816374076917	0.15286941738577312	0.15153979915869764	0.3936960310382049	0.1663218110885194	0.39132788449254075	0.4364767819601296	0.5903219836185399	0.14845318368188898	0.45318654776436373	0.1601313411839699	0.3784333000638255	0.15883724427605972
HRA1	0.1570937506772226	0.47379653305708536	0.410186117658609	0.401841753269969	0.17485233410386306	0.4411858620124387	0.18235940476747695	0.16722359859766345	0.41481650097483846	0.4411858620124387	0.4759534501364876	0.4364767819601296	0.16058354857499502	0.3874825560150803	0.15625530736696971	0.15369910436537595	0.13790294707669554	0.15286941738577312	0.15153979915869764	0.5594353649956719	0.1663218110885194	0.4923931415807441	0.16937883593771885	0.17273114192088365	0.500999257209331	0.5255575411942585	0.1601313411839699	0.4355832268470949	0.444045522890658
ICR1	0.8893648902514795	0.8860333952511935	0.8912353540904218	0.9236220570059148	0.9172485395278134	0.9454738879342182	0.8953965829102831	0.9594047601720374	0.9658362741711506	0.9193914464984714	0.9161474063001989	0.9111999269855091	0.9074751725004302	0.8991250833575694	0.8805447177035913	0.9387277860972091	0.9121236162421502	0.9387277860972091	0.9360831640143892	0.962785136912176	0.934086191028427	0.9661065719466586	0.9207033761235819	0.9409293951576254	0.956941045007058	0.938988654642959	0.8918577550080478	0.9409293951576254	0.9656027772078855
IRT1	0.7232846327512157	0.733989397563895	0.7273984428156862	0.7294391461039643	0.7370718137938708	0.7357455839932083	0.7666219002056411	0.7378038974661809	0.7063037374207151	0.7146356463387671	0.7029925588240689	0.7019378982743012	0.6923885148221514	0.6947610091722789	0.6747871555625976	0.7063037374207151	0.7023033096131384	0.6689929021886818	0.7273984428156862	0.6935486212995635	0.6262243422583955	0.7077164784066974	0.7352621973660436	0.7007830463075948	0.7281818702098921	0.6996539401835988	0.7208578819238861	0.716988059776866	0.6847331257292735
ITS1-1	0.8147114265620764	0.8130101515409734	0.8098199733079007	0.8347213802753457	0.8311324940980578	0.8030195262906894	0.8254036925217366	0.7852193854761859	0.7989847055320773	0.7910167738632395	0.8035255052839377	0.8120187433496416	0.814030727198921	0.8179079740307716	0.8086606557779243	0.8215637443899415	0.8377558530770033	0.8136879706838587	0.8295213613276788	0.8308419684130421	0.8018840340461219	0.8218199327527389	0.8107858346614554	0.8492897699666138	0.8464496693006938	0.8638605069371421	0.811066664342138	0.8049924842910394	0.7880878893530922
ITS2-1	0.8457057700773368	0.8896081902722895	0.8419900420316895	0.876125319931597	0.8182327439692989	0.8322123364780121	0.8374646796133275	0.8454338294722632	0.8541618893202259	0.8153761038549789	0.8286326204786922	0.8490395877300787	0.8436404599047569	0.8584802379271707	0.9024798770661814	0.8443401581218037	0.8912353540904218	0.8363704990888308	0.8729006504744858	0.8449857905079575	0.7986315564105952	0.8074672866759629	0.8734789096698959	0.9138709659055333	0.8683377952381734	0.8903732244501044	0.8513296959887352	0.8377558530770033	0.8370227942808791
LSR1	1.1227900644113653	0.9639218895266845	0.9579061420340189	0.9887917887217891	0.8846969180050994	0.894601065855437	0.92876701345025	0.952156300092845	1.0193604770748497	0.9376233609444846	1.1700500484054266	1.004205369564123	1.0599348210796617	1.021397997480431	1.0572068332097684	0.9433758537121245	1.1517772918662472	1.0001448051201791	0.9630201701417429	1.0096868765814175	0.9118464374425128	1.0110887800510513	0.9700684658945986	0.9737398981179158	1.0387790240030372	1.1235448971309427	0.9920055887767258	0.9975574700424501	1.0339509093582673
NME1	0.7175071804263355	0.7603796001810538	0.7786976884204939	0.7677272722686732	0.7363840960855123	0.8071320792096344	0.8060042488683634	0.7835417076682942	0.786211478208053	0.7842169212265224	0.7813446558824603	0.7783676832734342	0.7780567991991438	0.7816791308210321	0.7592908429845212	0.774786013645646	0.7852193854761859	0.7842169212265224	0.7880878893530922	0.7603796001810538	0.7526077496393166	0.7548397893831248	0.710317831058772	0.7625236240302671	0.7825694994201431	0.7852193854761859	0.7539823913425328	0.7770219990565302	0.8081941304396619
PWR1	0.1570937506772226	0.1731456805108605	0.17568688459086684	0.16500796326321718	0.5015119274236267	0.5547901194855038	0.18235940476747695	0.47667280714279003	0.14263087797566393	0.41771115303958456	0.5100252448678096	0.5888967559394473	0.5726735941565295	0.4084756005172566	0.633498935428027	0.6262243422583955	0.5514640123641901	0.5479612307343303	0.401841753269969	0.5917738348274523	0.606463475652012	0.6847331257292735	0.606913554109999	0.17273114192088365	0.557694492414548	0.48597931357153734	0.42243304982170854	0.6574487098445283	0.4454682707819951
