	WT at 0hr minR+Leu 1	WT at 0hr minR+Leu 2	WT at 0hr minR+Leu 3	WT at 0hr minR+Leu 4	WT at 0hr minR+Leu 5	WT at 0hr minR+Leu 6	mct1KO at 0hr minR+Leu 1	mct1KO at 0hr minR+Leu 2	mct1KO at 0hr minR+Leu 3	mct1KO at 0hr minR+Leu 4	mct1KO at 0hr minR+Leu 5	mct1KO at 0hr minR+Leu 6	WT at 15min minR+Leu 1	WT at 15min minR+Leu 2	WT at 15min minR+Leu 3	WT at 15min minR+Leu 4	WT at 15min minR+Leu 5	WT at 15min minR+Leu 6	mct1KO at 15min minR+Leu 1	mct1KO at 15min minR+Leu 2	mct1KO at 15min minR+Leu 3	mct1KO at 15min minR+Leu 4	mct1KO at 15min minR+Leu 5	mct1KO at 15min minR+Leu 6	WT at 30min minR+Leu 1	WT at 30min minR+Leu 2	WT at 30min minR+Leu 3	WT at 30min minR+Leu 4	WT at 30min minR+Leu 5	WT at 30min minR+Leu 6	mct1KO at 30min minR+Leu 1	mct1KO at 30min minR+Leu 2	mct1KO at 30min minR+Leu 3	mct1KO at 30min minR+Leu 4	mct1KO at 30min minR+Leu 5	mct1KO at 30min minR+Leu 6	WT at 1hr minR+Leu 1	WT at 1hr minR+Leu 2	WT at 1hr minR+Leu 3	WT at 1hr minR+Leu 4	WT at 1hr minR+Leu 5	WT at 1hr minR+Leu 6	mct1KO at 1hr minR+Leu 1	mct1KO at 1hr minR+Leu 2	mct1KO at 1hr minR+Leu 3	mct1KO at 1hr minR+Leu 4	mct1KO at 1hr minR+Leu 5	mct1KO at 1hr minR+Leu 6	WT at 3hr minR+Leu 1	WT at 3hr minR+Leu 2	WT at 3hr minR+Leu 3	WT at 3hr minR+Leu 4	WT at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 1	mct1KO at 3hr minR+Leu 2	mct1KO at 3hr minR+Leu 3	mct1KO at 3hr minR+Leu 4	mct1KO at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 6
" fructose-1,6-diphosphate"	1822034	1768729	824199	877555	1898913	1207077	1407413	879362	614350	47319	1791785	2442717	327233	556055	129517	127561	357463	319148	223306	180095	385943	48923	128871	251405	143455	183291	28534	67423	0	0	0	31380	113204	33201	38399	47881	95658	1031856	473878	230054	7866	441800	10559	152216	8390	96854	10651	0	458692	0	372087	26465	0	6318	385832	234199	417028	359913	570226
 Fructose-6-phosphate 	1481969	1551575	656211	1125744	1672550	1353748	1584598	710753	1224807	849061	2365477	2195241	314081	475973	141592	102373	358076	319651	125287	131602	183768	101657	156354	171975	157325	196584	89833	82585	24435	14732	39871	67308	81295	57161	168485	111787	243292	668187	554455	650805	54969	778723	114141	156229	54024	101943	87581	49897	1334766	361612	2053268	1000869	1108965	83978	982927	1317818	946704	1072549	1761856
 Fumaric acid 	328357	324127	513165	431595	315783	371181	3042557	1866266	2130689	1823005	2372211	2506162	223908	181565	168363	178134	178619	150939	364299	371392	367706	454371	348643	262164	390201	296352	387914	521485	368338	347108	469973	630634	377131	636482	607690	601517	483248	738619	986833	1202432	352511	894544	497452	1264722	1126696	955209	580770	1192400	1181609	1154328	1412022	1201346	1155458	2369057	3099785	3068555	3439886	2532244	4114279
 Galactonic acid	46537	116331	101137	46289	24984	42324	35050	25505	20154	21252	34441	9600	16968	17541	21310	36640	32698	26672	10181	10083	9658	8885	6622	8974	29533	24586	23408	41387	32463	88209	41797	31520	21188	28325	13624	13002	13536	36276	27609	32206	21439	12669	16273	12834	23109	12339	31232	10958	12718	10561	16819	34361	13599	18599	48602	29332	17741	20652	64128
 Glucose 6-phosphate	470621	415277	285089	305009	609865	635457	352231	254220	500175	354471	484734	506970	86841	162437	41945	24040	149746	98501	67941	66191	80945	48363	64967	70705	72114	78349	47093	33601	13081	7985	21440	34600	36851	26608	59171	48343	91404	226507	166927	167808	24918	249476	38707	52444	20968	35181	34748	31055	450275	170709	643381	400377	474250	55438	265831	466143	309532	353797	411206
 Glutamic acid 	3630	3231	3289	1045	2854	6762	0	95	3165	2468	603	3772	4844	883	3290	6226	4253	5529	670	3554	1059	1331	2844	0	11636	2725	10689	19674	12137	9201	6704	5323	6562	6034	6572	836	14211	1242	12421	11342	10305	15216	4375	15039	3710	7117	4716	10635	7889	8459	971	5923	7344	4131	2681	1228	5650	0	0
 Glutamine	30519	133257	14601	24531	56508	86765	16328	17710	37959	13084	25658	70044	32369	18288	17168	81214	32062	25638	5789	8114	9912	5426	9148	4718	1009049	10092	331857	475760	185641	19848	10330	24029	40985	40358	42791	8392	126905	43645	589897	2396997	216206	587697	6516	215443	39210	97782	7755	7008	112583	0	35544	19368	47606	9548	9427	50383	36075	20602	27180
 Glutathione 	86589	18962	59585	55267	24461	0	146219	36947	11078	0	28514	14112	112088	102730	12388	12428	32732	43987	29075	14042	38078	33847	14169	25021	5072	14960	4019	4405	0	19947	0	0	0	4538	0	10956	4506	52176	0	6728	2160	5526	958	0	0	1166	987	3405	10086	0	15049	2280	2919	4428	7463	14208	5088	25316	51584
 Glycerol 	5333714	3276049	24004146	5921948	0	18232794	4834053	8939183	4793781	3742502	0	0	7021319	3825838	2884711	6272710	10321147	8370474	8990640	20407158	4896683	12004548	10583387	7260972	8568754	3578037	20139026	15315822	17782460	10346677	17647469	10371804	7977409	29389761	6836358	7837712	17074091	8947118	6115759	9367844	5446557	17052339	4640732	18064827	5572306	6524893	6839688	9344319	13320283	11516274	7433908	19134884	23564544	9839122	6653190	11649845	11029486	9039562	7728420
 Glycerol 3-phosphate 	69972	56603	50698	96137	59448	53901	69420	44044	56809	46760	83935	83922	30875	42726	42929	28070	35032	20403	17611	21112	17854	16071	14848	15644	43178	42686	25791	48080	33831	11481	9695	12535	15787	27628	16532	12921	22629	37783	34400	30742	15124	26266	7106	16338	12102	10072	7960	10246	45500	23441	28210	26141	19543	19605	32130	27356	38803	40472	62816
 Glycine 	1041617	1265011	921841	1172022	1183961	1181078	3776021	2480587	5544833	3872322	6035429	5401550	1156676	806636	1320660	1459961	1076575	835068	5874662	6887993	7445520	7100222	6783362	5698346	1235218	1036448	908183	1657949	957779	521568	4445147	6398377	5588430	6613042	6721952	6754730	1072903	777913	1271600	1265878	587681	742598	3581800	5711632	4510163	5366331	4196662	4463571	742535	588496	925809	738742	901600	1947966	3188500	4054239	3773608	3086929	3060415
 Glycolic acid 	938945	931309	1491742	1222489	988708	1260916	802786	926619	714929	811343	982348	774143	1110846	1068716	818334	1218051	1230047	1052341	1054963	1234896	927679	1138270	975434	1030339	1606752	1232776	1325848	1531171	1416626	1532432	1014404	1391598	734628	1720598	830526	982374	1612341	1596523	1104645	1886041	1351463	1507420	1005434	1557575	1352229	1240555	1070005	1730776	877572	1394740	1252507	1025273	1366900	1426090	1060681	2252159	1481310	1325228	1778082
 Glyoxylic acid 	375871	175511	818395	496172	231732	545859	300579	309384	202690	228117	196749	212533	295384	270273	201400	262016	541198	375202	325439	457109	274732	438261	356253	253239	94105	93414	176216	197123	219804	237447	140913	145766	101958	220300	92486	96915	147763	143266	86094	124466	109220	151237	90837	127998	100650	109286	94597	177597	262278	398254	123158	158492	199724	853649	135375	157164	399172	162123	262712
 Guanine	14396	17829	15232	8907	12674	10290	5072	3624	5409	2894	11581	10071	16293	0	53684	113992	10013	10988	2243	6421	13249	29098	4010	3333	25904	29417	22979	48742	17604	5251	6196	11352	11359	11083	8976	10643	9340	11056	85334	98222	4868	9991	2100	4890	4890	6973	763	3019	3024	7494	1391	3214	3057	7161	5160	192	2178	0	0
 Heptadecanoic acid 	57934	0	4695	0	21770	0	0	0	0	570	0	6204	0	0	0	0	0	0	0	11993	0	0	0	0	0	0	0	0	0	0	0	0	8265	0	0	5016	0	11018	22694	0	0	0	0	0	0	0	9281	0	0	4676	0	0	0	0	0	0	0	0	0
 Heptanoic acid	1253837	360590	1581410	1075533	562180	1463850	486076	809746	531323	724728	590568	338834	759471	1394091	621653	752272	1171445	1049384	928259	1558617	1072563	1074349	1022786	714921	2594561	1364694	3096084	3548727	2765686	2666993	1869220	1795610	1723511	3266311	1253764	1464314	1481270	1430229	547253	971961	1139129	1631248	676946	2070811	1027277	1093732	927156	3219178	1154418	5273633	1081242	1418299	1647174	3700173	735870	1328435	1179228	1143227	1309501
 Homoserine	523579	454715	523192	931430	656327	527406	1148297	570623	288905	328024	974631	634123	276290	672192	342615	275645	432533	267604	338112	232550	192900	172682	172303	263761	32380	41118	204177	248738	122820	103029	151753	12849	69875	40558	22503	47628	234364	44852	293171	299181	46159	74362	7835	52613	66495	33683	12666	56307	190696	16984	269970	72706	56100	96376	122370	166806	357437	25993	387293
 Hypoxanthine	32825	37647	11191	7866	33279	13554	2614	7677	4748	6104	7771	2988	60767	27741	31937	45048	13344	14975	2519	11200	12854	7358	10932	13532	47155	52425	28934	38318	19980	34718	10255	1787	13473	3925	6312	7172	13876	0	27453	11197	14451	12895	5143	1378	5791	5853	0	2585	4257	3231	4209	0	2891	4097	0	0	801	0	1678
 Iminodiacetic acid	120861	82111	236187	104340	88455	197323	33937	24255	73323	66425	42426	68728	123002	46475	60151	114499	206116	163694	58937	160391	87889	96782	152225	55465	128556	39727	190921	221854	205169	243680	81640	98192	85128	183423	82698	79527	151004	34033	45799	133777	112929	170190	72999	158208	61852	98090	81569	171201	144508	390127	46453	163747	177077	298117	75552	37957	118327	53981	63863
 Inosine 	59443	80122	45614	37351	60080	67812	21113	16420	19129	11723	45107	29218	8262	6064	10373	8622	4328	3244	12890	14324	5198	6084	6533	6849	11483	10347	5149	13431	4979	4286	3031	6259	6630	4329	4657	5845	6967	9203	17200	22630	2314	8939	3648	4294	4973	5463	2625	5571	7091	7340	15408	13903	4702	0	10054	18422	12148	10174	9237
 Inosine 5'-monophosphate 	29492	19010	10727	4620	11389	27952	6447	0	6240	0	4606	1883	14949	10725	14752	8258	0	7753	2084	15931	1449	1425	1130	7998	3653	12955	4238	24746	0	0	0	0	11822	26966	6878	3600	2301	18893	12243	0	7372	14085	0	0	6103	0	1557	0	14334	5228	12748	0	2090	0	0	0	6628	0	6325
 Inositol phosphate	4054243	2244191	2964426	1883799	657726	3428791	1427112	1789809	568999	937674	1308073	595676	1400187	1785286	1939269	587443	1055616	854625	398047	479178	829013	573267	311764	334950	3133545	2277886	3267758	4158546	3297760	1072002	735694	1064970	1756307	3371197	1070241	1283245	987107	1459835	601589	771340	772588	831209	197228	528158	396800	328880	355672	1347992	884730	1082727	1125443	1598921	693058	493603	1028011	1824453	589272	1262252	1538596
 Isocitric acid 	26619	0	24765	38851	0	45502	48019	24887	31652	24658	39595	45437	57222	15226	30953	26437	36247	60821	22219	29196	20221	22663	28409	16907	73156	51270	37911	91021	75567	52866	21090	32264	25914	32277	18912	16395	9081	43977	0	29118	31340	34806	16495	25691	27113	15305	13836	25493	29730	38356	0	36909	0	36025	22175	27409	31206	22221	40263
 L-Alanine	312406	348497	292327	374546	342938	361182	1755736	1634607	1755445	1512666	1621937	1881360	2366167	2304684	2604481	1937903	2264515	1298838	3586546	3842548	3597665	3846349	3838739	3197445	3694966	3204231	2586929	3180119	3547411	1210799	3994643	5018629	4307458	5599680	4132166	4706076	2226160	2175729	1313645	1366630	1783017	1514380	3708446	4748402	3755956	4598050	3609520	5010514	444653	410023	733494	466375	510949	4621918	6532914	11925126	10305317	9032164	9471463
 Lanosterol	41138	26584	29690	18047	5539	84703	9000	6959	4189	6012	4200	2604	9718	9199	14106	3574	5452	6320	0	1913	3205	2498	2023	946	15706	6797	12985	21472	6429	10396	0	2501	4031	7469	3479	3056	7006	10299	4166	8775	4192	2613	0	2224	1679	1744	0	2838	18866	12693	15336	32455	18161	5926	7337	12277	8358	6439	21746
 L-Ascorbic acid 	624208	379506	1542296	929428	396393	998419	277450	410389	533020	410080	197579	333921	0	8506	1655	3016	4077	153	3440	2467	7595	22707	0	5170	4711	0	4474	7045	1918	279	0	438	1331	0	1718	5118	5680	0	7451	6185	5478	2113	0	1750	1682	0	0	3049	0	0	2620	0	1122	0	2940	12251	0	3084	3679
 L-Asparagine	35451	26119	21042	38518	28429	54515	10597	22728	18724	49160	16738	16699	0	1081	0	2169	2380	834	734	0	2497	0	186	2152	0	0	0	0	0	1777	0	954	458	2762	291	660	0	0	5577	0	0	1827	379	5398	0	0	355	653	0	0	0	0	391	0	1020	3494	0	1483	1421
 L-Aspartic acid	251201	255472	200066	333842	285694	313112	609569	321745	390579	269103	807979	557693	441411	599145	980612	616169	487284	357609	93869	71024	340684	235502	138201	102551	325283	548457	441117	671205	318433	138124	88257	174548	127456	134765	378560	400201	160495	198723	271206	359561	105021	219144	202383	369197	369250	390423	277574	357680	246950	127546	497896	224478	256487	152315	422746	799956	666963	491078	574001
 Lauric Acid 	285837	600974	726341	580684	209843	466902	144611	116562	261767	343383	252644	103783	227645	115772	253116	332326	362925	226641	150087	257939	121323	162449	174102	116986	414470	258736	407256	635125	662177	892005	405630	417731	228660	512325	148328	165133	299633	396195	270466	419822	280738	271290	195559	407362	318604	261140	312365	463189	234254	662482	232138	474043	411444	565056	425027	311318	291882	228334	487016
 L-Glutamic acid	213718	415147	48859	160502	410602	201173	120195	6415	177748	138839	147353	348971	341572	271341	651849	431979	211252	145243	25610	59050	114640	37313	70433	36577	779526	664789	405351	765043	393999	105822	124989	168303	106881	131464	185689	148134	506934	623602	1239213	1222202	307567	638801	126585	138396	245746	139627	122923	95265	627357	266999	679642	524765	567926	79948	230236	75119	603750	93154	147792
 L-Gulonic acid gamma-lactone 	453129	318186	1181075	611197	277993	1739660	184966	378259	886787	345853	301013	293390	18076	35601	3881	2375	5761	2921	34468	11751	39177	101195	12456	29249	0	9270	9068	16332	2037	3498	5484	0	2433	626	3770	8937	2560	8608	24034	20264	1248	4539	898	770	12418	0	1031	3200	0	0	13508	10555	6098	2038	14281	56953	8063	23517	26000
 Linoleic acid 	6445	6445	11471	12209	3166	11481	4677	6176	4460	8990	7591	0	4313	3108	9474	3240	3909	2606	3234	2269	1440	1623	2022	0	3052	2953	5961	7605	0	6806	5284	4700	3373	7526	2516	3760	3793	3754	3049	5897	0	0	1802	7319	2423	247	2557	6555	5722	16317	4788	8446	6644	7569	3285	5791	5631	6191	3910
 L-Isoleucine	918482	1088775	204192	1317470	952356	872934	2150232	1408191	1760186	1115247	2709800	2045962	1137136	1343119	1549154	1111398	1071193	783886	1670140	1485532	1749804	1430991	1452721	1372925	1384127	1807489	881612	1847880	768092	800061	596182	945712	1342840	748917	1461418	1698605	1473791	1209961	1355078	1566206	873168	921520	1340038	1963657	2543008	1878630	1355765	2513537	930852	761100	1197505	758171	929759	2493975	2451714	2567117	2584338	2704778	5452192
 L-Lactic acid 	334652	193329	954249	563600	228043	587050	413228	271231	461443	276708	376304	270584	318088	238690	183827	322092	463961	378453	398521	494437	345884	539727	478166	286895	422054	235876	503058	612932	605366	621734	456010	518438	394234	905299	623273	396312	405503	398771	230606	395572	329943	498595	336471	878948	794020	828039	577959	883382	351009	1346030	261209	440661	592609	1092056	433993	883689	743488	659517	561720
 L-Leucine	299447	256862	382148	372117	137341	191592	255083	181603	117715	86382	244402	113547	943856	1465164	900726	864796	1150160	669834	1195428	886722	891237	932138	663001	1131745	381733	1019676	270386	767540	228280	259173	222802	647816	614572	172881	561746	926974	305747	365122	127489	181513	180829	64356	235788	506164	350026	419034	134537	329264	237916	90774	398429	436576	426660	178126	478342	589409	280838	562109	690075
 L-Lysine	1658366	3720668	762780	1314588	4382646	3131545	46136	79372	605385	452999	556246	954777	1285682	686904	3477050	2692818	930794	613215	1841	50316	77760	0	106556	4150	2559920	1185764	1171392	2956286	1266008	377198	268635	493169	347399	351873	310515	108444	1421161	840220	2234529	2345728	564590	1018252	275379	313864	286825	291265	157422	191877	1251231	591300	548993	453318	718698	111248	194452	2735	480624	230	6523
 L-Methionine	64723	136224	117484	122192	105557	57123	171543	44798	115073	68582	224231	133875	157436	148977	227234	140927	74486	75900	184532	122899	160463	151152	130891	125294	77198	82318	65055	123283	69042	49802	50053	62190	91438	72014	90458	109577	108403	50325	74660	104772	45996	53034	61029	61803	95254	88936	59389	90874	97755	72469	135334	100169	100654	60881	98102	103724	89027	85642	80156
 L-Phenylalanine	947366	915469	1023658	1585768	1002968	804928	932563	466055	654223	459137	1163832	576154	1812808	2294573	3680990	2096167	1745376	1317583	749084	639672	1199377	858841	811723	732175	1405415	2142325	1747698	2564329	1679227	1285957	450409	626948	676216	549176	1029401	1091478	1176218	1331680	629407	1325106	932362	936734	1070908	1247072	911945	1261043	864650	1328337	1200804	845892	1788527	1127601	1073565	412471	835221	1358297	1144143	982716	1040479
 L-Proline	4175973	5003813	3253462	4602941	3972835	3389727	3775371	2396156	2948706	1881204	4298994	3447356	4138699	4080331	5293162	3968203	2752404	1876454	4149494	3253312	4197044	2844427	3282579	3695675	3042590	4479283	1688627	4037952	1533432	355740	1170975	1998711	2295496	1055382	2730551	2991558	2134224	2948065	4944074	5077818	1274935	1972060	1836067	793656	2136461	1513893	1140863	233860	3574762	586465	5813423	4222978	3223335	2045006	2889627	3468815	2721348	2436256	2754128
 L-Serine	3510769	4251296	3346829	4482804	3732308	4200831	4384882	2758945	3569228	2430962	4126570	4925351	2029937	1931339	2791568	2255091	1552279	1401123	1179194	1071750	1114017	904681	980794	910498	2326798	2275996	2069208	3441154	1711087	935443	498094	671337	626708	589663	931195	932051	1790430	1793496	2542270	2969217	1032533	2004144	903458	1745417	1521064	1283079	831630	1355186	2373379	1870086	4425227	2886823	3324832	1211163	1886904	2876439	2395995	1656611	2402409
 L-Sorbose	189025	146430	197006	253440	132525	100057	295816	261372	101556	125893	355845	125973	62993	92600	60455	45089	42932	25564	63666	57333	42568	68269	58652	45992	39852	33718	33612	50151	27088	15573	29718	38700	41190	26980	37773	47148	18263	35851	23766	35928	6796	26546	24805	22363	22540	16621	17006	20632	7777	7590	57042	27865	34227	4781	38275	57726	13237	36472	24036
 L-Threonine	613995	522133	405726	607518	298185	580809	726052	411533	503129	471085	599374	691071	519909	480481	574310	524851	446834	295802	259612	230474	330925	265139	186399	220699	281301	581362	131201	515314	115192	146461	42827	284300	156364	77458	227851	295794	224838	273865	250694	199925	147972	33990	91894	279147	334656	241404	54359	318093	261439	309836	251870	330536	423488	118175	342540	460506	360384	381519	427582
 L-Tyrosine	196543	460327	186445	207885	388333	279037	3751	2437	71385	62966	90369	115830	141282	57743	199284	264966	241738	130384	3335	17935	46905	15035	40181	9376	355311	178068	257372	511646	264388	90721	52045	98389	95624	83732	99482	71096	214862	93138	244028	340726	147784	114333	128578	132175	144847	156200	102743	94738	50576	36859	35485	90951	110118	0	46104	0	40690	249	0
 L-Valine	323075	198025	266446	280954	139501	291453	878954	307822	705764	413431	651991	574591	815685	885207	777147	911809	932613	690318	1313897	1112715	1095488	1277621	813824	1218420	533522	941751	289933	1125846	353986	636546	348736	1364951	861281	457538	822601	1201996	717233	529692	154089	311986	485306	155745	605509	2423410	1447240	1522064	377722	1760771	237997	136019	620356	335317	384207	1249220	1415028	1849277	1016302	1644656	1808497
 Malonic acid	6383	4553	0	8400	3923	0	6458	4045	3563	4229	3477	4034	7702	4603	5375	5258	9403	0	3884	11490	6505	0	2497	7207	14499	11387	6676	4209	3717	912	2664	3741	6422	9169	11518	9338	11612	7441	0	8034	7327	7343	3281	21176	4362	9480	1734	5690	3649	9803	4382	4797	1249	13273	12321	16295	18958	11792	15702
 methyl-beta-D-Galactopyranoside 	38615	6933	32180	33578	21216	3061	24999	20052	2944	0	31841	3418	97692	127437	87815	13054	0	22093	16276	11165	0	4047	8417	7696	0	87627	0	0	0	2523	0	0	0	0	7490	4641	12548	65782	28572	36064	17136	6175	0	0	7007	0	0	1521	32204	10504	31036	7721	5700	0	0	4673	0	0	19985
 Methylmalonic acid 	10545	18573	12401	7536	15227	15296	21286	16776	23599	18316	27078	40010	41515	31367	28473	45622	30659	25834	21746	33176	56659	47747	38626	30224	66773	58176	42678	63490	49421	21823	50961	79069	54048	78053	54202	61099	35004	26186	20832	25089	21195	19301	53413	90396	56420	67834	46989	72700	12539	10518	14628	12124	10837	38021	41259	37256	39485	25873	28762
 Myoinositol 	894907	1010541	1331171	1244211	761738	739259	461284	177191	653314	701976	1345588	816158	4912444	4778203	5896594	4762739	4184814	2839932	3282415	3294008	2494089	2374634	2662146	2823269	4403943	4361890	3212157	5853937	3266536	1684016	1865194	2375844	1573479	2056831	2731640	2234247	1314505	1904670	1294338	1818587	920089	1235627	978122	1170873	1011893	1021094	1073913	1089487	958493	881992	1513574	1112207	1247992	609492	942534	1367164	1175776	1049309	1403974
 Myristic acid 	1348757	1093147	2287538	928716	711697	2207192	528017	528361	767870	552808	403680	289595	1666389	715803	875804	1686982	1558865	2130092	679256	989065	480833	788527	874351	539361	3210681	1438510	2308389	3324439	3329285	3964998	711619	989889	926728	1470442	502297	416510	1685468	2515657	1124136	2140851	2050770	1847023	362911	741377	409152	604631	487500	913878	1096700	2546438	419756	1139072	1186489	1977992	606802	502544	653691	579795	970250
 N-acetyl-L-aspartic acid 1	2612	1558	0	3999	2979	437	590	2222	806	488	1469	0	10843	1296	7623	5439	2317	2235	1044	1389	0	0	0	0	0	681	0	0	923	3244	1155	2633	212	0	369	0	0	2040	2231	5554	1423	2466	346	0	0	258	2050	3717	5432	0	3003	1154	6435	7119	0	0	2940	3317	2385
 N-acetyl-Lysine	442339	37924	219944	616328	67296	80556	173299	38229	23480	14802	108047	24377	1122522	1466092	1029937	227123	268502	199394	128761	146351	126725	121530	72032	142775	70975	1098208	93369	88466	64804	33417	10904	8316	13032	13179	26174	50911	56488	772697	36886	71526	26163	95240	14773	25810	13437	19860	7895	19984	421748	93356	915432	100738	68842	35047	58766	12803	119643	13773	15786
 Nicotinamide	1331295	2652765	1333563	1119394	1827684	1769373	382287	209237	2060058	1397480	972066	2717761	1885651	926305	773649	2027033	1484703	1128057	577982	1257885	1187982	907166	1218293	735848	1812126	1712432	1187380	2403423	1561159	778676	1463825	2376451	1649608	2156939	1486172	1464408	1372525	1210993	1798604	2550567	805474	822333	1317571	1776816	1870155	1848032	1218505	1234094	917100	881680	948005	1160740	1087202	482718	1080906	691741	1349694	432521	211458
 Nitrous Oxide 	3948915	1804327	11303304	5216503	2804104	6817325	2217009	2085200	3092158	1836788	1651534	2245526	5296526	3009964	677355	1866036	8184945	5852888	5755376	7404057	5239577	4233801	7752427	4525194	5470030	2718014	9318832	8420147	8899034	7399580	3300816	849349	3287817	6712889	3901985	3546437	5065750	5349616	1448401	7095974	5186378	9332482	2974928	9564589	139447	5595032	3775878	6307845	5932795	20487609	1707080	6269843	9128960	17226047	2225027	1118433	5867211	3676992	5632122
 Nonanoic acid 	4667815	2494094	7166062	3864867	1961063	5366000	1683891	2603088	1787685	2367126	1653512	1322136	2865948	2866227	2293469	2851724	4191487	3565603	3292883	4164593	2778397	3798319	3748267	2364218	5418826	3416137	7985233	7479479	7063162	7588412	4074399	3287021	3251380	6767332	2872266	2787942	4068799	3518891	1843666	3324135	3272982	4391772	1593682	3577845	1970158	2771923	2168825	5826604	4322382	16326538	3047859	4632340	5995067	10270356	2567093	3457658	3507732	3198127	3843078
 Oleic acid 	1178252	874710	1961542	3102054	581969	2503423	761087	1084324	912692	1862748	1078216	493431	488883	538628	1359685	479442	764998	361951	271581	490077	294976	416623	354274	176018	824518	589261	1004534	1408258	1254732	1456676	753247	724329	557415	1471147	378470	490575	523627	576214	310282	723952	473956	510330	266437	315927	353019	239910	373727	1128776	1016255	2520797	940485	1693399	1419842	1717258	578797	1022663	887987	842589	867959
 O-Phosphoethanolamine 	7503	5841	9311	5341	2372	7365	5286	2695	2722	1921	2538	1774	5572	8113	6267	2383	4507	3086	1481	0	3612	3607	1257	1952	16823	10592	17652	17386	9425	2866	0	5453	8969	13818	4713	8052	3914	6537	2584	4779	2967	3795	1026	0	2647	2382	0	4284	5694	5881	5184	7636	0	0	0	3888	2605	2608	3577
 Ornithine 	318208	704203	26400	102986	547191	550833	77	171	9550	5076	2584	6351	553097	80764	953126	770283	304174	274245	0	3309	2445	0	4716	391	964752	376495	401695	1008527	412088	136865	5768	11512	8295	8310	7872	4152	648608	434812	943324	926470	241986	541425	5548	6426	9369	8867	4507	5509	527487	259386	85351	156381	235573	3539	2857	424	12452	215	511
 Orotic acid	1611198	2054574	958973	1014994	1494583	609351	48654	23839	53419	17442	281720	69552	1618711	1532342	1419951	1088496	574431	760475	35788	73729	268165	212175	141408	184901	1465284	2251320	903089	1311353	535244	181280	11689	32106	171294	116973	210124	157305	734381	1107520	1204534	1161908	348200	953261	6211	34529	66034	102661	49872	23495	322879	62311	550882	349857	213421	0	17918	16798	17553	17374	6088
 Palmitic acid 	2920199	1865007	4550152	1752768	574076	4942968	1109721	1676159	710978	1280253	508134	496426	1364149	1168520	1849815	896057	1086807	1451020	214379	356585	324390	407765	247653	175020	2901484	1685660	2557936	4452176	3511349	6697844	1441711	1168314	1696164	3624842	989656	857458	1224892	2698399	620532	1502941	2356704	1371707	311128	637900	538248	440174	580009	1987246	1163466	1804311	657905	1602326	961883	2926610	1194648	1480874	1005947	1310778	2595456
 Palmitoleic acid 	4907085	4432305	10821123	13215066	2724814	9018144	3221731	4268896	4421821	7936260	5052291	2469668	2420087	2309731	6439667	2692257	3308562	1541412	1379568	2423686	1346775	2055537	1650096	891239	3479648	2626140	4245280	5615990	4546751	5203657	3592074	3637930	2305636	5553136	1584093	1713949	2195030	2504020	1464783	3431476	1786486	2087069	1338980	1465352	1774037	1152298	1782212	5218311	4693564	9749227	2784041	7254884	4166156	6829823	2942918	5038675	4179761	2323163	3019309
 Phosphate 	9329498	6534369	8174610	13135797	6392309	7101119	7221851	7830352	6352971	5148140	5854790	5788557	16935131	20107571	14147384	10498963	10586527	7038431	14969044	13437846	15086723	13985729	11637495	14241632	11127514	13207146	6116680	10449264	4451511	1528290	6427190	7558150	8422916	6724670	10752152	12591463	6184967	10056137	9556740	10673854	3420313	6218115	5427316	6759463	5594935	5940262	5412864	4437280	4383802	1890872	11492108	7007649	5977440	1533263	5190260	13240029	6161690	8259381	10049926
 Phosphatidyl Glycerol	487945	218355	370204	308202	206807	224063	328831	384589	73713	199954	361210	200949	374	2366	925	0	1223	0	0	1870	0	2881	621	0	1203	646	882	1623	0	4636	3631	0	1431	2384	0	407	1227	2663	1684	5741	0	3177	0	725	0	446	0	0	0	3144	1078	2027	0	0	0	2540	0	0	0
 Phosphoenolpyruvate 	11593	13347	9190	9714	7967	7124	11230	4760	3329	1269	6388	7751	6762	9777	786	1082	4197	6110	2087	1041	1761	1827	4312	3138	6526	7223	4147	4830	3223	982	1573	1321	570	3890	2384	1229	7240	14872	3374	6436	1997	8451	721	2417	1087	0	0	0	11248	4825	9586	6289	7169	0	2856	4498	2323	4359	8411
 Putrescine 	2805288	3771146	2656566	2377923	3039273	4359441	634948	170963	993777	649294	1187187	1178296	4707074	2030642	2586838	2099470	3423466	2661102	479232	1935952	1027738	462622	1425565	506827	3153880	2287491	2259463	4084200	2028778	910680	927342	1239584	935271	1009153	1444450	1390389	2174582	1811636	3327904	4160877	889308	2822663	596044	860614	643413	701386	468683	638943	2330969	1460435	1995916	2267397	2442097	169999	426130	334119	624965	216816	108164
 Pyroglutamic acid 	1506650	1325869	1587736	1889508	1371008	1582471	1117599	820137	1285369	1071115	1143310	1254964	1456938	1405597	1376185	1505215	1266273	964237	785919	919786	1028299	863538	884941	745399	1037139	1392376	986143	1615300	948344	559968	327905	555633	344515	388967	545968	517025	986780	1422061	1500552	1737202	668785	1245979	388733	565801	511564	463080	324848	300986	1619741	1153392	2257000	1669619	1680766	747130	1117311	1529264	1717794	1196739	1514194
