ETS1-1	0
ETS1-2	0
ETS2-1	0
ETS2-2	0
HRA1	1
ICR1	408
IRT1	562
ITS1-1	0
ITS1-2	0
ITS2-1	0
ITS2-2	0
LSR1	1965
NME1	338
PWR1	0
Q0010	0
Q0017	0
Q0020	0
Q0032	0
Q0045	0
Q0050	0
Q0055	0
Q0060	0
Q0065	0
Q0070	0
Q0075	0
Q0080	0
Q0085	0
Q0092	0
Q0105	0
Q0110	0
Q0115	0
Q0120	0
Q0130	0
Q0140	0
Q0142	0
Q0143	0
Q0144	0
Q0158	0
Q0160	0
Q0182	0
Q0250	0
Q0255	0
Q0275	0
Q0285	0
Q0297	0
RDN18-1	0
RDN18-2	0
RDN25-1	0
RDN25-2	0
RDN37-1	0
RDN37-2	0
RDN5-1	18
RDN5-2	0
RDN5-3	0
RDN5-4	0
RDN5-5	0
RDN5-6	0
RDN58-1	0
RDN58-2	0
RME2	300
RME3	0
RNA170	33
RPR1	407
RUF20	616
RUF21	241
RUF22	0
RUF23	2
RUF5-1	0
RUF5-2	0
SCR1	3490
SRG1	1667
YAL001C	2079
YAL002W	1391
YAL003W	38027
YAL004W	0
YAL005C	8004
YAL007C	3670
YAL008W	2320
YAL009W	689
YAL010C	1290
YAL011W	474
YAL012W	1656
YAL013W	1868
YAL014C	1032
YAL015C	1341
YAL016C-A	46
YAL016C-B	55
YAL016W	7242
YAL017W	1606
YAL018C	33
YAL019W	952
YAL019W-A	0
YAL020C	381
YAL021C	1602
YAL022C	1115
YAL023C	4479
YAL024C	675
YAL025C	2878
YAL026C	1740
YAL026C-A	298
YAL027W	1273
YAL028W	168
YAL029C	3872
YAL030W	1830
YAL031C	993
YAL031W-A	75
YAL032C	1178
YAL033W	1206
YAL034C	1164
YAL034C-B	149
YAL034W-A	835
YAL035W	7951
YAL036C	1701
YAL037C-A	26
YAL037C-B	1315
YAL037W	309
YAL038W	11324
YAL039C	1914
YAL040C	909
YAL041W	1296
YAL042C-A	0
YAL042W	3318
YAL043C	1055
YAL044C	4046
YAL044W-A	1173
YAL045C	2
YAL046C	1677
YAL047C	666
YAL047W-A	1
YAL048C	681
YAL049C	2389
YAL051W	978
YAL053W	6395
YAL054C	1274
YAL055W	1153
YAL056C-A	50
YAL056W	3080
YAL058W	776
YAL059C-A	0
YAL059W	1056
YAL060W	9816
YAL061W	2198
YAL062W	620
YAL063C	437
YAL063C-A	34
YAL064C-A	93
YAL064W	3
YAL064W-B	22
YAL065C	14
YAL066W	4
YAL067C	327
YAL067W-A	0
YAL068C	1
YAL068W-A	0
YAL069W	0
YAR002C-A	9041
YAR002W	3557
