	14251X1	14251X3	14251X4	14251X7	14251X9	14251X10	14251X13	14251X15	14251X16	14251X19	14251X21	14251X22	18607X1	18607X2	18607X3	18607X7	18607X8	18607X9	18607X13	18607X14	18607X15	18607X19	18607X20	18607X21	18607X25	18607X26	18607X27
ICR1	68.18855440374998	63.23421742636567	62.23112288806137	70.16427781449067	66.086372540822	61.00343630331666	71.54105108811692	59.50509985675848	57.982722873931344	69.01807996588043	66.05033372266669	56.80760978392967	62.55407739034391	62.84165483978056	66.08490550176211	63.84585426526446	63.977526685680495	64.24336448019332	64.10964470118488	63.56194924777175	62.05024306057774	64.5911882453602	65.10547189098413	64.80472042826521	64.49798878512173	67.35719066872417	65.63073340126141
IRT1	93.43404582420249	91.25336006195063	107.66521502341432	98.22251167789088	108.70776851722454	111.71474277982111	100.34554244851428	100.40852078032171	123.49444531843115	93.44740369978851	104.58132372761656	130.43449699034608	102.11248796716953	101.70216482447556	98.86588546382691	114.67434821160376	114.16791426265819	112.67460850318453	97.79681447328338	100.7251807185527	100.94071920689194	110.89240944182887	111.5252115231232	109.55741134919722	100.12231918877598	101.04496997912113	99.86354018234886
RME2	59.64029870617256	55.26059450197935	59.75024262531815	59.689505275811115	56.55208939667118	58.448938959071086	59.05223349773238	56.022394332347915	58.112209766537966	58.48821249404873	57.20788191224233	60.81095682599446	58.437951073370684	56.96802855831316	56.03574009402498	56.49522217916369	60.00015381736012	57.93574725382855	58.3617414943555	61.72906507320289	60.610977636514576	57.60023265418744	58.407202045374525	58.5442640173494	57.03236446534409	59.119590965552696	57.37936612320459
SRG1	142.8740785128148	139.354178938733	135.3122224057111	135.88074070338098	144.7412633595044	127.26287156196679	145.10927930352682	139.55290625534695	167.29444197288842	139.107399882477	145.12281975187108	146.06186374250083	144.12524732030613	130.71683273201072	132.23072220769447	138.70767106979582	129.9027683992859	142.5953801143503	136.44203506711014	143.92493059639924	128.8380788690155	153.80884790161224	148.95665797167158	155.9489062820385	142.7882757671843	146.75260247242613	149.71827444099696
TFC3	109.97520287700326	99.57457950220402	106.187614519879	114.52666193625296	103.14293857459819	102.45559172852074	111.09049016345435	93.59157905604594	90.82879801543216	108.84748676549242	101.09026168899818	84.46160729668958	98.86377103184049	101.1398433032719	110.40077541325367	98.18932242855885	100.35515483825121	100.3866874394493	113.51160905862844	109.7973330775948	97.15439646786697	100.62594150328991	100.2150416480628	102.39431744182366	98.15839979532161	98.16311556903062	100.11780838425574
VPS8	96.0695975063547	91.05471668562635	93.96412587403397	90.41398482724657	94.40094270338382	88.8573852378746	96.81412624650787	83.73928358803974	76.68592487465645	89.79974017227528	86.30734312849678	72.68505497884198	86.48086075764314	86.10315909513014	88.91494984643694	83.54958020199686	84.65686427775425	89.39331486917155	98.2441549070115	96.43790109556625	89.2782777056427	84.73038055746756	88.1607939562517	87.05694488903772	87.0641089858486	87.16824584899409	87.2164242164375
EFB1	1969.4732738928942	2046.3708737024024	1985.195955819668	1957.6899017517703	1968.5872923124998	1968.2966439369316	1957.0672424480344	2110.123693817126	2044.5650603617028	1985.896033089854	2017.6014561959887	2090.9509302924553	2435.3400889880736	2335.4808060028668	1773.8991315358617	2148.6902410648377	2203.5436940354143	1464.4907676043158	1732.359120135512	1820.1961188967964	2037.67096446396	1812.4502452773675	1874.1101211808295	1764.7843752711983	2499.9302178431985	2353.339123831654	2421.3773857225656
SSA1	269.59969287842785	278.49185505959224	274.1418448103575	266.976222652292	264.6105790963155	268.6144255606469	270.1659543184901	269.3992594833245	270.9992325498041	280.18802826946774	264.2516860246375	273.7059005403221	50.098319348354806	46.13689037187689	486.9951705279817	128.83165325640473	109.13907792553692	406.97225723558347	412.75250234020393	443.43589611761945	279.131736581277	320.7837819407385	262.5690019463087	280.1256619546818	320.0846410522031	332.85160825898436	311.5357917773081
ERP2	276.01475158307835	293.16445329941797	263.0443980619357	277.7400919330363	282.23119448540416	275.90636483006017	264.7863503891833	308.49667708808636	273.6169589153173	247.25630824520576	306.1292491650933	263.84881286651023	301.73345501807796	298.0193774785697	296.75446459780073	260.00212368500667	259.2819026317994	258.2519340740356	275.8753353005851	262.20701947947185	256.3030291609317	262.9792327211446	275.10211780577964	266.05584043381356	297.9418511206695	308.63666217782975	288.7233713120112
FUN14	186.77988962318486	163.6806854819152	188.8540597056549	184.434342062158	177.72436884318745	173.09924396302054	190.66197688227973	168.38130388772646	232.44520521398582	185.35939956344333	180.51369157253325	194.30469451093023	171.1361480021651	167.44351546215586	190.42085048813428	163.52183406770334	164.1297641841518	186.86241071206746	224.95217608784174	220.45892379059893	192.46204106049524	191.1811580003198	189.40418752371517	186.8684792894829	177.94879000771994	174.18812914681644	174.59296868383188
SPO7	131.93563503343208	133.5016643247854	133.54734846251804	125.99063413852471	144.33816976209545	123.91273151443959	139.29939183283534	136.14356488589385	123.7275614318344	138.52228459358662	144.59469260556025	117.3377033382152	118.24413828481187	138.49177422387658	133.51634405788255	124.5755872501514	124.61711760880445	136.44700869802443	146.69053942699784	142.45176249173647	131.2788608639683	128.68815088468278	131.62260156552077	129.61838046906195	134.05910747174516	133.15340756386422	132.59148463193304
MDM10	127.94088737795671	105.97877986695815	128.97892537411818	126.81664270897237	103.83811925312577	117.03793388380268	122.21064292384722	116.06532251567367	107.68336616025061	110.53185246606137	116.87665759902269	109.14856178647418	108.21307078468044	114.98036022422734	118.69535636457576	115.4761152103609	108.85163322380333	120.78489461525035	113.80350168229246	119.05491293927972	114.29464618542156	117.68026285787103	113.43631367344061	119.0671352330072	116.4943725652317	115.1044595055547	120.47530956659827
SWC3	95.93948979686985	90.93759873137726	97.70045184801084	94.35392063610405	99.19770038094535	103.87022183287385	110.41981593151868	79.47258068926908	84.0269140886986	100.50626175010945	84.2655471070575	82.29808372824013	87.76661231002888	91.2535412268582	93.26305106675326	86.58321560497677	84.62210967217729	91.47173062105203	98.58297284999756	96.10247942465034	99.07646865884294	102.87650566913496	97.4499309419189	100.07358699398132	91.44979269373482	94.93948946034335	89.3536106643825
CYS3	490.2799078130742	565.4285744228478	468.68294784898353	466.5275576420058	582.063732249209	442.7463426464652	523.7322766651871	513.6481973566686	393.75427625075076	484.83125570955406	500.99123393661375	382.7486928070058	538.9349358066562	545.3841668412629	438.25189206084275	580.2441487112897	612.449758137684	508.3040674914442	273.69576315361576	289.7487601084722	309.95484956368284	590.1335181024032	575.0167676120549	584.8166287621046	545.8571948497442	493.4782727972593	516.3696341727267
DEP1	174.31967554278347	133.0746268042618	181.73984901098936	172.78830885580462	141.87004559488707	177.26198173628296	151.15359758903304	151.01759730701426	135.03516523193537	154.04704328415957	148.68233520882347	147.7978425148504	157.73240783491252	164.5544715202528	171.1843479397054	137.5685829661589	141.218259051597	138.28405887849573	147.81406695685487	150.35148606059965	142.76081886624468	175.90237334656192	163.62801627014534	179.10422120656764	147.79112085406018	161.74614756987287	153.54874327690555
SYN8	181.86151213440755	180.28979031613983	200.4740870295076	174.34477550949475	186.70463651985528	181.43417561858215	184.02229476632067	171.3986813800847	153.70917052059792	164.25715544892373	182.30326297460005	154.9557526127204	170.79869947226905	178.17372398802064	186.13891272130556	177.68000902976712	186.05357306057778	185.20056131353786	161.18788083222856	161.68392796045114	147.8225770466098	197.69325985947452	193.4458762340286	193.98690376164578	164.21191967806053	164.83424243763852	175.4215453420526
NTG1	132.08249702455055	122.35073648227727	133.02137771454142	144.35161274973422	119.18358213156979	138.7578975315834	139.70704268201595	124.69842130488078	124.24951303353559	130.28676850772348	129.39946669894823	125.51570902024645	113.84267639276203	117.27263520466371	132.36138912987457	125.86733212369421	125.00346020912448	130.4564921624051	132.39501692975358	131.88186017638031	124.65122712924526	142.54963287800535	140.44956525094472	138.49786071620736	131.7630727750747	130.08090705061636	131.06289053167012
TPD3	204.73479585594635	187.82428472234514	192.73232433712917	204.92220689224823	185.81191497660808	190.1648695350265	202.14932717973818	184.18469314788783	206.66644885535587	190.53358566208018	189.13731820818222	181.87126032556583	197.4915112722731	191.57409484636153	188.78990147424054	189.2227840505123	182.90239119614947	183.14980601015563	206.8495163693068	212.77557574260604	192.3493261153286	189.66801430051964	193.25776144484203	202.16825310237772	183.26005032251942	188.64231704071568	189.975636326633
PSK1	97.42522561520192	97.04758415837617	89.69431724429063	102.74439205174458	96.76302819858451	86.09584141477853	107.805800808632	80.70198911943058	81.60223377148164	98.93874970390627	91.08870401011686	73.5709335172227	88.15825720717169	85.58563322633611	103.0969597813395	87.15620442865233	88.64971642297468	89.11087758772621	98.60288758009011	102.70165053889221	86.61394876093351	95.00141688810697	93.80898944295768	99.9328145720566	87.55549169672975	87.73622412021945	85.26735412410152
FUN30	94.65975206925779	112.70566199283363	102.34585240720197	94.1086597386601	132.90373943133628	97.78548632313672	108.96202223249725	107.70001447566563	75.07436063795686	89.8322256140927	102.44092528026707	65.92855743584715	113.40983502613886	110.44164284656577	97.09805207927727	98.90724857461865	90.50024746206718	100.38876572523588	100.49994202122099	100.38959116535902	109.60602839151053	90.91783399823697	100.56160042635476	97.78841847162718	89.54771276240905	92.77579535764984	93.43947317992095
ATS1	97.94208144210583	95.55048091063787	114.55101567237008	107.05567711601455	107.61319204871734	115.26666357205347	97.82590721065674	92.44964291440992	93.53933701438642	97.26822861141059	98.4005217755009	94.99766833171816	90.98304588156095	92.7026056263112	106.00763467703293	97.00701856316343	93.06881654626494	101.0804894446807	99.51767496377185	103.42092909077647	97.54402050919325	105.29227488403086	102.17000675619471	102.1444536586155	110.1550478578526	106.67497469902455	106.98580484247941
CCR4	137.04139081369303	146.0800259430352	136.40432999716808	135.96426618934962	161.78818018727418	134.6355636317371	155.87204945346548	126.72065157158366	96.67955525295744	142.5884088249133	111.30066712251724	94.6168784434867	142.04392160754878	147.41141954634227	145.00971349436057	126.98825591960615	121.55242285128207	123.8759551497405	161.0464048291497	156.62814933037913	153.30297632890145	119.20571894363466	117.93899464983548	119.70976406854797	109.18872644809804	119.74690326154858	117.2693392186371
FUN26	134.1318280868693	137.86580913454412	148.21297696999585	131.39702304787818	154.4819734038196	150.35727452564484	133.62407245216457	138.42333746071114	119.73369995893056	117.42884888604117	151.92949710283966	120.81017717160194	139.89463590382658	140.58477354377567	152.63961259915192	132.1161078274132	130.43507600015403	139.14174763265873	127.62097143388429	131.08349750793184	112.76459933556161	141.5619222402504	141.59690414745972	142.07038297200594	134.24541486362568	144.24791556167906	137.71603811415605
PMT2	237.02757321889757	258.2507462446471	242.1383727950574	237.52961633344898	268.1236655457284	247.06968061919733	247.98801648477294	245.20111338522278	187.73881526161196	233.85600944861636	254.3157045885455	174.30550029848126	242.87680923005684	259.2030369482226	281.93694167898644	190.46048169910918	196.2207660442346	208.81623064381156	265.9779000698354	255.2960570061391	229.79099209897083	229.241286507606	220.76906144864742	222.43568499481057	245.5196829494603	250.40971188728412	259.41194375308817
