Gene	SRR2517449	SRR2517450	SRR2517451	SRR2517452	SRR2517453	SRR2517454	SRR2517455	SRR2517456	SRR2517457	SRR2517458	SRR2517459	SRR2517460	SRR2517461	SRR2517462	SRR2517463
ETS1-1	10.117553934834259	9.819641498961985	9.819641498961985	10.199541120598747	10.171459498227641	10.171459498227641	10.199541120598747	10.380967930368602	10.435731055875108	10.464779104646581	10.171459498227641	10.171459498227641	10.280278690157264	10.380967930368602	10.171459498227641
ETS2-1	0.36032544767482366	0.63792886931728	0.4673378023966709	0.6055903552183867	0.5487420503018857	0.43690044498452113	0.6305325398791233	0.5919973259290459	0.6106531505887312	0.5748943549579654	0.5484836546225147	0.677376750408216	0.5771001440446915	0.6596452808897406	0.58391998782257
HRA1	0.33850493725407177	0.41103752975204993	0.48234657897494654	0.07688096762005135	0.4341484091419673	0.45190030509058	0.33925359184484793	0.4884890393080643	0.4246520530728335	0.4075865518146345	0.2351965095385567	0.5207135315645959	0.3975151297832928	0.5957231184850167	0.4838253978694283
ICR1	1.4181790240910255	1.324398405726623	1.1756686200496684	1.2246831866599823	1.131186467983868	1.3421955190704549	1.1388549876996956	1.135380659113355	1.1504429614431084	1.1587365860091836	1.3757142352485423	1.102230989897887	1.1085103146361441	1.1356735830608384	1.1173683569137853
IRT1	1.382158505510069	1.1766285236560434	1.3437876669927487	1.4370324348778998	1.2613391383842671	1.4300975397636204	1.2310082587749187	1.4937428567637814	1.3944033210862463	1.240630476460768	1.3664201089825074	1.3573307212163384	1.3625290131330239	1.3409817541032827	1.2715222036786429
ITS1-1	1.2511491066549485	1.704032615821369	1.3951670440208694	1.1382388278340316	1.027125254309261	1.079550625831193	1.2408083919212398	1.0502039314016172	1.0220755989228816	0.9646265527255719	0.9755775256592157	0.9673427926724056	0.8959103052597331	0.9457376065895434	0.9047847497135442
ITS2-1	8.298366898623406	7.198128032138685	6.955602574207282	8.044120634747022	8.423926762592561	8.784921741103126	7.880422303718248	8.290547952733746	8.551859251389569	8.914949918731832	7.9710783806098835	8.251432549138935	4.829396729634247	7.504124333254944	6.310389900947978
LSR1	11.746071809201743	11.237759902083965	12.573847217818859	12.573847217818859	12.573847217818859	12.573847217818859	11.746071809201743	12.573847217818859	12.573847217818859	12.573847217818859	12.573847217818859	11.746071809201743	12.573847217818859	12.573847217818859	11.746071809201743
NME1	5.629882057012521	6.210038370703174	6.390453889385295	5.740083331388864	5.303056742831767	6.300379556567287	6.220510705316173	6.082735841766783	5.719306698027738	6.269069423560913	5.690900092936525	6.539160305479201	5.417044221937409	5.137761177973639	5.306429409024515
PWR1	0.416936432281173	0.07896732466064874	0.43724133807702326	0.23330297553128873	0.3493524440840029	0.2028463312656251	0.3242061494563272	0.07854303402719548	0.5161275015938369	0.05991785287024575	0.4686967466751732	0.34778725541832833	0.0962134072131199	0.07978963743328191	0.39445885160376093
Q0010	0.3026573453092153	0.3242061494563272	0.2549474735910296	0.07688096762005135	0.076461414814712	0.0676646443126364	0.23223428275190774	0.07854303402719548	0.07604167921554317	0.1840877718907294	0.07896732466064874	0.07978963743328191	0.0962134072131199	0.07978963743328191	0.060793829540498126
Q0017	0.06933507313945372	0.07896732466064874	0.08903479605704027	0.07688096762005135	0.076461414814712	0.3678323817436593	0.372416159770899	0.07854303402719548	0.07604167921554317	0.05991785287024575	0.07896732466064874	0.07978963743328191	0.0962134072131199	0.07978963743328191	0.060793829540498126
Q0020	1.2382378230394284	1.548731520113193	1.324832271809128	1.1216818276527338	1.0999972903767248	1.2950098825384349	1.5349268826877531	1.162908590610614	1.003553901204516	0.9724310915193812	0.9907485452407792	1.0707193970409632	1.0317984720450615	1.0175199684327345	1.016598117003265
Q0032	0.06933507313945372	0.2969938070507238	0.08903479605704027	0.07688096762005135	0.076461414814712	0.0676646443126364	0.29145545035002773	0.07854303402719548	0.07604167921554317	0.05991785287024575	0.07896732466064874	0.07978963743328191	0.2978374008712847	0.07978963743328191	0.060793829540498126
