	log2fc	p-adj
glycine	0.152524171	0.019439377
glucuronic acid	-0.044546439	0.672488974
cystine	-0.240817155	0.118751843
benzoic acid	-0.177797267	0.042837564
uracil	0.540644717	0.002572302
homoserine	0.159452671	0.087592179
putrescine	0.184698885	0.330032371
inositol allo-	-0.288499072	0.105205678
hydroxylamine	-0.315355034	0.022343576
galactose-6-phosphate	-0.163492098	0.237908294
lauric acid	-0.208178192	0.079279578
glucose	-1.093726866	5.81e-07
ethanol phosphate	0.106718162	0.515107093
gluconic acid	-0.991490549	0.003750501
octadecane-1,12-diol	-0.192029528	0.054898268
ribose	-0.034321029	0.830872396
oxoproline	0.212251017	0.007684847
xanthine	1.347217801	1.87e-05
