Gene	SRR1587706	SRR1587707	SRR1587708	SRR1587709	SRR1587710	SRR1587711	SRR1587712	SRR1587714	SRR1587715	SRR1587716	SRR1587717	SRR1587718	SRR1587719	SRR1587720	SRR1587721	SRR3439060	SRR3439061	SRR3439062	SRR3439063	SRR3439064	SRR3439065	SRR3439066	SRR3439067	SRR3439068	SRR3439069	SRR3439070	SRR3439071	SRR3439072	SRR3439073	SRR3439074
YDR005C	1.496704293995022	1.9964780838996983	1.566917054372126	1.7116360487052718	1.869830691987898	1.8320915183856255	2.270375079664376	1.9171026900373291	1.8582246046504713	1.5332441017512193	1.7351734574415627	1.611817667921866	1.9105313855292476	1.5127951022760495	1.677845048265224	1.6666262228480442	2.1386588086443687	2.0042964095774085	1.8227117814327682	2.1432452349080098	1.681155314578522	1.7749713682438706	1.8313115587341562	1.7276357640527058	1.9167715490965702	1.794897488649616	1.7002683125472409	1.6168179568410703	1.677845048265224	1.6657402654275473
YDR006C	2.662601186886625	3.166095650319499	2.4659200820482274	2.7161613002677707	2.753755113227875	2.232726304237484	3.4737630084243505	2.18505663789754	2.4497355968322463	2.637887637373637	2.7876681572600175	2.7806199396813334	2.4975925429269137	2.41447402580617	2.8246163002615052	2.2605398645357937	2.0573385697742492	2.029679433003224	2.3215330228534823	3.2596578754308156	2.543384066391572	2.4621422991302735	2.232726304237484	2.51634445148803	2.8928216569365635	2.530361638823466	3.3053041920082746	2.6477104480924436	2.266410976812628	2.4659200820482274
YDR007W	1.5321340083592647	1.622182639021076	1.4515013215929642	1.4326650351474521	1.6717565285645843	1.8908062951925007	1.6292680072077812	1.6565084156699605	1.7050077294926447	1.5401180528219713	1.697594924636399	1.3987662411436639	1.6110187277819923	1.5216063533307391	1.5095248877848138	1.3159452170147028	1.7482665656377132	1.5451718340109324	1.6603424884630793	1.6157980559640246	1.5966652004100594	1.2820676740114256	1.6355911414524873	1.2645076695463915	1.5321340083592647	1.6219252875454515	1.2950098825384349	1.3284336259639096	1.3093164836182904	1.3402512106332494
YDR008C	0.6245602546499817	0.6915810041048438	0.6418064258177824	0.7631502991969012	0.7607115270035906	0.7165983399507594	0.6266626674521516	0.6557617739994056	0.683887782260165	0.6027686139158706	0.671380232196181	0.7460564656973228	0.6660740326357224	0.6689929021886818	0.5948373823517955	0.9795539021771211	1.3469154857932417	1.1465424662557593	1.1693011054808786	1.0801891653884743	1.15294018235242	1.027415677491807	1.1947516914497007	0.8983528539256944	1.2551179572182987	1.2500233475859863	1.0847242726558572	1.3430114188545064	1.060253286938782	0.9302827804398033
YDR009W	1.0552828069732747	1.4623320650927012	1.1612596429452013	1.132730180124974	1.5571162387605022	1.1435093002611563	1.5038867652488757	1.1153582528348192	1.6161404640229575	1.1017858640462195	1.672760623950449	1.078686699452516	1.5666039142742374	1.131410891463045	1.3757142352485423	1.0613439110139637	1.0561980101348227	0.9765922535213916	1.4500277519214193	1.3730928328952365	1.5629764920132145	1.0197947116856545	1.4842788989693254	0.9307799761728526	1.348744307195407	1.4197259931693198	1.1489961397227013	1.2950098825384349	1.0136330532834452	0.9967558638356686
YDR010C	0.5506129682350573	0.5736145220283697	0.5843525078306908	0.6476309026139548	0.633498935428027	0.5572013747057557	0.7727346830334092	0.43106630907011145	0.6340445096882371	0.4804859784643469	0.5547901194855038	0.557694492414548	0.7004180034537568	0.5266227988947083	0.6042245827787812	0.48784743456352364	0.6381422854777505	0.6183655625168172	1.0548674886789788	0.9381566620838622	0.7852193854761859	0.5761709952019751	0.8392490947821156	0.2834626217739799	0.8398666167005169	0.927122541981237	1.0799530459760436	1.337463169770264	0.5658624365010498	0.5824664208958594
YDR011W	3.64988840644582	3.953179398659093	4.254708168161136	4.252675067465697	3.950658197788335	2.4182782119611415	4.259337171452351	2.8780198347116652	3.7695372992401306	3.7070775890072465	4.240273134165573	4.251504084424325	3.1874653756843365	3.798028662976357	3.507226244285866	4.178225009887985	2.563952923036763	3.021998183373067	2.9460629072546602	3.8914082791385933	4.008220395273493	4.220325522149896	3.5132934548328913	4.265590031351395	3.745670581591874	3.6913941412687885	3.4973057440817628	3.419790577535222	3.867035496302715	3.814975259068276
YDR012W	4.557809981052351	4.907260539092376	4.561149509162873	4.374180222914072	6.093306801816242	5.186682940928689	5.520114001898591	5.211973955853135	7.15460653538007	5.464189704562201	5.992552359091455	3.884587446503864	6.818983181604782	5.151553351268149	5.719306698027738	5.025657299031922	5.651358697031413	5.594197852459805	6.955602574207282	5.872943687130077	6.18335616835546	4.600894287024632	7.20548345771346	3.938209859249115	5.317442405254187	6.205250049563953	5.742785876768013	5.7837605181983704	5.542242756506751	5.764282690530599
YDR013W	0.9138709659055333	0.8880061602379032	0.8677021040273802	0.9663716556048378	0.8930669554182012	0.928467265200341	0.7793018810467888	0.9587247590326333	0.8893648902514795	0.9454738879342182	0.8830288717966792	1.0254887636683518	0.8918577550080478	0.8918577550080478	0.9322234826817586	0.7357455839932083	0.7936145939644469	0.8212563065464553	0.7427275818119887	0.58727756212579	0.720512898564522	0.8370227942808791	0.7447037781382359	0.862990674074742	0.7468890188304745	0.7561655349262256	0.6759014424347112	0.730618234007794	0.7191628301935666	0.8031571360936979
YDR014W	1.102230989897887	1.2255067187929871	1.3324852230640767	1.2294028409435231	1.0743710516928378	1.090563015008374	1.2000564116657195	1.2580182814788776	1.0546348727167467	1.1359476891001865	1.1123526696007098	1.3750867006979528	0.9689464826177696	1.073337707568333	1.0610885679771462	1.2236905849099649	0.9316728058965975	1.1286771167143326	0.8153761038549789	1.0719002534146855	0.9858699957457125	1.1193532782876827	0.9156492135934993	1.226599088810843	1.1092504131319556	0.942600262617663	0.9951774376192115	0.9334135398292793	0.9381566620838622	1.0090302689969575
YDR014W-A	0.7327155618587636	0.7669483916627768	0.6288721268441373	0.7298782814925215	0.6935486212995635	0.7366880815227069	0.7327155618587636	0.5957231184850167	0.7096324408067757	0.7617928841902897	0.7494885937549158	0.5830511900126061	0.7092327069975901	0.7058784821240871	0.8031571360936979	0.301858937033238	0.48992384161471686	0.31899004249676943	0.4207232445974798	0.49060321102081594	0.5133529196511	0.4386636308947014	0.4318143100194289	0.3784333000638255	0.5122477069833963	0.43724133807702326	0.5464008427630727	0.500999257209331	0.3359352747643932	0.43106630907011145
