Gene	SRR636633	SRR636634	SRR636635	SRR636636	SRR636637	SRR636638	SRR636639	SRR636640	SRR636641	SRR636642	SRR636643	SRR636644	SRR636645	SRR636646	SRR636647	SRR636648	SRR636649	SRR636650
ETS1-1	1.8206787003359057	1.7761611641592552	1.2039584960010583	2.382865413066173	2.822342545434691	3.3237117231224746	1.525972680249664	1.4995324972953474	1.4862326358018048	1.260884657025905	1.3246026646853357	1.3982116664248392	1.157456937195074	1.5724050148468607	1.3254663034299372	2.276140845500948	3.289995631613292	3.3672862098940812
ETS2-1	0.08480343005519773	0.37351140959526286	0.20589529627508812	0.18323802797231542	0.2428725182314416	0.2506330794388326	0.08984838333622906	0.24847954098274316	0.1532856564667112	0.11976955720205196	0.14794429619722718	-0.0015942269664591922	0.15452807350185654	0.17654464329314223	0.2401792205849245	0.20686748302065996	0.20117674010381092	0.2872542639948892
HRA1	0.5458873724281819	0.6037500251175827	0.5711449061221573	0.4686967466751732	0.6217723579214387	0.5937343038019891	0.5819810943978373	0.372416159770899	0.4759534501364876	0.48105953064397666	0.5402083361943922	0.5834878577075165	0.5138819898629525	0.6348483614022801	0.48784743456352364	0.5957231184850167	0.5857991284964661	0.5809675954241957
ICR1	1.1334689850654602	1.2144833821382985	1.2695217607207907	1.3869234253251794	1.4238187751725748	1.3974756267853128	1.1545595648822389	1.1347591021323722	1.1621998240219817	1.1579071207526275	1.3525937997549913	1.3356708762297067	1.1225664248261178	1.1756686200496684	1.1856261007852948	1.3360569484895193	1.422350832360289	1.527905180576128
IRT1	0.8186479027339597	0.8918577550080478	0.886334230521274	0.8874503656934137	0.7910167738632395	0.7930245540584189	0.9001965288365456	0.8936150797318404	0.9111999269855091	0.8492897699666138	0.8485107309490493	0.8841503478638127	0.8338722473156563	0.8953965829102831	0.9161474063001989	0.826127904557338	0.8410643315307594	0.8449857905079575
ITS1-1	0.9381566620838622	0.9530174907651174	0.5971051858668761	0.982826323329024	0.8238503089051317	0.8824871143464539	0.751440780449049	0.7634694021266656	0.7221752857182678	0.6743671737061011	0.563321978413024	0.6472316178025689	0.7026340828922892	0.8896081902722895	0.6160635677483824	0.8169977272231296	0.9224321032600584	0.8986172710009974
ITS2-1	1.372294235541082	1.3628301510183318	0.8408867256517614	1.21888598085886	1.2785581878775012	1.493437510661418	1.0550743529107847	1.133369685042752	0.9809544943307511	0.7768127240720402	0.753783284019463	0.8290398893782385	0.8689935658125737	1.3197065193776434	0.8266194768523736	1.029298818094028	1.6471991657630418	1.5627580352839003
LSR1	1.1275507943249616	1.1043144206834954	0.7535988735485799	0.9176777379477414	0.7221752857182678	0.7427275818119887	1.0129869973601566	0.9845733112028527	0.9371291489686768	0.7880878893530922	0.7066668631962603	0.7460564656973228	0.8495798478255183	0.9861780693763333	0.8454338294722632	0.7574979487114798	0.8228944682595114	0.807821258704055
NME1	0.6011662844932083	0.5501354106719671	0.48234657897494654	0.755529745016853	0.6213352922730313	0.5877742088289648	0.5665244128375111	0.4804859784643469	0.5201636946856775	0.6262243422583955	0.618856602281112	0.6377252827176474	0.49898499032254484	0.5652730428570533	0.5088676159956668	0.5543029728825882	0.6455695385178963	0.6006944787757413
PWR1	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	0.06468838498406662	0.0008738636561302895	0.4124612053080188	0.008170577530094019	0.05392856524056319	0.49388078166180305	0.002374995763083624	0.5138819898629525	0.5196139159186952	0.3844484752166766	0.006737317604990549	-0.00982098892061772	0.3791600563319566	0.3110533168224849	0.2850839514749469
Q0010	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0017	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0020	0.39523216798960126	0.5537454882743363	0.3289218734151451	0.38294661843166744	0.3936960310382049	0.48105953064397666	0.5088676159956668	0.2810066299516078	0.4207232445974798	0.3167491923167039	0.36289849228081145	0.3538663323309392	0.32733456099236186	0.6570747776836745	0.2710396601910656	0.4454682707819951	0.479205044214121	0.3890190770169831
Q0032	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0045	0.19586777958285878	0.24370094837661438	0.07896732466064874	0.09828853272506267	0.14482744348700538	0.0076908142936565095	0.10996205541601414	0.22129708048661884	0.12020804965274892	0.002374995763083624	0.1840877718907294	0.08732820189071992	0.13693379302927539	0.39893599805116403	0.10996205541601414	0.07562801070410835	0.12106887432450303	0.11502657270246154
Q0050	0.2385685332694982	0.2445742294635027	0.003356824325426803	-8.494832993485335e-05	0.06638952523995305	0.1502008388231782	0.19472365500364136	0.22038898039653138	0.11853364587382181	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.09912350304530337	0.27359411131952976	0.07896732466064874	0.046347363901620316	-0.0005833833204564813	0.07896732466064874
Q0055	0.19472365500364136	0.12879551402656136	0.11853364587382181	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.13056399026508578	0.2194816599902179	0.11771471889837985	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.13603884044787912	0.28926665815015795	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.07811618253988781
Q0060	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.11079553520773336	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0065	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	0.05075667733716926	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0070	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.15109064813540124	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	0.08984838333622906	0.007214877541498863
Q0075	-0.0005833833204564813	0.19106204657243314	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.07728901071736932	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0080	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0085	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	0.08816121027237388	-0.0005833833204564813	0.007214877541498863
Q0092	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0105	0.10914807103126814	0.1296456372453514	0.003356824325426803	0.09156356956341388	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.11935523608892995	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.14136857258893532	0.076461414814712	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0110	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0115	-0.0005833833204564813	0.005773811105296769	0.10580408065644367	0.08903479605704027	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0120	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.1719169821437766	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0130	0.14845318368188898	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.14179635656367146	0.05392856524056319	0.1964733708146379	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.12628717608581289	0.05348544604860486	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0140	0.06468838498406662	0.1995307812223141	0.24198232101774375	0.09407668303879667	0.10331333412668639	0.07978963743328191	0.2810066299516078	0.2834626217739799	0.28018817801421986	0.15625530736696971	0.15793632431344284	0.1840877718907294	0.19372109581931973	0.14395085307995517	0.19106204657243314	0.07225061366584558	-0.0005833833204564813	0.007214877541498863
Q0142	0.08356300254105213	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.1814311583358369	0.08774073986922236	0.094500771256062	0.05392856524056319	0.18586035592533104	0.20036216819289032	0.12277209466402564	0.11935523608892995	0.07937848104696534	0.08272321185972366	0.0676646443126364	0.07978963743328191	0.07811618253988781	0.14845318368188898
Q0143	0.14845318368188898	0.2112374985139629	0.13204734766811826	0.10411560865412371	0.10833521771768795	0.18366708881603597	0.18366708881603597	0.05392856524056319	0.02808323346422211	0.17611199917790823	0.1689656020149303	0.12453347412658075	0.15625530736696971	0.2641645193972941	0.09828853272506267	0.14440164684899803	-0.0005833833204564813	0.14136857258893532
Q0144	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0158	0.730618234007794	0.707369690742344	0.3424169409188892	0.5361896318494417	0.33925359184484793	0.6266626674521516	0.6377252827176474	0.6743671737061011	0.8603163343069447	0.606463475652012	0.27446821231692947	0.2868786355773035	0.4386636308947014	1.0033437655003599	0.3042977321525522	0.4719676881004735	0.4566893599701294	0.3594340560827053
Q0160	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.12453347412658075	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.10411560865412371	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.11245431914629919
Q0182	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0250	0.1969933105746352	0.10246030070760928	0.07978963743328191	0.0957797212562923	0.06723706770036474	0.08061421875457914	0.008170577530094019	0.2222569322296936	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.14304056212331384	0.07728901071736932	0.07399247145356003	0.06723706770036474	0.007214877541498863
