Gene	ERR2088803	ERR2088804	ERR2088805	ERR2088806	ERR2088807	ERR2088808	ERR2088809	ERR2088810	ERR2088811	ERR2088812	ERR2088813	ERR2088814
YDR009W	1.6846975231928694	1.8416264777745845	1.650686436913227	1.6824089611535418	1.7908633997486663	1.8222861851886545	1.743370541958786	1.8047770759490485	1.7407856438486111	1.042602442106082	1.9719388738045716	1.7908633997486663
YDR010C	0.6126384216509586	0.5407250289877419	0.6046520906261859	0.6770069028570742	0.5834878577075165	0.27446821231692947	0.5784979869452672	0.48105953064397666	0.4274953066242785	1.042602442106082	0.5155696121736053	0.5298961015676911
YDR011W	5.764282690530599	4.529318982743569	5.24032715569555	3.508009486742802	4.404128834007619	4.583646507864212	5.137761177973639	5.321835094248071	4.492107475901829	3.180975926084317	4.799761425749858	4.939903495757593
YDR012W	4.40909309593333	3.638650125779378	2.928983999000207	3.1677473115911057	2.505646053543516	2.642778583062344	4.565052939037622	3.3715707598044173	4.7431600173775035	3.9267861535639867	3.089646291723896	3.2688150162152056
YDR013W	0.9477217462889823	0.9497883643634266	0.9256615853977057	0.9115523589588224	0.8962460347578071	0.9422506509328914	0.9483270984429537	0.9554768400933411	0.9763639974313733	1.042602442106082	0.9961766819683354	0.9518804476014364
YDR014W	0.9564848944337252	1.0358223151342072	1.0954025364302304	0.9695684403067402	1.0107564534935967	1.1160724011384704	0.8565160279958075	0.9758400181882549	0.8644160334495751	1.042602442106082	0.9518804476014364	0.8956556887395885
YDR014W-A	0.7700679604454129	0.7790251573989402	0.8113380510938963	0.9576529535756314	0.8808657636266111	0.784823585003687	0.7564761087752322	0.7298782814925215	0.7370718137938708	1.042602442106082	0.7740611893575342	0.8018840340461219
YDR015C	0.16148174010573182	0.13693379302927539	0.0936400747039121	0.43690044498452113	0.14794429619722718	0.10080769648309176	0.14051486678826258	0.2978374008712847	0.12628717608581289	1.042602442106082	0.16937883593771885	0.15198644603121902
YDR016C	1.0454565341075739	1.0057639351399013	0.9935484855958642	1.3711565606977878	1.2033234508590933	1.081482974867086	0.9520321760079575	1.0308132638730074	1.0935254292969168	1.042602442106082	1.0586916341023338	1.038205671479935
YDR017C	2.445921075816677	2.1645572425256825	2.4483363559526516	2.5343547974483953	2.1582227133815777	2.3578995679603594	2.106872384301483	2.165210795019489	2.196439666780048	2.0594808210581808	2.2297099192634238	2.2200963578949175
YDR018C	2.0434797865212757	1.7980902914139287	2.251356168235578	2.7679753740864808	1.9545018258897104	1.6265266100970135	1.5759925070748801	1.6196780091393737	1.4648520664989015	2.016173527475776	1.6125525588231224	1.707224823916334
YDR019C	4.097040105239257	3.8362686108396	4.912793086107758	4.84921459427559	5.310883878328428	4.196067044029609	2.176553590991605	1.438460091849619	2.4298361501877337	2.1432452349080098	1.4493129349003082	1.3568361688148305
YDR020C	0.8327683486128787	0.8169977272231296	0.7766687956308969	0.7780567991991438	0.8298861439003666	0.8225821636181094	0.8035255052839377	0.7607115270035906	0.791327576179793	1.042602442106082	0.7655219986765288	0.8071320792096344
YDR021W	0.8986172710009974	0.8865882059721394	0.8319350059758738	0.677376750408216	0.7799215184639495	0.814030727198921	0.8330679527165431	0.7936145939644469	0.811066664342138	1.042602442106082	0.755529745016853	0.814030727198921
YDR022C	1.7137997630704314	1.9723161249574084	2.101554725653784	1.7835421255927746	2.249294905800922	2.2349911102822513	1.628946152392166	1.5073720140127906	1.4676311916627467	1.82319058787925	1.6366851327981384	1.6315973744120376
YDR023W	3.688422728620983	3.441576199446796	2.9009289654431822	3.108644470709719	2.495366269504292	2.662601186886625	3.339568428474442	2.9383268816778667	3.5657198561235677	1.8509406184903714	2.9747064115709483	2.9375517238357225
YDR024W	0.16148174010573182	0.36289849228081145	0.0936400747039121	0.45251140107990856	0.37689343602727327	0.10080769648309176	0.3646222852438685	0.5562005816423163	0.4003369059929549	1.042602442106082	0.16937883593771885	0.4626138975914746
YDR025W	3.698042987336524	2.3169218676152017	2.1913147887683646	2.3495893235498073	1.901697990366568	1.8012729415122208	3.3237117231224746	2.5077083713576807	4.328475630067351	1.8608893618476436	2.1149246418089027	2.492935841305869
YDR026C	1.5687856121738433	1.5401180528219713	1.4434879152047444	1.3929997223102353	1.591821957709821	1.450826731941856	1.7510898630719753	1.5313347836832316	1.5476580732993703	1.7624545232046658	1.6712546923485827	1.6738484350946745
YDR027C	1.9976876306745353	2.104829009437323	2.2165167044196474	1.8839157468545527	2.284812505529804	2.224654754674008	1.828783470987291	1.7859792454706982	1.7146632643422655	1.042602442106082	1.8299362092797058	1.651415932515314
YDR028C	4.036302961834079	4.522096443335365	4.404128834007619	4.5791405736007915	4.345100504035207	4.40909309593333	4.249468953385909	4.017059422787958	3.884587446503864	1.042602442106082	4.391961552362714	4.348223465124344
YDR029W	0.16148174010573182	0.13693379302927539	0.5699374127470118	0.5376639784771371	0.4314369070795695	0.5832695238600613	0.14051486678826258	0.10246030070760928	0.12628717608581289	1.042602442106082	0.16937883593771885	0.15198644603121902
YDR030C	1.6785926594530638	1.6533844952693202	1.6941902606745451	1.6168179568410703	1.6864694267260973	1.7595065951320168	1.800933728854956	1.8037900478567734	1.525057166372086	1.042602442106082	1.7507611656789304	1.8679495871853635
YDR031W	2.331762874390094	2.2430111390716405	2.608465398508481	3.13293986167627	2.97308028633989	2.3504485299121685	1.4451588363280812	1.4632159532220197	1.3349899647203936	1.042602442106082	1.5370522846516337	1.4806413004538024
YDR032C	5.688230461446563	5.8812847249855835	6.011429737802256	7.366089494619184	5.898421083574158	5.746537922139947	6.011429737802256	6.174424764100635	6.539160305479201	4.244224039651012	6.00107885420385	6.231904269880305
YDR033W	3.9863334759323834	5.444885532704093	4.594149847896719	3.3839960944639085	4.5383522446920495	5.89275941867192	2.269737870879191	2.2307641931138216	2.591237555894897	2.576887165696586	2.554144860755758	2.2476412412431905
YDR034C	1.881264171837932	2.081209522490438	1.9953613875088607	1.8096230721319877	2.0173867734600286	2.2369944394642682	1.864044419293673	1.9791999533801663	1.8522239115971626	1.042602442106082	2.1582227133815777	1.9308375276575502
YDR034C-A	0.7510860505574563	0.6959187167058312	0.6955337489761695	0.7241875879902331	0.6308077725710624	0.5903219836185399	0.7423687155108252	0.7581935758236499	0.7480207626498231	1.042602442106082	0.7845026749382638	0.7378038974661809
