Gene	SRR5798519	SRR5798520	SRR5798521	SRR5798522	SRR5798523
ETS1-1	2.423014679806993	4.36855957616727	8.558169508699493	9.172262829644419	8.914949918731832
ETS2-1	0.8208706817288296	0.7839097186786672	0.8993934380016684	1.2874361532876812	0.9532722836168845
HRA1	0.5971051858668761	0.6078507154558266	0.6042245827787812	0.5407250289877419	0.5853074188332538
ICR1	1.2563396650688226	1.2070381366689775	0.9246737224747658	0.9641646613228146	0.8280128102209814
IRT1	2.520527037770732	2.2455545352241177	2.4156867558868917	2.8204149754033576	2.344562183944351
ITS1-1	0.7378038974661809	1.2560349814961005	3.039652037992175	4.622827840259459	3.8341656261438577
ITS2-1	0.629800363206072	0.8744615318332807	1.0520333392448187	1.494140473697581	1.1681920774295482
LSR1	0.7218137655439621	1.0373185389997397	1.6052255363981216	2.2562701359516435	1.5147121443958356
NME1	0.6927767822574752	0.677376750408216	0.8123594271161971	1.0397278913691903	0.8569121719360124
PWR1	0.017159440347852415	0.014351819166995216	0.0076908142936565095	0.0008738636561302895	0.009644312695882297
Q0010	0.6282870540334032	0.6727359236224265	2.18984128281531	2.287513612628996	2.069263086587821
Q0017	0.1849719561948744	0.014351819166995216	0.3342275463297448	0.5675406656767246	0.4707279028120907
Q0020	0.4239080135690584	0.49659102783575887	0.7903932658762556	0.8186479027339597	0.8060042488683634
Q0032	0.017159440347852415	0.014351819166995216	0.08903479605704027	0.0008738636561302895	0.18323802797231542
Q0045	0.5675406656767246	1.4101337527096889	5.081297996929054	5.250141620448647	4.645772235024899
Q0050	0.4231107351231239	0.6655667542557178	1.1443040696608044	1.284910469906751	1.1129147446039647
Q0055	0.5680334510460235	0.8808657636266111	2.0594808210581808	2.103911418952226	1.9385927398365532
Q0060	0.2194816599902179	0.5514640123641901	1.0039876098422933	1.0653490511795412	0.9669516944078411
Q0065	0.3874825560150803	0.73873358547638	1.5476580732993703	1.7761611641592552	1.4956734259444102
Q0070	0.33925359184484793	0.6649555724756122	1.6817012663617692	1.838025140624502	1.6244679009270193
Q0075	0.39297515425039836	0.8590976917728772	2.524472679783865	2.858170413083949	2.588150717778804
Q0080	0.017159440347852415	0.014351819166995216	0.16854312090044726	0.18669373457013394	0.15452807350185654
Q0085	0.14304056212331384	0.31975824705013556	0.7498178338046669	0.8865882059721394	0.7790251573989402
Q0092	0.017159440347852415	0.014351819166995216	0.35016325576436713	0.3424169409188892	0.41481650097483846
Q0105	0.12277209466402564	0.014351819166995216	0.3966468050986687	0.39824484643036984	0.2842772001947699
Q0110	0.017159440347852415	0.11163837262480893	0.1995307812223141	0.37387252367383783	0.3128007333445408
Q0115	0.017159440347852415	0.11079553520773336	0.2428725182314416	0.2222569322296936	0.17795800863226827
Q0120	0.017159440347852415	0.15883724427605972	0.4386636308947014	0.4960102775453341	0.44051266438538467
Q0130	0.29272595490377895	1.1746496573155416	3.717699229371058	4.451413864625257	3.654455590707135
Q0140	0.16676952803502695	0.4891778896442357	0.7961641269669655	1.1489961397227013	0.8882622023203187
Q0142	0.017159440347852415	0.014351819166995216	0.0076908142936565095	0.15883724427605972	0.14304056212331384
Q0143	0.017159440347852415	0.014351819166995216	0.0076908142936565095	0.07309453835259318	0.009644312695882297
Q0144	0.09912350304530337	0.11688568107795104	0.30853219322205705	0.30946238935626597	0.32733456099236186
Q0158	2.640437525170099	1.9412167677259387	5.127107023622281	5.690900092936525	4.79449133639527
Q0160	1.7980902914139287	1.498541165109912	3.831357096846936	4.275661937741961	4.0384887464019
Q0182	0.017159440347852415	0.014351819166995216	0.2091087093699222	0.20117674010381092	0.2116531725529231
Q0250	0.09492111191535677	0.014351819166995216	0.3784333000638255	0.4131394444472054	0.295247978592439
Q0255	0.017159440347852415	0.014351819166995216	0.08816121027237388	0.2073578414190967	0.17975988609599095
Q0275	0.22788627666264868	0.2489416648925268	0.6507430280222217	0.6655667542557178	0.6881088017278689
