Gene	SRR1797370	SRR1797371	SRR1797372	SRR1797373	SRR1797374	SRR1797375	SRR1797376	SRR1797377	SRR1797378	SRR1797379	SRR1797380
ETS1-1	1.8149540265150619	1.7631550362831687	1.8320915183856255	1.1956765685656494	1.2234023879045575	1.047532670011791	2.3071692128037617	2.1747976931760897	1.1443040696608044	1.9467791111732415	1.7720893694364581
ETS2-1	0.4454682707819951	0.5692011641352982	0.45251140107990856	0.08816121027237388	0.5067789372920837	0.5474168800285554	0.5304464705017393	0.6403437086359733	0.3882463179184704	0.5161275015938369	0.6160635677483824
HRA1	0.6570747776836745	0.6522046386630407	0.5711449061221573	0.5867755385109489	0.606463475652012	0.6447420160585566	0.6660740326357224	0.5601014636166457	0.40680210274829065	0.631883458665481	0.5857991284964661
ICR1	0.9883835186432552	0.8956556887395885	1.2813366953433494	0.9748116623065421	0.8965296497524815	0.8495798478255183	1.2529480212507202	1.4402459924806543	0.8587677141755604	0.9864548036090998	0.8231760103661119
IRT1	1.0550743529107847	0.9232589137179805	1.4995324972953474	0.9737398981179158	0.9915892103486077	0.8758192971028678	0.9579061420340189	1.4133840947856045	1.1270660894642055	1.0393168630139318	0.7766687956308969
ITS1-1	0.722895382901105	0.7649186064997073	0.8347213802753457	0.6979715300139742	0.6611245480453573	0.6709522371016416	0.9603276572926333	0.9472163901792807	0.4411858620124387	0.758492713051962	0.8374646796133275
ITS2-1	0.7766687956308969	0.6146198416968459	0.6451396986603857	0.5506129682350573	0.7011906235199086	0.5867755385109489	0.7750709428168733	0.7058784821240871	0.5638553956092044	0.7828637309128312	0.6684648275706963
LSR1	3.431911767890056	4.796336142331963	2.9544420380883674	2.320844821663656	2.492935841305869	1.9324506404079083	5.501020347462963	2.902971489172358	2.331008152073939	3.5780595642157134	2.614398623541221
NME1	1.0099195635049858	0.9436685549174398	1.2954559584274978	0.9180590525370217	0.8647073298399709	0.8370227942808791	1.1063172635993388	1.4931385919427036	0.6826530800884403	1.065624164600367	0.7892862996768931
PWR1	0.9821685895712582	1.0552828069732747	1.6590304735489436	0.9115523589588224	0.8650746418795932	0.8521196635896048	1.0071224522230178	1.638156056323434	0.9241271285312774	0.8627124639261939	0.9825092148543371
Q0010	0.018573404878981858	0.13295298110658083	0.04200866956711542	0.08816121027237388	0.0152767922473966	0.015736427386439416	0.023155222641250334	0.060793829540498126	0.04856137769813326	0.017159440347852415	0.027201931207815836
Q0017	0.018573404878981858	0.13295298110658083	0.2222569322296936	0.08816121027237388	0.0152767922473966	0.09492111191535677	0.023155222641250334	0.060793829540498126	0.04856137769813326	0.017159440347852415	0.027201931207815836
Q0020	0.43478578545936736	0.5526506031785952	0.5784979869452672	0.5261006204665526	0.567044210286691	0.5697006822269474	0.5039818197129757	0.4667324585013256	0.6963316838455941	0.3882463179184704	0.9037437787691492
Q0032	0.018573404878981858	0.13295298110658083	0.04200866956711542	0.08816121027237388	0.0152767922473966	0.015736427386439416	0.023155222641250334	0.060793829540498126	0.04856137769813326	0.017159440347852415	0.027201931207815836
