Gene	SRR2045244	SRR2045245	SRR2045247	SRR2045248	SRR2045249	SRR2045250	SRR2045251	SRR2045252	SRR2045253	SRR2045254	SRR2045255	SRR2045256	SRR2045257	SRR2045259	SRR2045260	SRR2045261	SRR2045262	SRR2045263	SRR2045264	SRR2045265	SRR2045266	SRR2045267	SRR2045268	SRR2045269	SRR2045272	SRR2045274	SRR2045275	SRR2048394	SRR2048395	SRR2048396	SRR2048397
ETS1-1	10.522352049194033	10.171459498227641	10.117553934834259	10.464779104646581	10.280278690157264	9.852400593668355	9.959292194791908	10.280278690157264	10.280278690157264	9.852400593668355	9.959292194791908	10.522352049194033	10.464779104646581	9.52481585548779	11.00159888932874	11.00159888932874	11.00159888932874	11.00159888932874	10.912307204971501	10.912307204971501	10.81015640473891	10.81015640473891	9.959292194791908	10.81015640473891	10.380967930368602	10.435731055875108	10.464779104646581	7.234728763217431	6.011429737802256	5.751803460265659	5.2945696770792825
ETS2-1	1.3498329689275261	0.9620965842295862	0.7936145939644469	1.4991579422505776	1.097751571271283	0.7825694994201431	0.8353785587149113	0.8547398606221515	1.9056555129007529	0.7066668631962603	0.6942986406283591	0.6968115015283723	0.7535988735485799	0.7254713569612254	0.5543029728825882	0.4779409114596589	0.6110788483184973	0.4891778896442357	0.631319351283296	0.5824664208958594	0.487248138603386	0.5948373823517955	1.4703271193736804	1.0913655708667032	1.5924579144822761	0.9689464826177696	0.9256615853977057	2.4105469244951463	2.8867415586917833	1.0774342233558614	1.2556917931326856
HRA1	0.4239080135690584	0.2222569322296936	0.43724133807702326	0.2910593819793166	0.33925359184484793	0.4686967466751732	0.4499277743875222	0.33504114115973677	0.29439924570638293	0.4719676881004735	0.461268615840418	0.5027696719146055	0.5047014186457337	0.2994380582692576	0.3586259894623447	0.30853219322205705	0.34076539758214686	0.43724133807702326	0.4694253918088953	0.23223428275190774	0.5223921257189765	0.4707279028120907	0.35466387542729527	0.12406931640665302	0.33678970631092847	0.39824484643036984	0.4398883121661674	4.622827840259459	5.2311441328757216	4.5383522446920495	4.912793086107758
ICR1	1.3997000795834285	1.3415110593736435	2.2391338607264943	1.422350832360289	1.4991579422505776	1.5993863673001045	1.5313347836832316	1.4928438455445923	1.6463941691622477	3.1926200966919556	3.216072978563993	1.794897488649616	1.799318363207108	2.5343547974483953	1.453436237371789	1.4472173685012912	1.8070324634335824	1.794499993236399	1.25659360507185	1.3607287465616351	1.3837061961050086	1.3790840131966118	1.3024132409882963	1.3427710058896039	1.6090521516279161	2.877092207426866	2.984623930565696	3.7230152890670514	3.953179398659093	3.177450523360167	3.351737516858998
IRT1	0.8430688137475396	0.8659634138244379	1.0615459316650984	0.9430187364845034	0.9241271285312774	1.2596059983287742	1.2715222036786429	0.708436578497933	0.7156234166724875	0.804032479127476	0.8116599760107759	0.7336313664069796	0.8578670297621598	0.8624372435022132	0.8744615318332807	0.8338722473156563	0.9221003275996449	0.894601065855437	0.9127122965571399	0.929686486637006	1.2695217607207907	1.2072575485331183	0.831389974392703	0.7666219002056411	0.9630201701417429	1.577736698775483	1.6946515469862908	1.780101219896931	1.6708731331891502	2.6214821371803785	2.4564300326943167
ITS1-1	4.5552769872289876	3.4131097192915476	11.00159888932874	4.492107475901829	3.8703160763739266	3.3829717723194284	3.745670581591874	4.387872653029509	5.2945696770792825	11.237759902083965	11.237759902083965	6.6946860322910435	5.713891636987398	11.237759902083965	8.850313243209811	8.71101546898817	9.819641498961985	9.819641498961985	8.858621163143056	8.858621163143056	7.995929521708511	8.412410843390983	4.481135034766768	5.9061188668878	4.284029468580286	4.600894287024632	3.6011520711587917	7.141063876425247	6.205250049563953	5.872943687130077	5.807278918415465
ITS2-1	3.5479629430748867	1.8570278580513524	0.8627124639261939	1.7501596261208425	1.744696312822287	1.4262308442595109	1.7690384698952755	1.8494191015881989	3.7021639595886477	1.0595443395303565	1.120456103563166	5.403304302839852	5.542242756506751	1.0113887150545837	6.310389900947978	6.210038370703174	6.987479518228259	6.624391117118731	6.460765726030308	6.323736214613266	5.176222985074224	5.728325745546568	2.0235714114517824	4.244224039651012	2.931827635859211	3.210560844050283	2.249294905800922	8.352582107985391	8.044120634747022	7.699781142752989	7.568787426485868
LSR1	10.464779104646581	10.552899691671737	10.522352049194033	10.844656263224461	10.641639102468298	10.641639102468298	10.81015640473891	10.552899691671737	10.522352049194033	10.522352049194033	10.552899691671737	10.641639102468298	10.552899691671737	10.522352049194033	10.574262456909707	10.574262456909707	10.81015640473891	10.641639102468298	10.844656263224461	10.81015640473891	10.641639102468298	10.641639102468298	10.574262456909707	10.522352049194033	10.574262456909707	10.81015640473891	10.844656263224461	9.76669227681463	9.819641498961985	9.812777547282774	10.117553934834259
NME1	8.251432549138935	8.231468388853704	7.71512858707781	9.425309129682937	8.970719208561526	8.656766651976838	8.83219217241757	8.723349230426791	8.76194299762172	8.020791325790096	8.056476510665892	9.101443759654353	9.029508630353824	7.7327225049248325	8.565315738785966	8.47821081311369	8.352582107985391	8.412410843390983	9.471995685274207	9.074166953787508	8.768000765249877	8.689519764487105	8.565315738785966	8.118473135183752	8.871773971246022	8.71953309481113	8.753257547097324	5.438551825559822	5.269257439463912	3.671598316634884	3.9802489112650754
PWR1	0.3784333000638255	0.22414836689987697	0.2091087093699222	0.3493524440840029	0.12277209466402564	0.372416159770899	0.24105053985819402	0.9164160080024946	0.9302827804398033	0.6942986406283591	0.689533230340711	0.8538844164533876	1.0473255882158952	0.6150586521513195	0.33925359184484793	0.10494644478496984	0.49898499032254484	0.3936960310382049	0.06723706770036474	0.06511979388867306	0.361989692784645	0.2360496860708812	0.41771115303958456	0.12406931640665302	0.35712000437583225	0.30674425383277254	0.19780123547434766	0.05739812177397464	0.0748102753847645	0.05168536139993621	0.07225061366584558
