ETS1-1	0
ETS1-2	0
ETS2-1	0
ETS2-2	0
HRA1	3
ICR1	309
IRT1	1369
ITS1-1	0
ITS1-2	0
ITS2-1	0
ITS2-2	0
LSR1	425
NME1	131
PWR1	0
Q0010	0
Q0017	0
Q0020	0
Q0032	0
Q0045	0
Q0050	0
Q0055	0
Q0060	0
Q0065	0
Q0070	0
Q0075	0
Q0080	0
Q0085	0
Q0092	0
Q0105	0
Q0110	0
Q0115	0
Q0120	0
Q0130	0
Q0140	0
Q0142	0
Q0143	0
Q0144	0
Q0158	0
Q0160	0
Q0182	0
Q0250	0
Q0255	0
Q0275	0
Q0285	0
Q0297	0
RDN18-1	0
RDN18-2	0
RDN25-1	0
RDN25-2	0
RDN37-1	0
RDN37-2	0
RDN5-1	11
RDN5-2	0
RDN5-3	0
RDN5-4	0
RDN5-5	0
RDN5-6	0
RDN58-1	0
RDN58-2	0
RME2	148
RME3	0
RNA170	28
RPR1	326
RUF20	819
RUF21	275
RUF22	0
RUF23	2
RUF5-1	0
RUF5-2	0
SCR1	655
SRG1	2135
YAL001C	2252
YAL002W	1097
YAL003W	17258
YAL004W	0
YAL005C	7662
YAL007C	2381
YAL008W	2810
YAL009W	659
YAL010C	968
YAL011W	453
YAL012W	1686
YAL013W	955
YAL014C	750
YAL015C	1183
YAL016C-A	33
YAL016C-B	64
YAL016W	6965
YAL017W	1929
YAL018C	33
YAL019W	985
YAL019W-A	2
YAL020C	315
YAL021C	1551
YAL022C	816
YAL023C	3426
YAL024C	396
YAL025C	2436
YAL026C	1203
YAL026C-A	305
YAL027W	1364
YAL028W	277
YAL029C	3463
YAL030W	1089
YAL031C	652
YAL031W-A	53
YAL032C	687
YAL033W	1441
YAL034C	956
YAL034C-B	114
YAL034W-A	717
YAL035W	5387
YAL036C	1237
YAL037C-A	36
YAL037C-B	1865
YAL037W	365
YAL038W	15235
YAL039C	2754
YAL040C	616
YAL041W	874
YAL042C-A	0
YAL042W	2922
YAL043C	1005
YAL044C	3480
YAL044W-A	1424
YAL045C	5
YAL046C	699
YAL047C	469
YAL047W-A	0
YAL048C	473
YAL049C	1672
YAL051W	780
YAL053W	3826
YAL054C	1951
YAL055W	1572
YAL056C-A	48
YAL056W	2927
YAL058W	545
YAL059C-A	0
YAL059W	1412
YAL060W	8079
YAL061W	2287
YAL062W	1085
YAL063C	468
YAL063C-A	40
YAL064C-A	86
YAL064W	15
YAL064W-B	32
YAL065C	16
YAL066W	4
YAL067C	226
YAL067W-A	1
YAL068C	0
YAL068W-A	0
YAL069W	0
YAR002C-A	7138
YAR002W	2099
YAR003W	1110
