Gene	SRR7241903	SRR7241904	SRR7241905	SRR7241907	SRR7241908	SRR7241909	SRR8093860
YER187W	0.5155696121736053	0.3042977321525522	0.32540453702911754	0.6199512487744979	0.22460273481834392	0.2510567418678871	0.37164851790994813
YER188C-A	0.24586199416948817	0.3042977321525522	0.6348483614022801	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.7487599495941222
YER188W	0.8298861439003666	0.8127067333295377	0.7440606215502414	0.7460564656973228	0.8182327439692989	0.8554779256733471	0.37164851790994813
YER189W	1.1079435084385834	1.0448771166703292	1.1968535960958713	0.9948776616926288	1.0595443395303565	1.1105362733609714	1.0890995863675421
YER190C-A	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YER190C-B	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YER190W	0.9883835186432552	1.1150783273746037	0.32540453702911754	0.2752891334505877	0.8424002964304235	0.2510567418678871	0.37164851790994813
YFL001W	1.4880607147368214	1.4700500380107688	1.4363850329640067	1.313816756651169	1.4165174233914395	1.5295043430663409	1.1858938940895598
YFL002C	1.942661987200443	1.9136837376474125	1.4972814865525366	1.492378302795002	1.754289928127942	1.939618742082086	1.7844531808262771
YFL003C	0.8086606557779243	0.786566789112934	0.7532707380137978	0.7378038974661809	0.7707499487139976	0.7790251573989402	0.7142992389998066
YFL004W	4.556701568062817	4.622827840259459	3.657929403969568	4.078116863742302	4.529318982743569	4.145607202114707	4.557809981052351
YFL005W	3.261733052687518	3.1558740557920615	3.3501961976849	3.19798167391716	3.216072978563993	3.3237117231224746	4.184641138425221
YFL007W	2.9308355838401385	2.7585193478316645	2.0198894134539884	2.5002915115044266	2.739786650788983	2.9528456395100893	1.7600913978765467
YFL008W	2.1699712338734085	2.2963087612676896	2.007603000657466	1.6533844952693202	2.1790017281314187	2.2290109047642828	1.860265320714296
YFL009W	2.363026628901173	2.4607339846874177	2.380150036722172	2.324486147471204	2.016173527475776	1.8864933040199303	2.190921452500358
YFL010C	4.665426098614287	4.252675067465697	5.297798123745092	4.946930681461252	4.348223465124344	5.206151421249244	3.852164257036058
YFL010W-A	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.5830511900126061	0.5223921257189765	0.37164851790994813
