Gene	SRR1583716	SRR1583717	SRR1583718	SRR1583719	SRR1583720	SRR1583721	SRR1583722	SRR1583723	SRR1583724	SRR1583726	SRR1583727	SRR1583728	SRR1583729	SRR1583730	SRR1583731	SRR1583733	SRR1583734	SRR1583735	SRR1583737	SRR1583738	SRR1583740
YOL086W-A	1.842072787613654	1.989125188474285	2.0224144455109148	2.2237160231710478	1.8168572078861807	1.9464297857833288	1.9450616677313404	2.3215330228534823	1.8776693480829374	1.8070324634335824	1.7393181532254094	1.799318363207108	1.677845048265224	1.6738484350946745	1.429137284528783	1.6059044826988853	1.5972571628883525	1.6043454175827705	1.6717565285645843	1.6448702755279525	1.5168507687864985
YOL087C	1.4769803192567799	1.350780960831291	1.4876842310479825	1.2730838875026913	1.4493129349003082	1.1695440796691359	1.405284293356987	1.4272460233170932	1.6608545380922002	1.4124994222844922	1.5801638835742873	1.3719837884726414	0.8603163343069447	0.9021750899575208	1.4300975397636204	1.596884389174878	1.5412233389357999	1.3246026646853357	1.5513605404469424	1.8310080596321159	1.6873438021216307
YOL088C	1.394718868332098	1.7367388359947982	1.794499993236399	1.5643153613651632	1.5019717066846305	1.707952429643529	1.7532179987764873	1.6791619529560347	1.3702952800476016	1.6000408785773044	1.3184061622505028	1.8168572078861807	0.8603163343069447	2.2200963578949175	1.484904305673417	1.5379571527716687	1.400149948576276	1.3847956588318653	1.1073779148074274	1.3790840131966118	1.5589393718562143
YOL089C	1.0938815564260522	1.2972508107415972	1.2167064023767211	1.1820094019866612	1.2502684911467061	1.1989559634997125	1.299492659728124	1.2361129540328963	1.221389273347254	1.25659360507185	1.1814485607104064	1.2813366953433494	1.416783599562316	0.9021750899575208	1.3967223207139863	1.1227900644113653	1.588186734159945	1.4721392037093954	1.5993863673001045	1.5464483404973757	1.5678256608869892
YOL090W	2.1941809605894056	2.002019307794638	2.3396416521446395	2.131787826302509	1.9308375276575502	1.9788338646688346	2.089005490967759	2.8048617492274794	2.0751080289734807	2.054997283566614	2.355950985416918	1.860560855790356	1.3878538518315473	1.5346420453957437	1.8416264777745845	1.6076677334877427	1.4765885146086457	1.5412233389357999	1.5328039372666358	1.2054904348196813	1.4396230739025615
YOL091W	0.6919903791183233	0.9392624711748039	0.8686853116738152	0.8603163343069447	0.9010634428551558	0.9643850168841015	0.9792969387754891	1.033636224741183	1.1344909342188643	0.9108418762142458	0.9805470388355368	0.9182953641434657	0.8603163343069447	1.6864694267260973	0.9641646613228146	0.9324618865271602	0.9143713437948127	1.0078788664458986	0.9398271585071233	0.8930669554182012	0.9483270984429537
YOL092W	4.1227741795041375	3.437968484610089	3.3424078000505606	3.3793454544069004	3.7122216593105737	3.5717854819093073	3.118251167178124	3.0982799749480945	2.390017728403618	2.434834620579387	2.601045467599933	2.417312664283963	2.91586285633726	2.303057588067454	2.7300769496080624	2.658212472017074	3.118251167178124	2.8452141330698484	2.8053909685874814	2.984623930565696	2.796620594262447
YOL093W	1.3461140305826023	1.2544562546770555	1.581574674400232	1.420606758630387	1.2480564998957857	1.2491985023400975	1.340722142523461	1.24741431804133	1.0574312003932411	1.0093514752062132	1.0951679460904327	1.43189434175721	0.8603163343069447	0.9021750899575208	1.2695217607207907	1.1088046280267125	0.9795539021771211	1.2048874779216883	1.1178347732484415	1.2061886802145718	0.9564848944337252
YOL094C	1.8270296097691594	1.9389618087709106	2.0947772640240947	1.881264171837932	1.9702997916657339	1.9375207843240907	1.9669141648565456	2.331008152073939	1.880616109941689	1.8476085412142558	1.8684242876072652	1.7165320269438396	2.29874382891593	2.4679363840885795	1.8770020074821776	1.8787349477803277	1.7838783298072522	1.793902741080927	1.9455556625242654	1.8004370876656635	1.8628178994998508
YOL095C	1.0944028803141372	1.433890955070962	1.1443040696608044	1.1160724011384704	1.4703271193736804	1.2257986019503444	1.379922466206536	1.0358223151342072	1.2477748883913908	1.060253286938782	1.0325945402944576	1.0898288520682453	0.8603163343069447	2.084998280115087	1.2735185531910227	1.1038925218754234	1.3127313032005414	0.9480567405730473	1.1409858583644557	1.3352361543429139	1.1100513181197826
YOL096C	1.1667069066080227	1.3197065193776434	1.2065887976449983	1.1848012156700898	1.4119146907122726	1.3842354329280906	1.2452063708130834	1.3366125143691017	1.5958751215438975	1.2691976674074679	1.7141271235645466	1.1766285236560434	0.8603163343069447	0.9021750899575208	1.2751608952113809	1.2715222036786429	1.3231720179643003	1.082034146589884	1.3288917774696047	1.3583839012292367	1.3085085626183557
YOL097C	5.2815003246759495	4.944984583263994	4.8946229238656205	5.114207994503531	5.186682940928689	5.248186072983275	4.79449133639527	3.8600152897354585	3.5336544873327034	3.7134573590578706	3.452717726022023	3.698042987336524	4.558664695048312	4.366283360458291	3.109744558465345	3.1137288486803	3.123353560859032	2.4298361501877337	3.3893163405463445	3.2375765963763996	2.854861491350567
YOL097W-A	1.062694947656813	0.8495798478255183	0.7531237266657868	0.8303491237601072	0.9675653716631893	0.9956735801328349	1.1069309435609456	0.8759376500304878	0.8681408862867135	0.8638605069371421	0.3633865448214376	1.0659727792217333	0.8603163343069447	0.9021750899575208	0.732930075192847	0.629583778296897	0.5743592138871721	0.8248501112006414	0.7793018810467888	0.2825998920652203	0.8650746418795932
YOL098C	1.1700500484054266	1.4071472963330418	1.4402459924806543	1.5135478951082615	1.4157891025017757	1.075520357254512	1.4045529313502614	1.0078788664458986	1.4174075111686923	1.120456103563166	1.1230248259996807	1.2913352662345878	0.8603163343069447	0.9021750899575208	1.2095497764982577	1.1891792241439052	1.0868748387934117	1.3144254883349158	0.934086191028427	0.9250325975937261	1.1219190096035527
YOL099C	0.8193392526321208	0.8169977272231296	0.9646265527255719	0.6873612420209857	0.8771023698167957	0.7378038974661809	0.9579061420340189	0.9698067976880645	0.3527729372316215	0.8868706740841312	0.8697249442257973	0.40805289325960276	1.5627580352839003	1.6660474072103217	0.7936145939644469	0.8001223242196024	0.7416416778474374	0.794357545989913	0.9290768754781793	0.8330679527165431	0.9010634428551558
YOL100W	1.4119146907122726	1.3405163199715728	1.2286686726499745	1.3370281997818876	1.1773412357320958	1.4005840534373648	1.4481328028154001	1.316498158563824	1.212414223824298	1.2866045501072783	1.0956499984409183	1.3702952800476016	0.8603163343069447	0.9021750899575208	1.5127951022760495	1.3146633856901757	1.5726712057360892	1.3568361688148305	1.3162135612666717	1.628946152392166	1.5809322123701661
