Gene	ERR2682199	ERR2682200	ERR2682201	ERR2682202	ERR2682203	ERR2682204	ERR2682205	ERR2682206	ERR2682207	ERR2682208	ERR2682209	ERR2682210	ERR2682211	ERR2682212	ERR2682213	ERR2682214	ERR2682215	ERR2682216	ERR2682217	ERR2682218	ERR2682219	ERR2682220	ERR2682221	ERR2682222	ERR2682223	ERR2682224	ERR2682225	ERR2682226	ERR2682227	ERR2682228	ERR2682229	ERR2682230
ETS1-1	9.603361528118322	9.644976805209001	9.677795271612801	9.471995685274207	9.117671523485999	9.117671523485999	9.117671523485999	9.117671523485999	8.891690668658846	8.891690668658846	8.784921741103126	8.891690668658846	9.051584127962045	9.051584127962045	9.051584127962045	9.051584127962045	10.171459498227641	10.171459498227641	10.171459498227641	10.142519078392704	9.812777547282774	9.812777547282774	9.805057292625115	9.805057292625115	9.852400593668355	9.852400593668355	9.852400593668355	9.852400593668355	9.644976805209001	9.644976805209001	9.603361528118322	9.52481585548779
ETS2-1	0.6381422854777505	0.5167122529695116	0.6906777922172267	0.7118721898738949	0.5917738348274523	0.62218124939354	0.5283350816256487	0.43724133807702326	0.6302573071871842	0.6418064258177824	0.6266626674521516	0.601677450111175	0.6869215193599756	0.6777665098433647	0.6830685864230827	0.6891570261348727	0.6476309026139548	0.6231345164258137	0.6574487098445283	0.6183655625168172	0.6717441505733284	0.6935486212995635	0.6615137566674822	0.7007830463075948	0.716988059776866	0.7360732398811609	0.6476309026139548	0.7289944260234733	0.6217723579214387	0.6274808535682953	0.6766466205913911	0.6826530800884403
HRA1	0.1641123221332098	0.539167832095529	0.4239080135690584	0.14794429619722718	0.4779409114596589	0.636866429345941	0.15751503749533272	0.16979250352048755	0.5088676159956668	0.16722359859766345	0.41178327705361684	0.14845318368188898	0.55668429389959	0.16457913525184747	0.47454343150280187	0.4667324585013256	0.5557267975916933	0.4866641614634829	0.13603884044787912	0.44920533555021547	0.37164851790994813	0.5643480776252439	0.14613084867733778	0.38294661843166744	0.1570937506772226	0.4231107351231239	0.14136857258893532	0.1549442179228085	0.49543834302570966	0.47318685007670763	0.47379653305708536	0.4891778896442357
ICR1	0.9141275818607243	0.8925862188309831	0.8918577550080478	0.9024798770661814	0.874127632036666	0.879034523548089	0.9213006999206416	0.8656713306479007	0.9328013256076677	0.8765036458839977	0.8918577550080478	0.9037437787691492	0.9010634428551558	0.8893648902514795	0.9065148480676977	0.8953965829102831	0.8327683486128787	0.8712093038080659	0.8280128102209814	0.9232589137179805	0.8541618893202259	0.8758192971028678	0.8414650412364264	0.879034523548089	0.886334230521274	0.8615809978748104	0.8535660412014979	0.8765036458839977	0.8903732244501044	0.8634356106544081	0.8653875869893902	0.8653875869893902
IRT1	2.2321852922635834	2.4050513221413086	2.3755996625834523	2.297106502399783	2.4135785072301017	2.501643485763367	2.2924337963660157	2.4833097636967887	2.251811182564644	2.3111140052927435	2.1951488652381794	2.112241813731617	2.6900643227152035	2.6824630766988307	2.686570025938644	2.4833097636967887	1.132730180124974	1.0369500858553249	1.076070565836825	1.0695714567178851	1.0266135223538781	0.9818580422591981	1.0512428900155326	0.999908545429432	1.1621998240219817	1.1841375375342815	1.117615484329586	1.1929835695397633	1.1439756231383313	1.106619754619814	1.0534741343682374	1.1338262821511904
ITS1-1	1.4077374134244156	1.445898198783499	1.427924065328296	1.3383906773859424	1.2302900830271237	1.372294235541082	1.2884003363433914	1.3024132409882963	1.2962898154570461	1.22041258615294	1.221975305499595	1.2108339613926051	1.265395035465794	1.2686697728616936	1.3293664042265547	1.398519469370449	1.5398686571759592	1.4906276215362468	1.51249742490076	1.5606582967770155	1.3627398871813172	1.3037080375510126	1.3063053397039968	1.3427710058896039	1.3093164836182904	1.3896687409782278	1.3383906773859424	1.357093238637974	1.493437510661418	1.284910469906751	1.3037080375510126	1.2998166893900138
ITS2-1	1.8132040557997715	1.8227117814327682	1.8995001827470563	1.733339930289626	1.5594143762180965	1.5835072582584249	1.5360086610197257	1.548731520113193	1.6211864358889572	1.7437177209098316	1.5931306881880185	1.65310937517199	1.6310775102669401	1.6839479329782143	1.6292680072077812	1.6063096097383278	1.7344300952959864	1.6819154922699322	1.6757011009512879	1.8465831562389226	1.8986893293054876	1.9256319316918773	1.8947336138873219	1.9714959294480812	1.8589321893521698	1.7167727351631143	1.799318363207108	1.782476184775479	1.9348946063927088	1.904796816096233	1.8664939767765072	1.9283941595456158
LSR1	1.3293664042265547	1.2966299277223197	1.2823422485120664	1.3447421697264874	1.4068935744211553	1.2884003363433914	1.3444698879882682	1.2889147413262674	1.2923223034287472	1.1517772918662472	1.3004079809855482	1.2783016915862093	1.3129462446051345	1.3234131193425862	1.2648243467325255	1.173508971576535	1.0509919723455052	1.0881100035118543	1.0393168630139318	1.0530858437603978	1.6471991657630418	1.6706460461163535	1.6154047402048541	1.7667022290392969	1.0491320227678795	1.1027414440811247	1.0462026339479127	1.0572068332097684	1.0195858238285196	0.9715669162517888	0.9923348453691572	1.047532670011791
NME1	0.7649186064997073	0.8018840340461219	0.7693347707752959	0.7432099448077477	0.7721249037382876	0.7730463931420015	0.7432099448077477	0.7110681275338336	0.7634694021266656	0.7628425901221484	0.7799215184639495	0.7526077496393166	0.774786013645646	0.7603796001810538	0.7408883092393593	0.7487599495941222	0.758492713051962	0.8228944682595114	0.7727346830334092	0.7662448835381191	0.7965395780524327	0.7730463931420015	0.8228944682595114	0.7870337952727623	0.7780567991991438	0.7529588563240752	0.7740611893575342	0.774786013645646	0.7270004465576958	0.7352621973660436	0.7802549391495825	0.7717836856633524
PWR1	0.1641123221332098	0.15286941738577312	0.14975849789595788	0.14794429619722718	0.15970639612429635	0.1663218110885194	0.15751503749533272	0.44311273052088745	0.16058354857499502	0.16722359859766345	0.16722359859766345	0.4261388880847253	0.16457913525184747	0.16457913525184747	0.16234463637236013	0.16234463637236013	0.15751503749533272	0.15198644603121902	0.4667324585013256	0.47454343150280187	0.4798664129086254	0.1465673498487981	0.45790906003266685	0.1549442179228085	0.1570937506772226	0.14975849789595788	0.14136857258893532	0.1549442179228085	0.1549442179228085	0.15411321919992804	0.38070512255464795	0.16058354857499502
