Gene	SRR570199	SRR570200
YLL058W	1.1861996809601945	1.1126565464575608
YLL059C	0.5146553956930462	0.5487420503018857
YLL060C	1.129073223532977	1.2054904348196813
YLL061W	1.5951594670009275	1.7167727351631143
YLL062C	0.9719133031746406	0.8238503089051317
YLL063C	0.6881088017278689	0.682195041444372
YLL064C	0.47454343150280187	0.4155809435399752
YLL065W	0.6482707567971081	0.5201636946856775
YLL066C	0.07562801070410835	0.08186014583493365
YLL066W-B	0.5033556828577597	0.5588598557716499
YLL067C	0.5003363417104669	0.08186014583493365
YLR001C	3.0091223909464593	2.82889980552918
YLR002C	1.3712498391396108	1.3124328505721974
YLR003C	0.9401020737262188	0.9556970596810676
YLR004C	2.3222610555985193	2.099874882678849
YLR005W	1.9964780838996983	2.165210795019489
YLR006C	1.80070526826455	1.7572104754343312
YLR007W	1.6799275588702725	1.728991307094583
YLR008C	1.083961492384381	0.8955265121319038
YLR009W	1.4521151862333515	1.5441173908596342
YLR010C	0.650158489181276	0.6727359236224265
YLR011W	0.7816791308210321	0.6888152884433402
YLR012C	0.07562801070410835	0.24370094837661438
YLR013W	0.22319517240113806	0.08186014583493365
YLR014C	0.897260499424777	0.9180590525370217
YLR015W	1.4785734393103804	1.5375691373146998
YLR016C	1.187846169315188	1.180777186530387
YLR017W	1.9768073447144228	2.188533373518475
YLR018C	1.7745173356002524	1.611817667921866
YLR019W	2.800214886656216	2.811016816859993
YLR020C	1.1697895643101346	1.24032210556528
YLR021W	1.050415353929273	1.0643038285062005
YLR022C	0.7839097186786672	0.8353785587149113
YLR023C	1.5313347836832316	1.5438264059378304
YLR024C	1.6114417030897252	1.7467758468078838
YLR025W	2.3873081439448116	2.4050513221413086
YLR026C	1.041774813965397	1.0366732927932352
YLR027C	6.390453889385295	6.011429737802256
YLR028C	5.153694329883986	5.429915968420845
YLR029C	4.24632166933575	4.104972248049149
YLR030W	0.7249728265286343	0.7662448835381191
YLR031W	0.36121594260780715	0.410186117658609
YLR032W	1.5063815636766287	1.9272602962208538
YLR033W	1.2336007598066814	1.3194381981157943
YLR034C	3.23423979048511	2.7627136372922845
YLR035C	1.4084543011877448	1.5102442256555215
YLR036C	0.631883458665481	0.5680334510460235
YLR037C	0.6759014424347112	0.7447037781382359
YLR038C	4.265590031351395	3.6595384076441637
YLR039C	1.5321340083592647	1.4700500380107688
YLR040C	0.5161275015938369	0.4947753174049054
YLR041W	0.401841753269969	0.4231107351231239
YLR042C	0.608878087870256	0.461268615840418
YLR043C	3.36298006335337	3.049469671547883
YLR044C	9.094002106928592	9.805057292625115
YLR045C	1.399419080461672	1.5748687418722729
YLR046C	1.2876972758735103	1.2246831866599823
YLR047C	2.1432452349080098	1.8313115587341562
YLR048W	4.134666531207064	4.156634209021049
YLR049C	1.2596059983287742	1.4011889371807715
YLR050C	1.3851787498030592	1.3348632312144861
YLR051C	0.9105388252073572	0.9034148287159447
YLR052W	1.6027406225063694	1.6027406225063694
YLR053C	1.2931292287384748	1.5703530468883902
YLR054C	0.7507529185141886	0.746461699138165
YLR055C	1.3246026646853357	1.3176728884406212
YLR056W	8.265560931278268	7.707046698450163
YLR057W	1.8202264190866784	1.7116360487052718
YLR058C	5.629882057012521	6.06996892617588
YLR059C	1.5282836851999213	1.5443866338645682
YLR060W	2.3584341324042177	2.3491085051038016
YLR061W	1.021397997480431	1.118583382680228
YLR062C	1.4964494325767415	1.5224920722512671
YLR063W	0.7258629446095859	0.695195591854217
YLR064W	1.526238424492385	1.4684594052010782
YLR065C	0.9095472695856941	0.9254123790045692
YLR066W	0.8402746124530636	0.807821258704055
YLR067C	1.0813844627376465	0.9345590653476046
YLR068W	0.8090459433061302	0.8857347349604678
YLR069C	2.1935922532045895	2.000055674840429
YLR070C	1.8612380207084178	1.9995788231282872
YLR071C	1.691279418889615	1.8315837990081727
YLR072W	2.2605398645357937	2.06746050456616
YLR073C	1.1168663613564604	1.0247625142408519
YLR074C	1.3787145482228738	1.4556007521145642
YLR075W	4.900242658971436	5.291886226132929
YLR076C	1.6097985927279486	1.7179833192874607
YLR077W	1.883200231140917	1.7363114281401189
YLR078C	1.3197065193776434	1.3883336529980856
YLR079W	1.8992549367119431	1.7870178347010601
YLR080W	1.4143291670929974	1.2509454653917926
YLR081W	0.6330048461543683	0.6851294513494717
YLR082C	1.0190711450070604	1.017306233903963
YLR083C	1.7814041887597742	1.7595065951320168
YLR084C	1.085924239344241	1.0661812234372912
YLR085C	1.1838578970826528	1.2351898182951724
YLR086W	1.8558200907599065	1.97258917876922
YLR087C	2.552184686978242	2.7729437031965336
YLR088W	1.887442807241368	1.8664939767765072
YLR089C	4.244224039651012	4.091152378277114
YLR090W	1.1449132173585894	1.149990589132796
YLR091W	1.2735185531910227	1.2587242527177336
YLR092W	1.2582587974975872	1.557324806728015
YLR093C	2.734203401659468	2.576887165696586
YLR094C	2.2237160231710478	2.41658291362499
YLR095C	1.9038756055256754	1.881264171837932
YLR096W	2.002555334869873	2.04815525762746
YLR097C	1.3888702124536756	1.2397075398471884
YLR098C	1.3046986430992615	1.3728223154437171
YLR099C	2.352475292325197	2.090307993916507
YLR099W-A	0.9474689797920726	0.9618558634359636
YLR100W	2.2286038509502686	2.089557538335789
YLR101C	1.0916135969865763	0.953744132319601
YLR102C	1.3607287465616351	1.1612596429452013
YLR103C	1.0402883814425976	1.228247696840867
YLR104W	1.2923223034287472	1.4193243341051838
YLR105C	1.0707193970409632	1.1100513181197826
YLR106C	4.348223465124344	5.103148485932367
YLR107W	1.1686382800510902	1.0969400228071384
YLR108C	0.7574979487114798	0.757094056010594
YLR109W	4.662216311577415	5.058873045778254
YLR110C	9.819641498961985	9.603361528118322
YLR111W	0.4725985543930875	0.3167491923167039
YLR112W	0.4909072547181514	0.35242417982591795
YLR113W	1.5580920644111047	1.527905180576128
YLR114C	1.6757011009512879	1.7134252312162492
YLR115W	1.5706449347314781	1.6127777314801457
YLR116W	1.860265320714296	2.28919909597964
YLR117C	1.759238094070108	2.0537655111697384
YLR118C	1.5232521340436098	1.5364572194855146
YLR119W	0.6183655625168172	0.8116599760107759
YLR120C	4.534167275170589	4.483635934311721
YLR120W-A	0.4667324585013256	0.6330048461543683
YLR121C	1.6923676053474082	1.8299362092797058
YLR122C	0.5726735941565295	0.7391126700983338
YLR123C	0.6777665098433647	0.5572013747057557
