	log2fc	p-adj
5,6-dihydrouracil	1.09017364	3.77e-06
5-methoxytryptamine	0.098300907	0.594978747
1-monopalmitin	0.156225142	0.161169378
phenylpyruvic acid	0.072128051	0.399951132
xylitol	0.519232882	4.77e-05
5'-deoxy-5'-methylthioadenosine	0.840279807	0.001734452
guanosine	-0.048105277	0.690494855
glucose	-1.093726866	5.81e-07
xanthosine	0.120409437	0.411862051
asparagine	0.231201015	0.004191927
phosphoethanolamine	0.529420778	0.00516007
trehalose	0.189363463	0.55251835
threonic acid	0.270722764	0.045432899
3-phosphoglycerate	-1.085793749	0.001044686
maltose	0.139330386	0.6438136
proline	0.439027613	0.000637014
cellobiotol	0.148481234	0.6215931
histidine	-0.630702184	9.26e-05
cystine	-0.240817155	0.118751843
2-hydroxyglutaric acid	0.679551668	0.003363723
3-hydroxybutanoic acid	-0.122650042	0.679065143
citric acid	-0.636298204	0.000501045
spermidine	-0.55962869	3.12e-05
lauric acid	-0.208178192	0.079279578
UDP-GlcNAc	1.176163198	1.94e-07
pseudo uridine	-0.07654489	0.352328601
phenylalanine	0.190696526	0.071881265
glucose-6-phosphate	-0.227126041	0.201725301
sucrose	-0.448700225	0.209459129
4-hydroxybutyric acid	0.37402911	0.013627837
fucose	0.534858519	0.01128446
fructose	0.045623934	0.824893923
2-phenylpropanol	-0.27239264	0.026710246
cysteine	0.676315159	2.28e-06
methionine sulfoxide	-0.841770145	0.024643156
arabitol	0.497203995	4.33e-05
adenine	0.541532966	0.000600989
adenosine	0.246673065	0.405494406
xanthine	1.347217801	1.87e-05
5-hydroxynorvaline	0.043632416	0.61497164
alanine	0.294946874	0.00095755
galactose-6-phosphate	-0.163492098	0.237908294
uric acid	0.49603624	0.003458475
urea	0.052125115	0.58452693
putrescine	0.184698885	0.330032371
uridine	-0.522203945	0.008806056
sorbitol	-1.013775504	0.100168575
beta-alanine	-0.081472043	0.535769412
hydroxycarbamate	-0.090628653	0.323823535
ethanol phosphate	0.106718162	0.515107093
inositol allo-	-0.288499072	0.105205678
behenic acid	-0.106513606	0.38230308
nicotinamide	0.477855672	0.000102797
methionine	0.191338859	0.094225561
threitol	-0.107031561	0.317372193
octadecanol	-1.049022285	0.193864474
taurine	0.388917561	0.003907708
pipecolic acid	0.160682406	0.035275268
acetophenone	-0.418884658	0.025601646
indole-3-lactate	0.19253182	0.170232153
pantothenic acid	-0.129979077	0.366057286
stigmasterol	-0.065649679	0.539949183
erythritol	-0.054408773	0.543898423
conduritol beta epoxide	0.036994545	0.851132506
pyrophosphate	-0.041297457	0.720539197
ribose	-0.034321029	0.830872396
oxalic acid	-0.017655617	0.876422832
guanine	-0.094394699	0.471141775
succinic acid	0.43302502	0.04654239
dihydrosphingosine	-0.597481192	0.002385164
maleimide	0.064924663	0.608338587
ethanolamine	0.25067071	0.116419702
hydroxylamine	-0.315355034	0.022343576
