	log2fc	p-adj
trehalose	0.189363463	0.55251835
pentadecanoic acid	-0.276059154	0.007486567
homoserine	0.159452671	0.087592179
behenic acid	-0.106513606	0.38230308
cellobiotol	0.148481234	0.6215931
5'-deoxy-5'-methylthioadenosine	0.840279807	0.001734452
arachidic acid	-1.812035424	0.184040778
palmitic acid	-0.207256382	0.047563697
hydroxycarbamate	-0.090628653	0.323823535
ethanol phosphate	0.106718162	0.515107093
dodecane	-0.090948178	0.466463577
caprylic acid	-0.360573208	0.00033643
pseudo uridine	-0.07654489	0.352328601
phenylpyruvic acid	0.072128051	0.399951132
hypoxanthine	0.170246109	0.108933753
phenylalanine	0.190696526	0.071881265
alanine	0.294946874	0.00095755
galactose-6-phosphate	-0.163492098	0.237908294
3-phenyllactic acid	0.541229259	0.125342052
2-phenylpropanol	-0.27239264	0.026710246
hydroxylamine	-0.315355034	0.022343576
isoleucine	0.243870183	0.004716428
UDP-GlcNAc	1.176163198	1.94e-07
3-phosphoglycerate	-1.085793749	0.001044686
isothreonic acid	0.305557671	0.02014056
arachidonic acid	0.590467272	0.005027144
citrulline	-0.571123868	2.75e-05
cholesterol	-0.084534355	0.390626488
glycerol-3-galactoside	1.089042751	0.04131462
malic acid	0.390367866	0.007328161
adipic acid	-0.327964345	0.073973389
5,6-dihydrouracil	1.09017364	3.77e-06
phosphoric acid	0.21577	0.056344272
urea	0.052125115	0.58452693
capric acid	-0.237370118	0.011714321
gamma-tocopherol	0.221425414	0.274201373
xanthosine	0.120409437	0.411862051
