	log2fc	p-adj
2-phenylpropanol	-0.27239264	0.026710246
glycerol	0.305653692	0.001225158
caprylic acid	-0.360573208	0.00033643
glycine	0.152524171	0.019439377
glycerol-3-galactoside	1.089042751	0.04131462
238267 trisaccharide	0.601411342	0.03931121
inositol-4-monophosphate	-0.419143754	0.029044532
myristic acid	-0.126354716	0.152408467
xylitol	0.519232882	4.77e-05
erythronic acid lactone	-0.556876905	0.001613925
oxoproline	0.212251017	0.007684847
adenosine-5-phosphate	1.310849716	0.000228557
thymine	0.20656932	0.077953621
2-hydroxybutanoic acid	-0.109106932	0.447496463
arachidic acid	-1.812035424	0.184040778
hydroxylamine	-0.315355034	0.022343576
salicylaldehyde	-0.09583416	0.45371809
alpha ketoglutaric acid	-0.016819815	0.912947397
icosenoic acid	-0.042541432	0.784226267
dodecanol	-0.354274066	0.000271477
3-hydroxybutanoic acid	-0.122650042	0.679065143
benzoic acid	-0.177797267	0.042837564
asparagine	0.231201015	0.004191927
1-hexadecanol	-0.054971749	0.637810756
maltose	0.139330386	0.6438136
mannose	-0.266642053	0.156550618
threonine	0.132890555	0.037324103
oleic acid	-0.096633237	0.418829752
azelaic acid	-0.295670818	0.059058275
pyrophosphate	-0.041297457	0.720539197
methionine	0.191338859	0.094225561
acetophenone	-0.418884658	0.025601646
homoserine	0.159452671	0.087592179
fructose 1 phosphate	-0.03126975	0.778714078
UDP-glucuronic acid	0.170333101	0.172264575
glucose	-1.093726866	5.81e-07
citrulline	-0.571123868	2.75e-05
putrescine	0.184698885	0.330032371
phenylalanine	0.190696526	0.071881265
maltotriose	0.007200986	0.981451698
urea	0.052125115	0.58452693
arabitol	0.497203995	4.33e-05
galactose-6-phosphate	-0.163492098	0.237908294
threitol	-0.107031561	0.317372193
N-acetyl-D-mannosamine	0.468630833	0.000183534
leucine	0.184717538	0.08066356
alanine	0.294946874	0.00095755
1-monostearin	-0.226174471	0.028190959
lysine	-1.374980178	0.000172834
adenine	0.541532966	0.000600989
2-ketoisocaproic acid	-0.21543181	0.142382123
cytidine-5-monophosphate	0.769034459	0.003001838
shikimic acid	0.230208529	0.075351591
glucose-6-phosphate	-0.227126041	0.201725301
uracil	0.540644717	0.002572302
