Gene	SRR1177156	SRR1177157	SRR1177158	SRR1177159	SRR1177160	SRR1177161	SRR1177162	SRR1177163
YDR089W	2.598498739259581	3.039652037992175	1.875567732715394	1.9647422736535147	2.0729245141686885	1.9216411488803926	2.461065760948224	2.1913147887683646
YDR090C	1.7851556986607893	1.5537340163051656	1.5618270613583252	1.372294235541082	1.4254114859201703	1.5050298259068629	1.2783016915862093	1.3184061622505028
YDR091C	4.159522727530136	3.3424078000505606	4.991099547910796	4.220325522149896	4.301388241013671	4.328475630067351	3.563030937970518	3.7483548991793736
YDR092W	1.490902710378268	3.0291045164880286	1.5200725027731843	2.447897821183705	1.5196867446268243	1.4068935744211553	2.437978540181021	2.3472892153333653
YDR093W	1.3444698879882682	1.9923520697546293	1.492378302795002	2.086432281585506	1.5000799199799935	1.4504982363738046	2.007603000657466	1.9702997916657339
YDR094W	0.6798872843417263	0.8457057700773368	0.7315704407550351	0.8074672866759629	0.7110681275338336	0.7029925588240689	0.8414650412364264	0.8143260860542362
YDR095C	0.3182395332865162	0.6146198416968459	0.2859437068125136	0.6208757087176954	0.03437928339321916	0.024498201318067042	0.17843371332173752	0.16767766916029994
YDR096W	1.2052828384228216	1.617181751665188	1.2373475300285457	2.547630210127018	1.745035648983397	1.322389847411335	1.686867265862	2.421385712488837
YDR097C	1.5901457059022328	2.249294905800922	1.5531628087380553	1.996986790881541	1.7043230581825686	1.7043230581825686	2.139319502841997	2.051051001706538
YDR098C	2.355950985416918	3.3813314606934197	2.3915423768985846	3.177450523360167	2.4855398621437756	2.252233620061945	3.331693921676377	3.0801091715662436
YDR099W	3.0655629933118083	5.989244031558689	2.793145461469655	5.394131818941976	3.9863334759323834	2.9740413879399963	6.13617220976214	5.601184676840919
YDR100W	1.5693801619355856	2.2178756665490518	1.53833957699778	1.9385927398365532	1.7527118757319173	1.427924065328296	1.7527118757319173	2.086432281585506
YDR101C	3.1792263944932007	1.7295731866978223	4.240273134165573	3.075698055216135	3.329659069908829	3.3984498065211977	2.2026308923789886	2.5801013519871874
YDR102C	0.5283350816256487	0.3874825560150803	0.5843525078306908	0.5490332218983595	0.2116531725529231	0.24105053985819402	0.487248138603386	0.45318654776436373
YDR103W	1.659343396514644	1.672760623950449	1.8534097092462505	1.9467791111732415	0.8641608440698615	0.8554779256733471	0.8254036925217366	0.8123594271161971
YDR104C	1.9056555129007529	0.9975574700424501	1.7167727351631143	1.2257986019503444	1.5035250345058322	1.6632534167783088	0.9695684403067402	1.115666018097218
YDR105C	1.9345209346144598	1.8431268008292212	1.9181006387094106	1.5748687418722729	1.7690384698952755	1.7908633997486663	1.58185099008963	1.5147121443958356
YDR106W	0.7139410849931298	0.8449857905079575	0.7232846327512157	0.8286326204786922	0.7398670240422394	0.7578489448693062	0.8283603683038511	0.831389974392703
YDR107C	1.355423248731376	1.8643132594125924	1.1968535960958713	1.363282551370455	1.3664201089825074	1.2014263790212436	1.5513605404469424	1.508730050146932
YDR108W	1.636418276025453	1.2823422485120664	1.5025573203314866	1.203700473217854	1.4220022418626932	1.4912881162628386	1.2409288391264588	1.2183336379778082
YDR109C	1.3902770519655587	1.1063172635993388	1.4504982363738046	1.1624735444027914	1.3074560261431245	1.399419080461672	1.2217037886609887	1.1612596429452013
YDR110W	2.638904468693111	1.3586284567534708	2.606809085146299	1.62861762961099	2.1149246418089027	2.5653168499083314	1.4262308442595109	1.5025573203314866
YDR111C	1.5409209216504254	1.2835648538358224	1.953106770249105	1.5069236747073336	1.6373201425174837	1.6074617685943902	1.424049005486249	1.4212511101597605
YDR112W	0.27776229686666665	0.05566760460794651	0.14051486678826258	0.28018817801421986	0.19190710079273518	0.11416849430726667	0.17843371332173752	0.16767766916029994
YDR113C	1.5698866762562516	1.8499383672208358	1.2902614610175194	1.767002368371947	1.454733187621604	1.3702952800476016	1.8396312173713107	1.8687261501547185
YDR114C	0.45393492735857865	0.4596251200645816	0.5094303634869016	0.05392856524056319	0.5229452787957587	0.49177256808899317	0.5771001440446915	0.5898435543745926
YDR115W	1.3186134035489845	1.6203605587636052	1.3298936498412166	1.7608233986546276	1.543550238161289	1.3337051862691387	1.637863482863259	1.5809322123701661
YDR116C	1.202405414252406	1.8747894065030453	1.5013375011480112	2.3387938737247054	1.500900979224077	1.4199458195030301	2.510724974729691	2.323175124576384
YDR117C	1.5494727759415643	2.084998280115087	1.427924065328296	1.8303498419062865	1.5494727759415643	1.4596887570581965	1.8903053336755336	1.9976876306745353
YDR118W	1.7230922401486786	1.1906532162212238	1.577736698775483	1.0935254292969168	1.5237415975504986	1.6757011009512879	1.1449132173585894	1.087484261347431
YDR118W-A	0.7004180034537568	0.6126384216509586	0.7327155618587636	0.6460979971499846	0.6911496195327205	0.708436578497933	0.7232846327512157	0.5977649761232726
YDR119W	4.356020865238346	2.9806295482895804	4.050803246753242	2.8416441861687503	3.7780996869047865	4.230520175704577	2.547630210127018	2.897354329846885
YDR119W-A	0.7370718137938708	1.0295505137608776	0.7759456427273681	0.9788131991478303	1.2221955327338558	0.9910398015913615	1.9450616677313404	1.4434879152047444
YDR120C	3.2929327541440774	2.4354547844085914	3.5359051707531277	2.596046498378841	2.82889980552918	3.170207767886935	2.431827649414146	2.4156867558868917
YDR121W	1.2591635697989982	1.3705138363826972	1.229809836011457	1.3176728884406212	1.1591032195683235	1.2341083746935615	1.3199709366328203	1.3027691159001593
YDR122W	1.4525114031266302	2.6076775820299236	1.5941107068372804	2.4037790190175263	1.6766235412551502	1.5216063533307391	2.7315121192629155	2.4711498545450308
YDR123C	1.1129147446039647	1.1292779373158441	1.3894243471941294	1.3246026646853357	1.1746496573155416	1.1775742970003276	1.2846465110949226	1.2313965931659834
YDR124W	0.8454338294722632	0.7924598507959895	0.938424117639909	0.8650746418795932	0.8143260860542362	0.8392490947821156	0.8011863337901299	0.7294391461039643
YDR125C	0.9016636196484248	0.8726340909352271	0.8891103393145205	0.9021750899575208	0.8827571949960991	0.9368399582311133	0.9028068243237937	0.9058465046974675
YDR126W	0.8167127524983759	0.9078173045836031	0.8689935658125737	0.9355611998651803	0.8094661471014455	0.8532665577857322	0.9074751725004302	0.9138709659055333
YDR127W	4.5666376645655	6.283697918144227	4.348223465124344	5.8163593077011475	5.406356506049445	4.726828309055095	6.557382184727108	6.6024098147851795
