	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3
FUN14	8.17482	6.98783	8.81827	10.194	12.3878	11.1191
SPT10	10.101	9.06282	9.33885	10.5987	11.4508	11.0886
CSR1	8.74446	8.34888	8.85232	9.60009	10.9073	10.2012
SPE3	10.2869	10.0312	9.19397	10.9678	11.3824	11.6318
SET2	10.4409	9.64128	10.0707	8.76773	9.27683	8.80155
NEO1	8.57165	8.25404	8.93176	9.25378	9.48547	9.44884
PEP5	8.44523	8.00618	8.79811	9.44748	10.2379	9.52451
INP52	8.712	8.14495	8.75405	9.35443	9.78099	9.32813
NUP170	8.90025	8.35263	8.99668	9.60581	9.45137	9.59577
FMP25	8.62735	10.4527	12.0197	6.69977	4.28559	6.02222
YCL012C	10.8284	10.4913	9.90207	9.26388	9.11555	8.37502
CUL3	9.21616	8.4201	9.24849	10.3395	12.0403	11.0275
NEJ1	8.34372	9.23025	9.73737	11.6222	10.5339	11.1117
OXA1	10.3693	9.20323	10.0383	7.90151	8.66555	8.29146
ATG2	10.7459	9.91388	10.6613	8.41711	9.46694	8.68303
DCG1	11.4488	9.98064	11.4373	8.28129	9.33317	8.15472
PEX14	8.80192	8.43413	8.61407	9.10414	9.74112	9.46021
SCW4	6.26286	5.65362	8.53464	12.7589	10.2213	10.8688
APT2	7.65581	6.97409	7.38765	8.54338	9.88376	8.82318
GPI17	8.75484	8.05541	9.29999	9.88288	10.5654	10.4899
AIM5	11.0609	8.76714	10.4682	6.37121	7.84122	6.31131
RTC1	7.67416	7.99797	8.409	9.06813	8.75593	9.30636
BUR2	8.67764	7.80907	8.71447	9.45323	9.82628	9.54828
MSP1	10.2285	10.2396	10.8531	8.76592	9.6324	8.64526
MPA43	10.137	8.95298	9.5448	7.73472	8.2022	8.30126
ALG12	8.37717	7.47548	8.91484	9.80436	10.5944	9.93377
SWR1	8.47243	8.28386	8.90633	9.37802	10.3044	9.72055
SIP3	8.82466	8.06833	9.132	9.76826	10.5622	10.1536
PSR1	8.38205	8.85547	8.2187	9.32188	10.0467	10.4599
SBA1	9.02711	8.73904	8.82999	9.97605	10.4412	9.48087
RSF1	7.27555	7.50603	8.23831	9.21492	11.5942	10.8913
SNA4	7.65671	7.31567	6.41352	8.76365	11.0355	10.2306
TPO3	9.43167	8.21926	9.24909	5.76552	7.53489	6.12277
DIE2	8.39846	9.52735	8.34455	10.2881	11.2812	10.3711
MDM1	7.84889	8.0267	9.65855	10.7575	11.1127	10.4972
TPK2	7.36435	7.41844	8.22093	8.84759	8.59431	8.83881
YDR286C	8.41603	12.9612	14.7403	5.63141	2.8239	4.42634
TVP15	8.20243	8.58738	8.43464	9.58601	10.7022	9.49936
OKP1	8.50458	7.16718	7.7373	9.26913	11.0888	10.6431
GRS2	8.83624	8.17164	8.36739	9.88879	11.3581	9.96558
YJR142W	7.69168	8.50722	9.25109	10.7603	10.4792	9.95501
RIM13	7.87079	6.94778	8.57133	9.63711	10.0834	9.41793
CBP6	10.9283	11.2672	9.53309	8.7952	8.416	8.02839
ISW2	8.95469	8.04587	8.76121	9.7223	11.1021	10.4065
MGR1	9.3332	8.59626	9.21575	7.92597	8.28047	8.11346
VTA1	8.70195	7.56418	8.10898	9.74187	11.485	10.1482
YMR262W	8.01546	8.59095	8.89751	11.5712	9.8749	10.4103
TDH1	7.40931	8.36054	9.42108	10.3785	12.3849	11.8177
TEL2	8.99358	9.307	8.89028	10.1577	11.3139	10.2048
RAX1	7.91705	8.33968	8.32529	10.4458	9.11274	10.6305
FRK1	11.8671	10.057	10.9298	8.02236	9.1732	8.68495
MMT1	10.3255	8.53337	9.32897	5.57377	7.56642	5.57064
UAF30	8.96167	8.26717	8.52678	9.76244	11.312	10.2776
RCN1	10.8922	9.06286	9.6789	7.62176	7.95415	7.91609
SPC1	9.63283	7.51972	8.43789	10.7407	11.7985	10.8633
BCD1	8.93708	9.19993	8.76596	9.66612	10.7397	10.2496
SDT1	10.5783	10.1986	9.92012	9.11736	8.73949	9.52456
ASA1	8.63809	7.5917	7.91443	9.26857	10.4331	10.9147
MSS11	10.4944	9.24377	9.12092	11.532	11.8492	11.0401
ICS2	9.7611	11.0414	11.1921	7.2942	7.51005	9.08926
UBC1	7.31841	7.94879	7.92766	8.53508	9.62297	9.42467
IRC20	9.71305	8.95563	9.85645	10.665	11.7735	10.9383
VHS3	7.39074	6.93223	7.83465	8.55329	9.73408	8.81073
DLD2	9.89591	8.60264	9.72555	6.33328	7.937	6.1127
PFY1	8.33939	7.93598	8.47665	8.89397	9.55555	9.78498
MRPL15	10.0004	9.87686	10.3533	8.18232	6.5013	8.48817
PCC1	10.5401	10.8286	10.3461	8.66644	9.84471	8.88501
BRR6	7.48456	7.72617	6.11653	9.13714	11.3687	9.96335
APJ1	4.85166	5.67493	5.75471	9.91561	7.17054	9.98114
VID30	8.30958	8.52496	8.27108	8.7906	9.47806	9.24985
RPS22A	9.43428	9.0448	9.27799	7.93582	8.71293	8.31984
YIR007W	7.84855	7.2691	7.8112	10.3048	8.89624	11.0587
YPT10	9.13741	9.14124	9.35729	10.0116	9.95695	10.8023
PBP4	11.2558	9.76468	11.0539	9.20453	8.54632	8.69002
DAP1	9.42817	8.87087	8.77055	10.806	9.99194	11.4417
FYV10	7.51125	7.4096	7.83652	8.24759	9.30797	8.9059
CLF1	7.67833	8.39482	8.63727	9.82101	9.17285	9.51271
YOL087C	8.41854	7.38444	8.78294	9.66897	10.4888	9.82379
SLC1	8.71963	7.75578	9.18621	10.4374	10.7364	9.8872
RAV2	8.58879	7.87379	8.96307	9.5766	9.63862	9.91086
YDL129W	7.26202	6.09532	6.32931	8.29319	10.9328	10.9491
ERP4	8.58654	8.10206	9.0149	9.89424	11.2529	10.07
ADH1	5.97958	10.617	7.29601	14.6121	12.4964	13.3624
USV1	9.72106	9.34478	9.63317	7.60775	7.91053	8.85975
RTN2	5.0774	6.51103	7.33675	8.47502	9.67692	8.96342
YPR084W	8.3182	8.70846	9.19625	10.1245	9.73699	10.8247
ALG2	7.85763	8.01051	8.85358	9.64663	9.20113	9.85522
ABP140	10.3155	9.62259	9.49818	8.22631	9.0119	8.38112
RTT107	8.42297	8.33732	9.46561	10.1536	9.91337	10.2982
JJJ1	8.99451	7.95402	8.63513	9.49125	10.413	10.4586
MET16	4.51773	5.62794	5.92616	9.6739	7.38932	10.7397
YGL082W	8.48472	8.46837	8.81971	9.51728	9.07398	9.80095
LAT1	9.1532	10.0765	8.88258	7.60398	8.27297	7.67609
ARG8	4.86089	4.32509	4.83373	3.47923	3.98407	3.95534
RRP45	8.68088	8.82039	8.91863	9.92835	9.22908	9.95829
PRP9	7.67759	6.93834	8.0826	9.21553	11.1252	9.62864
QCR2	10.5973	17.7779	9.84537	3.99261	3.48552	3.19648
YMR178W	7.85175	8.03226	9.09303	11.4432	9.79996	10.4162
TPS1	7.80371	8.8946	8.98395	10.3224	9.71136	10.2904
YDR131C	8.90136	8.21591	8.72181	10.3832	11.5356	9.82173
ECM31	9.14933	8.52172	9.27821	7.78583	7.00186	8.0051
FZF1	9.59261	10.2393	9.63488	8.87118	9.03789	9.14161
VTI1	9.51002	9.22451	9.40346	9.94107	10.8033	10.2615
PRP6	8.90483	7.95266	8.40223	9.35576	10.287	9.77247
QCR6	8.32725	16.7809	11.8295	4.1185	2.74451	3.25426
GLN4	10.813	9.87216	10.0967	8.93984	9.32324	9.22451
APE3	6.54361	9.05179	7.53706	10.9521	10.804	9.93096
LEU9	13.5392	9.01223	8.20581	3.6784	4.58602	4.40707
FAL1	8.69713	8.19185	9.00628	9.9145	11.5925	10.3568
DUO1	9.48107	8.71194	8.71073	9.86972	9.90307	9.88965
MTQ2	6.86067	8.76787	8.63626	12.5208	10.2695	11.1218
SEC5	8.46334	8.19362	8.86272	9.13599	9.22259	9.35972
SAS4	8.80339	8.584	9.1567	9.46253	9.90613	10.2824
YGR126W	7.45502	7.85563	7.64838	8.62542	9.08621	10.1094
YPR1	7.67367	7.7272	8.66534	9.14053	9.21117	9.16992
GCV3	6.67411	6.67202	5.29793	4.35652	4.64894	4.63548
YBR071W	11.6811	11.0637	11.1274	8.5876	10.2287	8.29338
ESF1	7.47901	6.93997	7.04455	7.72391	8.03602	7.75782
CYR1	8.87841	8.88159	9.41288	8.46899	8.40095	8.3874
OCA1	8.17076	8.61977	8.32877	11.121	9.31129	10.7931
UTH1	4.91052	4.7417	7.12194	18.2462	10.7502	12.8963
YBR141C	10.5044	10.0387	9.44946	11.6011	12.3342	11.091
YPR127W	8.11777	8.10896	8.59793	8.80553	9.47644	9.25794
YOL103W-A	11.9131	10.4833	10.3961	12.7329	13.4477	12.5719
IML3	8.7009	7.26777	7.58049	10.0303	12.4749	10.3814
PEF1	9.40054	8.67943	8.75879	9.90584	11.1603	10.3594
HSP30	3.19467	5.83859	8.39289	0.453489	0.652852	0.39408
SEC24	9.69559	9.09065	10.1113	8.54436	7.94244	8.58452
GBP2	9.02652	10.3789	10.027	7.75588	6.07661	7.9697
MGM101	11.3471	9.39183	10.2192	7.91375	7.42764	8.61686
DDI1	7.53247	8.29877	8.2635	9.75999	8.92349	10.234
NUF2	8.52173	7.67363	8.66601	9.27244	10.3143	9.82429
YHL018W	10.0654	9.05373	9.81384	7.47355	8.11768	8.61348
WTM1	6.6492	8.75917	7.33446	10.0408	10.7186	9.50432
GIN4	12.6262	10.8249	11.4416	8.53536	10.0751	8.82145
RAD17	9.47513	8.74826	9.77734	10.6242	12.3318	11.2112
PEX4	8.72737	8.26889	8.94005	9.89237	12.0248	10.8274
ALK1	9.97012	10.5923	10.5734	9.04992	7.94317	9.28918
TDA7	9.13603	9.05387	8.95178	10.5585	11.975	10.2375
CCT6	10.2567	9.59221	10.8414	8.97528	8.15143	8.89065
RAP1	8.57382	8.11212	8.25979	9.07683	9.71931	8.97622
BPH1	8.41039	7.52981	8.72045	9.36673	10.7184	10.1243
ASI1	8.9021	8.56901	10.2866	11.7833	10.9383	11.155
RXT2	9.27569	8.29301	8.50667	9.67859	10.1361	9.73338
ATS1	8.65125	8.55717	8.9203	10.3673	9.40563	9.61702
MET13	5.92811	5.90084	6.59677	7.16501	6.89467	7.62003
FMP40	8.61432	8.68319	8.70558	7.63908	8.31901	7.9702
GRX4	14.4252	11.6771	14.5646	8.13656	10.7564	7.60241
YBR255C-A	10.1298	8.07504	9.5821	7.05112	7.09782	7.19481
RPL36B	11.4589	11.6366	9.39632	8.49375	8.26548	8.13257
SIW14	7.88141	7.97395	8.68686	9.24261	10.5377	9.59874
TIM11	10.4266	19.8922	9.58261	2.32056	1.62226	1.26005
HNT3	10.2201	7.29886	8.30921	11.3882	11.5992	12.5797
ARH1	9.98433	8.82023	9.64074	8.07497	8.0791	8.45598
FET5	9.50056	9.8311	9.29575	10.8677	12.2224	10.7415
DHR2	9.70578	8.24353	8.7954	10.6316	10.3933	11.604
CTS1	5.16257	6.65379	8.23901	15.8692	10.809	11.8884
SCS3	9.12937	8.61906	9.87321	10.8293	11.102	10.2668
ISF1	11.37	10.7703	11.3745	8.58956	10.2654	8.85623
YGR017W	8.30881	7.11919	7.1001	9.01702	8.79694	9.64791
DPL1	8.69733	7.92714	9.04177	10.4548	9.54965	10.7544
VHS1	11.4781	10.3363	12.4458	6.83192	9.45242	7.80465
DYN2	8.91587	7.53638	7.4535	9.50906	9.70662	10.4516
OST1	9.4479	8.3331	8.89019	9.98	10.9051	11.5257
AKR1	8.87237	7.817	8.5794	10.0371	12.0136	10.3631
STB5	8.3197	7.55481	9.47725	10.642	10.3893	10.2465
ERG27	10.2146	8.46541	9.76973	11.2552	12.7462	11.6197
ATG17	9.19629	9.14563	9.36155	9.68422	10.597	10.2822
PRP45	8.76651	8.19139	8.33912	9.55606	10.9668	9.72371
HMT1	9.08974	8.69479	9.71149	10.6671	10.3808	10.0428
YIL096C	8.92823	9.09724	9.56734	10.2731	10.8093	9.89659
PHO85	7.86814	8.08005	8.60033	9.03456	8.82673	9.19374
YPK3	11.1413	10.3824	10.346	8.44906	9.60623	9.32454
SDC1	9.19186	8.71667	7.9762	9.72364	9.93975	10.3671
IRA2	8.44824	7.99764	8.77818	9.51728	9.04428	9.4642
SPT8	9.02293	8.84694	8.42201	10.0451	9.46346	10.5757
VPS45	8.90777	8.81074	8.43421	9.52618	9.22339	9.89139
PHO80	7.67619	7.31619	7.80307	8.51938	10.2917	9.47448
NRG2	9.83368	7.07	8.65204	11.7348	12.4216	15.2667
RAM1	8.21997	7.95383	9.08726	9.99803	9.5149	9.59588
VPS33	8.26929	7.79734	8.20099	9.20749	10.4652	9.19464
BLM10	8.54582	8.57633	9.55251	11.2606	9.90234	10.9206
OLA1	10.2793	9.92576	9.92771	8.808	7.7452	9.12246
MMF1	8.45524	9.05277	8.9065	11.2053	13.9204	11.0514
SOP4	9.04842	9.57455	8.33713	11.2488	10.1104	11.6934
YOR342C	10.6956	9.02311	8.79852	12.0621	15.1423	12.7309
FMP46	8.03756	6.61253	9.03762	10.2277	11.7973	10.4671
STU2	8.9958	8.46689	9.05785	9.49372	10.346	9.86279
CDC14	9.72598	9.2735	9.42047	8.49883	9.06097	8.67516
YHR080C	9.67378	9.32985	10.5208	7.97333	8.84525	7.82453
CPR2	10.3845	8.80036	10.088	11.7041	13.0734	11.5424
SIS1	8.78904	7.50372	7.82436	9.14145	9.63355	9.86585
CCT3	10.593	9.77156	10.5522	9.39199	8.62403	9.25247
MMT2	9.16079	8.15061	9.50149	6.80435	6.97799	7.80968
PIM1	10.3415	9.44433	10.2991	8.58905	9.22419	8.5804
ATG9	7.89746	7.33374	7.85566	8.77356	10.4221	9.23281
PAN6	8.1873	8.63967	8.50592	9.59479	8.97822	9.94488
YER034W	7.48652	9.1476	6.79599	10.9406	9.82446	11.7512
NRK1	7.89685	7.42477	7.47483	8.40004	8.94543	8.19261
SNQ2	8.62795	8.41886	9.53486	14.2947	10.6332	13.1928
STT4	8.34486	8.04719	8.85754	10.0795	9.16442	9.60242
ARP5	8.61948	8.1005	8.2968	9.0702	8.9291	9.60425
PRP18	7.62263	7.95276	8.50669	9.29485	9.10141	10.3187
ADP1	6.81176	7.251	8.46438	10.7379	14.5185	10.832
RTT105	8.29368	8.01872	7.79433	8.9353	10.0952	10.8198
YMR155W	8.73886	7.95909	8.57973	10.0357	11.784	9.95515
TYR1	7.7595	7.22859	7.75718	8.41801	9.30564	8.45358
OCA4	8.23024	7.65013	7.75256	8.66694	9.74759	10.2347
DYN1	8.76067	8.24201	9.28186	10.1246	11.4408	10.1092
TRI1	8.07333	8.64204	8.98593	10.4023	9.34888	10.0974
SEC39	9.02118	9.27831	9.08851	9.9869	9.47734	9.63235
ENT3	11.7302	9.88303	10.8544	8.52923	9.35707	8.52
IFM1	10.037	9.21531	10.2102	8.11433	8.98401	8.22482
CRT10	9.83067	9.31982	10.3385	10.6814	11.1827	10.9261
RNR1	13.795	10.5801	11.5582	8.67016	9.04673	8.496
DAK1	8.17899	9.53273	8.88055	11.1621	10.0387	10.513
OTU1	9.09963	7.7333	8.8245	10.1347	12.3119	10.8864
TDP1	7.84391	8.03981	8.6207	11.5369	9.2773	11.361
TOR1	9.34106	8.83378	9.46795	8.41788	8.62192	8.56122
LYS14	8.81953	7.96687	9.1551	9.74028	9.85354	10.3092
YMR160W	8.35509	7.69973	8.2876	8.98827	10.3586	9.5082
CSI1	8.94745	7.50634	8.60406	9.82097	11.8409	10.6957
SGN1	9.88536	9.02678	10.4116	6.78563	8.50799	6.41865
SCW10	6.85852	7.10756	8.80227	14.3684	10.1513	11.9275
UBP7	8.54657	7.54003	8.33966	9.11728	10.2034	9.51825
SOK1	7.74018	7.41907	7.71831	7.98245	8.57351	8.61979
JJJ2	9.74354	8.96714	9.43427	11.9393	14.9101	11.7576
YDR387C	9.15674	8.08177	8.61818	9.88374	11.145	9.95558
YMC2	5.94507	4.77205	5.16153	6.57555	6.77334	7.90272
OPI10	6.96983	7.06798	8.36082	8.84459	10.2656	9.3779
YPL077C	10.9653	9.95859	10.4934	8.07782	9.48531	8.86759
FAB1	8.82074	8.20273	8.72197	9.11323	9.80242	9.67635
CDC23	8.07077	7.82806	8.57771	9.3583	11.0694	9.70153
PUF3	10.5397	10.1239	10.8029	9.80512	9.19739	9.72704
ERG13	10.5261	10.5084	11.0207	9.89504	8.60278	9.43646
LCP5	9.27614	8.62212	8.50526	9.6665	11.2186	10.607
LSB6	8.93478	8.2686	9.46908	10.9041	12.8799	10.6709
YEF3	10.5334	13.201	11.1155	9.37459	7.53272	8.30934
SRO9	11.3582	11.0663	10.731	8.60791	10.0029	7.72689
FPS1	9.95432	9.33582	9.86759	11.0286	13.4401	11.9293
EGT2	4.74029	9.26846	5.10622	16.8079	10.9537	18.7962
TFC3	8.58849	7.70876	8.23549	8.90232	9.86567	9.94517
IML2	9.28367	8.45126	9.40972	10.2751	11.7077	10.491
OAR1	6.65741	7.34202	7.56171	8.58923	8.0959	9.327
ARO7	10.4917	9.07707	10.0595	7.93894	8.77606	7.89174
CET1	8.78083	8.22502	8.66194	9.228	9.91194	9.27567
RPL36A	10.7233	10.1024	9.22475	8.17117	8.82779	8.33339
FMN1	9.40472	9.19663	10.0611	8.22124	8.86396	8.36238
ARC1	9.49872	10.7875	11.2272	9.07973	7.52093	8.1005
THR4	8.10935	7.52171	7.26291	8.32516	8.77059	8.57977
PET111	10.1685	9.07215	9.91769	6.30298	8.44936	7.46157
ALD5	8.2734	8.09599	7.92153	7.66713	7.13125	7.57592
CCA1	9.63611	9.24194	9.86235	8.83974	8.73446	9.09262
SKI7	8.6374	8.35501	8.49655	9.60968	8.95868	9.98515
COX18	12.7732	9.10593	10.0378	6.34365	7.13257	7.23778
BUD22	9.06003	9.19277	8.32151	9.58967	9.93077	10.0854
RDL2	11.3216	9.8788	10.7823	8.84706	9.34148	9.34625
RPL30	10.9396	10.449	9.17906	8.29324	7.84784	8.71353
AME1	8.94421	7.98515	8.03119	9.81849	12.1498	10.4662
SAM4	5.84466	4.86707	4.7532	3.68703	3.70148	4.23904
YLR271W	7.68445	7.89176	7.97147	8.53983	9.32223	10.0534
CDC53	8.60303	7.83937	8.67672	9.23679	10.0124	9.38225
ECM2	8.66726	7.67605	9.0376	9.69093	11.0245	10.1839
SGS1	9.45623	8.95315	9.04928	9.97873	11.1991	10.2284
SKP2	8.14645	7.12381	8.07032	8.94717	10.3419	9.28079
YKU80	9.66926	8.68755	9.03478	9.92228	10.5629	10.2539
YSP1	8.7016	7.48644	9.10507	9.72425	10.7227	10.4171
TGL2	7.93652	8.89118	9.52304	7.13731	6.31596	7.38625
YHR138C	4.6129	6.04643	4.73468	8.55411	6.47007	8.65604
YDR161W	7.98256	7.79854	8.68571	9.89421	8.89058	9.91487
YER064C	10.1842	8.5342	9.11319	10.5777	11.1992	11.1912
SMC2	9.14114	8.21331	8.23079	9.86991	9.54126	10.7134
BUD31	8.42772	7.57484	8.15072	9.84649	12.0492	9.8426
SYS1	8.22114	7.99146	8.06019	9.35017	11.3982	9.71232
GIS4	9.62622	8.76938	9.59583	10.3843	10.7135	10.1111
TTI2	9.10176	8.12358	9.02517	9.58451	10.2419	10.0114
RIX7	9.66175	8.85406	8.97456	10.4902	9.86334	10.8371
NAB6	10.6722	9.52015	9.97801	7.86438	9.13713	8.27368
LIF1	8.96434	7.4585	8.12451	9.57662	11.9146	10.8893
TIF4631	10.2103	8.65798	9.5912	7.96645	8.12113	7.95297
TRM2	9.06756	7.83029	8.32427	9.92505	11.9818	10.3433
RRP12	8.60641	8.93916	9.57907	10.6846	10.7621	9.7866
POB3	9.26849	8.44435	9.10009	10.1122	11.3131	10.0538
YDR262W	5.94034	5.47607	5.92472	6.23199	6.92675	6.62481
RSC3	8.79159	7.7885	8.59473	9.5523	10.0447	9.26878
TOF2	8.80267	8.72937	9.20404	9.85408	9.34583	10.0847
PSY2	8.80865	8.61837	9.43222	10.4776	9.59956	10.281
APA1	8.31682	8.4019	8.45181	10.4573	8.97685	9.94561
CAD1	9.04962	8.5978	9.26382	12.945	10.1469	12.7945
MRPS18	12.8289	10.5539	11.4093	4.77405	9.31318	4.72855
PPN1	8.49462	8.12971	9.0811	9.78708	11.4611	10.0875
PEA2	8.99018	8.79904	9.19408	9.51751	9.29948	9.6651
WHI4	9.9227	9.75136	10.4561	9.04842	7.80907	8.94513
RPL3	10.5542	10.9289	9.05598	8.21075	8.49234	8.27656
ELA1	9.57777	7.94887	7.69929	10.0235	10.4606	10.8704
GSH1	8.88279	9.81907	8.9474	10.7248	9.97065	10.6929
RGR1	8.36854	8.24546	8.68807	9.20033	10.5816	9.63284
RER1	9.45769	8.90495	8.8247	9.65071	9.68889	9.92615
YFR006W	7.656	8.28572	8.78709	10.3716	9.10427	10.0893
VCX1	7.91319	8.38076	7.85314	9.97257	11.3563	9.16178
PHO87	9.41514	8.57175	9.1785	9.7675	10.7092	10.2351
YPP1	8.63383	8.15262	8.87965	9.32124	9.12686	9.46395
VPS64	8.79632	8.31154	8.77168	9.37968	10.8873	10.048
ARL3	8.11873	7.05566	7.89124	8.5442	9.60783	9.19043
YAP5	8.27049	7.20864	7.81804	9.55179	13.1617	11.0229
UTR4	7.97398	7.07071	8.04155	9.32955	11.2414	9.31718
SEC1	8.70366	7.54427	8.88696	9.45889	10.0368	10.0826
YDR186C	9.52394	8.16481	9.08796	9.98651	11.6562	11.3111
SSK2	8.65355	8.99457	9.50546	10.142	9.6961	9.98011
YBR074W	9.9483	8.71681	9.49753	7.91174	8.21689	8.37378
BNA2	10.3509	11.5067	11.6159	10.0764	9.68244	9.64367
EXG2	9.5732	8.4247	8.60423	10.1495	11.6837	10.4125
NAR1	8.33317	7.85406	7.93398	10.0776	8.70893	10.3308
RIA1	8.3986	8.22385	9.14019	10.4679	9.3477	10.0426
TRM13	7.01756	7.93852	8.53244	10.5897	8.95729	10.54
CLN1	15.4011	11.5006	14.2724	8.98882	10.7666	9.15754
YAR1	8.23774	8.12148	8.53926	9.9582	8.84761	9.36361
GSY1	9.05573	8.21793	9.58948	10.0971	11.6308	10.8036
YHL017W	9.64039	9.49038	10.6061	8.75198	8.90355	8.71501
PMT6	8.47059	7.5529	8.86092	10.0257	12.6078	10.5721
PRM4	11.3603	9.70432	9.77403	6.66447	8.78799	7.61558
PTC1	8.09285	7.86619	8.25971	8.98655	10.3628	9.14146
DIA4	8.53312	10.3576	11.4083	7.0031	4.2857	7.1355
RPC31	10.7552	9.63964	9.67649	7.97399	8.99918	8.62106
CDC12	10.781	9.4711	9.54369	8.42128	8.24815	8.80736
MCM2	8.97791	8.52302	8.83795	9.25595	9.3725	9.84908
SKI3	9.92178	9.17903	9.78679	8.4714	9.07098	8.47248
YBP1	8.00847	8.16351	8.83599	9.46711	9.02627	9.20711
ISA2	10.6769	9.18521	10.1779	7.60213	8.90574	8.01638
DCP2	8.71982	8.27853	8.74476	9.16613	10.1329	9.48816
YNL195C	0.402464	0.776902	0.825417	1.86358	1.06756	1.65371
SCC4	9.34786	8.15019	8.82255	9.71414	11.0562	10.4647
YDR307W	8.19023	7.84796	9.10564	10.5115	9.44229	11.2248
ECM22	9.58042	7.91074	7.93956	10.0505	10.2563	11.0071
RPL23A	9.76368	9.28455	9.62732	8.16483	7.18375	8.76983
TGL4	8.36886	8.25812	9.01637	9.58593	11.1484	9.91398
KTR7	11.8977	9.5506	10.756	8.06463	8.41708	8.92403
TFS1	5.90684	7.87428	9.09038	12.899	9.90088	12.4745
FAR3	9.17655	8.82142	8.84555	9.28011	9.90022	9.68206
MKT1	12.1521	10.95	10.841	12.4906	12.6526	12.9168
IRC24	8.83734	8.45461	9.14371	9.87309	10.9541	9.71668
RPP1	9.35574	9.58344	9.19582	9.72335	9.7804	9.70705
ERG24	7.48255	8.1802	8.1209	13.4838	9.4356	12.8775
SRN2	8.54678	7.69122	8.15386	8.9706	10.4973	9.66635
YOR246C	9.55248	9.76455	9.06143	10.4811	11.3542	10.2496
UBA1	9.16206	8.74665	9.00503	9.42643	9.44622	9.91294
DED81	9.75692	8.35505	8.37807	7.11707	7.00263	7.64931
CHO1	10.4687	9.51129	11.2186	9.0458	8.41062	8.80668
GCN1	10.483	9.42613	10.483	8.80403	9.24532	8.58405
RPS21A	7.02401	7.62452	8.15463	8.44733	9.10173	8.77476
CWC23	9.34134	9.09961	9.42192	10.4806	11.6032	10.0941
BET4	8.93704	8.54466	8.82454	9.09789	9.67318	9.76751
RPL24A	12.9219	12.9753	9.0052	7.50935	5.72405	7.91543
SES1	12.4297	10.5175	9.28448	7.61037	8.21535	7.71328
GRR1	9.01001	8.75811	9.49327	8.12637	7.5814	8.45266
ERG4	7.42726	9.19593	8.15778	13.7348	10.0195	12.1093
PRT1	10.2007	8.94439	9.93256	8.2276	8.72497	8.29083
ICL1	0.85437	1.55715	1.52997	0.261639	0.730317	0.472061
AIM45	10.1597	8.92439	10.4556	7.96007	6.26492	8.1917
FEN1	13.1446	10.6156	11.8042	8.72658	10.0905	8.87681
TRM8	9.76621	9.48667	9.733	8.62008	9.27794	8.30344
AST1	9.89088	9.3351	10.3676	8.49066	9.15031	8.30143
ALR1	10.4894	9.35962	9.32938	11.0063	12.9487	11.6057
CCT4	10.5776	9.51827	10.8927	9.19837	8.91644	8.93783
MAK10	9.19156	8.37034	8.91983	9.3964	10.084	10.115
NOP4	10.9364	10.4441	11.427	9.63997	8.702	10.0114
PHO4	13.0913	10.6374	12.5625	9.08442	10.2754	8.44886
URA6	9.81884	8.73434	9.46724	10.6307	12.3812	10.8622
MAD3	10.2544	8.88396	9.67623	10.7434	12.0818	11.1562
ALA1	9.61907	9.06225	9.6353	8.60808	8.98521	8.44165
SRY1	6.19785	4.63158	6.06527	3.21826	4.45719	3.35589
GLN1	5.86377	6.95468	7.38269	14.5115	8.85234	12.8675
PXR1	9.69506	8.6841	8.83711	10.0659	11.3128	10.3556
GNP1	10.4349	9.59729	10.0938	10.6149	11.1148	11.0839
COT1	9.96672	9.01461	8.43884	11.8291	13.2628	10.5702
ERV15	8.02938	8.6739	8.29141	9.70351	11.0754	9.34767
PRO2	8.18656	7.39918	8.3184	7.05419	6.62738	7.17676
GLN3	7.69061	7.11756	8.25325	8.80215	9.266	8.5542
STB2	8.61247	6.72265	7.15787	8.85716	10.1501	9.79866
PPM2	9.46603	8.23425	8.71065	10.0431	11.8861	10.5125
ARO8	6.34647	6.39006	6.54251	5.88271	5.41746	6.0869
ISU2	15.094	12.2378	12.4578	8.22975	10.7632	9.97398
YLR063W	8.73022	7.57674	8.17158	9.35195	10.9498	9.62111
LSM8	8.38939	8.77112	8.83148	9.81692	11.3259	9.73477
SAR1	9.22059	8.42257	9.14466	9.87847	10.7629	9.7982
PHO88	9.9383	9.74006	8.69736	10.6286	11.249	10.5487
COG4	8.82161	8.44785	8.78432	9.43744	10.4444	9.43001
YAE1	10.3955	9.96593	9.7282	8.77042	7.50364	9.07744
ERD1	9.08568	8.2074	8.29756	11.3902	9.40753	11.5144
CKS1	8.79713	8.74939	9.05908	9.41448	10.8761	10.2643
RPS13	10.2296	11.6244	8.96279	7.85547	8.04164	7.92051
RMD8	8.37174	7.80859	7.95596	8.60008	9.99597	9.63538
BRR2	8.6001	8.15314	8.97498	9.35715	9.18874	9.43918
RPL4A	9.56918	11.7564	9.79845	8.56717	8.16353	7.76235
HTZ1	8.51192	8.41782	8.41273	9.30315	10.6215	9.34565
HEM2	9.01674	9.83211	10.3212	8.13232	6.03488	7.98282
PKH1	8.83901	8.77405	9.26257	9.95679	9.39104	10.3016
SWC5	9.18076	8.84323	8.53206	9.57441	11.0504	10.1659
FBA1	8.00685	10.1053	7.70638	11.2032	10.5764	11.0752
MAK3	9.82674	8.23648	9.58311	11.3036	12.7018	10.6701
