	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3
BI4	13.0592	13.4632	11.9495	2.00282	2.95548	2.02515
UBP13	8.68091	8.35827	8.93566	12.0606	11.9715	12.2039
UPS3	13.1526	12.2779	12.8185	6.02911	6.76782	6.48132
YAT2	1.53381	1.63858	1.53076	3.2707	3.2585	3.52856
"ADE5,7"	7.8035	7.37397	7.8483	10.9337	10.7021	10.9355
GID7	7.15281	7.24827	7.52988	10.1576	10.0524	10.4098
DIP5	6.28775	5.22602	6.58262	17.6555	19.471	19.0015
DSE4	6.34245	6.86861	6.43761	10.9837	11.3909	11.6784
AIM37	10.1262	10.2505	11.0912	4.6009	4.15496	4.39893
RSM22	12.0573	11.1815	12.2012	5.64447	5.91057	5.7526
PDH1	2.95805	3.52952	3.63251	14.0186	16.0208	14.6729
YGR235C	11.2132	10.6731	11.3668	5.03541	5.65266	4.85097
MMS1	8.91685	8.75013	8.80667	10.8935	11.0354	11.2778
MTM1	11.1331	10.4766	11.498	5.22021	5.45185	5.0773
AIM33	13.37	13.2532	14.1466	6.11977	6.85824	5.90223
GDH1	22.8646	19.6411	21.9214	3.77899	3.8805	3.08858
IRC15	5.34095	5.67687	6.39469	12.5042	12.4335	13.1276
RSM27	13.0957	11.5295	11.9536	3.6858	3.93402	3.7775
STE2	35.4546	29.8769	30.8539	1.41922	1.26086	0.265392
MRPL50	11.6314	11.2676	10.7088	5.72988	6.16069	6.00441
COX3	11.3197	9.75949	11.2488	0.933093	1.572	1.20236
QCR8	12.4434	11.1185	12.6891	3.00788	2.27714	2.81441
FMP43	1.69169	1.98758	1.87505	10.214	9.89282	11.4938
MRPL16	10.9585	10.5919	11.218	4.91472	5.60925	4.66261
MSS51	10.9426	10.407	11.4933	4.22071	3.96507	4.70769
PYK2	7.11312	7.13204	7.69152	12.0513	12.7629	12.1786
NDI1	12.0344	10.8191	10.7391	3.87317	4.01688	3.92389
ARG2	6.60865	6.62325	7.09852	3.52604	3.75634	3.78332
KGD2	10.3783	11.4253	10.1906	3.69484	3.979	3.50904
PET127	11.4032	10.113	10.6709	4.13185	4.35024	4.00064
CAR2	6.36569	7.22628	6.4124	11.4257	11.5566	11.6732
GAT2	11.4321	10.8097	10.9955	5.27863	4.67462	5.6893
BAR1	34.1871	28.5203	33.1651	1.82614	2.01601	0.114607
MTC3	10.5503	10.7233	10.5185	5.44368	6.39638	5.9129
AAC1	4.60433	4.22037	4.77249	10.7851	11.5262	12.1206
MSW1	11.2526	11.6346	12.1863	5.89236	5.02922	5.65565
COX16	11.1384	10.2084	11.85	2.11733	2.7353	1.91239
ACS2	11.9802	12.1157	11.7675	9.96727	9.71328	9.72219
ATO3	2.7889	2.36203	2.47749	17.116	20.4825	19.446
HST3	9.01674	8.29514	8.25867	13.3717	13.9416	13.4061
YDL157C	11.0243	10.5938	9.65983	3.18236	3.69097	3.42027
YHM2	11.9165	10.3094	11.7782	2.91392	3.01844	2.86537
LEU5	10.5726	9.61949	10.6567	3.44909	4.08533	4.08438
MIR1	12.6668	13.8527	11.9901	3.95779	3.8454	3.55596
CAT2	1.70149	1.94725	2.13177	6.0233	6.68534	6.86557
SLI1	8.05964	7.8004	7.95745	11.2452	11.7901	11.979
YHR202W	8.07701	7.63892	7.53171	10.5095	10.744	10.6464
AGX1	12.0098	14.4176	12.9955	1.62822	2.04257	1.47909
IDP3	3.98653	3.64742	4.0009	9.6375	10.6256	10.9492
SBE2	10.6366	10.4091	10.6311	8.00814	8.44321	8.12751
YGR250C	9.76572	10.2694	10.7229	5.93691	5.86251	5.92877
YLR253W	9.80682	9.83585	10.3241	5.20343	5.97837	5.4317
ODC1	13.0635	11.2384	11.6221	3.13202	3.34344	2.98704
STF2	12.0216	13.4271	13.0838	6.09096	6.20622	5.8416
COX15	10.5708	10.495	11.731	4.65228	4.74182	4.68401
TAM41	10.3692	9.59549	10.1282	4.45541	5.29013	4.86001
SST2	13.9625	12.2453	13.1546	4.99059	4.80068	4.25275
PKP2	6.80286	6.54081	7.01689	3.95624	4.07713	4.31398
GLG2	8.06326	8.63916	8.41466	4.70621	4.73988	4.17279
ATP6	11.5022	11.0663	9.52785	1.23931	1.5752	1.13105
SVL3	9.77597	9.79817	9.76057	7.91191	7.79795	8.19637
ATP4	13.2216	11.6124	11.1981	2.593	2.71061	2.4144
PCL7	12.2489	11.6491	12.3376	6.56214	7.42842	7.13612
RRG1	17.0813	17.3528	19.4934	5.32923	5.87814	4.58741
ATP15	11.1323	10.2396	11.7405	4.40659	4.51227	4.5642
AIM22	11.2323	10.384	10.6561	6.28347	5.91139	6.49976
YOR022C	9.18594	9.10902	9.69297	6.38194	6.1791	6.45599
MSC6	10.1689	9.96954	10.5229	6.96547	6.63318	7.15449
COQ9	14.3302	13.0846	13.7177	5.83427	6.38505	5.01393
GDH2	5.02282	4.67123	5.14267	8.96851	9.55053	9.89657
CBT1	11.4902	10.3558	11.1399	4.78813	5.52063	4.97325
YNL054W-B	13.3556	12.0838	12.5045	4.23896	5.25359	3.87003
APM2	8.13243	7.7499	7.17085	12.7183	12.7895	12.2094
MRF1	10.2855	10.6929	9.9069	6.80145	6.8671	6.99266
CWP1	21.0559	17.8186	18.512	4.92661	4.58195	4.68059
YMR166C	12.1026	11.8858	10.2317	2.45948	2.48506	1.80572
MRH4	11.4239	10.2604	10.7495	4.47675	5.29276	4.82099
SEF1	10.5126	9.60122	9.93548	5.25558	5.81596	5.4644
MIA40	11.1386	10.4244	10.9771	5.83049	4.87734	5.75607
SNO4	1.61209	1.55763	1.80519	6.94627	8.35358	7.49607
ATP3	11.8495	10.5408	12.032	3.64432	4.38158	3.60791
MON1	8.59527	8.32161	8.58177	10.5824	10.5715	10.9583
YMR122W-A	15.8897	15.1546	17.6437	5.70961	5.67873	5.86118
GIP2	5.78436	5.85401	6.50226	18.3194	19.1086	21.4242
RSM7	11.6852	10.8351	11.3812	5.92856	6.74223	6.01256
CMC2	11.4829	10.8047	11.6773	5.3372	6.16741	5.15353
YLR290C	9.10503	8.84753	9.28953	5.55616	6.19277	5.69935
MNE1	10.8178	9.31452	10.0277	3.97126	3.65121	3.72842
PTP3	9.13818	8.49894	8.85853	11.4692	11.5563	11.6727
