Gene	SRR1259524	SRR1259525	SRR1259526	SRR1259527
YER051W	1.1773412357320958	1.1024437860179093	1.6373201425174837	1.3272981779973383
YER052C	5.129892741834828	5.746537922139947	8.020791325790096	7.141063876425247
YER053C	1.443759791207323	1.4620306211173244	2.0921179433293946	2.1519480148839234
YER053C-A	1.0830074364225044	0.9416335392573751	1.4011889371807715	1.241785503102061
YER054C	0.4560169715159633	0.500999257209331	0.7416416778474374	0.8107858346614554
YER055C	5.829255191392853	6.112204236437471	8.118473135183752	7.0222452048708615
YER056C	7.394035940132895	8.07782701578447	8.558169508699493	8.956104025611879
YER056C-A	6.724966066683784	6.341596515337765	2.546082799072246	4.991099547910796
YER057C	2.492935841305869	3.170207767886935	4.381101013310862	3.9447440408606713
YER058W	1.5282836851999213	2.0502692270069325	0.9161474063001989	1.1404752706727965
YER059W	1.3012237171883148	1.5491130132935504	1.80070526826455	1.7167727351631143
YER060W	1.265769505566802	0.9587247590326333	0.9821685895712582	0.9168990756275559
YER060W-A	0.927923912190785	0.8896081902722895	0.8238503089051317	0.7889168543702989
YER061C	2.501643485763367	2.377981094135796	2.6853289484529004	2.3611228017884165
YER062C	3.912207746195648	4.080559692772242	4.737168719992216	3.8782831481434727
YER063W	2.194556624628719	2.110219558406981	2.5077083713576807	2.1991034579489344
YER064C	1.9672562762216057	2.305204023479712	0.8472362565758081	0.8786531153238124
YER065C	1.2923223034287472	1.4019910966277505	4.385710241705577	2.1324072544269503
YER066C-A	0.7270004465576958	0.848790046358479	0.7950695989513628	0.8565160279958075
YER066W	0.707369690742344	0.7955241314384575	1.0289670333660514	0.9207033761235819
YER067C-A	0.8015314364428036	0.8744615318332807	0.8613093160049995	0.8521196635896048
YER067W	0.7273984428156862	0.814030727198921	0.755529745016853	0.7646071721649352
YER068C-A	0.7378038974661809	0.8363704990888308	4.104972248049149	2.683058393125285
YER068W	1.7786848525344268	1.6540170857820653	2.1790017281314187	1.8664939767765072
YER069W	2.3495893235498073	3.0921484356185216	10.380967930368602	9.677795271612801
YER070W	3.3083328294864054	3.25096603019828	1.162699820380412	0.9256615853977057
YER071C	1.2853111934132393	1.1502255271610968	1.1126565464575608	1.1517772918662472
YER072W	3.3445463428422366	2.9776496280113123	3.244179619730326	3.289995631613292
YER073W	5.688230461446563	6.568288964585807	8.723349230426791	8.83219217241757
YER074W	8.858621163143056	8.504373212476374	4.284029468580286	7.234728763217431
YER074W-A	1.767002368371947	1.8469134045987854	1.246062255350098	1.4831703654821942
YER075C	1.2183336379778082	1.131186467983868	1.4612825034216699	1.3091106121229599
YER076C	0.8951537752034987	0.9422506509328914	0.7740611893575342	0.7631502991969012
YER076W-A	0.6006944787757413	0.7026340828922892	0.5080717561627147	0.5479612307343303
YER077C	1.8634848043574737	1.5615385236699444	1.3173722791824767	1.2712799362965919
YER078C	1.5813354651094937	1.4676311916627467	1.4367794960346794	1.0456184786357754
YER078W-A	0.12362716112535121	0.004790794407614947	0.2227260523154158	0.24328673330402797
YER079C-A	0.8074672866759629	0.8704142608547896	0.7631502991969012	0.7617928841902897
YER079W	0.9274334436980227	1.2775774770724952	3.210560844050283	2.6824630766988307
YER080W	2.431827649414146	2.774753342040164	2.6980361742265098	2.532137687269686
YER081W	5.123519001666763	5.2815003246759495	3.7753460665728644	4.6342467952914115
YER082C	3.539653072136492	3.220033744315124	1.4540686487275665	1.8656122921080538
YER083C	2.112971256024786	2.346334952925807	2.49390462363224	2.4192254198375087
YER084W	0.15883724427605972	0.2428725182314416	0.2601411639905095	0.25662980673829683
YER084W-A	0.21476804789455373	0.20547836303736483	0.17441864029547632	-0.009316812910244448
YER085C	-0.0015942269664591922	0.20464491362446646	-0.007278602278608017	0.2073578414190967
YER086W	5.186682940928689	5.539818966041282	7.873671516141576	6.900381552617359
YER087C-A	0.8737762219989929	0.8939642033200644	0.6777665098433647	0.65791213700214
YER087C-B	2.677934910856538	2.6649890618193126	1.549587858103689	1.8341363836587008
YER087W	1.367055198302526	1.4902436621946649	0.953744132319601	0.9750340639957991
YER088C	2.8489745166393887	3.3237117231224746	3.0418755318758293	3.4656405944674535
YER088C-A	0.5966058325216826	0.615517346053631	0.643592919918347	0.643972209510626
YER088W-B	0.7249728265286343	0.6723049272677865	0.6451396986603857	0.608878087870256
YER089C	2.3681039251099754	2.0557131279040917	2.267552868047066	2.043994238664355
YER090C-A	0.7053752326280365	0.7518197063446945	0.8035255052839377	0.7842169212265224
YER090W	3.532489237537762	3.9732534480810746	6.975077408278061	5.637427308317436
YER091C	4.301388241013671	7.15460653538007	10.464779104646581	10.81015640473891
YER091C-A	0.13338262791850947	0.11122176887695245	0.05348544604860486	0.10996205541601414
YER092W	1.3847956588318653	1.769729796986067	2.605405603268127	2.6492113934734416
YER093C	1.494140473697581	1.5352227310833466	1.557324806728015	1.6355911414524873
YER093C-A	1.1038925218754234	1.071669440489476	0.786566789112934	0.8330679527165431
YER094C	2.858170413083949	3.3323312606810287	3.3984498065211977	3.7736434671415617
YER095W	3.2815366261162606	4.2138155348937305	3.089646291723896	3.814975259068276
YER096W	1.5127951022760495	3.4456635392168127	1.819935900079061	2.6275616931416166
YER097W	0.237337298501485	0.2705977314460746	0.29865439759317475	0.29483559340172666
YER098W	1.0714517132720627	0.952156300092845	0.999908545429432	0.9933166956435404
YER099C	2.1522949864640464	2.307940031772718	2.1215862903541867	2.549908690330857
YER100W	2.398263089939156	2.5031253334115426	2.663878680608063	2.4577084770524626
YER101C	0.9715669162517888	1.1595336145641264	0.9512716409235427	1.0585615009397906
YER102W	9.125946274349847	9.074166953787508	5.614877194709471	8.412410843390983
YER103W	1.1071664762359916	1.0781367625559426	1.828783470987291	1.079550625831193
YER104W	0.8439905237239026	0.9507457761261745	0.938988654642959	1.0121893301562266
YER105C	2.2436261931767105	1.9664742396307613	1.9184237744573978	1.8476085412142558
YER106W	0.5621950220883309	0.3026573453092153	0.3578651581409735	0.28018817801421986
YER107C	2.0630666974781064	2.031829121924452	1.4202205763178386	1.28158193307754
YER107W-A	1.0197947116856545	0.9785077992692	0.7607115270035906	0.7548397893831248
YER110C	4.96835028938277	4.711933296700684	4.009422639544145	4.220325522149896
YER111C	1.0649437178192172	1.1443040696608044	0.9730493947980918	0.9669516944078411
YER112W	2.3169218676152017	2.2486781702158036	1.6324642731018124	1.771740471211672
