	log2FoldChange	FDR
YBR196C-B	-0.645687958	0.183321026
YBR214W	-0.192471343	0.183321026
YDL169C	0.373769582	0.183321026
YGL186C	0.228337363	0.183321026
YNR041C	-0.428335611	0.183321026
TH(GUG)G1	1.84485689	0.183321026
YOL024W	0.894204804	0.184399259
YDR110W	0.190532499	0.184593583
YHR151C	0.228479599	0.184593583
YHR172W	-0.719058749	0.184593583
YBR239C	0.252357649	0.185086533
YER106W	-0.708627825	0.185086533
YFR017C	0.202642649	0.185086533
YHR051W	-0.307783531	0.185086533
YKL065W-A	0.707395143	0.185086533
YMR019W	0.247704918	0.185086533
YJL066C	0.218238685	0.185680869
YLR112W	-0.563851115	0.185680869
YPL208W	-0.546484692	0.185865591
YPL019C	-0.20056541	0.185980841
YDR046C	0.240610088	0.186974463
YOL158C	0.4283689	0.186974463
YOR280C	-0.231733106	0.188147364
YHR065C	-0.166556404	0.188823483
YMR172W	0.245480175	0.188986436
YOL165C	-1.630286185	0.188986436
YNL126W	-0.548602324	0.188992613
YDL225W	-0.158717184	0.189090895
YIL073C	0.228369562	0.191252905
YLR342W	-0.291350737	0.192291979
YHR092C	0.548397316	0.192813538
YPL021W	1.013555537	0.192813538
YNL301C	-0.199735025	0.196406393
YBR023C	-0.498624943	0.196751519
YJL136W-A	-2.863927315	0.196751519
YGL089C	-0.227752608	0.1984833
YGR077C	0.262722068	0.199237224
YFL037W	-0.23757574	0.201018848
YDL187C	0.999862197	0.202306341
YCR043C	-0.269453549	0.203393347
YOR198C	-0.18386626	0.20364315
YOL033W	-0.19710302	0.203680168
TT(AGU)H	-2.813776629	0.203680168
YJR021C	0.273296615	0.206500716
YNL103W-A	0.884898895	0.206625762
YDR309C	-0.366074692	0.207176297
YIL145C	0.263417919	0.207959058
YLR183C	-1.037306792	0.208182626
YMR156C	0.241145177	0.208608329
YPR141C	-0.512790092	0.208750707
YMR003W	-0.30222576	0.209742211
YBR240C	0.327010329	0.210305067
YGL146C	0.21939967	0.210305067
YPR064W	0.547290795	0.210305067
YBR132C	0.222341726	0.211175611
YHL024W	0.269578838	0.211175611
YLR083C	-0.298531165	0.211175611
YMR273C	-0.348179256	0.213289228
YPL192C	0.320934588	0.213289228
YGL237C	0.240941716	0.21367255
YPL103C	-0.297420159	0.214281909
YLR378C	-0.374487841	0.214986805
YOR028C	0.280449508	0.215107507
YBR249C	-0.15196672	0.215201161
YDL066W	-0.209420598	0.215201161
YHR130C	0.525679844	0.215201161
SNR63	-0.648713958	0.215607825
YNL231C	-0.192741281	0.215759051
YOR073W	-0.472101206	0.215759051
SNR40	-0.820515111	0.216054376
YIL037C	0.290653214	0.216303224
YLR085C	-0.171099557	0.216303224
YNL333W	-0.350630321	0.216637113
YAR030C	0.41271008	0.21683711
YOL057W	-0.347426537	0.21683711
YDL179W	-0.247446328	0.217436993
YEL060C	-0.191023451	0.217436993
YGR107W	-0.930982376	0.217436993
YMR067C	0.225120468	0.217436993
YMR158C-A	0.5367261	0.217947833
YGL203C	0.262219328	0.218527601
YOR392W	1.253737354	0.219295738
YKR011C	-0.263174342	0.219908347
YLR373C	-0.483045776	0.219908347
YLR352W	0.279648772	0.220196669
YPL114W	0.590146724	0.220327583
YGR130C	0.162431704	0.22139932
YKL139W	0.315530806	0.224479837
YDR258C	0.171723077	0.225762066
YMR068W	0.301429217	0.225762066
YNL052W	-0.242876668	0.225762066
YDR444W	-0.352887403	0.226419358
YDL112W	-0.317796279	0.22708134
YIR033W	-0.271939958	0.227220364
YKL034W	0.294911763	0.230644691
YLR286C	-0.12058403	0.230700787
YKR080W	0.315236716	0.23097049
YMR270C	-0.184414439	0.23097049
YBR275C	-0.487134734	0.23104907
YNR029C	-0.215300576	0.23104907
YJL011C	-0.259352232	0.231420572
YPL193W	0.181179223	0.231420572
YLR429W	-0.35569661	0.231599029
YGR236C	0.641161376	0.232145306
YIL122W	0.271162026	0.232512701
YLL060C	0.2355262	0.232803243
YNL222W	-0.288283893	0.234450067
YBR169C	0.194931522	0.234609051
YHR199C	0.199932841	0.237244716
YMR202W	-0.162110949	0.237393931
YPL014W	-0.400535041	0.237393931
YKR075C	0.249895422	0.238384985
YPL119C	0.300228874	0.238384985
YGR179C	-0.229927652	0.238609064
YMR034C	0.216146177	0.238727806
YDR346C	-0.15423291	0.240190183
YER039C-A	0.405116083	0.241901522
YIL056W	0.441510682	0.241983295
YER121W	0.385070178	0.242874275
YML038C	-0.286225132	0.243058247
YML037C	-0.744195994	0.243955175
YDL220C	-0.512322427	0.245012408
YJL013C	-0.191824608	0.245012408
YJR004C	0.166339427	0.246904163
YPL134C	-0.150667401	0.246904163
YML115C	-0.170552427	0.248057239
YDR102C	0.670715176	0.250602367
YPL086C	-0.212886409	0.250777229
YBR145W	0.192305697	0.251055408
YIL158W	-0.263427819	0.251055408
YKR025W	0.171624486	0.251055408
YMR045C	0.422479489	0.251055408
TS(AGA)D2	-3.342563419	0.251055408
YFL048C	-0.157749706	0.252166789
YER075C	0.334032351	0.252430906
YDR331W	-0.179251986	0.252568377
YFR011C	-0.261866064	0.252680434
YDL104C	-0.236522109	0.254274714
YOL140W	-0.1940544	0.254380845
YOR201C	0.192238321	0.255152449
YKL112W	-0.461475506	0.257168713
YKL121W	0.247454403	0.257168713
YGR142W	0.352019371	0.257366021
TL(CAA)G1	2.222946792	0.257366021
YER089C	-0.381220481	0.260569996
YBR197C	0.351460808	0.260925472
YKR078W	0.173061435	0.260925472
YML018C	0.224844664	0.261079186
YNL007C	0.149071468	0.261443309
YER079W	0.193753678	0.263193682
YLR416C	1.503007854	0.263193682
YPL230W	0.166862434	0.263193682
YGR288W	0.200433947	0.26325768
YDR215C	-1.171345226	0.264302788
YKL006W	-0.285475145	0.264302788
YKL198C	0.320522975	0.264302788
YLR139C	-0.555136185	0.264302788
YOR359W	0.49865515	0.265866663
YML066C	-0.25506507	0.266247524
YMR044W	-0.150964885	0.266336363
YNL195C	0.497628108	0.267269159
YCR085W	-0.656962774	0.268400129
YER081W	0.305581073	0.268400129
YHR214C-E	1.389854282	0.268400129
YJL015C	0.432138458	0.268400129
YJL099W	-0.170196451	0.268400129
YMR228W	-0.203075571	0.268400129
TW(CCA)P	-0.876324906	0.268871487
YKL072W	0.17173465	0.268888945
YMR262W	0.2507987	0.26934742
YHL006W-A	0.357533174	0.269719244
YJR101W	-0.163502421	0.269719244
YJL170C	0.472367883	0.269878082
YPL124W	-0.467580905	0.270254508
YCL048W-A	0.752607226	0.270816196
YNL292W	-0.16345323	0.271941106
YJR155W	0.259181833	0.273301194
YER056C	0.165495283	0.273428124
YGR089W	0.178873681	0.273428124
YER168C	-0.159974259	0.274791656
YGL085W	-0.203411161	0.275794021
YMR206W	0.188388112	0.275794021
YAR050W	-0.411628803	0.277566917
YPR151C	0.431720711	0.278017573
YDL183C	0.192641208	0.278245455
YGL259W	-0.593738491	0.278245455
YDR006C	0.19918471	0.278433122
YER153C	-0.615570365	0.278758714
YLR099W-A	-0.247963969	0.278758714
YLR104W	-0.208468406	0.278758714
YLR241W	-0.163299825	0.278758714
YLR353W	-0.376570094	0.278758714
YMR301C	-0.35148161	0.278758714
YNL013C	1.110208798	0.278758714
YNR004W	0.239456482	0.279241713
YLL028W	0.606263571	0.279785914
YOR343C	0.511019857	0.281082232
YLR034C	0.163625689	0.283880245
YDL236W	-0.191584171	0.284464907
YLL016W	0.148533171	0.284644204
YMR182C	0.309569384	0.285825853
YOR197W	-0.245106386	0.286397394
YOR250C	-0.175115164	0.286589239
YML113W	0.279595352	0.286729568
YDR527W	0.157485557	0.287271806
YBL109W	1.653123477	0.287383111
YBR196C-A	-0.785924509	0.287383111
YFL020C	0.380816389	0.287383111
YLR279W	0.417172846	0.287383111
YOL077W-A	-0.37636644	0.287383111
YLR073C	0.212725111	0.288378551
YBL032W	-0.456288168	0.288986832
YOR047C	0.389702646	0.289735909
YPR033C	-0.115928055	0.290431005
YDL071C	-0.840828124	0.291900362
YGL100W	-0.141291907	0.291900362
YIL013C	0.235796238	0.291900362
YOR135C	1.143598414	0.291900362
YKR042W	-0.170199303	0.292828381
YFR007W	0.179827077	0.293370438
YBR108W	-0.242164116	0.293521437
YIL088C	0.153223945	0.293521437
YPL150W	-0.188625748	0.293521437
YJR074W	-0.190717041	0.29475806
YNL037C	0.181945948	0.295118242
YBR237W	0.132577323	0.295317831
YDR476C	0.387741092	0.295317831
YOR161C-C	0.975594716	0.295317831
YCL061C	-0.438703285	0.295942513
YLR122C	0.335004476	0.297413262
YMR094W	0.243328153	0.297888203
YBR007C	-0.49585858	0.297981035
YBR076C-A	0.315042043	0.298011662
YDR261C-D	-0.653480131	0.298011662
YKL185W	-0.209593786	0.298011662
YOR025W	-0.351504647	0.298011662
YHR204W	-0.372892928	0.298567112
YPR075C	0.189155216	0.298863209
YIR019C	-0.512364825	0.298939117
YLL058W	-0.313612188	0.298953515
YOL097W-A	-0.384865679	0.29962786
YPL184C	0.151735679	0.300915446
YGR039W	-0.692279724	0.303343347
YDR125C	-0.191325536	0.304122474
YPR198W	0.203347106	0.304122474
YJL210W	0.181169652	0.304175826
YJR131W	-0.221961536	0.304619081
TX(XXX)L	1.51230757	0.305741921
YBR161W	-0.251134211	0.306582062
YBL033C	0.219807868	0.309175539
YOR012W	0.338213056	0.310293465
YOR152C	0.367326236	0.310689527
YER032W	-0.623448192	0.311016124
YER179W	0.262799608	0.311076172
YJR043C	-0.275468961	0.311487077
YLR120C	-0.410384484	0.311487077
YDR117C	-0.134875805	0.312234506
YHR025W	-0.315359362	0.312234506
YBR155W	0.199929359	0.312853854
YDR525W-A	0.253970784	0.312853854
YJR107W	0.142641301	0.312853854
YPL007C	-0.308193713	0.312853854
YPR138C	-0.2391786	0.312853854
YIL135C	0.292130655	0.316263701
YJL193W	0.201088957	0.31729668
SNR85	-0.950244722	0.31729668
YNL310C	0.200671657	0.317655
YPL098C	0.194737939	0.319823739
YOR154W	0.145801553	0.319832778
YJL218W	-0.477479252	0.320266236
YLR106C	-0.266552802	0.320266236
YMR252C	0.237219203	0.320266236
YPL162C	-0.267318162	0.320266236
YCL005W	0.18055485	0.320768936
YLR140W	0.380791402	0.320768936
YOL118C	0.349602517	0.320768936
YER154W	-0.226853217	0.321493023
YJR130C	0.14166907	0.321731021
YBR144C	0.6679707	0.322000065
YBR184W	-0.715276012	0.322449934
YBL071C	0.237982603	0.322975843
YPR093C	0.165396606	0.323528191
YKL108W	-0.333373772	0.323632217
YOR279C	-0.184658853	0.324198754
YLR224W	0.145686018	0.324913897
YGL188C	-0.31370157	0.324933433
YBR078W	-0.151420895	0.325860195
YNR073C	0.334678316	0.326110216
YPL038W-A	0.719732491	0.32633192
YGR294W	1.043395373	0.326829473
YJR144W	-0.164549598	0.327730166
YMR315W	-0.131155782	0.32788605
YMR268C	0.166148191	0.329602538
TL(GAG)G	1.155998872	0.329752269
YDR210W-B	-0.991918463	0.330151359
YER076C	0.185730578	0.330151359
YDR467C	0.298591692	0.330209779
YGR044C	0.175847351	0.330209779
YNL335W	0.782860729	0.330209779
YPR047W	-0.177383774	0.330209779
YGR017W	-0.148675112	0.330291372
YFL022C	-0.236753353	0.331583173
YPR084W	0.284510877	0.331839033
YOL055C	0.1272206	0.331889829
YNL053W	-0.354022806	0.333770618
YER036C	0.122494258	0.334129302
YHR158C	-0.40648007	0.334678834
YOR032W-A	0.481052397	0.334678834
YBR050C	0.300406288	0.337345732
YPL028W	-0.117602426	0.337495173
YBL042C	0.177280033	0.338747448
YHR154W	-0.489186155	0.338854792
YHR113W	0.115573488	0.339140136
YOR235W	0.709941317	0.339140136
YCL024W	-0.619427857	0.339154582
YJL037W	0.274769369	0.339224323
YML047W-A	0.80755136	0.339506535
YNL327W	-0.234628649	0.34200574
YCR024C	0.225740243	0.344604552
YDR369C	0.148227416	0.344604552
YMR164C	0.248939463	0.344604552
YDR007W	0.166361049	0.344988354
YER011W	0.283130684	0.345388661
YBR301W	0.656035143	0.346661118
YCR025C	0.525791821	0.347666217
YPL246C	-0.20613528	0.347666217
YCR018C	-0.26745333	0.349565697
YHR116W	0.251414297	0.349565697
YCL036W	-0.36223772	0.349737851
YDR237W	-0.138483086	0.349737851
YMR012W	-0.196422875	0.349737851
YER145C	-0.276117032	0.351503319
YFR029W	0.419431147	0.351503319
YIL042C	-0.241281202	0.351503319
YOR063W	-0.141650181	0.351503319
YHR157W	0.316618293	0.352050644
YDR107C	-0.354239076	0.352217039
YCL010C	-0.301911711	0.353521393
YFL060C	-0.528042894	0.353521393
YGR199W	-0.177221731	0.353521393
YGR217W	-0.385721065	0.353521393
YHR021W-A	0.582030485	0.353521393
YJR124C	-0.285610679	0.353521393
YML008C	-0.159932867	0.353521393
YLR379W	-0.618639447	0.354128473
YOL037C	0.881589611	0.355066691
YLR227C	0.185516327	0.355108197
YFR034C	0.366375155	0.355357207
YGL154C	0.276445774	0.355357207
YML051W	0.174340731	0.355645081
YGR053C	0.298186967	0.355685046
YNL008C	0.137941488	0.356574133
YOL086C	-0.188906941	0.356574133
YPL254W	-0.261184613	0.356574133
YBR018C	0.427189023	0.35667301
YBR287W	-0.147758109	0.35667301
YDR003W	0.155943947	0.35667301
YER083C	0.204183326	0.35667301
YER184C	0.240586205	0.35667301
YHR184W	-0.246264738	0.35667301
YJR016C	-0.177914576	0.35667301
YML064C	-0.274306976	0.35667301
YMR321C	0.710501125	0.35667301
YOR353C	0.126764699	0.35667301
YDR540C	-0.227251573	0.357553307
YNL025C	0.17520173	0.357692604
TS(UGA)E	0.864496775	0.357816157
YBR233W-A	-0.261663027	0.358358355
YHR149C	-0.441663796	0.358358355
YMR299C	-0.201088583	0.359353544
TR(UCU)G3	1.662633484	0.359353544
YER161C	0.140080111	0.359888487
YLR450W	0.148877136	0.359908477
YGL093W	-0.306081068	0.360430392
YDR485C	0.141968679	0.361874259
YKL004W	0.200919466	0.362301398
YLR212C	-0.347628408	0.362481257
YLR257W	-0.245528243	0.362481257
YEL008W	0.545211171	0.363362938
YIR036W-A	1.66447688	0.363362938
YHR086W-A	-0.899667533	0.363420344
TV(AAC)K1	2.641065581	0.363544155
YNL334C	-0.513266014	0.363565717
YJR111C	0.265873799	0.365070228
YGL213C	-0.201226998	0.365848777
YNL189W	0.134742447	0.366171729
YDR426C	0.449007366	0.366473271
YBL063W	-0.420005324	0.367600267
YOR019W	0.324710089	0.369400264
YDL026W	-1.4715016	0.369701934
YNL325C	-0.153802317	0.3697045
YGL195W	-0.241447148	0.369773655
YGL128C	0.23213706	0.370131355
YIL011W	0.409114619	0.370202953
YBL010C	-0.315011984	0.370521321
YPR046W	-0.233161247	0.371148672
YDL167C	0.177379331	0.371533169
YNL080C	0.238251485	0.371533169
YNL196C	0.317958479	0.371533169
YGR235C	-0.171796484	0.371739248
YMR148W	0.22721171	0.371739248
YLR394W	-0.333974454	0.374108462
YMR029C	-0.155842381	0.374108462
YMR117C	-0.496083618	0.374550894
YCL051W	0.23856803	0.375664348
YBR281C	-0.313061047	0.37587536
YLR318W	0.263858368	0.37587536
YDR434W	-0.127716386	0.376997318
YLR145W	-0.194425166	0.376997318
YBR070C	-0.221359832	0.377167031
YHR156C	0.222167324	0.377535042
YDR089W	0.237989556	0.379152027
YHR017W	-0.152918836	0.379949512
YHR180W	0.261891502	0.379949512
YKR005C	-0.19671748	0.379949512
YMR173W	-0.302159313	0.379949512
YNL303W	-0.284840392	0.379949512
YOR381W	0.196653383	0.379949512
YLR237W	0.288581226	0.381960192
YBR092C	-0.146835944	0.382117893
YER018C	-0.246307721	0.382117893
YKL171W	0.136382032	0.382117893
YLL010C	0.272614829	0.382117893
YPR005C	0.195719176	0.382117893
YKR018C	0.108535807	0.382774418
YGL209W	0.212522018	0.383540497
YMR134W	0.171935292	0.383540497
YJL190C	-0.244163181	0.385876365
YHR165C	-0.211576428	0.385996673
YOR262W	0.129012026	0.385996673
YOL089C	0.163222694	0.38636429
YLR052W	0.139761329	0.387430628
YJL149W	0.24449002	0.387942943
YJR137C	-0.263293529	0.388484127
YOR061W	-0.12798685	0.389095693
YHR028C	-0.101285973	0.390550512
YOL108C	-0.212268932	0.39060846
TV(AAC)E2	1.233050188	0.39060846
YPR053C	0.39427848	0.390905389
YDR522C	0.318435154	0.392266667
YIL010W	0.161107202	0.392266667
YAL015C	-0.141374088	0.392390762
YML109W	-0.61399388	0.392570496
YDR251W	-0.163541965	0.392649576
YGR268C	0.301648315	0.39296676
YPR114W	-0.19155365	0.394091286
YDR075W	0.174869987	0.395025649
YDR260C	0.163411075	0.395025649
YDR321W	-0.165456148	0.395025649
YGL202W	-0.256564912	0.395025649
YGR045C	-0.444267064	0.395025649
YGR143W	-0.144976072	0.395025649
YIL061C	0.261693853	0.395025649
YJR153W	0.161485591	0.395025649
YLR366W	-1.764487535	0.395025649
YNL245C	0.228492724	0.395025649
YMR098C	-0.115450007	0.39505946
YGL219C	0.127858346	0.395161788
YLR049C	-0.339026149	0.395161788
YLR285W	-0.166641727	0.395461702
YKL094W	-0.156228849	0.395586822
YJL156C	0.139393622	0.396403851
YPR144C	0.347087572	0.396756235
YJR084W	0.23534589	0.396807735
YIL016W	-0.19185536	0.397090341
YPR194C	-0.20276277	0.39823718
YHR121W	-0.185754545	0.398598939
YKL011C	-0.214816348	0.398598939
YKR038C	-0.164170841	0.400220955
YMR058W	-0.17128153	0.400384806
YDR104C	0.17405586	0.400925205
YJR027W	-0.538124399	0.400925205
YHR080C	-0.157774904	0.402068431
YNL029C	-0.224894434	0.402068431
YBR114W	0.322637088	0.402599336
YPL075W	-0.245879596	0.403187424
YGR181W	0.214108113	0.404255344
YMR261C	-0.260765465	0.404255344
YHR093W	-0.84152338	0.405463995
YKL047W	-0.128023842	0.407432664
YGL147C	-0.206761803	0.407974949
YLR164W	0.380084435	0.408514895
YDR069C	0.138773941	0.408537557
YIR030C	-0.26867779	0.409526507
YFR055W	-0.344717442	0.409596861
YNL144C	0.155249609	0.410990111
YLR094C	0.285995216	0.411267023
YLR124W	0.382158456	0.411267023
YDL069C	-0.199290085	0.411351516
YKR039W	0.36810738	0.411351516
YIR021W	-0.181266571	0.411607554
YCL063W	-0.307218819	0.41166694
YHR067W	-0.20278416	0.412126949
YML104C	-0.274260408	0.412196733
YAR070C	1.773660701	0.412860908
YBR280C	0.226502179	0.412860908
YBR297W	0.153290447	0.412860908
YLR031W	0.271025103	0.412860908
YMR175W-A	0.641387127	0.412860908
YNR068C	0.291876541	0.412860908
YOR269W	-0.311905572	0.412860908
TS(AGA)J	0.725995509	0.412860908
YDR381W	-0.19646239	0.413388244
SNR17B	-0.661307199	0.413748406
SNR191	-0.888315436	0.413748406
YPL027W	0.259368714	0.41412941
YNL089C	-0.43542488	0.414356947
YBR020W	0.261998609	0.414467629
YHL045W	0.912512202	0.417345044
YOR046C	-0.110218107	0.417828614
YBR047W	0.289270311	0.418171962
YCR006C	-0.252704267	0.418171962
YGR196C	-0.126263496	0.418171962
YLL057C	0.203110335	0.418946104
YPL229W	0.170765576	0.41965991
YDR480W	-0.240403573	0.419985439
YJL083W	-0.422144842	0.420130966
YNL160W	-0.160008882	0.420241875
YOL035C	0.292688312	0.420241875
SNR32	-0.779139983	0.422740856
YGR280C	0.158502344	0.422971799
YGR141W	0.145963249	0.423570029
YDR536W	-0.174215065	0.423713267
YDL240W	-0.253591255	0.424357944
YGL161C	-0.134520432	0.424357944
YBR016W	0.17909111	0.424498681
YKL074C	-0.142446617	0.424779506
YDR322C-A	-0.262991322	0.425913927
YDL176W	0.253084017	0.426359834
YKR083C	-0.259632305	0.426481572
YHL006C	0.176132613	0.426700149
YMR160W	0.135628158	0.426990873
YFL058W	-0.640308688	0.428346401
YJL012C	-0.156624839	0.428346401
YKL132C	-0.236726934	0.428346401
YML058W-A	0.274967099	0.428346401
YPL057C	0.103103142	0.429604796
YDR112W	0.462179209	0.430233807
YNL016W	-0.121339846	0.430626389
YEL005C	0.177449444	0.430938824
YKL009W	-0.137554411	0.432043666
YOR110W	-0.125476039	0.432043666
YKL043W	0.265850771	0.432340563
YPR061C	0.224998492	0.432504615
YBL013W	-0.696986867	0.436747345
YBR051W	0.598777364	0.436747345
YGR043C	0.29600318	0.436747345
YHR131W-A	-0.737038397	0.436747345
YKL197C	0.211212553	0.436747345
YLL051C	0.185825749	0.436747345
YLL061W	0.298802946	0.436747345
YMR254C	0.318780252	0.436747345
YNL055C	-0.183249191	0.436747345
YNL300W	-0.360769717	0.436747345
YCL004W	0.22883093	0.436813751
YPL277C	0.289640645	0.437739998
YGR113W	-0.15384372	0.439584598
YMR313C	0.1174541	0.439584598
YLR295C	-0.274053822	0.440656829
YFR023W	-0.392758098	0.440836673
YOR246C	-0.151014621	0.440851939
YGL196W	-0.148796405	0.441131847
YHL017W	-0.153128428	0.441131847
YPR065W	0.439345705	0.441131847
YGR220C	-0.158247075	0.441357291
YFR049W	-0.196376156	0.441543141
YMR170C	0.183735233	0.442456092
YFL019C	0.341792702	0.442984115
YLR046C	0.192232274	0.443400505
YLR410W-B	-0.576870366	0.444224432
YDL212W	-0.155541793	0.444491963
YMR135C	0.157589749	0.445129605
YLR312C	0.212709286	0.44570288
YNL083W	-0.163510398	0.445888669
YDR084C	-0.16299399	0.4462186
YOL102C	-0.17660407	0.4462186
YIL162W	-0.11213287	0.446620896
YJR149W	-0.164196216	0.446620896
YLR297W	0.354099761	0.446620896
YBR073W	-0.292730104	0.447458383
YLR304C	0.167861519	0.447458383
YMR069W	0.605808101	0.448502029
YKL150W	-0.204864433	0.44865111
YDL028C	-0.225239096	0.449276293
YMR143W	-0.222852652	0.449276293
YGL052W	0.230184796	0.449302749
YHR139C-A	0.479151337	0.44959273
YNL161W	-0.226410127	0.44959273
YNR039C	0.193422001	0.451078285
YDR254W	0.159859386	0.455768751
YIL087C	0.148056782	0.455768751
YBL011W	-0.284473045	0.455914386
YGL044C	-0.167563384	0.455918724
YPR121W	0.201256887	0.456775297
YDL053C	0.16007574	0.456879818
YDR187C	0.500164276	0.456879818
YKR043C	-0.180798373	0.456879818
YIL108W	-0.285607833	0.457350571
YER033C	0.304950688	0.461161733
YKL017C	-0.159980028	0.461552414
YKL129C	-0.186164526	0.461552414
YNL026W	-0.128679678	0.461552414
YNR070W	-0.225555871	0.461552414
YBR245C	-0.351697483	0.461640105
YFR039C	-0.147570276	0.461640105
YKL194C	-0.148613847	0.461640105
YPL207W	-0.144020413	0.462735847
YML036W	-0.201076166	0.462968763
RDN5-1	-1.605092866	0.464674611
YHL012W	0.244196024	0.464718796
SNR41	0.302127196	0.465305237
YER188W	-0.294502308	0.46551746
YOR391C	0.641985988	0.465708814
YEL055C	-0.177677957	0.467175412
YGR187C	-0.150174551	0.467175412
YGR031W	0.166792111	0.467443364
YIR025W	0.26600312	0.467443364
YOL042W	-0.142649125	0.467443364
YDR170C	-0.262385891	0.468134596
YGR191W	0.119266499	0.468134596
YKR012C	0.407265742	0.468134596
YOR084W	0.458731638	0.468134596
YPL166W	0.218673478	0.468134596
YOL001W	0.17536561	0.468370497
YDR219C	-0.141857586	0.468611602
YNL316C	0.15012479	0.468611602
YCL038C	0.175159212	0.468933583
YDR348C	-0.221297668	0.469254369
YML102W	-0.513934812	0.471422291
YDR322W	-0.120244949	0.471649371
YGL178W	0.259425444	0.472288225
YGR293C	0.984238961	0.472288225
YCR069W	0.191327423	0.473505891
YER187W	0.194152883	0.473505891
YGL023C	-0.298590406	0.473505891
YGL143C	-0.112562186	0.473505891
YGR256W	0.375958717	0.473505891
YLR400W	-0.375047013	0.473505891
YMR145C	-0.192191522	0.473505891
YGL255W	0.278370668	0.473751719
YMR135W-A	1.057857159	0.473751719
YDR408C	0.158493452	0.475224153
YOR069W	-0.191780376	0.475224153
YKL134C	-0.178315031	0.475229747
YDR178W	-0.16823604	0.475425695
YLR195C	-0.111058022	0.475425695
YML007W	0.119033395	0.475425695
YOR248W	-0.449654472	0.475425695
YFL042C	0.153845497	0.476717421
YLR001C	0.118016845	0.477355082
YBL073W	0.487519962	0.478073537
YBL071C-B	-2.571805447	0.478233336
TD(GUC)G2	1.163357243	0.481721105
YPL233W	-0.184807129	0.481973883
YBR191W	-0.212417006	0.48206002
YIL030W-A	0.433448256	0.483099036
YDL180W	-0.128639214	0.483699054
YLL007C	-0.185842466	0.483699054
YMR322C	0.900627844	0.483699054
YOL064C	-0.143617726	0.483699054
YBR056W-A	-0.317958371	0.484323797
YDR239C	0.115479077	0.484703658
YBR074W	-0.135925661	0.48529141
YGR203W	0.159782784	0.48529141
YGR258C	0.209136715	0.48529141
YMR107W	0.445992604	0.48529141
YOL083W	0.197962682	0.48529141
YLR395C	-0.246404605	0.485469516
YAR071W	0.304870693	0.486353275
YER101C	0.212271278	0.486353275
YIL099W	0.253586162	0.486353275
YJL119C	-0.527405538	0.486353275
YKR102W	0.209314059	0.486353275
YOL022C	-0.106705356	0.486353275
YIR017C	0.781235937	0.488761477
YOL027C	0.157450601	0.488761477
YFR010W-A	-0.338088586	0.489291415
YDR423C	0.108286882	0.490101916
YEL077C	-0.428118937	0.490101916
YIL120W	0.127921959	0.490101916
YJL084C	0.236585974	0.490101916
YLR081W	0.240748814	0.490101916
YNR046W	0.153104128	0.490101916
YGR134W	0.136619234	0.490855535
YNL247W	-0.171274718	0.490855535
TN(GUU)P	-0.585412192	0.490855535
YBL054W	0.184567637	0.490946801
YBL029C-A	-0.198877916	0.491803054
YCL011C	-0.142264415	0.492203891
YPL116W	-0.309842553	0.492203891
YLR021W	-0.168779974	0.492942183
YPL161C	-0.159492892	0.493011596
YMR122W-A	-0.149231753	0.493712008
YGL020C	-0.149241891	0.493898214
YHR144C	-0.173183181	0.494924898
YGL083W	-0.256985872	0.496079015
YNL260C	0.16990969	0.496079015
YMR091C	-0.129304995	0.497227732
YCR011C	0.095560018	0.497249418
YCR091W	0.111547397	0.497249418
YDR128W	0.210507919	0.497249418
YDR159W	0.161170474	0.497249418
YJR147W	0.33271145	0.497249418
YNL034W	-0.50552825	0.497249418
YNL273W	-0.309852491	0.497249418
YOL008W	-0.158572153	0.497249418
YPL144W	-0.174748678	0.497249418
YPR168W	0.216788448	0.497249418
YJL052C-A	0.537976392	0.498668975
YDR535C	0.357274596	0.499090971
YNL288W	0.143982189	0.499121651
YHR131C	0.178755339	0.50048918
YMR191W	0.16186278	0.50048918
YMR310C	0.317177585	0.501513043
YNL067W	-0.185355135	0.501640579
YDR307W	-0.165115113	0.502002456
YDR103W	0.283908218	0.502822925
YLR201C	0.129188731	0.504286561
YPL253C	-0.291832949	0.504286561
YDR181C	-0.130176453	0.504569151
YJL023C	0.188967678	0.504569151
YHR188C	-0.217304961	0.504813976
YHR086W	-0.173359793	0.504840582
YIL018W	-0.180549171	0.504840582
YKL110C	0.164746971	0.504840582
YNL194C	0.251302794	0.504840582
YOL073C	0.19044669	0.504840582
YHL046C	1.055979824	0.505615868
YER174C	-0.162003294	0.50591906
YBL025W	0.174335175	0.506501259
YEL036C	-0.175809706	0.506501259
YFR012W-A	-0.543831984	0.506501259
YKL114C	-0.11814415	0.506501259
YAL014C	0.205205186	0.507123186
YBR226C	0.456663545	0.507123186
YHR061C	0.257318326	0.507123186
YLR154C	-0.198122928	0.507123186
YNR044W	0.270499842	0.507123186
YOR162C	0.216044082	0.507123186
YOR185C	0.1350572	0.507123186
SNR8	-0.384329801	0.507123186
YCL075W	2.92811621	0.50748125
YHR045W	-0.113071801	0.507688419
YGL045W	0.172368851	0.508409524
YNL211C	0.209385221	0.508409524
YLR269C	-0.271592858	0.508734162
YDR377W	-0.190087325	0.510247554
YKL023W	0.16991342	0.510247554
YCR102C	-0.234611308	0.510260704
YER067W	-0.259914634	0.510260704
YDR004W	-0.12059618	0.510449029
