	log2FoldChange	FDR
YOR003W	0.309549359	0.003516425
YLR059C	0.290817195	0.003592615
YDR170W-A	0.533090109	0.003605896
YER128W	0.402079288	0.003605896
YOL082W	0.446806206	0.003605896
YNL269W	0.885283483	0.003650691
YJL181W	-0.577287033	0.003710835
YGR197C	0.616494893	0.003831229
YOR107W	0.655279917	0.003831229
YNL192W	-0.835821327	0.00406328
YDL214C	0.51169658	0.004086613
YOL002C	-0.391441614	0.004249
YPL201C	0.383265528	0.004249
YBR068C	0.232473829	0.004431912
YAR008W	-0.542422197	0.004779098
YGL035C	0.451251538	0.004779098
YDR300C	-0.274275405	0.004839531
YGR014W	-0.731126628	0.005061305
YGL117W	0.412897816	0.005311804
YJR005C-A	3.317082124	0.005368224
YGL008C	-0.477896307	0.005394163
YHR150W	0.381269791	0.00541385
YAL023C	-0.657709735	0.005595386
YOR187W	-0.222188688	0.005716262
YHL028W	-1.112447709	0.005835106
YHR096C	0.674796327	0.005835106
YNR060W	0.43028371	0.005835106
YEL049W	0.624342487	0.005869941
YLR284C	0.518216202	0.005869941
YBR212W	0.410606128	0.0059492
YOL112W	-0.50442139	0.006061323
YMR184W	-0.483117218	0.006147995
YMR319C	0.489881757	0.006286964
YPR008W	0.260159615	0.00645721
YER055C	0.344699167	0.006460712
YFL024C	0.232413897	0.006499005
YFL012W	-1.221965531	0.006704394
YLR431C	0.329812063	0.006704394
YDL177C	0.510548712	0.006733055
YJR092W	-0.828428427	0.006733055
YDR330W	0.235402259	0.006911748
YJL056C	0.850647806	0.007007792
YPL202C	0.510978894	0.007193695
YNL234W	0.497228957	0.007282155
YGR133W	0.339346186	0.007355475
YER162C	0.286253546	0.007450065
YLL023C	0.335405039	0.007530602
YOL107W	-0.575176771	0.007848974
YMR253C	0.28745659	0.008093652
YDR365C	-0.261932151	0.008151552
YJR122W	0.329444564	0.008151552
YMR122C	1.122308971	0.008151552
YMR198W	-0.716364963	0.008151552
YJL034W	-0.594512634	0.008250903
ICR1	-0.748219978	0.00836062
YNL187W	0.515453019	0.008421656
YLR205C	0.449625349	0.008472507
YIL054W	1.405948625	0.008628909
YJL219W	0.655517677	0.008702174
YNL289W	-0.823032415	0.00877202
YCL026C-A	-0.898137854	0.009113376
YBL043W	0.562844003	0.009444427
YDR055W	-0.393592939	0.009444427
YMR011W	0.277436208	0.009444427
YOR288C	-0.49300591	0.009487678
YLR356W	0.334008296	0.009673824
YML131W	0.288420155	0.009673824
YBL075C	0.550108223	0.009870361
YCL009C	-0.362869577	0.009870361
YJR080C	-0.287120145	0.010121132
YER064C	0.399698262	0.010901381
YKL089W	-0.732911614	0.010901381
YLR300W	-0.270199352	0.010901381
YOL036W	0.36468124	0.010901381
YOR375C	-0.526725157	0.011241695
YKL096C-B	1.671695263	0.011297509
YBR218C	-0.497063652	0.011950815
YCR007C	0.469444527	0.012096926
YDR523C	-0.584261914	0.012345439
YER135C	0.944537195	0.012345439
YMR245W	0.467822374	0.012351455
YKL216W	-0.260248156	0.012430645
YJR127C	-0.502849755	0.012476481
YLR044C	-0.284111498	0.012476481
YPL018W	0.508166179	0.012839769
YOR363C	0.478678337	0.013043751
YDL035C	0.254388733	0.013166331
YDL170W	0.605351777	0.013200475
YKL217W	0.202112668	0.013236772
YER016W	-0.532657392	0.013625833
YJL106W	-0.538615357	0.014029411
YML052W	-0.365417489	0.0140389
YPL263C	-0.558504218	0.014440818
YOR351C	0.72889374	0.015055565
YOR254C	-0.295507108	0.015072509
YMR048W	-0.470225823	0.015139309
YLR313C	-1.33960026	0.015205052
YBR033W	-0.298988011	0.015205636
YFL030W	-0.361247344	0.015513314
YPR013C	0.272761536	0.015738192
YHR177W	-0.621142372	0.015802174
YML100W	-0.394060446	0.015858691
YML061C	-0.472836814	0.01591767
YOR010C	1.04132468	0.016003779
YBR046C	0.315439322	0.016451061
YDR461W	1.21611931	0.0170893
YNL305C	0.342963316	0.0170893
YJL089W	0.601147276	0.01714936
YGR273C	-2.075621743	0.017300206
YOL104C	-1.093929794	0.017475427
YER088C	-0.30814031	0.01758659
YER118C	-0.338164549	0.01758659
YOL015W	-0.602042585	0.01758659
YBR162C	-0.267415074	0.017752258
YPR145C-A	0.876762223	0.017752258
YPL155C	-0.845958067	0.018060808
YCL026C-B	-0.514217236	0.018333312
YPL137C	0.696316407	0.018333312
YDL223C	0.437231386	0.01836568
YMR109W	-0.486956668	0.01836568
YDL211C	-1.187332438	0.018375654
YDR261C	-0.467413428	0.01858283
YJL116C	0.324390114	0.018901206
YLR042C	-0.644471183	0.019145199
YOR065W	-0.342109524	0.019988934
YBR200W-A	-1.289350739	0.020012235
YCR084C	-0.624779529	0.02008474
YOR006C	0.237029761	0.02008474
YPR196W	0.326285065	0.020481081
YOL164W-A	-0.67593502	0.020868184
YOR383C	0.473040717	0.020868184
YIR018W	0.619540068	0.021811281
YAL034W-A	-0.536957197	0.02209848
YLR372W	-0.361002768	0.022776546
YDR126W	0.296348744	0.023147779
YJL159W	-0.299541517	0.024174812
YOR222W	0.260371169	0.024188311
YMR041C	0.283925549	0.024358769
YBR159W	-0.258106388	0.025057005
YKL220C	0.775738111	0.025539779
YJL020C	-0.346787581	0.02559981
YMR307W	-0.232618878	0.025898326
YLL002W	-0.733032879	0.025942338
YJR094C	0.578643933	0.026014539
YLL062C	0.569435306	0.026035573
YBL065W	1.292814009	0.026164217
YOL084W	0.465458219	0.026412694
YDR274C	-0.433227985	0.026628646
YGR029W	0.367302215	0.026628646
YCL030C	0.504490607	0.026734543
YGL225W	-0.307464169	0.026734543
YPL272C	-0.544768983	0.026734543
YDL025C	0.386195244	0.026738167
YOR365C	0.474440898	0.026738167
YNR014W	0.33944747	0.026765977
YBR043C	0.37916424	0.027081946
YHR048W	0.535198533	0.027184249
YNL183C	0.256871291	0.027305145
YOR083W	-1.222594412	0.027305145
YPR117W	-0.3723126	0.02745946
YDR432W	-0.358081829	0.027718572
YGL061C	-0.755976606	0.027932903
YIL130W	0.455259925	0.028096798
YJL038C	0.524945846	0.0285957
YGL134W	0.249071254	0.028733728
YDR185C	-0.337154225	0.028862731
YMR291W	0.229647882	0.029112893
YDR384C	0.447479428	0.029368359
YBL099W	-0.208766551	0.029701184
YJR076C	-0.264032986	0.029701184
YPL267W	-0.757847398	0.029723658
YDL054C	0.270915142	0.030344685
YKL096W	-0.59642582	0.030344685
YML043C	0.56870102	0.030344685
YML054C	0.380649417	0.030344685
YKL101W	-0.737237645	0.030964159
YLR131C	-0.390748502	0.031068859
YPR060C	-0.346261266	0.032004371
YIL146C	0.516030423	0.032109252
YML116W	0.396820914	0.032766758
YOR247W	-0.493307467	0.032850169
YLR424W	-0.425817368	0.033310313
YJL092W	-0.592205169	0.03415352
YPL175W	-0.274306142	0.034157359
YKR037C	-0.434485092	0.034621928
YOR202W	0.347859824	0.034738236
YKL204W	-0.46090564	0.035124941
YCL047C	-0.321766299	0.03543125
YLR302C	4.158818073	0.03543125
YMR194C-B	0.403386301	0.03543125
YNL240C	0.442011286	0.035947088
YNL104C	0.211911177	0.036132216
YDR497C	-0.280730451	0.036701288
YDL182W	0.267992886	0.037042023
YOR382W	0.263808638	0.037839844
YKL084W	0.338356207	0.038050346
YNL058C	-0.313673205	0.038057085
YGR099W	-0.429899335	0.038992961
YLR226W	0.439334613	0.039477898
YKL128C	-0.290289462	0.039598781
YNL320W	-0.328444993	0.03985616
YHR202W	0.351335499	0.040393687
YNL283C	-0.584138376	0.040409502
