Gene	SRR7241882	SRR7241883	SRR7241884	SRR7241885	SRR7241886	SRR7241887	SRR7241888	SRR7241889	SRR7241890	SRR7241891	SRR7241892	SRR7241893	SRR7241894	SRR7241895	SRR7241896
ETS1-1	9.718308625307394	9.812777547282774	10.199541120598747	9.644976805209001	9.644976805209001	9.819641498961985	9.125946274349847	9.13693039172888	9.425309129682937	9.677795271612801	9.172262829644419	9.125946274349847	9.094002106928592	9.088924950001225	8.99530320116057
ETS2-1	2.7876681572600175	0.8094661471014455	0.7040317467159792	0.9460013252448686	0.4884890393080643	0.6574487098445283	0.7875733845849976	0.746461699138165	0.7443886325940751	1.682764651509517	1.9664742396307613	1.989125188474285	0.7973278223832956	0.7839097186786672	1.240630476460768
HRA1	0.3550792091948012	0.3380450504233635	0.3646222852438685	0.21082087064900992	0.22828832238147734	0.2667924360954355	0.5706480231546344	0.5982787279438966	0.500999257209331	0.3975151297832928	0.48274040919582434	0.4411858620124387	0.7029925588240689	0.7432099448077477	0.6421947082582729
ICR1	1.8306846403244625	1.1864364221953934	1.357660466822635	1.8854142929286728	1.685042734324294	1.6880666646595373	1.5678256608869892	1.1741370874467731	1.3842354329280906	0.8338722473156563	1.083803735493245	0.8147114265620764	0.807821258704055	0.8850775946086079	1.0059643077239924
IRT1	0.3550792091948012	0.8060042488683634	0.786211478208053	0.832491997379693	0.9123594586163369	1.0197947116856545	0.9180590525370217	0.8419900420316895	0.9446777128684332	0.7930245540584189	1.1219190096035527	1.1838578970826528	1.2033234508590933	1.1989559634997125	1.7063124288452673
ITS1-1	8.914949918731832	8.911328416205382	9.074166953787508	8.753257547097324	8.956104025611879	9.051584127962045	8.323076464926592	8.434821871571547	8.63309550036581	9.088924950001225	8.911328416205382	8.858621163143056	8.47821081311369	8.588382721241128	8.558169508699493
ITS2-1	9.074166953787508	8.914949918731832	9.101443759654353	8.93929830392826	8.858621163143056	8.970719208561526	8.442747344000118	8.423926762592561	8.656766651976838	10.117553934834259	9.125946274349847	9.112524713799722	8.737328884604654	8.753257547097324	8.71953309481113
LSR1	8.71953309481113	8.286857413476742	8.656766651976838	8.871773971246022	8.565315738785966	8.551859251389569	8.784921741103126	6.900381552617359	7.538814871725129	9.101443759654353	9.051584127962045	8.99530320116057	8.970719208561526	9.029508630353824	9.094002106928592
NME1	7.707046698450163	7.246886228989471	7.1931550356475356	6.955602574207282	6.539160305479201	6.029857453339096	6.244440612975547	5.629882057012521	5.898421083574158	8.090937628233153	8.196583799265213	8.265560931278268	7.8475530104494045	7.862924413071527	7.862924413071527
PWR1	0.3550792091948012	0.3380450504233635	0.3646222852438685	0.21082087064900992	0.22828832238147734	0.2667924360954355	0.16317978875846423	0.23689834990677	0.22828832238147734	0.3975151297832928	0.48274040919582434	0.4411858620124387	0.270198486933949	0.2623066801881083	0.29653602944899127
