	WT_15min_1	WT_15min_2	WT_15min_3	WT_15min_4	WT_15min_5	WT_15min_6	mct1_15min_1	mct1_15min_2	mct1_15min_3	mct1_15min_4	mct1_15min_5	mct1_15min_6
 Glyoxylic acid 	295384	270273	201400	262016	541198	375202	325439	457109	274732	438261	356253	253239
 Guanine	16293	0	53684	113992	10013	10988	2243	6421	13249	29098	4010	3333
 Heptanoic acid	759471	1394091	621653	752272	1171445	1049384	928259	1558617	1072563	1074349	1022786	714921
 Homoserine	276290	672192	342615	275645	432533	267604	338112	232550	192900	172682	172303	263761
 Lanosterol	9718	9199	14106	3574	5452	6320	0	1913	3205	2498	2023	946
 Lauric Acid 	227645	115772	253116	332326	362925	226641	150087	257939	121323	162449	174102	116986
 L-Gulonic acid gamma-lactone 	18076	35601	3881	2375	5761	2921	34468	11751	39177	101195	12456	29249
 methyl-beta-D-Galactopyranoside 	97692	127437	87815	13054	0	22093	16276	11165	0	4047	8417	7696
 Methylmalonic acid 	41515	31367	28473	45622	30659	25834	21746	33176	56659	47747	38626	30224
 N-acetyl-L-aspartic acid 1	10843	1296	7623	5439	2317	2235	1044	1389	0	0	0	0
 N-acetyl-Lysine	1122522	1466092	1029937	227123	268502	199394	128761	146351	126725	121530	72032	142775
 Nicotinamide	1885651	926305	773649	2027033	1484703	1128057	577982	1257885	1187982	907166	1218293	735848
 Nitrous Oxide 	5296526	3009964	677355	1866036	8184945	5852888	5755376	7404057	5239577	4233801	7752427	4525194
 Orotic acid	1618711	1532342	1419951	1088496	574431	760475	35788	73729	268165	212175	141408	184901
 Phosphatidyl Glycerol	374	2366	925	0	1223	0	0	1870	0	2881	621	0
 Pyrrolidonecarboxylic acid	1110243	1785775	2761477	990231	704639	608285	1948092	685278	750278	1504659	697361	1610359
 Ribonic acid-gamma-lactone	40642	76026	42262	41261	59781	31759	34702	26675	23605	24348	31154	32716
 Sophorose	22537	122718	48127	0	0	0	25854	0	0	0	0	0
 Sucrose 	1207105	3640405	785849	206722	900541	476836	2302647	1411773	1192817	2141487	894545	1826985
 Trehalose 	12287	13816	6783	0	26251	7330	15439	0	5466	0	8771	0
 Turanose	21009	27283	12775	6907	402129	14358	38399	48140	28101	25702	30251	37082
 Uracil 	1538710	1146940	1876362	2042739	895328	717716	1680734	1949661	1953497	1775597	2006310	1978825
