	WT at 1hr minR+Leu 0	WT at 1hr minR+Leu 1	WT at 1hr minR+Leu 2	WT at 1hr minR+Leu 3	WT at 1hr minR+Leu 4	WT at 1hr minR+Leu 5	mct1KO at 1hr minR+Leu 0	mct1KO at 1hr minR+Leu 1	mct1KO at 1hr minR+Leu 2	mct1KO at 1hr minR+Leu 3	mct1KO at 1hr minR+Leu 4	mct1KO at 1hr minR+Leu 5
Glycerol 3-phosphate	22629	37783	34400	30742	15124	26266	7106	16338	12102	10072	7960	10246
Iminodiacetic acid	151004	34033	45799	133777	112929	170190	72999	158208	61852	98090	81569	171201
1-Octadecene	77736	69834	55968	102786	55427	71479	32425	62349	48562	22193	46682	98604
2-Hydroxybutyric acid	50124	193620	57838	324512	106001	275279	81376	234816	140112	216600	68520	272313
"1,6-anhydro-Glucose"	80949	125928	100191	109265	35868	89625	79255	86942	70761	68477	42564	71140
1-Palmitoylglycerol	113467	114299	51050	96016	120795	121196	36672	74601	51880	61816	43239	180222
Sucrose	348923	1734752	918707	1120650	222122	634444	324006	134207	817569	259418	295107	424008
Myristic acid	1685468	2515657	1124136	2140851	2050770	1847023	362911	741377	409152	604631	487500	913878
Homoserine	234364	44852	293171	299181	46159	74362	7835	52613	66495	33683	12666	56307
Heptadecanoic acid	0	11018	22694	0	0	0	0	0	0	0	9281	0
Isocitric acid	9081	43977	0	29118	31340	34806	16495	25691	27113	15305	13836	25493
Sophorose	0	0	4669	21448	17885	0	0	3405	0	14034	0	0
Eicosane	43704	231306	76060	96166	48715	32635	40759	68696	54207	62818	147570	34188
Nonanoic acid	4068799	3518891	1843666	3324135	3272982	4391772	1593682	3577845	1970158	2771923	2168825	5826604
Ribitol	35199	78545	102443	146846	36639	76637	26472	102624	53750	47017	40399	25788
L-Proline	2134224	2948065	4944074	5077818	1274935	1972060	1836067	793656	2136461	1513893	1140863	233860
Glutamine	126905	43645	589897	2396997	216206	587697	6516	215443	39210	97782	7755	7008
Ergosterol	42012	85008	25107	64506	6958	7353	22524	20682	86077	26594	42676	180897
Glyoxylic acid	147763	143266	86094	124466	109220	151237	90837	127998	100650	109286	94597	177597
Pyruvic acid	115598	60386	383234	453165	54789	71843	50168	48383	85104	42256	49176	179109
2-Ketoisocaproic acid	20172	22791	11883	26030	16903	29674	3814	32999	4556	13064	6455	17699
D-Ribose-5-phosphate	14233	45063	27321	20952	18033	26474	26057	17442	13869	23526	30660	32743
Guanine	9340	11056	85334	98222	4868	9991	2100	4890	4890	6973	763	3019
Beta-Glycerophosphoric acid	0	0	146	0	0	0	0	0	0	0	0	459
Nitrous Oxide	5065750	5349616	1448401	7095974	5186378	9332482	2974928	9564589	139447	5595032	3775878	6307845
Cellobiose	23751	76934	0	76015	0	98510	28728	51378	24848	7589	21623	28073
Capric acid	111741	118479	86548	153856	95469	136426	84744	190543	138692	108320	122929	311563
Benzoic acid	1046343	777372	587577	851388	683872	927667	393471	1002683	502101	581437	482164	1070409
D-Mannose	540922	1496705	1749246	2294451	105372	1135616	764053	733953	707164	650234	377168	523794
Heptanoic acid	1481270	1430229	547253	971961	1139129	1631248	676946	2070811	1027277	1093732	927156	3219178
L-Lactic acid	405503	398771	230606	395572	329943	498595	336471	878948	794020	828039	577959	883382
Sedoheptulose 7-phosphate	56028	86499	121942	129202	22418	97871	38916	54098	34034	46416	31725	38953
L-Threonine	224838	273865	250694	199925	147972	33990	91894	279147	334656	241404	54359	318093
Adenosine	21493	32125	385985	540057	20452	26140	21709	31270	32715	23029	26379	55051
1-Steroylglycerol	628294	907980	401099	692626	552084	828349	262692	437550	325715	398276	279890	975043
Phosphate	6184967	10056137	9556740	10673854	3420313	6218115	5427316	6759463	5594935	5940262	5412864	4437280
Arachidic acid	19054	24435	13323	20115	14840	7033	4253	8328	0	4636	5853	17360
Allantoin	0	0	0	1243	0	548	2201	0	1239	0	1325	0
Unknown acid	1161938	674404	463379	266997	808778	3768230	308104	934438	757994	619048	474328	512980
Uracil	757862	945202	856793	1189398	725671	630696	851157	1211604	1654923	1413630	1021283	1426243
Cystathionine	114907	15061	145754	129652	31497	137315	2040	6065	22160	5846	40624	68491
4-Hydroxyproline	83739	128038	77144	119867	85515	132307	18279	148926	19604	75793	17322	44593
1-Monomyristin	22304	23877	10138	21774	23587	27561	9220	15425	12598	14545	10845	37733
Fructose-6-phosphate	243292	668187	554455	650805	54969	778723	114141	156229	54024	101943	87581	49897
Pyrophosphate	84644	1013957	123511	121627	36157	234477	14393	16553	29213	30204	12295	20012
N-acetyl-L-aspartic acid 1	0	2040	2231	5554	1423	2466	346	0	0	258	2050	3717
D-Fructose	6515034	30678092	30712291	39940847	515835	26776846	5190760	4206307	5758683	2248584	1530372	3170918
Beta-Hydroxyisovaleric acid	14146	23071	14632	25922	11696	34060	4994	13263	0	9693	6632	9265
Myoinositol	1314505	1904670	1294338	1818587	920089	1235627	978122	1170873	1011893	1021094	1073913	1089487
2-Steroylglycerol	2113	0	0	0	0	0	0	708	0	0	0	0
Succinic acid	2097893	2373943	3157559	4020073	1266937	2341076	1220656	2074666	2802612	2386484	2065979	2193117
2-Monopalmitoylglycerol	701	1595	1874	2595	0	0	790	0	843	0	0	0
Lauric Acid	299633	396195	270466	419822	280738	271290	195559	407362	318604	261140	312365	463189
L-Sorbose	18263	35851	23766	35928	6796	26546	24805	22363	22540	16621	17006	20632
Inositol phosphate	987107	1459835	601589	771340	772588	831209	197228	528158	396800	328880	355672	1347992
Inosine	6967	9203	17200	22630	2314	8939	3648	4294	4973	5463	2625	5571
Adipic acid	15156	9310	13142	10480	8594	6772	8215	11270	13369	7335	8685	20379
Beta-Alanine	6447	4544	8252	9680	2899	9702	3527	7338	4869	3608	3575	6955
Arachidonic Acid	0	1971	617	0	2571	3667	0	1650	2047	0	0	4003
												
												
												
												
												
												
												
max												
min												
ratio												
