Gene	SRR652952	SRR652953	SRR652954	SRR652955	SRR652956	SRR652957	SRR652958	SRR652959	SRR652960	SRR652961	SRR652962	SRR652963	SRR652964	SRR652965	SRR652966	SRR652967	SRR652968
ETS1-1	5.809809709096388	7.389481151001053	5.337772627779393	6.341596515337765	2.1054142476313746	4.2535189859670375	6.028143506047837	6.227864180886803	7.169528221370911	6.112204236437471	6.944767478794507	7.059582840233913	4.427127418479231	4.434500900084604	3.4216873839397746	1.7218184782372348	1.6292680072077812
ETS2-1	4.292977271303842	3.963759519328169	1.301521522414338	1.1073779148074274	0.8305192682372128	1.4107915705520715	0.7245278415918915	0.723731725741241	0.7366880815227069	0.8147114265620764	0.8844223905642884	0.9151247230451005	0.5601014636166457	0.5234740095588416	1.2756189361379673	0.6245602546499817	0.636866429345941
HRA1	0.3936960310382049	0.5995759265040432	0.8316753871885318	0.5288813184652335	0.4987171004623148	0.4788818896884436	0.42969532052105464	0.3118345931757945	0.4011487470292875	0.386768183432551	0.32242536387829723	0.23937424086159717	0.9700684658945986	1.0010220271321393	1.2756189361379673	0.3453939386430118	0.1159231208648187
ICR1	1.48373483109924	1.8963455204740067	1.3072522166998293	1.0238876200659488	1.4518807979305581	0.4788818896884436	0.886334230521274	0.9154034109139575	0.9250325975937261	0.9086249945996636	0.8025121228772572	0.7889168543702989	0.6979715300139742	0.6762761042437798	1.2756189361379673	1.0714517132720627	1.0883838121737388
IRT1	4.011192371455821	4.240273134165573	2.244164206259806	1.873870147159618	1.334461150589321	1.2920697737077649	2.1913147887683646	2.081209522490438	2.6684417972888683	2.2436261931767105	2.33322763555672	2.467391494216029	0.8644160334495751	0.827636594043872	1.2756189361379673	0.7880878893530922	0.8143260860542362
ITS1-1	10.171459498227641	9.819641498961985	9.812777547282774	9.805057292625115	8.090937628233153	9.471995685274207	3.0418755318758293	3.3098636733427558	3.4164818884181445	3.764382163189069	2.451412766524927	2.7236717615467754	1.168438139907473	1.5203257361574327	8.442747344000118	1.3978876402857363	1.301956297413646
ITS2-1	2.6950540751557917	4.598872442713249	4.6887496394674875	4.583646507864212	2.686570025938644	2.7654271959884937	2.3290883439127854	2.479140694857791	3.2626461188598914	3.043524716307605	2.860527174399083	2.6937389984483806	1.92192402629937	2.6016413840374875	7.606017171227773	1.5798089995288773	1.3819605446998509
LSR1	10.912307204971501	10.81015640473891	11.00159888932874	11.00159888932874	11.746071809201743	10.641639102468298	8.46664072431871	8.46664072431871	9.644976805209001	8.71953309481113	9.812777547282774	9.852400593668355	9.101443759654353	9.112524713799722	3.64429800782332	1.0029088769594923	0.9236220570059148
NME1	3.5236066880574004	3.2575311996468717	5.594197852459805	4.552733779345404	2.9646889591965384	3.061952215618842	1.4672126143756623	1.5349268826877531	1.3215536840911875	2.001110612399914	1.5354388730194157	1.6177907847028077	1.1730220260492843	1.4606082197345183	1.2756189361379673	0.6959187167058312	0.7004180034537568
PWR1	0.3936960310382049	0.5995759265040432	0.3999714614554397	0.5288813184652335	0.4987171004623148	0.4788818896884436	0.02675416565298789	0.1641123221332098	0.03437928339321916	0.1465673498487981	0.1752700346046912	0.26841398788083826	0.03079286563914704	0.02675416565298789	1.2756189361379673	0.1159231208648187	0.1159231208648187
Q0010	0.3936960310382049	1.2954559584274978	1.1900234526613185	1.1043144206834954	1.798316216405507	1.2361129540328963	0.2818358008849934	0.2073578414190967	0.22584400631272386	0.03849849923610589	0.3342275463297448	0.41103752975204993	0.4267726361660512	0.33504114115973677	1.2756189361379673	0.1159231208648187	0.1159231208648187
Q0017	0.3936960310382049	0.5995759265040432	0.3999714614554397	0.5288813184652335	0.4987171004623148	0.4788818896884436	0.02675416565298789	0.04900382207564416	0.2181837281279414	0.03849849923610589	0.03169762484330099	0.04767563863056484	0.03079286563914704	0.26841398788083826	1.2756189361379673	0.1159231208648187	0.1159231208648187
Q0020	7.880422303718248	7.873671516141576	9.805057292625115	8.689519764487105	9.644976805209001	9.805057292625115	5.7837605181983704	4.552733779345404	5.614877194709471	4.8791673437465395	6.189671497714366	7.831837126769764	6.189671497714366	8.046887285326775	7.265310682047243	1.0385017599233142	1.076070565836825
Q0032	0.3936960310382049	0.5995759265040432	0.9218395960024546	0.5288813184652335	0.4987171004623148	1.107701308789565	0.2935499457549783	0.24370094837661438	0.03437928339321916	0.03849849923610589	0.33925359184484793	0.33678970631092847	0.2667924360954355	0.41771115303958456	1.2756189361379673	0.1159231208648187	0.1159231208648187
Q0045	4.8946229238656205	6.197412307563516	4.718327975383966	6.011429737802256	8.850313243209811	7.759289161437836	2.7236717615467754	3.5236066880574004	4.946930681461252	2.858170413083949	3.1539527010869586	3.3310775484059496	4.492107475901829	4.7168874482053935	1.2756189361379673	0.7036732217106971	0.7191628301935666
Q0050	1.9707922126007167	4.006626424858978	4.013992657332986	3.7021639595886477	5.248186072983275	5.738547062903917	4.606360086603037	5.403304302839852	6.310389900947978	5.291886226132929	7.862924413071527	8.914949918731832	7.432910941786997	8.323076464926592	6.682125554853802	0.7423687155108252	0.759721417146741
Q0055	1.3906168083354518	1.8552647741944295	1.996986790881541	2.209239445250577	3.21181381973382	3.6311670536220646	2.554144860755758	2.6557892390862707	3.4737630084243505	2.860527174399083	4.156634209021049	4.900242658971436	3.8278867480540346	5.188912633503921	1.2756189361379673	0.755846557108774	0.7208578819238861
Q0060	1.0491320227678795	0.5995759265040432	1.5364572194855146	1.0615459316650984	1.6181759242051386	1.812017010046039	0.8130101515409734	0.8228944682595114	0.9995669385657704	0.8327683486128787	1.2794264788022223	1.4454021888987838	1.22041258615294	1.591821957709821	1.2756189361379673	0.5867755385109489	0.49388078166180305
Q0065	3.549547154078933	3.176117411808952	5.629882057012521	4.390341996352695	5.8163593077011475	5.417044221937409	1.247173105495122	1.4709175308882536	2.2278135131258057	1.2063909568651798	1.7653224848590638	2.078742739884831	2.054097113609882	2.860527174399083	1.2756189361379673	0.6451396986603857	0.6727359236224265
Q0070	2.7543924964201825	2.3774445357041634	4.558664695048312	3.2330850282522183	3.6124782778310065	3.2560085602928286	2.914823948128824	3.2730059497751274	3.5359051707531277	2.019274073030743	2.0242648682197557	1.8599664858386786	1.9430454527920054	2.833783733184437	1.2756189361379673	0.7989847055320773	0.7447037781382359
Q0075	2.543384066391572	1.546767540625021	4.320616846459631	2.4342583653717633	4.078116863742302	2.60636383507786	1.7141271235645466	1.710981628995936	1.8070324634335824	1.2217037886609887	1.0890995863675421	1.1015373725244124	1.1470064381198426	1.4895822606858697	4.178225009887985	0.7070077423458438	0.6873612420209857
Q0080	0.7203305114733216	1.0123103948453778	1.3800356905246418	1.5175399159049903	2.4312000098541207	1.6706460461163535	0.5966058325216826	0.5012555923164788	0.3681735181543943	0.5790284656813238	0.5952723510172941	0.6262243422583955	0.6236009287569538	0.7480207626498231	1.2756189361379673	0.1159231208648187	0.1159231208648187
Q0085	2.0800001621631097	2.9710294126625185	4.256037020389024	3.280344810496498	7.9710783806098835	5.186682940928689	0.8301896578717162	0.758492713051962	0.807821258704055	0.7910167738632395	1.1054040463890171	1.1543261824436952	0.931344610125167	1.0973958487762088	1.2756189361379673	0.5680334510460235	0.5386222562223394
Q0092	0.3936960310382049	0.5995759265040432	0.3999714614554397	0.5288813184652335	0.4987171004623148	1.0406208039883702	0.31899004249676943	0.24198232101774375	0.21523110138214394	0.03849849923610589	0.1396333067630242	0.23429354208999648	0.03079286563914704	0.3908776976665915	1.2756189361379673	0.1159231208648187	0.1159231208648187
Q0105	1.3024132409882963	0.5995759265040432	0.7721249037382876	1.3921822852039643	2.4305939179975584	2.307940031772718	1.2884003363433914	1.4430082859274151	1.4133840947856045	1.5640266466032913	1.9203345613592129	2.0450504701612413	1.9115958618973057	2.312557771902391	1.2756189361379673	0.6146198416968459	0.5547901194855038
Q0110	1.3385904840692564	1.758771521423658	2.864293979361793	2.9646889591965384	2.1324072544269503	2.367053223146858	0.7501573286755157	0.8338722473156563	1.0099195635049858	0.791327576179793	1.0768166460394113	1.3281722208927422	0.9811009972619213	1.0961785302027736	1.2756189361379673	0.5047014186457337	0.5628335957676683
Q0115	1.3402512106332494	1.8974446631289204	2.554144860755758	2.2349911102822513	3.704554343669588	3.43439340724483	0.6847331257292735	0.6655667542557178	0.732285481544336	0.6751682822735188	0.7649186064997073	0.7707499487139976	0.7366880815227069	0.9755775256592157	3.6601835005432726	0.1159231208648187	0.1159231208648187
Q0120	1.2739685314162494	1.8273800522253558	1.4883610245068999	1.7441429349122837	3.306845669101401	2.479140694857791	0.8903732244501044	1.0564924386958003	1.063041994547287	0.9213006999206416	1.2830014324171186	1.3421955190704549	1.157456937195074	1.2084135965955751	1.2756189361379673	0.49543834302570966	0.5824664208958594
Q0130	2.437978540181021	3.2087333729225973	4.24632166933575	3.0484609464179986	2.6270003011324707	3.532489237537762	5.331573717812409	5.930064350653287	6.539160305479201	5.20100137066398	4.281327129267812	4.220325522149896	5.211973955853135	7.141063876425247	1.2756189361379673	0.5552584384304364	0.5430430487644909
Q0140	8.307477791845907	5.151553351268149	10.142519078392704	8.98404843909703	9.375927700976172	9.718308625307394	5.594197852459805	5.870813338503894	6.13617220976214	4.677605205462388	4.035065367578067	6.13617220976214	4.84921459427559	8.1846594402742	8.656766651976838	0.695195591854217	0.6979715300139742
Q0142	1.8747894065030453	1.3272981779973383	2.1223250172573596	2.481093845262535	4.5254686938241555	3.843505593874686	0.5341550385466125	0.2805903535975592	0.37039413573391883	0.18323802797231542	0.03169762484330099	0.04767563863056484	0.2918540556418754	0.3388792645494598	6.993166635916397	0.1159231208648187	0.1159231208648187
Q0143	0.7203305114733216	1.058325596762703	0.7470927869464208	0.5288813184652335	0.4987171004623148	0.4788818896884436	0.16854312090044726	0.04900382207564416	0.27319605378467127	0.03849849923610589	0.03169762484330099	0.04767563863056484	0.14890981547078033	0.23223428275190774	1.2756189361379673	0.1159231208648187	0.4466492596340288
Q0144	1.6072216339180239	2.212225610523605	5.608168300747229	7.80663474266371	8.723349230426791	8.488234787372901	0.24105053985819402	0.3159814403986993	0.5721455431645113	0.28018817801421986	0.18839661367524038	0.04767563863056484	0.3059828599676143	0.4253845493817553	3.334607934936575	0.1159231208648187	0.1159231208648187
Q0158	8.160510367419567	8.565315738785966	9.959292194791908	9.117671523485999	10.199541120598747	10.380967930368602	6.68970274401712	7.389481151001053	8.412410843390983	6.682125554853802	8.850313243209811	9.677795271612801	8.911328416205382	9.812777547282774	8.98404843909703	1.692996757843017	1.8320915183856255
Q0160	4.266541637199937	3.688422728620983	4.726828309055095	5.994391235518298	4.231933106758978	3.2027544569151765	4.2051015407296415	4.797675999036535	5.629882057012521	3.9472911763865235	3.016132248958484	3.229078376280533	2.6325133510976406	3.1568637378218414	1.2756189361379673	0.5987823369696342	0.6539059050343109
Q0182	0.3936960310382049	0.5995759265040432	0.9154034109139575	1.004205369564123	0.4987171004623148	1.0743710516928378	0.5167122529695116	0.5711449061221573	0.5255575411942585	0.4605189622348883	0.5464008427630727	0.6245602546499817	0.44051266438538467	0.5775789688553062	1.2756189361379673	0.444045522890658	0.1159231208648187
Q0250	2.185979958495815	3.039652037992175	3.1833473948006494	2.212225610523605	4.057586140984817	3.893980285643069	1.8320915183856255	1.4084543011877448	1.2648243467325255	1.8102389070667875	1.5838127337337453	1.558724666651072	1.3046986430992615	1.5594143762180965	1.2756189361379673	0.4984129039627836	0.6136627446315588
Q0255	1.6097985927279486	1.4562620946743965	3.3786125433699237	2.089557538335789	3.5023293633822385	2.902971489172358	0.7649186064997073	0.6679328224002313	0.7019378982743012	0.6785540680827926	0.8008328173410335	0.8107858346614554	0.7993577334739231	1.0822405960504522	1.2756189361379673	0.43795031234458903	0.5652730428570533
Q0275	1.541493259744106	2.5991674479953075	1.8416264777745845	2.7679753740864808	5.321835094248071	3.8703160763739266	0.8464496693006938	0.7232846327512157	0.8035255052839377	1.1856261007852948	0.9518804476014364	0.8699824610482473	0.9917992088826406	1.0517768659777744	1.2756189361379673	0.5824664208958594	0.4960102775453341
