	log2fc	p-val 
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Sucrose	0.126830022	0.727564205
Uracil	0.592739851	0.302592278
Inosine	1.321928095	0.052712799
Lactose	0.126830022	0.727564205
Fructose	0.11321061	0.702549414
Adenine	0.382145618	0.422732474
Glutamate	-0.669851398	0.023994311
Asparagine 	-0.1740294	0.146911661
Succinate	1.555566089	0.039402047
Glucose	0.653243768	0.326518995
D-Malic acid	1.301169535	0.063217353
Glutamine	-0.070676746	0.531679758
Hypoxanthine	-0.121990524	0.276087319
Aspartate	0.394440595	0.142021774
Pyruvate	-0.062541466	0.692554609
