	log2fc	p-val 
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Aspartate	0.394440595	0.142021774
Uracil	0.592739851	0.302592278
Mannose	0.11321061	0.702549414
Succinate	1.555566089	0.039402047
Lysine	0.178803153	0.18973474
Citric acid	1.394278939	0.012665628
alpha-ketoglutarate	0.442943496	0.309423425
Acetoacetate	0.690044547	0.184730578
Lactose	0.126830022	0.727564205
Pyruvate	-0.062541466	0.692554609
Sucrose	0.126830022	0.727564205
Adenosine	0.461904104	0.19337773
ATP	-1.181997834	0.104145111
CoenzymeA	-1.245306813	0.036937349
Arginine	-0.090765464	0.326164235
