	log2fc	p-val 
Aspartate	0.394440595	0.142021774
Sucrose	0.126830022	0.727564205
Inosine	1.321928095	0.052712799
Lysine	0.178803153	0.18973474
Succinate	1.555566089	0.039402047
Arginine	-0.090765464	0.326164235
Acetoacetate	0.690044547	0.184730578
Adenine	0.382145618	0.422732474
Valine	0.529693954	0.387801239
alpha-ketoglutarate	0.442943496	0.309423425
Hypoxanthine	-0.121990524	0.276087319
Glutathione disulfide	-0.429392792	0.210173577
Malate	1.301169535	0.063217353
Adenosine	0.461904104	0.19337773
Glutamate	-0.669851398	0.023994311
CoenzymeA	-1.245306813	0.036937349
