	log2fc	p-val 
Uracil	0.592739851	0.302592278
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Mannose	0.11321061	0.702549414
Arginine	-0.090765464	0.326164235
Fructose-6-Phosphate	-0.153746532	0.554052301
Leucine	0.339486466	0.56515044
Glutamate	-0.669851398	0.023994311
Adenine	0.382145618	0.422732474
Valine	0.529693954	0.387801239
Fructose	0.11321061	0.702549414
D-Malic acid	1.301169535	0.063217353
Aspartate	0.394440595	0.142021774
Lactose	0.126830022	0.727564205
Succinate	1.555566089	0.039402047
Alanine	0.452822162	0.033563829
CoenzymeA	-1.245306813	0.036937349
Fumarate	1.101582776	0.002665504
Inosine	1.321928095	0.052712799
Asparagine 	-0.1740294	0.146911661
