	log2fc	p-val 
Succinate	1.555566089	0.039402047
Lysine	0.178803153	0.18973474
Leucine	0.339486466	0.56515044
Glutamine	-0.070676746	0.531679758
Glutamate	-0.669851398	0.023994311
Glutathione disulfide	-0.429392792	0.210173577
Mannose	0.11321061	0.702549414
Arginine	-0.090765464	0.326164235
Sucrose	0.126830022	0.727564205
Hypoxanthine	-0.121990524	0.276087319
alpha-ketoglutarate	0.442943496	0.309423425
Fumarate	1.101582776	0.002665504
Inosine	1.321928095	0.052712799
Valine	0.529693954	0.387801239
Acetoacetate	0.690044547	0.184730578
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
